,LEAID,NAME,Graduation Rate,MZIP
0,2700001,MOUNTAIN IRON-BUHL,0.9355,55768
1,2700005,UNITED SOUTH CENTRAL,0.8809999999999999,56097
2,2700006,MAPLE RIVER,0.9747,56065
3,2700007,KINGSLAND,0.9677,55975
4,2700008,ST LOUIS COUNTY,0.8606999999999999,55792
5,2700013,WATERVILLE-ELYSIAN-MORRISTOWN,0.8824,56096
6,2700014,FRESHWATER ED,0.5738,56479
7,2700016,RUNESTONE AREA ED,0.3864,56308
8,2700017,CHISAGO LAKES,0.9321,55045
9,2700019,MINNEWASKA,0.939,56334
10,2700021,EVELETH-GILBERT,0.9123,55734
11,2700022,WADENA-DEER CREEK,0.8219,56482
12,2700023,BUFFALO LK-HECTOR-STEWART SC,0.8649,55342
13,2700024,WARREN-ALVARADO-OSLO,0.9643,56762
14,2700025,INTERMEDIATE 287,0.1759,55441
15,2700026,INTERMEDIATE 917,0.5447,55068
16,2700036,WRIGHT TECHNICAL CENTER,0.359,55313
17,2700046,SOUTHERN PLAINS EDUCATION COOP,0.32,56031
18,2700054,ZUMBRO EDUCATION,0.5263,55920
19,2700055,HIAWATHA VALLEY ED,0.75,55987
20,2700058,MN RIVER VALLEY EDUCATION,0.6,56265
21,2700083,REGION 4-LAKES COUNTRY SERVICE COOP,0.2963,56537
22,2700086,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE,0.5640999999999999,56258
23,2700088,LAKEVIEW,0.9355,56229
24,2700089,NRHEG,0.8125,56072
25,2700090,MURRAY COUNTY CENTRAL,0.8889,56172
26,2700091,MACCRAY,0.8636,56222
27,2700092,MINNESOTA NEW COUNTRY,0.6364,56044
28,2700093,PACT CHARTER,0.9615,55303
29,2700099,YELLOW MEDICINE EAST,0.9516,56241
30,2700100,FILLMORE CENTRAL,0.9444,55965
31,2700101,NORMAN COUNTY EAST,0.9444,56584
32,2700102,SIBLEY EAST,0.9271,55307
33,2700103,CLEARBROOK-GONVICK,0.8889,56634
34,2700104,WEST CENTRAL AREA,0.9787,56311
35,2700105,BELGRADE-BROOTEN-ELROSA,0.9273,56312
36,2700106,ACGC,0.9322,56243
37,2700107,GREENBUSH-MIDDLE RIVER,0.9677,56726
38,2700108,PIPESTONE AREA,0.7619,56164
39,2700109,LONG PRAIRIE-GREY EAGLE,0.9483,56347
40,2700110,CEDAR MOUNTAIN,0.9459,56266
41,2700115,COMMUNITY OF PEACE ACADEMY,0.8621,55130
42,2700117,MINNESOTA TRANSITIONS CHARTER,0.5149,55406
43,2700123,HOWARD LAKE-WAVERLY-WINSTED,0.9167,55349
44,2700124,FAIRMONT AREA,0.9124,56031
45,2700125,LAC QUI PARLE VALLEY,0.9412,56256
46,2700126,ADA-BORUP,0.9512,56510
47,2700127,STEPHEN-ARGYLE CENTRAL,0.9355,56757
48,2700128,GLENCOE-SILVER LAKE,0.91,55336
49,2700129,MINNESOTA STATE ACADEMIES,0.4815,55021
50,2700130,BLUE EARTH AREA,0.8845999999999999,56013
51,2700132,RED ROCK CENTRAL,1.0,56152
52,2700138,CYBER VILLAGE ACADEMY,0.4474,55116
53,2700139,ECHO CHARTER,0.9286,56237
54,2700140,HIGHER GROUND ACADEMY,0.9302,55104
55,2700143,CENTRAL MINNESOTA JT POWERS,0.4783,56387
56,2700148,GLENVILLE-EMMONS,0.875,56036
57,2700150,CLINTON-GRACEVILLE-BEARDSLEY,0.7742,56225
58,2700152,JENNINGS COMMUNITY,0.3571,55114
59,2700157,FACE TO FACE ACADEMY,0.1818,55106
60,2700160,HIGH FOR RECORDING ARTS,0.25,55104
61,2700162,LAKE PARK AUDUBON,0.8957999999999999,56554
62,2700163,RENVILLE COUNTY WEST,0.9259,56284
63,2700167,MATH AND SCIENCE ACADEMY,1.0,55125
64,2700173,NORTHWEST PASSAGE HIGH,0.3636,55433
65,2700177,NORTH LAKES ACADEMY,0.8,55025
66,2700180,ROSA PARKS CHARTER HIGH,0.2778,55901
67,2700181,EL COLEGIO CHARTER,0.5832999999999999,55407
68,2700182,REDWOOD AREA,0.8506,56283
69,2700183,WESTBROOK-WALNUT GROVE,0.9714,56183
70,2700186,AFSA HIGH,0.7308,55127
71,2700187,AVALON,0.6667000000000001,55114
72,2700191,PILLAGER AREA CHARTER,0.2,56473
73,2700192,DISCOVERY FARIBAULT,0.6364,55021
74,2700193,BLUESKY CHARTER,0.4181,55118
75,2700209,HARBOR CITY INTERNATIONAL CHARTER,0.8371999999999999,55802
76,2700211,SAGE ACADEMY CHARTER,0.4286,55443
77,2700213,WATERSHED HIGH,0.0,55423
78,2700214,NEW CENTURY ACADEMY,0.5,55350
79,2700218,CROSSLAKE COMMUNITY CHARTER,0.4231,56442
80,2700224,NORTHLAND LEARNING CENTER,0.4897999999999999,55792
81,2700226,KATO CHARTER,0.5,56001
82,2700231,JACKSON COUNTY CENTRAL,0.9535,56143
83,2700235,TRIO WOLF CREEKANCE LEARNING,0.4533,55045
84,2700240,PRAIRIE SEEDS ACADEMY,0.8626999999999999,55428
85,2700245,METRO CHARTER,0.7143,55406
86,2700246,TWIN CITIES ACADEMY,0.871,55106
87,2700256,NORTHERN LIGHTS COMMUNITY,0.7726999999999999,55793
88,2700260,MINNESOTA ONLINE HIGH,0.314,55114
89,2700261,EDVISIONS OFF CAMPUS,0.5172,56044
90,2700276,SPECTRUM HIGH,0.9231,55330
91,2700285,LEARNING FOR LEADERSHIP CHARTER,0.7082999999999999,55418
92,2700287,PLAINVIEW-ELGIN-MILLVILLE,0.9341,55964
93,2700291,EAST RANGE ACADEMY OF TECH-SCIENCE,0.7115,55734
94,2700294,RTR,1.0,56178
95,2700299,LINCOLN INTERNATIONAL,0.3443,55404
96,2700314,RIVERS EDGE ACADEMY,0.5714,55107
97,2700315,LIONSGATE ACADEMY,0.2917,55343
98,2700326,TRACY AREA,0.94,56175
99,2700327,SOUTHERN MN EDUCATION CONSORTIUM,0.5556,55936
100,2700328,ORTONVILLE,0.9706,56278
101,2700337,NOVA CLASSICAL ACADEMY,0.9077,55102
102,2700341,MINNESOTA INTERNSHIP CENTER,0.181,55411
103,2700342,HMONG COLLEGE PREP ACADEMY,0.8548,55108
104,2700343,PALADIN CAREER AND TECHNICAL HIGH,0.2903,55434
105,2700344,GREAT RIVER,0.8,55108
106,2700345,TREKNORTH HIGH,0.8286,56601
107,2700346,VOYAGEURS EXPEDITIONARY,0.7273000000000001,56601
108,2700349,PIM ARTS HIGH,0.7865000000000001,55344
109,2700350,AUGSBURG FAIRVIEW ACADEMY,0.25,55404
110,2700351,ST PAUL CONSERVATORY PERFORMING ART,0.8986,55102
111,2700355,ARCADIA CHARTER,1.0,55057
112,2700361,ACADEMIC ARTS HIGH,0.5185,55118
113,2700362,ST CROIX PREPARATORY ACADEMY,0.9425,55082
114,2700363,UBAH MEDICAL ACADEMY CHARTER,0.9302,55343
115,2700364,EAGLE RIDGE ACADEMY CHARTER,0.9412,55343
116,2700367,STEP ACADEMY CHARTER,0.8974,55106
117,2700370,ROCHESTER STEM ACADEMY,0.8,55902
118,2700372,VERMILION COUNTRY,0.6667000000000001,55790
119,2700379,TRI-CITY UNITED,0.9344,56069
120,2700382,BRANDON-EVANSVILLE,0.9,56315
121,2700383,MORRIS AREA,0.9333,56267
122,2700385,RED LAKE COUNTY CENTRAL,0.9259,56742
123,2700389,TECHNICAL ACADEMIES OF MINNESOTA,0.4286,56201
124,2700402,CAREER PATHWAYS,0.4462,55104
125,2700403,JANE GOODALL ENVIRONMENTAL SCIENCE ACADEMY,0.4545,55358
126,2700412,ROCHESTER BEACON ACADEMY,0.8181999999999999,55901
127,2700420,SOUTHWEST METRO INTERMEDIATE 288,0.3924,55379
128,2700426,AUSTIN ALBERT LEA AREA SPECIAL EDUCATION COOPERATIVE (AALASEC),0.3,56007
129,2702264,NORTHEAST METRO 916,0.2473999999999999,55110
130,2702640,LESTER PRAIRIE,0.9118,55354
131,2702720,SOUTHLAND,0.9792,55909
132,2702730,ADRIAN,0.9487,56110
133,2702760,AITKIN,0.8889,56431
134,2702910,WALKER-HACKENSACK-AKELEY SCHL,0.8448,56484
135,2702930,ALBANY,0.9695,56307
136,2702970,ALBERT LEA,0.7793000000000001,56007
137,2703030,ALDEN-CONGER,1.0,56009
138,2703060,ALEXANDRIA,0.8803,56308
139,2703150,ANNANDALE,0.9323,55302
140,2703180,ANOKA-HENNEPIN,0.8656999999999999,55303
141,2703300,ASHBY,1.0,56309
142,2703450,AUSTIN,0.7608,55912
143,2703540,BADGER,0.8889,56714
144,2703570,BAGLEY,0.9054,56621
145,2703660,BARNESVILLE,0.9508,56514
146,2703690,BARNUM,0.9286,55707
147,2703750,BATTLE LAKE,0.8787999999999999,56515
148,2703870,BECKER,0.9537,55308
149,2704050,BELLE PLAINE,0.887,56011
150,2704440,BEMIDJI,0.7634000000000001,56601
151,2704470,BENSON,0.8966,56215
152,2705430,BERTHA-HEWITT,0.8684000000000001,56437
153,2705460,BIG LAKE,0.928,55309
154,2705660,BIRD ISLAND-OLIVIA-LAKE LILLIAN,0.8679000000000001,56277
155,2705730,BLACKDUCK,0.8049,56630
156,2705760,BLOOMING PRAIRIE,0.8946999999999999,55917
157,2705790,BLOOMINGTON,0.8129000000000001,55431
158,2706060,BRAHAM,0.9057,55006
159,2706090,BRAINERD,0.853,56401
160,2706150,BRECKENRIDGE,0.9828,56520
161,2706240,BROOKLYN CENTER,0.6114999999999999,55430
162,2706300,BROWERVILLE,0.9268,56438
163,2707200,BUFFALO-HANOVER-MONTROSE SCH,0.9346,55313
164,2707290,BURNSVILLE,0.7848999999999999,55337
165,2707320,BUTTERFIELD,0.9333,56120
166,2707350,BYRON,0.9648,55920
167,2707380,CALEDONIA,1.0,55921
168,2707410,CAMBRIDGE-ISANTI,0.8740000000000001,55008
169,2707450,CAMPBELL-TINTAH,0.7273000000000001,56522
170,2707470,CANBY,0.9787,56220
171,2707500,CANNON FALLS,0.9565,55009
172,2707590,CARLTON,0.9714,55718
173,2708070,CASS LAKE-BENA,0.3964,56633
174,2708100,CENTENNIAL,0.9041,55014
175,2708190,EASTERN CARVER COUNTY,0.949,55318
176,2708220,CHATFIELD,0.9701,55923
177,2708910,CHISHOLM,0.8378,55719
178,2708955,CITY ACADEMY,0.6053000000000001,55130
179,2709330,CLEVELAND,0.9474,56017
180,2709360,CLIMAX-SHELLY,0.8125,56523
181,2709420,CLOQUET,0.8305,55720
182,2709440,ROCORI,0.9385,56320
183,2709480,GREENWAY,0.9841,55764
184,2709510,COLUMBIA HEIGHTS,0.8619,55421
185,2709540,COMFREY,0.9,56019
186,2709690,CROMWELL-WRIGHT,0.9375,55726
187,2709720,CROOKSTON,0.7963,56716
188,2709750,CROSBY-IRONTON,0.8409,56441
189,2710060,DASSEL-COKATO,0.8795999999999999,55321
190,2710090,DAWSON-BOYD,0.9722,56232
191,2710140,DEER RIVER,0.8112999999999999,56636
192,2710170,DELANO,0.9777,55328
193,2710230,DETROIT LAKES,0.8695999999999999,56501
194,2710260,DILWORTH-GLYNDON-FELTON,0.9118,56529
195,2711010,DOVER-EYOTA,0.9459,55934
196,2711040,DULUTH,0.7809,55802
197,2711085,EAST CENTRAL,0.7881999999999999,55735
198,2711130,EAST GRAND FORKS,0.9111,56721
199,2711190,EDEN VALLEY-WATKINS,0.974,55329
200,2711220,EDGERTON,0.8845999999999999,56128
201,2711250,EDINA,0.9655,55424
202,2711520,ELY,0.9545,55731
203,2711670,MINNETONKA,0.9722,55345
204,2711760,FARIBAULT,0.6790999999999999,55021
205,2711820,FARMINGTON,0.9338,55024
206,2711880,FERGUS FALLS,0.6877,56537
207,2711910,FERTILE-BELTRAMI,0.963,56540
208,2712180,FISHER,1.0,56723
209,2712210,FLOODWOOD,0.9048,55736
210,2712240,FOLEY,0.931,56329
211,2712270,FOREST LAKE,0.8478,55025
212,2712300,FOSSTON,0.9831,56542
213,2712360,FRAZEE-VERGAS,1.0,56544
