LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
0200001,02000000030800,02,02050,N,N,Lower Kuskokwim,Alaska,AK,03,2,18,1,1,PK,12,4328.0,4328.0,170788000.0,59630000.0,3510000.0,1200000.0,376000.0,44000.0,150000.0,198000.0,59000.0,3855000.0,0.0,45046000.0,4401000.0,791000.0,108456000.0,68226000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,32533000.0,1265000.0,1550000.0,0.0,4878000.0,0.0,2702000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,195000.0,1374000.0,0.0,411000.0,0.0,0.0,332000.0,0.0,171614000.0,134300000.0,52985000.0,52985000.0,0.0,0.0,75664000.0,4384000.0,41119000.0,1148000.0,8304000.0,16118000.0,1611000.0,2980000.0,0.0,5651000.0,4665000.0,986000.0,0.0,211000.0,211000.0,0.0,0.0,37103000.0,6116000.0,30573000.0,50000.0,364000.0,0.0,0.0,0.0,0.0,0.0,49007000.0,30298000.0,0.0,0.0,0.0,0.0,1842000.0,3453000.0,259000.0,4877000.0,5310000.0,0.0,1341000.0,1466000.0,28493000.0,17484000.0,1065000.0,1854000.0,181000.0,2838000.0,3422000.0,0.0,861000.0,753000.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5718000.0,0.0,0.0,122832000.0,11468000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Lower Kuskokwim,291,0.6117
0200003,02000000031200,02,02158,N,N,Lower Yukon,Alaska,AK,03,3,18,1,1,PK,12,1997.0,1997.0,58609000.0,24458000.0,2453000.0,630000.0,219000.0,51000.0,110000.0,127000.0,0.0,2128000.0,0.0,17492000.0,1210000.0,38000.0,31746000.0,27591000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805000.0,2000.0,102000.0,0.0,2246000.0,0.0,2405000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,76000.0,0.0,0.0,0.0,0.0,763000.0,0.0,70000.0,0.0,0.0,1496000.0,0.0,66393000.0,60813000.0,28145000.0,28145000.0,0.0,0.0,27875000.0,2407000.0,9049000.0,1313000.0,3787000.0,9727000.0,4000.0,1588000.0,0.0,4793000.0,3234000.0,1559000.0,0.0,0.0,0.0,0.0,0.0,5580000.0,5520000.0,0.0,26000.0,34000.0,0.0,0.0,0.0,0.0,0.0,23088000.0,14495000.0,0.0,0.0,0.0,0.0,1037000.0,701000.0,486000.0,2240000.0,2227000.0,0.0,690000.0,900000.0,16709000.0,10492000.0,811000.0,368000.0,434000.0,1421000.0,1596000.0,0.0,460000.0,934000.0,192000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3970000.0,0.0,0.0,53585000.0,7228000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Lower Yukon,138,0.6159
0200004,02000000030300,02,02050,N,N,Yupiit,Alaska,AK,03,3,18,1,1,KG,12,443.0,443.0,13417000.0,6085000.0,609000.0,153000.0,3000.0,0.0,11000.0,2000.0,0.0,349000.0,0.0,4954000.0,4000.0,0.0,6889000.0,6279000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,37000.0,0.0,572000.0,0.0,443000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,0.0,275000.0,0.0,0.0,0.0,0.0,136000.0,0.0,15546000.0,15491000.0,6044000.0,6044000.0,0.0,0.0,8074000.0,685000.0,2647000.0,620000.0,690000.0,2332000.0,4000.0,1096000.0,0.0,1373000.0,683000.0,690000.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,5681000.0,3423000.0,0.0,0.0,0.0,0.0,322000.0,290000.0,243000.0,455000.0,369000.0,0.0,213000.0,175000.0,3153000.0,1799000.0,165000.0,191000.0,121000.0,217000.0,268000.0,0.0,162000.0,121000.0,111000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092000.0,0.0,0.0,14185000.0,1306000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Yupiit,23,0.5652
0200005,02000000031300,02,02158,N,N,Kashunamiut,Alaska,AK,03,3,18,1,1,PK,12,333.0,333.0,9222000.0,4431000.0,407000.0,75000.0,0.0,0.0,0.0,0.0,0.0,367000.0,0.0,3246000.0,170000.0,166000.0,4365000.0,3951000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,60000.0,0.0,344000.0,0.0,426000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,164000.0,133000.0,0.0,2000.0,0.0,0.0,118000.0,0.0,9654000.0,9395000.0,4381000.0,4381000.0,0.0,0.0,4233000.0,162000.0,1257000.0,593000.0,421000.0,1156000.0,1000.0,643000.0,0.0,781000.0,431000.0,350000.0,0.0,229000.0,229000.0,0.0,0.0,30000.0,1000.0,0.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0,3680000.0,2106000.0,0.0,0.0,0.0,0.0,96000.0,223000.0,235000.0,245000.0,363000.0,0.0,142000.0,96000.0,2547000.0,1721000.0,36000.0,158000.0,147000.0,168000.0,202000.0,0.0,85000.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591000.0,0.0,0.0,8188000.0,1207000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,R,I,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,M,Kashunamiut,15,0.6
0200006,02000000010100,02,02220,N,N,Mt Edgecumbe,Alaska,AK,02,3,18,1,1,09,12,424.0,424.0,13133000.0,3368000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987000.0,155000.0,1226000.0,9755000.0,9726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,13108000.0,13099000.0,5859000.0,5859000.0,0.0,0.0,6905000.0,4888000.0,0.0,0.0,0.0,2017000.0,0.0,0.0,0.0,335000.0,335000.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,3602000.0,2513000.0,0.0,0.0,0.0,0.0,705000.0,0.0,0.0,0.0,384000.0,0.0,0.0,0.0,1763000.0,1166000.0,360000.0,0.0,0.0,0.0,236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11722000.0,1377000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Mt Edgecumbe,101,0.9901000000000001
0200007,02102402430100,02,02013,N,N,Aleutians East,Alaska,AK,03,3,18,1,1,PK,12,233.0,233.0,9589000.0,2810000.0,135000.0,48000.0,2000.0,10000.0,0.0,0.0,3000.0,0.0,0.0,2496000.0,116000.0,0.0,5376000.0,4234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639000.0,71000.0,44000.0,0.0,388000.0,0.0,1403000.0,1211000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,1000.0,115000.0,0.0,0.0,0.0,0.0,71000.0,0.0,9224000.0,8699000.0,4422000.0,4422000.0,0.0,0.0,3989000.0,134000.0,1185000.0,613000.0,538000.0,1105000.0,67000.0,347000.0,0.0,288000.0,124000.0,164000.0,0.0,78000.0,0.0,78000.0,0.0,160000.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,287000.0,3481000.0,2326000.0,0.0,0.0,0.0,0.0,4000.0,164000.0,194000.0,321000.0,224000.0,36000.0,129000.0,46000.0,1751000.0,1161000.0,7000.0,72000.0,141000.0,168000.0,72000.0,13000.0,87000.0,7000.0,0.0,0.0,8205000.0,0.0,639000.0,7565000.0,0.0,0.0,0.0,0.0,0.0,552000.0,0.0,0.0,8414000.0,285000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,I,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,I,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Aleutians East,18,0.8889
0200010,02000000030100,02,02020,N,11260,Aleutian Region,Alaska,AK,03,3,18,1,1,PK,12,27.0,27.0,1580000.0,112000.0,0.0,32000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,0.0,13000.0,1407000.0,1347000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,61000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.0,6000.0,0.0,0.0,28000.0,0.0,1974000.0,1974000.0,718000.0,718000.0,0.0,0.0,1229000.0,95000.0,455000.0,130000.0,15000.0,350000.0,0.0,184000.0,0.0,27000.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685000.0,398000.0,0.0,0.0,0.0,0.0,0.0,29000.0,48000.0,10000.0,145000.0,0.0,55000.0,0.0,276000.0,184000.0,0.0,9000.0,1000.0,5000.0,12000.0,0.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,1912000.0,62000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,I,R,I,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,I,R,I,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Aleutian Region,2,0.5
0200020,02000000030600,02,02180,N,N,Bering Strait,Alaska,AK,03,3,18,1,1,PK,12,1981.0,1981.0,73248000.0,38156000.0,1937000.0,479000.0,58000.0,0.0,64000.0,35000.0,661000.0,1702000.0,0.0,31375000.0,1039000.0,806000.0,32320000.0,27278000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046000.0,96000.0,995000.0,0.0,2905000.0,0.0,2772000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688000.0,0.0,67333000.0,64519000.0,38060000.0,38060000.0,0.0,0.0,23576000.0,1177000.0,6806000.0,831000.0,2125000.0,10748000.0,9000.0,1880000.0,0.0,2883000.0,2883000.0,0.0,0.0,0.0,0.0,0.0,0.0,2814000.0,506000.0,1566000.0,297000.0,445000.0,0.0,0.0,0.0,0.0,0.0,28547000.0,21052000.0,0.0,0.0,0.0,0.0,584000.0,478000.0,198000.0,1337000.0,3030000.0,5000.0,828000.0,1035000.0,15093000.0,11090000.0,318000.0,189000.0,88000.0,788000.0,1756000.0,2000.0,508000.0,353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999000.0,0.0,0.0,58515000.0,6004000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,I,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,I,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Bering Strait,108,0.75
0200030,02100400130100,02,02060,N,N,Bristol Bay,Alaska,AK,03,3,18,1,1,PK,12,128.0,128.0,4077000.0,517000.0,92000.0,38000.0,0.0,0.0,18000.0,0.0,10000.0,143000.0,0.0,128000.0,27000.0,61000.0,1723000.0,1111000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337000.0,136000.0,0.0,135000.0,0.0,1837000.0,1694000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,0.0,4302000.0,4250000.0,1752000.0,1752000.0,0.0,0.0,2278000.0,135000.0,529000.0,264000.0,192000.0,588000.0,256000.0,314000.0,0.0,220000.0,220000.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,1443000.0,853000.0,0.0,0.0,0.0,0.0,49000.0,37000.0,124000.0,107000.0,107000.0,2000.0,102000.0,61000.0,823000.0,530000.0,32000.0,9000.0,59000.0,67000.0,54000.0,0.0,55000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259000.0,0.0,0.0,3844000.0,406000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Bristol Bay,16,1.0
0200050,02000000030000,02,02240,N,N,Alaska Gateway,Alaska,AK,03,3,18,1,1,PK,12,400.0,400.0,14331000.0,3666000.0,519000.0,138000.0,82000.0,10000.0,18000.0,10000.0,0.0,324000.0,0.0,454000.0,2068000.0,43000.0,10573000.0,9153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797000.0,141000.0,0.0,482000.0,0.0,92000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,4000.0,0.0,1000.0,0.0,0.0,73000.0,0.0,15172000.0,14674000.0,6679000.0,6679000.0,0.0,0.0,7277000.0,269000.0,3084000.0,280000.0,450000.0,2089000.0,775000.0,330000.0,0.0,718000.0,707000.0,11000.0,0.0,0.0,0.0,0.0,0.0,498000.0,410000.0,0.0,0.0,88000.0,0.0,0.0,0.0,0.0,0.0,5479000.0,3677000.0,0.0,0.0,0.0,0.0,38000.0,484000.0,125000.0,266000.0,550000.0,0.0,137000.0,202000.0,2850000.0,1859000.0,17000.0,282000.0,62000.0,148000.0,329000.0,0.0,72000.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801000.0,0.0,0.0,11385000.0,3289000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,I,I,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,I,I,I,I,I,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Alaska Gateway,24,0.5417000000000001
