LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
0400001,03500700900000,04,04013,N,38060,Cave Creek Unified District,Arizona,AZ,03,3,18,1,1,PK,12,5382.0,5370.0,45284000.0,1933000.0,358000.0,718000.0,48000.0,0.0,63000.0,1000.0,277000.0,296000.0,172000.0,0.0,0.0,0.0,10189000.0,9809000.0,231000.0,0.0,0.0,0.0,0.0,43000.0,0.0,0.0,0.0,106000.0,0.0,0.0,0.0,33162000.0,-2.0,26721000.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,1231000.0,8000.0,858000.0,0.0,810000.0,1000.0,0.0,81000.0,5000.0,785000.0,2643000.0,0.0,44103000.0,37835000.0,19918000.0,19918000.0,619000.0,0.0,16488000.0,3867000.0,1151000.0,894000.0,1609000.0,4800000.0,2244000.0,1923000.0,0.0,1429000.0,1429000.0,0.0,0.0,1986000.0,1986000.0,0.0,0.0,2079000.0,2007000.0,0.0,0.0,0.0,72000.0,0.0,0.0,0.0,1584000.0,23609000.0,14419000.0,10451000.0,1776000.0,92000.0,40000.0,2792000.0,778000.0,565000.0,1215000.0,1014000.0,1142000.0,1227000.0,457000.0,6656000.0,3866000.0,786000.0,194000.0,190000.0,320000.0,347000.0,431000.0,352000.0,169000.0,0.0,29000.0,37040000.0,0.0,2380000.0,34660000.0,0.0,0.0,3123000.0,728000.0,10616000.0,1616000.0,1262000.0,72000.0,36172000.0,1662000.0,0.0,1.0,A,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Cave Creek Unified District,427,0.9414519906323185
0400003,03501300700000,04,04025,N,39140,Chino Valley Unified District,Arizona,AZ,03,3,18,1,1,PK,12,2180.0,2177.0,17903000.0,2571000.0,627000.0,472000.0,81000.0,8000.0,59000.0,21000.0,44000.0,1033000.0,226000.0,0.0,0.0,0.0,6717000.0,6496000.0,99000.0,0.0,0.0,0.0,0.0,43000.0,0.0,0.0,0.0,79000.0,0.0,0.0,0.0,8615000.0,-2.0,6274000.0,0.0,0.0,0.0,0.0,154000.0,1408000.0,0.0,0.0,136000.0,1000.0,218000.0,0.0,90000.0,1000.0,0.0,5000.0,2000.0,69000.0,257000.0,0.0,17759000.0,17250000.0,8627000.0,8627000.0,83000.0,0.0,7367000.0,1452000.0,612000.0,579000.0,876000.0,2178000.0,1035000.0,635000.0,0.0,1256000.0,1256000.0,0.0,0.0,0.0,0.0,0.0,0.0,235000.0,188000.0,0.0,0.0,0.0,47000.0,72000.0,0.0,119000.0,0.0,8792000.0,5911000.0,4275000.0,886000.0,0.0,21000.0,721000.0,390000.0,257000.0,662000.0,30000.0,497000.0,297000.0,30000.0,2806000.0,1759000.0,255000.0,144000.0,110000.0,183000.0,12000.0,239000.0,92000.0,12000.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,557000.0,228000.0,47000.0,15823000.0,1428000.0,0.0,1.0,A,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Chino Valley Unified District,174,0.9080459770114941
0400019,N,04,04005,N,22380,Flagstaff Arts And Leadership Academy,Arizona,AZ,02,1,18,1,0,07,12,273.0,273.0,2711000.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,0.0,0.0,0.0,0.0,0.0,2414000.0,2402000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264000.0,0.0,2736000.0,2382000.0,1569000.0,1569000.0,0.0,0.0,813000.0,235000.0,0.0,0.0,395000.0,160000.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354000.0,1529000.0,1186000.0,465000.0,113000.0,0.0,0.0,72000.0,0.0,0.0,241000.0,30000.0,0.0,0.0,0.0,416000.0,324000.0,19000.0,0.0,0.0,64000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,0.0,0.0,2353000.0,29000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Flagstaff Arts And Leadership Academy,61,0.901639344262295
0400021,03500801300000,04,04015,332,29420,Colorado City Unified District,Arizona,AZ,03,3,18,1,1,PK,12,494.0,494.0,6498000.0,1868000.0,1153000.0,273000.0,81000.0,12000.0,119000.0,0.0,83000.0,147000.0,0.0,0.0,0.0,0.0,2691000.0,2662000.0,22000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,1939000.0,-2.0,958000.0,0.0,0.0,0.0,0.0,114000.0,604000.0,4000.0,0.0,11000.0,0.0,15000.0,0.0,0.0,5000.0,0.0,7000.0,0.0,0.0,221000.0,0.0,5989000.0,5718000.0,3270000.0,3270000.0,0.0,0.0,2270000.0,253000.0,551000.0,58000.0,190000.0,826000.0,187000.0,205000.0,0.0,178000.0,178000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,255000.0,5000.0,2872000.0,1860000.0,925000.0,250000.0,0.0,0.0,37000.0,269000.0,13000.0,135000.0,238000.0,114000.0,131000.0,75000.0,968000.0,603000.0,15000.0,120000.0,4000.0,51000.0,72000.0,36000.0,43000.0,24000.0,0.0,22000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181000.0,196000.0,11000.0,3902000.0,1651000.0,0.0,1.0,A,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Colorado City Unified District,36,0.6388888888888888
0400023,03500940100000,04,04017,N,43320,Pinon Unified District,Arizona,AZ,03,3,18,1,1,PK,12,1070.0,1070.0,19703000.0,11566000.0,843000.0,221000.0,34000.0,0.0,37000.0,6000.0,20000.0,1009000.0,34000.0,9103000.0,259000.0,0.0,7139000.0,6929000.0,49000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,155000.0,0.0,0.0,0.0,998000.0,-2.0,0.0,0.0,0.0,0.0,0.0,42000.0,365000.0,0.0,0.0,30000.0,1000.0,3000.0,0.0,121000.0,24000.0,0.0,112000.0,0.0,14000.0,286000.0,0.0,16734000.0,16492000.0,6297000.0,6297000.0,0.0,0.0,9164000.0,1208000.0,959000.0,344000.0,805000.0,3499000.0,1335000.0,1014000.0,0.0,1031000.0,1031000.0,0.0,0.0,0.0,0.0,0.0,0.0,242000.0,0.0,0.0,0.0,0.0,242000.0,0.0,0.0,0.0,0.0,8727000.0,4501000.0,3305000.0,699000.0,0.0,33000.0,588000.0,632000.0,169000.0,606000.0,1036000.0,699000.0,463000.0,33000.0,2722000.0,1276000.0,187000.0,188000.0,50000.0,176000.0,396000.0,274000.0,164000.0,11000.0,0.0,170000.0,1277000.0,0.0,291000.0,985000.0,0.0,0.0,0.0,0.0,13634000.0,764000.0,375000.0,242000.0,15041000.0,1452000.0,0.0,1.0,A,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Pinon Unified District,83,0.6265060240963856
0400026,03500940200000,04,04017,N,43320,Heber-Overgaard Unified District,Arizona,AZ,03,3,18,1,1,PK,12,482.0,482.0,6169000.0,1105000.0,386000.0,120000.0,91000.0,0.0,9000.0,0.0,76000.0,109000.0,314000.0,0.0,0.0,0.0,1173000.0,1140000.0,21000.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,3891000.0,-2.0,3524000.0,0.0,0.0,0.0,0.0,122000.0,38000.0,0.0,0.0,48000.0,0.0,87000.0,0.0,41000.0,0.0,0.0,6000.0,0.0,7000.0,18000.0,0.0,4723000.0,4688000.0,2379000.0,2379000.0,0.0,0.0,2098000.0,238000.0,175000.0,171000.0,261000.0,793000.0,262000.0,198000.0,0.0,211000.0,211000.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,19000.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,8000.0,2607000.0,1602000.0,1134000.0,212000.0,0.0,0.0,112000.0,114000.0,96000.0,188000.0,244000.0,116000.0,114000.0,20000.0,929000.0,549000.0,45000.0,38000.0,28000.0,68000.0,95000.0,49000.0,45000.0,11000.0,0.0,48000.0,6680000.0,0.0,500000.0,6180000.0,308000.0,217000.0,74000.0,0.0,1758000.0,205000.0,141000.0,0.0,4115000.0,566000.0,0.0,1.0,A,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Heber-Overgaard Unified District,25,0.88
0400036,N,04,04013,N,38060,Foothills Academy,Arizona,AZ,03,1,18,1,0,KG,12,298.0,298.0,2760000.0,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,0.0,0.0,0.0,0.0,0.0,2299000.0,2287000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407000.0,0.0,2810000.0,2689000.0,1688000.0,1688000.0,0.0,0.0,1000000.0,33000.0,88000.0,1000.0,398000.0,349000.0,0.0,131000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121000.0,1682000.0,1227000.0,887000.0,42000.0,0.0,0.0,1000.0,58000.0,0.0,318000.0,11000.0,0.0,67000.0,0.0,190000.0,132000.0,0.0,7000.0,0.0,44000.0,1000.0,0.0,6000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419000.0,65000.0,0.0,0.0,2651000.0,38000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Foothills Academy,38,0.8421052631578947
0400043,N,04,04013,N,38060,New School For The Arts,Arizona,AZ,02,1,18,1,0,09,12,173.0,173.0,1779000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,1511000.0,1507000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247000.0,0.0,1801000.0,1450000.0,780000.0,780000.0,0.0,0.0,670000.0,64000.0,0.0,83000.0,228000.0,191000.0,0.0,104000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178000.0,178000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173000.0,869000.0,566000.0,183000.0,49000.0,0.0,0.0,41000.0,0.0,25000.0,159000.0,15000.0,0.0,63000.0,0.0,180000.0,107000.0,10000.0,0.0,13000.0,37000.0,1000.0,0.0,11000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721000.0,123000.0,87000.0,0.0,0.0,1318000.0,0.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,New School For The Arts,53,0.8113207547169812
0400047,N,04,04013,N,38060,Salt River Pima-Maricopa  Community Schools,Arizona,AZ,02,1,18,1,0,07,12,291.0,291.0,5753000.0,2490000.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,545000.0,0.0,1605000.0,0.0,90000.0,2438000.0,2424000.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790000.0,0.0,7441000.0,7441000.0,5079000.0,5079000.0,0.0,0.0,1374000.0,414000.0,0.0,721000.0,239000.0,0.0,0.0,0.0,0.0,988000.0,988000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5127000.0,3838000.0,1104000.0,338000.0,0.0,0.0,262000.0,0.0,376000.0,189000.0,0.0,0.0,0.0,462000.0,1634000.0,1056000.0,95000.0,0.0,292000.0,51000.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3386000.0,261000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Salt River Pima-Maricopa  Community Schools,55,0.36363636363636365
0400056,N,04,04013,N,38060,Arizona School For The Arts,Arizona,AZ,03,1,18,1,0,05,12,840.0,840.0,8446000.0,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,84000.0,0.0,0.0,0.0,0.0,0.0,6618000.0,6377000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204000.0,0.0,0.0,0.0,1744000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,18000.0,0.0,0.0,0.0,0.0,841000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,879000.0,0.0,8103000.0,6689000.0,4521000.0,4521000.0,0.0,0.0,2168000.0,393000.0,11000.0,298000.0,345000.0,499000.0,10000.0,612000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,5000.0,0.0,0.0,35000.0,0.0,0.0,0.0,1374000.0,4043000.0,3168000.0,875000.0,51000.0,0.0,0.0,90000.0,0.0,171000.0,256000.0,126000.0,0.0,232000.0,0.0,1138000.0,886000.0,23000.0,0.0,52000.0,77000.0,42000.0,0.0,57000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132000.0,0.0,0.0,6586000.0,102000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,M,M,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Arizona School For The Arts,84,1.0
