LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
0800001,06500900300000,08,08017,N,N,CHEYENNE COUNTY RE-5,Colorado,CO,03,3,18,1,1,PK,12,179.0,179.0,3655000.0,86000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68000.0,0.0,0.0,0.0,18000.0,1793000.0,1640000.0,0.0,0.0,0.0,0.0,0.0,46000.0,2000.0,0.0,33000.0,72000.0,0.0,0.0,0.0,1776000.0,-2.0,1381000.0,0.0,0.0,0.0,0.0,74000.0,1000.0,0.0,0.0,38000.0,0.0,160000.0,0.0,0.0,20000.0,0.0,10000.0,0.0,47000.0,45000.0,0.0,3265000.0,2945000.0,1620000.0,1620000.0,0.0,0.0,1211000.0,82000.0,67000.0,249000.0,249000.0,376000.0,147000.0,41000.0,0.0,114000.0,114000.0,0.0,0.0,0.0,0.0,0.0,0.0,219000.0,0.0,0.0,51000.0,168000.0,0.0,28000.0,0.0,73000.0,0.0,1591000.0,979000.0,651000.0,49000.0,180000.0,26000.0,59000.0,36000.0,123000.0,176000.0,92000.0,71000.0,0.0,57000.0,595000.0,348000.0,19000.0,22000.0,51000.0,68000.0,41000.0,22000.0,0.0,24000.0,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3094000.0,157000.0,29000.0,0.0,2914000.0,32000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,CHEYENNE COUNTY RE-5,18.0,0.777777777777777
0800004,06501620100000,08,08031,216,19740,DENVER COUNTY 1,Colorado,CO,07,3,18,1,1,KG,12,-3.0,389.0,3823000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207000.0,0.0,0.0,0.0,3616000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2999000.0,0.0,84000.0,29000.0,0.0,0.0,482000.0,0.0,5000.0,0.0,0.0,11000.0,0.0,6000.0,0.0,0.0,3620000.0,3486000.0,2230000.0,2230000.0,0.0,0.0,1256000.0,0.0,47000.0,0.0,446000.0,316000.0,0.0,447000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134000.0,0.0,0.0,134000.0,0.0,0.0,0.0,0.0,0.0,0.0,1825000.0,1298000.0,1153000.0,131000.0,0.0,0.0,0.0,37000.0,0.0,343000.0,42000.0,0.0,105000.0,0.0,552000.0,397000.0,0.0,9000.0,0.0,103000.0,15000.0,0.0,27000.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931000.0,59000.0,42000.0,0.0,3485000.0,0.0,0.0,1.0,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,DENVER COUNTY 1,5796.0,0.70151828847481
0803360,06501600100000,08,08031,216,19740,DENVER COUNTY 1,Colorado,CO,03,2,18,1,1,PK,12,91822.0,91820.0,1421594000.0,116759000.0,30955000.0,16490000.0,3686000.0,0.0,1130000.0,1934000.0,6585000.0,36455000.0,0.0,9520000.0,160000.0,9844000.0,304032000.0,245604000.0,0.0,16705000.0,0.0,4138000.0,839000.0,9907000.0,745000.0,3341000.0,5672000.0,17081000.0,0.0,0.0,0.0,1000803000.0,-2.0,848459000.0,0.0,0.0,0.0,0.0,137000.0,3005000.0,33729000.0,0.0,5903000.0,17000.0,3106000.0,0.0,10057000.0,2405000.0,67000.0,9947000.0,0.0,13708000.0,70263000.0,0.0,1500887000.0,1091543000.0,538549000.0,538549000.0,2749000.0,0.0,514423000.0,68559000.0,113974000.0,13018000.0,117468000.0,89067000.0,26250000.0,86087000.0,0.0,38571000.0,38511000.0,60000.0,0.0,46693000.0,24905000.0,21788000.0,0.0,220768000.0,137424000.0,41829000.0,13332000.0,28183000.0,0.0,2719000.0,0.0,3503000.0,132912000.0,711152000.0,374393000.0,186138000.0,56556000.0,20168000.0,105689000.0,48947000.0,70103000.0,5474000.0,79418000.0,31365000.0,13831000.0,46044000.0,16699000.0,204240000.0,105422000.0,14542000.0,19506000.0,1352000.0,20951000.0,12284000.0,4088000.0,16380000.0,3779000.0,0.0,8625000.0,1718072000.0,211455000.0,145935000.0,1783592000.0,0.0,0.0,118000.0,0.0,311686000.0,19230000.0,10544000.0,18161000.0,1028794000.0,62691000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,DENVER COUNTY 1,5796.0,0.70151828847481
0800016,06506330100000,08,08125,N,N,YUMA 1,Colorado,CO,03,3,18,1,1,PK,12,831.0,831.0,10577000.0,458000.0,148000.0,0.0,25000.0,0.0,0.0,34000.0,11000.0,218000.0,0.0,0.0,0.0,22000.0,5220000.0,4412000.0,0.0,0.0,0.0,46000.0,0.0,48000.0,6000.0,129000.0,94000.0,485000.0,0.0,0.0,0.0,4899000.0,-2.0,4058000.0,0.0,0.0,0.0,0.0,251000.0,2000.0,19000.0,0.0,62000.0,0.0,366000.0,0.0,0.0,0.0,0.0,29000.0,0.0,22000.0,90000.0,0.0,10318000.0,8928000.0,5351000.0,5351000.0,0.0,0.0,3238000.0,234000.0,314000.0,306000.0,637000.0,1170000.0,313000.0,264000.0,0.0,339000.0,339000.0,0.0,0.0,0.0,0.0,0.0,0.0,895000.0,704000.0,0.0,94000.0,97000.0,0.0,77000.0,0.0,278000.0,140000.0,5137000.0,3509000.0,2570000.0,188000.0,175000.0,76000.0,172000.0,164000.0,156000.0,452000.0,260000.0,122000.0,159000.0,144000.0,1906000.0,1289000.0,61000.0,57000.0,42000.0,179000.0,96000.0,55000.0,53000.0,74000.0,0.0,27000.0,4190000.0,0.0,540000.0,3650000.0,0.0,0.0,1020000.0,0.0,6305000.0,389000.0,39000.0,49000.0,8479000.0,450000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,YUMA 1,47.0,0.744680851063829
0800017,06506330300000,08,08125,N,N,WRAY RD-2,Colorado,CO,03,3,18,1,1,PK,12,722.0,722.0,9770000.0,708000.0,117000.0,0.0,22000.0,0.0,0.0,0.0,7000.0,278000.0,0.0,0.0,0.0,284000.0,4414000.0,3958000.0,0.0,0.0,0.0,17000.0,0.0,29000.0,9000.0,0.0,121000.0,280000.0,0.0,0.0,0.0,4648000.0,-2.0,3645000.0,0.0,0.0,0.0,0.0,196000.0,4000.0,48000.0,0.0,102000.0,0.0,401000.0,0.0,0.0,6000.0,0.0,22000.0,0.0,109000.0,115000.0,0.0,8813000.0,7752000.0,4359000.0,4359000.0,4000.0,0.0,2920000.0,168000.0,340000.0,296000.0,393000.0,871000.0,370000.0,482000.0,0.0,473000.0,406000.0,67000.0,0.0,0.0,0.0,0.0,0.0,701000.0,42000.0,0.0,347000.0,312000.0,0.0,0.0,0.0,258000.0,98000.0,4136000.0,2633000.0,1889000.0,121000.0,94000.0,59000.0,119000.0,143000.0,174000.0,288000.0,244000.0,218000.0,198000.0,119000.0,1610000.0,1036000.0,47000.0,60000.0,62000.0,102000.0,110000.0,90000.0,43000.0,61000.0,0.0,85000.0,3560000.0,0.0,495000.0,3065000.0,0.0,0.0,1420000.0,0.0,4283000.0,267000.0,211000.0,1000.0,7264000.0,422000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,WRAY RD-2,39.0,0.923076923076923
0800018,06506330400000,08,08125,N,N,IDALIA RJ-3,Colorado,CO,03,3,18,1,1,PK,12,216.0,216.0,3458000.0,107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,0.0,0.0,0.0,16000.0,2248000.0,2099000.0,0.0,0.0,0.0,3000.0,0.0,23000.0,3000.0,0.0,34000.0,86000.0,0.0,0.0,0.0,1103000.0,-2.0,769000.0,0.0,0.0,0.0,0.0,65000.0,4000.0,0.0,0.0,37000.0,0.0,147000.0,0.0,0.0,8000.0,0.0,15000.0,0.0,11000.0,47000.0,0.0,3035000.0,2737000.0,1637000.0,1637000.0,0.0,0.0,954000.0,19000.0,5000.0,164000.0,145000.0,286000.0,199000.0,136000.0,0.0,146000.0,146000.0,0.0,0.0,0.0,0.0,0.0,0.0,111000.0,2000.0,0.0,10000.0,99000.0,0.0,3000.0,0.0,57000.0,127000.0,1438000.0,974000.0,636000.0,57000.0,97000.0,39000.0,15000.0,0.0,50000.0,105000.0,117000.0,84000.0,45000.0,47000.0,536000.0,362000.0,3000.0,0.0,29000.0,40000.0,44000.0,20000.0,15000.0,23000.0,0.0,34000.0,3171000.0,0.0,157000.0,3014000.0,0.0,0.0,299000.0,0.0,2495000.0,102000.0,25000.0,0.0,2677000.0,61000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,IDALIA RJ-3,10.0,1.0
0800019,06506330200000,08,08125,N,N,LIBERTY J-4,Colorado,CO,03,3,18,1,1,PK,12,72.0,72.0,1791000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,16000.0,688000.0,626000.0,0.0,0.0,0.0,1000.0,0.0,14000.0,0.0,0.0,15000.0,32000.0,0.0,0.0,0.0,1072000.0,-2.0,891000.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,20000.0,0.0,68000.0,0.0,0.0,2000.0,0.0,3000.0,0.0,43000.0,18000.0,0.0,1621000.0,1546000.0,886000.0,886000.0,0.0,0.0,600000.0,22000.0,37000.0,80000.0,109000.0,169000.0,91000.0,92000.0,0.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,13000.0,0.0,0.0,8000.0,0.0,11000.0,0.0,39000.0,4000.0,813000.0,546000.0,363000.0,67000.0,64000.0,0.0,9000.0,15000.0,37000.0,81000.0,36000.0,35000.0,31000.0,22000.0,304000.0,190000.0,2000.0,3000.0,12000.0,28000.0,31000.0,12000.0,13000.0,13000.0,0.0,3000.0,215000.0,0.0,105000.0,110000.0,0.0,0.0,115000.0,0.0,1476000.0,54000.0,7000.0,0.0,1474000.0,71000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,LIBERTY J-4,3.0,1.0
0800023,N,08,08041,N,17820,COLORADO SCHOOL FOR THE DEAF AND BLIND,Colorado,CO,03,3,18,1,0,PK,12,196.0,196.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,COLORADO SCHOOL FOR THE DEAF AND BLIND,13.0,0.0769230769230769
0800292,N,08,08045,233,24060,COLORADO RIVER BOCES,Colorado,CO,02,3,18,1,0,06,12,153.0,153.0,7709000.0,1846000.0,0.0,1840000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,3140000.0,0.0,0.0,1813000.0,0.0,0.0,108000.0,0.0,0.0,0.0,0.0,1219000.0,0.0,0.0,0.0,2723000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2409000.0,30000.0,0.0,0.0,0.0,0.0,88000.0,0.0,18000.0,0.0,0.0,0.0,0.0,134000.0,44000.0,0.0,7571000.0,3787000.0,1210000.0,1210000.0,0.0,0.0,2571000.0,274000.0,1398000.0,49000.0,217000.0,51000.0,110000.0,472000.0,0.0,6000.0,6000.0,0.0,0.0,15000.0,15000.0,0.0,0.0,110000.0,0.0,0.0,1000.0,109000.0,0.0,2000.0,0.0,3655000.0,2000.0,1711000.0,804000.0,367000.0,347000.0,0.0,45000.0,195000.0,291000.0,14000.0,164000.0,4000.0,42000.0,184000.0,0.0,607000.0,301000.0,66000.0,84000.0,4000.0,50000.0,1000.0,9000.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616000.0,16000.0,47000.0,0.0,2910000.0,876000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,COLORADO RIVER BOCES,61.0,0.721311475409836
0801920,06502102100000,08,08041,N,17820,ACADEMY 20,Colorado,CO,03,2,18,1,1,PK,12,25831.0,25831.0,280689000.0,11732000.0,1049000.0,3106000.0,249000.0,0.0,87000.0,115000.0,1301000.0,1935000.0,0.0,3148000.0,0.0,742000.0,139826000.0,130229000.0,0.0,3782000.0,0.0,143000.0,238000.0,1308000.0,81000.0,794000.0,1691000.0,1560000.0,0.0,0.0,0.0,129131000.0,-2.0,104079000.0,0.0,0.0,0.0,0.0,33000.0,505000.0,1625000.0,380000.0,3301000.0,121000.0,11730000.0,0.0,0.0,321000.0,223000.0,3845000.0,0.0,747000.0,2221000.0,0.0,314118000.0,231594000.0,137569000.0,137569000.0,498000.0,0.0,89199000.0,11870000.0,11614000.0,2367000.0,19736000.0,20898000.0,7397000.0,15317000.0,0.0,4826000.0,4823000.0,3000.0,0.0,93000.0,93000.0,0.0,0.0,66330000.0,54746000.0,2970000.0,3390000.0,5224000.0,0.0,1930000.0,0.0,537000.0,13136000.0,145315000.0,92899000.0,69170000.0,9897000.0,2271000.0,3766000.0,8220000.0,7338000.0,1390000.0,14611000.0,8874000.0,4660000.0,6642000.0,114000.0,42092000.0,26567000.0,2354000.0,2446000.0,290000.0,4103000.0,2740000.0,1643000.0,1771000.0,32000.0,0.0,4125000.0,255415000.0,8975000.0,14580000.0,249810000.0,0.0,0.0,89000.0,59370000.0,105648000.0,5241000.0,3761000.0,48000.0,225659000.0,5933000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,ACADEMY 20,2100.0,0.93047619047619
