LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
0900003,N,09,09003,278,25540,UNIFIED SCHOOL DISTRICT #1,Connecticut,CT,N,3,18,1,0,08,12,178.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNIFIED SCHOOL DISTRICT #1,,0.010256
0900004,N,09,09003,278,25540,UNIFIED SCHOOL DISTRICT #2,Connecticut,CT,N,3,18,1,0,07,12,137.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNIFIED SCHOOL DISTRICT #2,,0.285714
0900005,07500740100000,09,09013,278,25540,REGIONAL SCHOOL DISTRICT 19,Connecticut,CT,02,3,18,1,1,09,12,1198.0,1132.0,27089000.0,335000.0,51000.0,250000.0,24000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,4813000.0,0.0,0.0,406000.0,0.0,0.0,0.0,390000.0,0.0,717000.0,0.0,57000.0,0.0,3243000.0,0.0,21941000.0,-2.0,0.0,0.0,0.0,0.0,0.0,3696000.0,18216000.0,23000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26043000.0,24261000.0,15374000.0,15374000.0,1222000.0,0.0,8076000.0,1523000.0,249000.0,2049000.0,849000.0,1689000.0,1717000.0,0.0,0.0,811000.0,0.0,811000.0,0.0,112000.0,0.0,112000.0,0.0,285000.0,0.0,0.0,272000.0,13000.0,0.0,0.0,0.0,93000.0,70000.0,12899000.0,9371000.0,6660000.0,1081000.0,439000.0,58000.0,1007000.0,131000.0,738000.0,546000.0,632000.0,0.0,0.0,0.0,6385000.0,4711000.0,499000.0,88000.0,361000.0,286000.0,320000.0,0.0,0.0,0.0,120000.0,0.0,2280000.0,0.0,1040000.0,1240000.0,0.0,0.0,0.0,0.0,2566000.0,63000.0,129000.0,244000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,REGIONAL SCHOOL DISTRICT 19,,0.886986
0900007,N,09,09003,278,25540,JUMOKE ACADEMY DISTRICT,Connecticut,CT,03,1,18,1,0,PK,12,753.0,753.0,8618000.0,331000.0,273000.0,0.0,48000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,8283000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8283000.0,0.0,0.0,0.0,4000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9275000.0,8920000.0,4679000.0,4679000.0,0.0,0.0,4241000.0,1027000.0,131000.0,11000.0,1969000.0,974000.0,0.0,129000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000.0,0.0,0.0,129000.0,94000.0,0.0,0.0,0.0,0.0,132000.0,6320000.0,3939000.0,2393000.0,181000.0,0.0,63000.0,653000.0,0.0,0.0,1480000.0,248000.0,0.0,0.0,0.0,1160000.0,669000.0,101000.0,69000.0,0.0,241000.0,80000.0,0.0,0.0,0.0,0.0,0.0,2204000.0,0.0,394000.0,1810000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,202000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,JUMOKE ACADEMY DISTRICT,,
0900015,N,09,09001,408,14860,THE BRIDGE ACADEMY DISTRICT,Connecticut,CT,02,1,18,1,0,07,12,279.0,279.0,3393000.0,245000.0,123000.0,0.0,18000.0,0.0,0.0,0.0,10000.0,94000.0,0.0,0.0,0.0,0.0,3144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,68000.0,0.0,3069000.0,0.0,0.0,0.0,4000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,3000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046000.0,3756000.0,1795000.0,1795000.0,0.0,0.0,1811000.0,1118000.0,37000.0,56000.0,418000.0,163000.0,14000.0,5000.0,0.0,150000.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,201000.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,51000.0,2775000.0,1335000.0,954000.0,76000.0,0.0,0.0,1003000.0,0.0,0.0,353000.0,44000.0,0.0,0.0,40000.0,534000.0,376000.0,88000.0,0.0,0.0,30000.0,10000.0,0.0,0.0,30000.0,0.0,0.0,846000.0,0.0,79000.0,767000.0,0.0,0.0,0.0,0.0,0.0,1000.0,15000.0,36000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,THE BRIDGE ACADEMY DISTRICT,,0.909091
0900018,N,09,09005,408,45860,EXPLORATIONS DISTRICT,Connecticut,CT,02,1,18,1,0,09,12,96.0,96.0,1277000.0,265000.0,252000.0,0.0,3000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,1012000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012000.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769000.0,1732000.0,768000.0,768000.0,0.0,0.0,964000.0,284000.0,94000.0,40000.0,370000.0,134000.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,0.0,0.0,0.0,34000.0,0.0,0.0,0.0,0.0,3000.0,1235000.0,693000.0,454000.0,173000.0,0.0,0.0,197000.0,37000.0,40000.0,223000.0,45000.0,0.0,0.0,0.0,162000.0,70000.0,28000.0,4000.0,0.0,41000.0,17000.0,0.0,0.0,0.0,0.0,0.0,54000.0,0.0,6000.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,34000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,EXPLORATIONS DISTRICT,,0.818182
0900023,N,09,09001,408,14860,TRAILBLAZERS ACADEMY DISTRICT,Connecticut,CT,01,1,18,1,0,06,08,119.0,119.0,1458000.0,142000.0,60000.0,0.0,4000.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,1315000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,1309000.0,0.0,0.0,0.0,1000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4018000.0,4013000.0,1170000.0,1170000.0,0.0,0.0,2753000.0,413000.0,290000.0,597000.0,492000.0,952000.0,9000.0,0.0,0.0,90000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,1819000.0,955000.0,797000.0,110000.0,0.0,48000.0,323000.0,227000.0,0.0,290000.0,0.0,0.0,0.0,24000.0,466000.0,215000.0,89000.0,63000.0,0.0,80000.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,24000.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,TRAILBLAZERS ACADEMY DISTRICT,,
0900024,N,09,09009,408,35300,AMISTAD ACADEMY DISTRICT,Connecticut,CT,03,1,18,1,0,KG,12,1081.0,1081.0,13890000.0,1376000.0,570000.0,0.0,71000.0,0.0,0.0,49000.0,0.0,686000.0,0.0,0.0,0.0,0.0,12505000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,24000.0,850000.0,0.0,11627000.0,0.0,0.0,0.0,9000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,4000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14894000.0,14526000.0,8197000.0,8197000.0,0.0,0.0,5751000.0,1107000.0,331000.0,0.0,2268000.0,625000.0,198000.0,1222000.0,0.0,578000.0,578000.0,0.0,0.0,0.0,0.0,0.0,0.0,132000.0,0.0,0.0,72000.0,60000.0,0.0,0.0,0.0,0.0,236000.0,10397000.0,7245000.0,5876000.0,1073000.0,0.0,296000.0,720000.0,145000.0,0.0,1412000.0,0.0,9000.0,713000.0,153000.0,1663000.0,952000.0,143000.0,29000.0,0.0,280000.0,0.0,2000.0,141000.0,116000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196000.0,115000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,I,I,R,R,R,R,R,R,R,R,M,M,M,AMISTAD ACADEMY DISTRICT,,0.813953
0900030,07300700130100,09,09013,278,25540,ANDOVER SCHOOL DISTRICT,Connecticut,CT,01,3,18,1,1,PK,06,204.0,204.0,5252000.0,204000.0,34000.0,56000.0,4000.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,0.0,35000.0,2870000.0,1704000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,105000.0,0.0,666000.0,0.0,2178000.0,2121000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,56000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158000.0,5024000.0,3066000.0,3066000.0,0.0,0.0,1933000.0,180000.0,338000.0,169000.0,312000.0,631000.0,128000.0,175000.0,0.0,25000.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,40000.0,19000.0,2555000.0,1852000.0,1353000.0,156000.0,0.0,227000.0,55000.0,147000.0,107000.0,197000.0,124000.0,0.0,69000.0,0.0,1463000.0,1078000.0,28000.0,81000.0,51000.0,94000.0,96000.0,0.0,35000.0,0.0,0.0,0.0,375000.0,0.0,90000.0,285000.0,0.0,0.0,0.0,0.0,0.0,13000.0,127000.0,35000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,ANDOVER SCHOOL DISTRICT,,
0900060,07200500130100,09,09009,408,35300,ANSONIA SCHOOL DISTRICT,Connecticut,CT,03,3,18,1,1,PK,12,2283.0,2179.0,47410000.0,3262000.0,723000.0,705000.0,98000.0,0.0,48000.0,10000.0,270000.0,1408000.0,0.0,0.0,0.0,0.0,27916000.0,11730000.0,0.0,4495000.0,1972000.0,2000.0,0.0,0.0,55000.0,3288000.0,3000.0,1477000.0,0.0,4894000.0,0.0,16232000.0,15871000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,312000.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,0.0,46336000.0,39050000.0,24393000.0,24393000.0,1694000.0,0.0,12679000.0,454000.0,74000.0,593000.0,2865000.0,3060000.0,2302000.0,3331000.0,0.0,1978000.0,1904000.0,74000.0,0.0,189000.0,0.0,189000.0,0.0,1398000.0,1195000.0,0.0,107000.0,96000.0,0.0,0.0,0.0,3928000.0,77000.0,18751000.0,13429000.0,9001000.0,1646000.0,0.0,420000.0,264000.0,0.0,51000.0,1795000.0,930000.0,0.0,1810000.0,471000.0,9950000.0,7112000.0,143000.0,0.0,14000.0,966000.0,368000.0,0.0,865000.0,481000.0,0.0,0.0,3420000.0,0.0,2255000.0,1165000.0,0.0,0.0,0.0,0.0,0.0,35000.0,5000.0,53000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,I,R,R,R,R,R,R,R,R,M,M,M,ANSONIA SCHOOL DISTRICT,,0.837989
