LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
1100005,N,11,11001,548,47900,Cesar Chavez PCS for Public Policy,District of Columbia,DC,03,1,18,1,0,06,12,1188.0,1177.0,28819000.0,1776000.0,630000.0,256000.0,164000.0,0.0,0.0,16000.0,119000.0,539000.0,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27043000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,26727000.0,0.0,0.0,0.0,0.0,62000.0,0.0,0.0,0.0,0.0,127000.0,0.0,114000.0,13000.0,0.0,26111000.0,24006000.0,9563000.0,9563000.0,0.0,0.0,13851000.0,88000.0,3072000.0,1199000.0,1065000.0,2260000.0,1672000.0,4495000.0,0.0,592000.0,592000.0,0.0,0.0,0.0,0.0,0.0,0.0,305000.0,44000.0,0.0,145000.0,116000.0,0.0,0.0,0.0,0.0,1800000.0,12973000.0,6783000.0,4516000.0,1952000.0,0.0,316000.0,74000.0,2599000.0,0.0,901000.0,189000.0,894000.0,1532000.0,0.0,3073000.0,1849000.0,14000.0,473000.0,0.0,164000.0,35000.0,259000.0,279000.0,0.0,0.0,0.0,24190000.0,0.0,630000.0,23560000.0,0.0,0.0,3576000.0,605000.0,6347000.0,454000.0,301000.0,182000.0,19944000.0,1776000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Cesar Chavez PCS for Public Policy,139.0,0.8057553956834532
1100008,N,11,11001,548,47900,Friendship PCS,District of Columbia,DC,03,1,18,1,0,PK,12,4202.0,4171.0,103120000.0,7825000.0,2051000.0,814000.0,0.0,0.0,395000.0,0.0,1286000.0,3279000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95295000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,91843000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253000.0,0.0,193000.0,3006000.0,0.0,90619000.0,83518000.0,44262000.0,44262000.0,0.0,0.0,36147000.0,4674000.0,1531000.0,13137000.0,4350000.0,6541000.0,5914000.0,0.0,0.0,3109000.0,3109000.0,0.0,0.0,0.0,0.0,0.0,0.0,2120000.0,881000.0,0.0,422000.0,817000.0,0.0,0.0,0.0,0.0,4981000.0,50219000.0,30526000.0,24809000.0,3855000.0,0.0,905000.0,3455000.0,1229000.0,5868000.0,3619000.0,1229000.0,3164000.0,0.0,1129000.0,11546000.0,7710000.0,671000.0,248000.0,896000.0,730000.0,197000.0,917000.0,0.0,177000.0,0.0,573000.0,113465000.0,0.0,2690000.0,110775000.0,2690000.0,2760000.0,2760000.0,17950000.0,31464000.0,2029000.0,53000.0,387000.0,70635000.0,8223000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Friendship PCS,236.0,0.7754237288135594
1100013,N,11,11001,548,47900,IDEA PCS,District of Columbia,DC,02,1,18,1,0,09,12,315.0,306.0,6543000.0,630000.0,262000.0,41000.0,0.0,0.0,0.0,0.0,0.0,231000.0,0.0,96000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5913000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,5779000.0,0.0,0.0,0.0,0.0,30000.0,0.0,53000.0,42000.0,0.0,2000.0,0.0,7000.0,0.0,0.0,4841000.0,4528000.0,2383000.0,2383000.0,0.0,0.0,1944000.0,138000.0,187000.0,0.0,572000.0,351000.0,599000.0,97000.0,0.0,201000.0,201000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,310000.0,3445000.0,2102000.0,1513000.0,151000.0,0.0,0.0,91000.0,177000.0,0.0,537000.0,200000.0,237000.0,90000.0,12000.0,272000.0,159000.0,8000.0,10000.0,0.0,19000.0,0.0,69000.0,7000.0,1000.0,0.0,13000.0,7674000.0,1200000.0,845000.0,8029000.0,1680000.0,586000.0,1200000.0,0.0,0.0,151000.0,27000.0,3000.0,3696000.0,565000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,I,R,R,M,IDEA PCS,71.0,0.5489999999999999
1100014,N,11,11001,548,47900,Maya Angelou PCS,District of Columbia,DC,02,1,18,1,0,09,12,184.0,170.0,14888000.0,1135000.0,144000.0,72000.0,26000.0,8000.0,0.0,0.0,774000.0,63000.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13753000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,9913000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,30000.0,0.0,1606000.0,2202000.0,0.0,11617000.0,10415000.0,3801000.0,3801000.0,0.0,0.0,6505000.0,2157000.0,103000.0,564000.0,621000.0,1275000.0,259000.0,1526000.0,0.0,109000.0,109000.0,0.0,0.0,0.0,0.0,0.0,0.0,1012000.0,863000.0,0.0,60000.0,89000.0,0.0,0.0,0.0,0.0,190000.0,5433000.0,1874000.0,795000.0,560000.0,0.0,191000.0,1812000.0,87000.0,0.0,522000.0,43000.0,139000.0,956000.0,0.0,1226000.0,535000.0,345000.0,17000.0,0.0,99000.0,8000.0,40000.0,182000.0,0.0,0.0,2000.0,3755000.0,0.0,71000.0,3684000.0,69000.0,73000.0,0.0,0.0,1687000.0,326000.0,196000.0,74000.0,9090000.0,888000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Maya Angelou PCS,68.0,0.47100000000000003
1100019,N,11,11001,548,47900,Washington Latin PCS,District of Columbia,DC,03,1,18,1,0,05,12,701.0,698.0,15312000.0,277000.0,0.0,117000.0,30000.0,0.0,0.0,0.0,80000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15035000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,13758000.0,0.0,348000.0,47000.0,0.0,100000.0,0.0,0.0,0.0,0.0,243000.0,0.0,532000.0,7000.0,0.0,13166000.0,12330000.0,6800000.0,6800000.0,0.0,0.0,5394000.0,1090000.0,0.0,385000.0,1017000.0,858000.0,987000.0,1057000.0,0.0,136000.0,136000.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,5000.0,0.0,33000.0,9000.0,0.0,0.0,0.0,0.0,789000.0,7508000.0,4542000.0,3090000.0,618000.0,0.0,478000.0,919000.0,0.0,0.0,857000.0,105000.0,528000.0,557000.0,0.0,1869000.0,1263000.0,171000.0,0.0,0.0,159000.0,19000.0,153000.0,104000.0,0.0,0.0,105000.0,18289000.0,0.0,266000.0,18023000.0,0.0,0.0,1616000.0,0.0,9869000.0,232000.0,55000.0,41000.0,10646000.0,278000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Washington Latin PCS,79.0,0.873
1100022,N,11,11001,548,47900,SEED PCS of Washington DC,District of Columbia,DC,03,1,18,1,0,06,12,372.0,363.0,20274000.0,957000.0,211000.0,76000.0,46000.0,10000.0,0.0,0.0,329000.0,285000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19317000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,18870000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,186000.0,0.0,201000.0,59000.0,0.0,16269000.0,15812000.0,6773000.0,6773000.0,0.0,0.0,7914000.0,1510000.0,74000.0,0.0,1027000.0,1548000.0,565000.0,3190000.0,0.0,1125000.0,1125000.0,0.0,0.0,0.0,0.0,0.0,0.0,328000.0,87000.0,0.0,63000.0,178000.0,0.0,0.0,0.0,0.0,129000.0,8472000.0,4625000.0,252000.0,254000.0,0.0,0.0,984000.0,68000.0,0.0,666000.0,260000.0,289000.0,1580000.0,0.0,2106000.0,1394000.0,234000.0,6000.0,0.0,61000.0,66000.0,82000.0,263000.0,0.0,0.0,8000.0,3248000.0,3000000.0,3498000.0,2750000.0,0.0,0.0,0.0,0.0,7891000.0,364000.0,116000.0,63000.0,14163000.0,662000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,SEED PCS of Washington DC,25.0,1.0
1100026,N,11,11001,548,47900,Washington Mathematics Science Technology PCHS,District of Columbia,DC,02,1,18,1,0,09,12,234.0,228.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Washington Mathematics Science Technology PCHS,78.0,0.8079999999999999
1100030,09200100130100,11,11001,548,47900,District of Columbia Public Schools,District of Columbia,DC,03,3,18,1,1,PK,12,48205.0,47634.0,1507836000.0,136050000.0,29196000.0,10358000.0,5039000.0,4726000.0,1944000.0,1012000.0,19563000.0,25387000.0,0.0,38825000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371786000.0,1342983000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,998000.0,0.0,2420000.0,0.0,0.0,1454000.0,0.0,0.0,0.0,3553000.0,20378000.0,0.0,1547292000.0,1097091000.0,644264000.0,644264000.0,70021000.0,0.0,408547000.0,35689000.0,45581000.0,91963000.0,76166000.0,87794000.0,67848000.0,3506000.0,0.0,44280000.0,44280000.0,0.0,0.0,8269000.0,0.0,8269000.0,0.0,371911000.0,362504000.0,0.0,3250000.0,6157000.0,0.0,0.0,0.0,0.0,0.0,724055000.0,507644000.0,283626000.0,93679000.0,7068000.0,5172000.0,25467000.0,23644000.0,30556000.0,64019000.0,32554000.0,36295000.0,2843000.0,1032000.0,147275000.0,103779000.0,4094000.0,4135000.0,5994000.0,9977000.0,7993000.0,10518000.0,566000.0,218000.0,0.0,649000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26083000.0,3058000.0,7551000.0,840009000.0,134239000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,District of Columbia Public Schools,3311.0,0.6859999999999999
1100031,N,11,11001,548,47900,KIPP DC PCS,District of Columbia,DC,03,1,18,1,0,PK,12,6126.0,6116.0,154292000.0,14047000.0,4038000.0,997000.0,1217000.0,0.0,0.0,0.0,2424000.0,5371000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140245000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,134609000.0,0.0,0.0,0.0,0.0,197000.0,0.0,0.0,702000.0,0.0,2210000.0,0.0,2324000.0,203000.0,0.0,137967000.0,123893000.0,49954000.0,49954000.0,0.0,0.0,68638000.0,7829000.0,8334000.0,2700000.0,16138000.0,25015000.0,8622000.0,0.0,0.0,5301000.0,5301000.0,0.0,0.0,0.0,0.0,0.0,0.0,7498000.0,4340000.0,0.0,1874000.0,1284000.0,0.0,0.0,0.0,0.0,6576000.0,80000000.0,38092000.0,30447000.0,7645000.0,0.0,0.0,6028000.0,6435000.0,1057000.0,11994000.0,11662000.0,4612000.0,0.0,0.0,15418000.0,8337000.0,10000.0,1899000.0,162000.0,1837000.0,1837000.0,1337000.0,0.0,0.0,0.0,0.0,151400000.0,147234000.0,119989000.0,178646000.0,16965000.0,2604000.0,0.0,0.0,138338000.0,1977000.0,3863000.0,1618000.0,104000000.0,10012000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,I,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,M,KIPP DC PCS,114.0,0.851
1100034,N,11,11001,548,47900,Thurgood Marshall Academy PCS,District of Columbia,DC,02,1,18,1,0,09,12,387.0,383.0,10440000.0,932000.0,221000.0,146000.0,46000.0,0.0,0.0,0.0,452000.0,67000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9508000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,9006000.0,0.0,0.0,2000.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,25000.0,0.0,9485000.0,9387000.0,4809000.0,4809000.0,0.0,0.0,4428000.0,1115000.0,167000.0,0.0,0.0,866000.0,545000.0,1735000.0,0.0,150000.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,66000.0,0.0,29000.0,0.0,37000.0,0.0,0.0,0.0,0.0,32000.0,5879000.0,3732000.0,3310000.0,422000.0,0.0,0.0,717000.0,118000.0,0.0,0.0,0.0,291000.0,1021000.0,0.0,1295000.0,934000.0,133000.0,0.0,0.0,0.0,0.0,84000.0,143000.0,0.0,0.0,6000.0,892000.0,0.0,892000.0,0.0,112000.0,0.0,1000000.0,0.0,4311000.0,231000.0,212000.0,0.0,7640000.0,892000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,I,R,R,I,I,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Thurgood Marshall Academy PCS,79.0,0.785
