LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
1200002,N,12,12095,422,36740,FL VIRTUAL,Florida,FL,03,3,18,1,0,KG,12,6748.0,6748.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,FL VIRTUAL,,0.8140000000000001
1200030,10500100100000,12,12001,264,23540,ALACHUA,Florida,FL,03,2,18,1,1,PK,12,29764.0,29764.0,298811000.0,37405000.0,8090000.0,6387000.0,757000.0,0.0,308000.0,0.0,2824000.0,13825000.0,0.0,0.0,0.0,5214000.0,134865000.0,62369000.0,0.0,12085000.0,0.0,2038000.0,15327000.0,1791000.0,186000.0,2249000.0,2402000.0,36418000.0,0.0,0.0,0.0,126541000.0,-2.0,111423000.0,0.0,0.0,0.0,219000.0,32000.0,0.0,0.0,243000.0,1866000.0,10000.0,4976000.0,21000.0,4261000.0,288000.0,0.0,986000.0,0.0,0.0,2216000.0,0.0,292870000.0,273593000.0,155012000.0,155012000.0,0.0,0.0,102338000.0,15026000.0,18769000.0,3095000.0,15552000.0,31007000.0,11200000.0,7689000.0,0.0,16243000.0,16243000.0,0.0,0.0,4265000.0,3759000.0,506000.0,0.0,13520000.0,7515000.0,1786000.0,0.0,4219000.0,0.0,0.0,0.0,0.0,1492000.0,159713000.0,93896000.0,68833000.0,13770000.0,1428000.0,2162000.0,10254000.0,13137000.0,1011000.0,11621000.0,10449000.0,6185000.0,4681000.0,5571000.0,47560000.0,26301000.0,3129000.0,3686000.0,373000.0,3434000.0,3906000.0,2274000.0,1341000.0,2387000.0,0.0,4215000.0,57293000.0,0.0,4910000.0,52383000.0,0.0,0.0,6194000.0,0.0,60810000.0,8774000.0,6732000.0,763000.0,235208000.0,38386000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,ALACHUA,,0.88
1200060,10500200100000,12,12003,300,27260,BAKER,Florida,FL,03,3,18,1,1,PK,12,5044.0,5044.0,46815000.0,5131000.0,1118000.0,1103000.0,144000.0,0.0,99000.0,0.0,482000.0,2151000.0,0.0,0.0,0.0,34000.0,32443000.0,18203000.0,0.0,4028000.0,0.0,60000.0,435000.0,1570000.0,33000.0,278000.0,1065000.0,6771000.0,0.0,0.0,0.0,9241000.0,-2.0,6230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000.0,0.0,1254000.0,12000.0,210000.0,10000.0,18000.0,81000.0,0.0,19000.0,1301000.0,0.0,44779000.0,43200000.0,24014000.0,24014000.0,0.0,0.0,16612000.0,2206000.0,2270000.0,790000.0,2225000.0,4424000.0,2644000.0,2053000.0,0.0,2574000.0,2574000.0,0.0,0.0,405000.0,181000.0,224000.0,0.0,1132000.0,405000.0,16000.0,0.0,711000.0,0.0,0.0,0.0,0.0,42000.0,26406000.0,15834000.0,11881000.0,1301000.0,947000.0,30000.0,1654000.0,1558000.0,321000.0,1729000.0,1761000.0,1570000.0,874000.0,869000.0,7579000.0,4393000.0,463000.0,474000.0,158000.0,463000.0,559000.0,495000.0,245000.0,280000.0,0.0,330000.0,4590000.0,0.0,467000.0,4123000.0,0.0,0.0,2304000.0,0.0,10621000.0,1128000.0,857000.0,219000.0,38115000.0,5085000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,BAKER,,0.755
1200090,10500300100000,12,12005,N,37460,BAY,Florida,FL,03,2,18,1,1,PK,12,28076.0,28076.0,290262000.0,27323000.0,7897000.0,6506000.0,581000.0,0.0,485000.0,0.0,2327000.0,7436000.0,0.0,380000.0,0.0,1711000.0,123618000.0,56353000.0,0.0,20881000.0,0.0,1580000.0,1226000.0,1570000.0,116000.0,2557000.0,2192000.0,37143000.0,0.0,0.0,0.0,139321000.0,-2.0,102369000.0,21101000.0,0.0,0.0,0.0,0.0,0.0,0.0,303000.0,1361000.0,3000.0,5998000.0,1132000.0,2213000.0,24000.0,0.0,786000.0,0.0,2660000.0,1371000.0,0.0,282729000.0,243981000.0,161177000.0,161177000.0,0.0,0.0,73765000.0,9421000.0,11279000.0,2183000.0,14401000.0,21321000.0,8542000.0,6618000.0,0.0,9039000.0,9039000.0,0.0,0.0,5709000.0,3326000.0,2383000.0,0.0,30526000.0,21069000.0,1156000.0,0.0,8301000.0,0.0,0.0,0.0,0.0,2513000.0,129157000.0,86719000.0,56395000.0,18103000.0,1774000.0,1133000.0,6796000.0,7339000.0,712000.0,10995000.0,5559000.0,3887000.0,4188000.0,331000.0,40573000.0,25382000.0,2071000.0,2130000.0,325000.0,3164000.0,3052000.0,2230000.0,1276000.0,118000.0,0.0,2372000.0,90953000.0,0.0,6005000.0,84948000.0,0.0,0.0,0.0,0.0,89435000.0,7819000.0,4346000.0,858000.0,218991000.0,24990000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,BAY,,0.8109999999999999
1200120,10500400100000,12,12007,N,N,BRADFORD,Florida,FL,03,3,18,1,1,PK,12,3214.0,3214.0,36175000.0,4911000.0,1205000.0,1002000.0,170000.0,0.0,96000.0,0.0,595000.0,1497000.0,0.0,0.0,0.0,346000.0,19875000.0,9141000.0,0.0,4536000.0,0.0,0.0,576000.0,367000.0,30000.0,233000.0,576000.0,4416000.0,0.0,0.0,0.0,11389000.0,-2.0,5656000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,0.0,3998000.0,241000.0,0.0,9000.0,0.0,58000.0,0.0,0.0,1336000.0,0.0,37472000.0,34466000.0,20886000.0,20886000.0,0.0,0.0,11931000.0,956000.0,1938000.0,762000.0,1814000.0,3659000.0,1676000.0,1126000.0,0.0,1649000.0,1649000.0,0.0,0.0,1357000.0,177000.0,1180000.0,0.0,1641000.0,731000.0,114000.0,0.0,796000.0,0.0,0.0,0.0,0.0,8000.0,18677000.0,11329000.0,7210000.0,1344000.0,494000.0,0.0,746000.0,1031000.0,403000.0,1463000.0,879000.0,960000.0,593000.0,638000.0,5219000.0,3115000.0,198000.0,247000.0,181000.0,345000.0,292000.0,294000.0,152000.0,223000.0,0.0,396000.0,564000.0,673000.0,578000.0,659000.0,0.0,0.0,0.0,0.0,8043000.0,1114000.0,406000.0,169000.0,30004000.0,4460000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,BRADFORD,,0.89
1200150,10500500100000,12,12009,N,37340,BREVARD,Florida,FL,03,2,18,1,1,PK,12,73524.0,73524.0,758937000.0,75683000.0,19056000.0,19062000.0,1608000.0,0.0,711000.0,0.0,4718000.0,22949000.0,0.0,478000.0,0.0,7101000.0,344136000.0,155101000.0,0.0,50196000.0,0.0,4782000.0,21966000.0,5591000.0,347000.0,5697000.0,6393000.0,94063000.0,0.0,0.0,0.0,339118000.0,-2.0,246937000.0,44917000.0,0.0,0.0,0.0,24000.0,0.0,103000.0,322000.0,7870000.0,34000.0,16353000.0,109000.0,0.0,396000.0,0.0,3186000.0,0.0,2000.0,18865000.0,0.0,748931000.0,649992000.0,406844000.0,406844000.0,0.0,0.0,211849000.0,25514000.0,51745000.0,4461000.0,39265000.0,58587000.0,18264000.0,14013000.0,0.0,31299000.0,31299000.0,0.0,0.0,2899000.0,1301000.0,1598000.0,0.0,77004000.0,50348000.0,5569000.0,0.0,21087000.0,0.0,0.0,0.0,0.0,19036000.0,382392000.0,245869000.0,178590000.0,40366000.0,5947000.0,1201000.0,16475000.0,35028000.0,1100000.0,29678000.0,23312000.0,10502000.0,8583000.0,9740000.0,109278000.0,67724000.0,4465000.0,9332000.0,488000.0,9201000.0,8194000.0,3886000.0,2398000.0,3088000.0,0.0,8357000.0,471134000.0,0.0,20364000.0,450770000.0,0.0,0.0,29975000.0,106684000.0,106398000.0,14279000.0,5942000.0,3699000.0,570863000.0,79128000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,BREVARD,,0.8809999999999999
1200180,10500600100000,12,12011,370,33100,BROWARD,Florida,FL,03,2,18,1,1,PK,12,271956.0,271956.0,2791010000.0,315982000.0,79342000.0,59650000.0,5444000.0,0.0,3047000.0,0.0,34060000.0,89511000.0,0.0,0.0,0.0,44928000.0,1071380000.0,461048000.0,0.0,116413000.0,0.0,53904000.0,38623000.0,17596000.0,1240000.0,24719000.0,15964000.0,341873000.0,0.0,0.0,0.0,1403648000.0,-2.0,1192880000.0,0.0,0.0,0.0,0.0,664000.0,0.0,0.0,714000.0,12076000.0,199000.0,83092000.0,9063000.0,16989000.0,1868000.0,12450000.0,10272000.0,0.0,15000.0,63366000.0,0.0,2882652000.0,2568229000.0,1609034000.0,1609034000.0,0.0,0.0,851537000.0,139397000.0,126875000.0,20414000.0,142163000.0,246452000.0,92782000.0,83454000.0,0.0,107658000.0,107658000.0,0.0,0.0,85986000.0,30123000.0,55598000.0,265000.0,148835000.0,79804000.0,9694000.0,0.0,59337000.0,0.0,0.0,0.0,0.0,79602000.0,1396276000.0,864301000.0,447807000.0,205577000.0,15934000.0,60527000.0,94673000.0,81845000.0,7287000.0,110096000.0,72050000.0,56021000.0,28870000.0,28986000.0,424087000.0,255243000.0,29207000.0,23714000.0,2008000.0,31231000.0,26111000.0,21694000.0,9293000.0,15479000.0,0.0,20509000.0,1713019000.0,0.0,78821000.0,1634198000.0,0.0,0.0,114701000.0,37881000.0,611578000.0,65982000.0,30720000.0,3173000.0,2249250000.0,318978000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,BROWARD,,0.843
1200210,10500700100000,12,12013,N,N,CALHOUN,Florida,FL,03,3,18,1,1,PK,12,2237.0,2237.0,22971000.0,2963000.0,680000.0,567000.0,74000.0,0.0,60000.0,0.0,384000.0,1198000.0,0.0,0.0,0.0,0.0,15638000.0,8180000.0,0.0,3581000.0,0.0,29000.0,148000.0,406000.0,20000.0,129000.0,397000.0,2748000.0,0.0,0.0,0.0,4370000.0,-2.0,2798000.0,483000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,1000.0,870000.0,1000.0,0.0,0.0,0.0,36000.0,0.0,0.0,104000.0,0.0,23056000.0,21945000.0,12403000.0,12403000.0,0.0,0.0,8140000.0,769000.0,1861000.0,779000.0,1292000.0,1848000.0,1169000.0,422000.0,0.0,1402000.0,1402000.0,0.0,0.0,175000.0,12000.0,163000.0,0.0,936000.0,73000.0,22000.0,0.0,841000.0,0.0,0.0,0.0,0.0,0.0,12567000.0,7551000.0,5161000.0,1405000.0,257000.0,0.0,441000.0,1339000.0,315000.0,975000.0,558000.0,534000.0,292000.0,445000.0,3954000.0,2206000.0,123000.0,370000.0,218000.0,251000.0,214000.0,243000.0,78000.0,219000.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5139000.0,712000.0,446000.0,25000.0,19096000.0,2850000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CALHOUN,,0.8690000000000001
1200240,10500800100000,12,12015,412,39460,CHARLOTTE,Florida,FL,03,2,18,1,1,PK,12,15901.0,15901.0,177676000.0,21942000.0,3597000.0,3406000.0,579000.0,0.0,178000.0,0.0,1326000.0,7486000.0,0.0,0.0,0.0,5370000.0,34321000.0,8249000.0,0.0,3942000.0,0.0,256000.0,500000.0,491000.0,107000.0,954000.0,568000.0,19254000.0,0.0,0.0,0.0,121413000.0,-2.0,107758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239000.0,1189000.0,0.0,6899000.0,687000.0,967000.0,147000.0,0.0,1201000.0,0.0,583000.0,1743000.0,0.0,167369000.0,152515000.0,85719000.0,85719000.0,0.0,0.0,57710000.0,8066000.0,10761000.0,1575000.0,9552000.0,17169000.0,6104000.0,4483000.0,0.0,9086000.0,9086000.0,0.0,0.0,2256000.0,188000.0,2068000.0,0.0,8999000.0,4731000.0,0.0,0.0,4268000.0,0.0,0.0,0.0,0.0,3599000.0,88480000.0,52679000.0,32113000.0,17509000.0,1173000.0,817000.0,5300000.0,6925000.0,479000.0,7218000.0,5695000.0,3343000.0,2857000.0,2596000.0,28618000.0,16413000.0,1654000.0,1898000.0,271000.0,2185000.0,2374000.0,1377000.0,868000.0,1153000.0,0.0,685000.0,65690000.0,0.0,511000.0,65179000.0,0.0,0.0,31604000.0,0.0,44157000.0,5014000.0,2955000.0,1417000.0,132463000.0,20052000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CHARLOTTE,,0.8759999999999999
1200270,10500900100000,12,12017,N,26140,CITRUS,Florida,FL,03,2,18,1,1,PK,12,15542.0,15542.0,153494000.0,18350000.0,5265000.0,4340000.0,429000.0,0.0,331000.0,0.0,1042000.0,5960000.0,0.0,0.0,0.0,983000.0,64563000.0,30017000.0,0.0,8761000.0,0.0,365000.0,2038000.0,1271000.0,82000.0,983000.0,2002000.0,19044000.0,0.0,0.0,0.0,70581000.0,-2.0,59861000.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,78000.0,1072000.0,50000.0,5969000.0,1016000.0,0.0,246000.0,28000.0,542000.0,0.0,186000.0,1488000.0,0.0,152697000.0,142438000.0,82821000.0,82821000.0,0.0,0.0,52336000.0,6012000.0,9042000.0,1545000.0,9035000.0,12689000.0,8367000.0,5646000.0,0.0,7281000.0,7281000.0,0.0,0.0,2969000.0,1061000.0,1891000.0,17000.0,6785000.0,2107000.0,106000.0,0.0,4572000.0,0.0,0.0,0.0,0.0,505000.0,88937000.0,54462000.0,37505000.0,14509000.0,1369000.0,369000.0,4595000.0,6626000.0,472000.0,7078000.0,4540000.0,4371000.0,2954000.0,2628000.0,24341000.0,14416000.0,1248000.0,1711000.0,207000.0,1857000.0,1396000.0,1420000.0,808000.0,934000.0,0.0,1180000.0,35570000.0,0.0,442000.0,35128000.0,0.0,0.0,7288000.0,0.0,67319000.0,3732000.0,2776000.0,47000.0,124851000.0,17588000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CITRUS,,0.841
