LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
1600001,13500930100000,16,16017,N,41760,WEST BONNER COUNTY,Idaho,ID,03,3,18,1,1,PK,12,1090.0,1090.0,12271000.0,1878000.0,527000.0,294000.0,22000.0,85000.0,21000.0,0.0,447000.0,432000.0,0.0,0.0,0.0,50000.0,6962000.0,5211000.0,671000.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,403000.0,571000.0,0.0,21000.0,0.0,3431000.0,-2.0,3203000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,182000.0,0.0,11814000.0,11576000.0,6086000.0,6086000.0,0.0,0.0,4954000.0,925000.0,844000.0,215000.0,642000.0,1473000.0,549000.0,306000.0,0.0,536000.0,536000.0,0.0,0.0,2000.0,2000.0,0.0,0.0,236000.0,0.0,0.0,0.0,236000.0,0.0,0.0,0.0,0.0,0.0,6643000.0,4252000.0,3081000.0,728000.0,159000.0,284000.0,419000.0,428000.0,108000.0,470000.0,396000.0,246000.0,141000.0,184000.0,2490000.0,1531000.0,150000.0,135000.0,69000.0,172000.0,161000.0,141000.0,45000.0,86000.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,38000.0,2183000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,WEST BONNER COUNTY,79,0.684
1600002,13500930200000,16,16017,N,41760,LAKE PEND OREILLE,Idaho,ID,03,3,18,1,1,PK,12,3655.0,3655.0,34868000.0,2917000.0,844000.0,787000.0,140000.0,0.0,56000.0,4000.0,407000.0,679000.0,0.0,0.0,0.0,0.0,21906000.0,17365000.0,2137000.0,177000.0,0.0,0.0,0.0,160000.0,0.0,0.0,1312000.0,732000.0,0.0,23000.0,0.0,10045000.0,-2.0,8648000.0,0.0,0.0,0.0,0.0,5000.0,0.0,97000.0,46000.0,231000.0,0.0,0.0,0.0,0.0,20000.0,4000.0,81000.0,0.0,0.0,913000.0,0.0,33946000.0,33080000.0,18463000.0,18463000.0,0.0,0.0,13468000.0,2470000.0,1592000.0,560000.0,2264000.0,3117000.0,2046000.0,1419000.0,0.0,1149000.0,1149000.0,0.0,0.0,8000.0,8000.0,0.0,0.0,854000.0,0.0,0.0,72000.0,782000.0,0.0,0.0,0.0,0.0,4000.0,20143000.0,12554000.0,9508000.0,1502000.0,734000.0,810000.0,1569000.0,578000.0,350000.0,1651000.0,1276000.0,972000.0,722000.0,472000.0,7645000.0,4482000.0,594000.0,231000.0,95000.0,588000.0,593000.0,571000.0,242000.0,249000.0,0.0,0.0,0.0,0.0,47000.0,0.0,102000.0,0.0,0.0,416000.0,5967000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,LAKE PEND OREILLE,286,0.878
1600003,N,16,16027,147,14260,VICTORY,Idaho,ID,03,1,18,1,0,PK,12,403.0,403.0,3357000.0,238000.0,65000.0,61000.0,11000.0,0.0,0.0,0.0,9000.0,58000.0,0.0,0.0,0.0,34000.0,2981000.0,2310000.0,226000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000.0,357000.0,0.0,0.0,0.0,138000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,0.0,53000.0,0.0,0.0,2873000.0,2507000.0,1590000.0,1590000.0,0.0,0.0,806000.0,38000.0,116000.0,233000.0,0.0,281000.0,138000.0,0.0,0.0,111000.0,111000.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,18000.0,57000.0,0.0,0.0,0.0,0.0,291000.0,1390000.0,1147000.0,1081000.0,46000.0,0.0,21000.0,20000.0,34000.0,142000.0,0.0,8000.0,0.0,0.0,38000.0,381000.0,326000.0,7000.0,3000.0,37000.0,0.0,1000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685000.0,0.0,1953000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,VICTORY,26,1.0
1600004,N,16,16001,147,14260,IDAHO VIRTUAL ACADEMY,Idaho,ID,03,1,18,1,0,KG,12,1819.0,1819.0,12927000.0,1103000.0,662000.0,364000.0,77000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11582000.0,8909000.0,583000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,1107000.0,944000.0,0.0,2000.0,0.0,242000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,0.0,8000.0,0.0,0.0,186000.0,0.0,12938000.0,12820000.0,9984000.0,9984000.0,0.0,0.0,2836000.0,242000.0,127000.0,934000.0,43000.0,166000.0,1140000.0,184000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118000.0,0.0,0.0,0.0,118000.0,0.0,0.0,0.0,0.0,0.0,3920000.0,3116000.0,2201000.0,640000.0,0.0,274000.0,175000.0,65000.0,564000.0,1000.0,0.0,0.0,0.0,0.0,1426000.0,1126000.0,60000.0,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,IDAHO VIRTUAL ACADEMY,296,0.503
1600005,N,16,16039,147,34300,IDAHO VIRTUAL HIGH,Idaho,ID,03,1,18,1,0,KG,12,372.0,372.0,4028000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3987000.0,3987000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,0.0,0.0,4000.0,0.0,2299000.0,2276000.0,1847000.0,1847000.0,0.0,0.0,429000.0,0.0,0.0,0.0,404000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,1441000.0,1218000.0,397000.0,0.0,0.0,821000.0,0.0,0.0,0.0,223000.0,0.0,0.0,0.0,0.0,372000.0,292000.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,IDAHO VIRTUAL HIGH,201,0.249
1600007,N,16,16001,147,14260,COMPASS,Idaho,ID,03,1,18,1,0,KG,12,917.0,917.0,6412000.0,313000.0,66000.0,108000.0,14000.0,0.0,0.0,0.0,24000.0,101000.0,0.0,0.0,0.0,0.0,5716000.0,4144000.0,542000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,285000.0,728000.0,0.0,7000.0,0.0,383000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,151000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,154000.0,53000.0,0.0,6211000.0,5736000.0,3274000.0,3274000.0,0.0,0.0,2190000.0,142000.0,236000.0,615000.0,0.0,843000.0,354000.0,0.0,0.0,272000.0,272000.0,0.0,0.0,0.0,0.0,0.0,0.0,137000.0,0.0,0.0,61000.0,76000.0,0.0,0.0,0.0,0.0,338000.0,3260000.0,2462000.0,2259000.0,184000.0,0.0,19000.0,108000.0,143000.0,405000.0,0.0,49000.0,0.0,0.0,92000.0,953000.0,720000.0,31000.0,29000.0,121000.0,0.0,14000.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643000.0,387000.0,1224000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,COMPASS,21,1.0
1600009,13502930100000,16,16057,446,34140,TROY,Idaho,ID,03,3,18,1,1,PK,12,261.0,261.0,3729000.0,211000.0,34000.0,66000.0,8000.0,0.0,3000.0,0.0,58000.0,42000.0,0.0,0.0,0.0,0.0,2213000.0,1653000.0,218000.0,0.0,0.0,0.0,0.0,46000.0,0.0,0.0,76000.0,220000.0,0.0,0.0,0.0,1305000.0,-2.0,1209000.0,0.0,0.0,0.0,0.0,0.0,10000.0,2000.0,0.0,43000.0,0.0,0.0,0.0,0.0,0.0,4000.0,17000.0,0.0,12000.0,8000.0,0.0,3486000.0,3152000.0,1699000.0,1699000.0,0.0,0.0,1322000.0,232000.0,63000.0,218000.0,260000.0,342000.0,136000.0,71000.0,0.0,131000.0,131000.0,0.0,0.0,0.0,0.0,0.0,0.0,307000.0,7000.0,0.0,42000.0,258000.0,0.0,0.0,0.0,0.0,27000.0,1840000.0,1137000.0,877000.0,88000.0,95000.0,77000.0,119000.0,18000.0,116000.0,198000.0,83000.0,69000.0,52000.0,49000.0,655000.0,416000.0,47000.0,11000.0,41000.0,55000.0,33000.0,15000.0,19000.0,20000.0,0.0,0.0,800000.0,0.0,150000.0,650000.0,0.0,0.0,221000.0,149000.0,1689000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,TROY,30,0.9329999999999999
1600010,13502930200000,16,16057,446,34140,WHITEPINE JT,Idaho,ID,03,3,18,1,1,PK,12,231.0,231.0,3697000.0,231000.0,43000.0,60000.0,11000.0,0.0,0.0,0.0,35000.0,82000.0,0.0,0.0,0.0,0.0,2259000.0,490000.0,1383000.0,6000.0,0.0,0.0,0.0,15000.0,0.0,0.0,160000.0,205000.0,0.0,0.0,0.0,1207000.0,-2.0,1026000.0,0.0,0.0,0.0,0.0,15000.0,0.0,2000.0,56000.0,31000.0,0.0,0.0,0.0,0.0,0.0,1000.0,21000.0,0.0,0.0,55000.0,0.0,3200000.0,3142000.0,1772000.0,1772000.0,0.0,0.0,1241000.0,149000.0,112000.0,77000.0,272000.0,262000.0,236000.0,133000.0,0.0,129000.0,129000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,1909000.0,1233000.0,1018000.0,143000.0,0.0,71000.0,81000.0,39000.0,46000.0,171000.0,91000.0,129000.0,70000.0,50000.0,700000.0,448000.0,24000.0,12000.0,13000.0,73000.0,28000.0,53000.0,29000.0,19000.0,0.0,0.0,810000.0,0.0,125000.0,685000.0,0.0,0.0,247000.0,255000.0,1900000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,WHITEPINE JT,20,0.9
1600011,N,16,16001,147,14260,INSPIRE VIRTUAL,Idaho,ID,03,1,18,1,0,PK,12,1007.0,1007.0,5862000.0,386000.0,202000.0,147000.0,31000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,5473000.0,4299000.0,278000.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,423000.0,438000.0,0.0,0.0,0.0,3000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,1000.0,0.0,0.0,5853000.0,5853000.0,4135000.0,4135000.0,0.0,0.0,1718000.0,367000.0,151000.0,1045000.0,0.0,154000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940000.0,1501000.0,1226000.0,276000.0,0.0,0.0,27000.0,0.0,412000.0,0.0,0.0,0.0,0.0,0.0,779000.0,610000.0,15000.0,0.0,154000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,INSPIRE VIRTUAL,156,0.41
1600012,N,16,16027,147,14260,LIBERTY,Idaho,ID,03,1,18,1,0,PK,12,417.0,417.0,3679000.0,316000.0,65000.0,64000.0,9000.0,0.0,0.0,0.0,21000.0,124000.0,0.0,0.0,0.0,33000.0,3143000.0,2370000.0,257000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148000.0,368000.0,0.0,0.0,0.0,220000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,113000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,77000.0,0.0,3036000.0,2753000.0,1752000.0,1752000.0,0.0,0.0,750000.0,40000.0,91000.0,147000.0,0.0,252000.0,220000.0,0.0,0.0,251000.0,251000.0,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,0.0,0.0,12000.0,60000.0,0.0,0.0,0.0,0.0,211000.0,1581000.0,1286000.0,1208000.0,51000.0,0.0,27000.0,33000.0,49000.0,88000.0,0.0,33000.0,0.0,0.0,92000.0,403000.0,353000.0,3000.0,4000.0,13000.0,0.0,0.0,0.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389000.0,0.0,1979000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,M,M,R,R,R,R,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,LIBERTY,27,0.963
