LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
2400027,N,24,24510,548,12580,SEED,Maryland,MD,03,3,18,1,0,06,12,400.0,400.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SEED,34,0.8824
2400030,21100100130100,24,24001,N,19060,Allegany,Maryland,MD,03,3,18,1,1,PK,12,8629.0,8629.0,159420000.0,11510000.0,2821000.0,2414000.0,398000.0,0.0,135000.0,0.0,2252000.0,2884000.0,0.0,299000.0,0.0,307000.0,105195000.0,41572000.0,0.0,7167000.0,21569000.0,0.0,0.0,0.0,149000.0,17451000.0,4654000.0,5647000.0,0.0,6986000.0,0.0,42715000.0,39998000.0,-2.0,-2.0,-2.0,-2.0,-2.0,11000.0,0.0,0.0,0.0,1061000.0,0.0,0.0,0.0,0.0,0.0,14000.0,32000.0,0.0,0.0,1599000.0,0.0,157625000.0,121347000.0,78657000.0,78657000.0,0.0,0.0,37992000.0,5194000.0,4827000.0,830000.0,7872000.0,11153000.0,6105000.0,2011000.0,0.0,4698000.0,4698000.0,0.0,0.0,574000.0,574000.0,0.0,0.0,31143000.0,29089000.0,0.0,1539000.0,515000.0,0.0,0.0,0.0,4062000.0,499000.0,98286000.0,48150000.0,1450000.0,1557000.0,10000.0,271000.0,2793000.0,3032000.0,346000.0,5199000.0,4987000.0,975000.0,1182000.0,1958000.0,32130000.0,23060000.0,1330000.0,1393000.0,131000.0,2477000.0,1953000.0,373000.0,448000.0,964000.0,0.0,203000.0,14456000.0,0.0,1010000.0,13447000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109533000.0,7313000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Allegany,687,0.9039
2400060,21100200230100,24,24003,548,12580,Anne Arundel,Maryland,MD,03,2,18,1,1,PK,12,82777.0,82777.0,1323652000.0,58771000.0,12011000.0,18222000.0,1704000.0,0.0,560000.0,572000.0,329000.0,17173000.0,0.0,2715000.0,0.0,5485000.0,447462000.0,222847000.0,0.0,27394000.0,67091000.0,12734000.0,0.0,0.0,1250000.0,29606000.0,23828000.0,803000.0,0.0,61909000.0,0.0,817419000.0,798090000.0,-2.0,-2.0,-2.0,-2.0,-2.0,784000.0,0.0,507000.0,0.0,11231000.0,0.0,0.0,0.0,0.0,0.0,91000.0,1857000.0,0.0,0.0,4859000.0,0.0,1389784000.0,1147774000.0,731926000.0,731926000.0,0.0,0.0,385818000.0,46460000.0,56581000.0,8639000.0,81465000.0,99510000.0,58595000.0,34568000.0,0.0,30030000.0,30030000.0,0.0,0.0,562000.0,562000.0,0.0,0.0,186661000.0,177796000.0,0.0,5985000.0,2880000.0,0.0,0.0,0.0,24501000.0,30286000.0,820647000.0,447081000.0,302475000.0,67054000.0,15902000.0,22659000.0,31188000.0,31423000.0,3170000.0,54980000.0,37404000.0,5291000.0,22006000.0,8645000.0,313527000.0,230060000.0,14364000.0,14195000.0,1686000.0,25315000.0,13095000.0,1852000.0,7128000.0,5832000.0,0.0,5696000.0,632848000.0,77967000.0,47681000.0,663134000.0,0.0,0.0,0.0,0.0,0.0,18505000.0,0.0,0.0,1076508000.0,33858000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Anne Arundel,5757,0.892
2400090,21200400130100,24,24510,548,12580,Baltimore City,Maryland,MD,03,2,18,1,1,PK,12,80591.0,80591.0,1536343000.0,154968000.0,56752000.0,23245000.0,10374000.0,0.0,1633000.0,563000.0,3668000.0,52012000.0,0.0,3148000.0,0.0,3573000.0,939957000.0,386368000.0,0.0,56854000.0,298605000.0,22118000.0,0.0,0.0,807000.0,20903000.0,19432000.0,69827000.0,0.0,65043000.0,0.0,441418000.0,286370000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,553000.0,0.0,163000.0,0.0,0.0,0.0,0.0,0.0,0.0,4483000.0,0.0,0.0,149849000.0,0.0,1513832000.0,1272795000.0,795529000.0,795529000.0,0.0,0.0,423659000.0,51384000.0,58368000.0,16293000.0,88172000.0,105690000.0,49310000.0,54442000.0,0.0,53607000.0,53607000.0,0.0,0.0,0.0,0.0,0.0,0.0,203889000.0,199414000.0,0.0,422000.0,4053000.0,0.0,0.0,0.0,32896000.0,4252000.0,843615000.0,438756000.0,251086000.0,67541000.0,10390000.0,13396000.0,35128000.0,30571000.0,7338000.0,58474000.0,26665000.0,4227000.0,24384000.0,17996000.0,325972000.0,227679000.0,15878000.0,14404000.0,3546000.0,26808000.0,15729000.0,2267000.0,9950000.0,9711000.0,0.0,549000.0,108720000.0,18857000.0,11735000.0,115842000.0,0.0,0.0,0.0,0.0,0.0,20758000.0,0.0,0.0,1145673000.0,94976000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Baltimore City,5195,0.7218000000000001
2400120,21100300330100,24,24005,548,12580,Baltimore County,Maryland,MD,03,3,18,1,1,PK,12,113282.0,113282.0,1942379000.0,104476000.0,26034000.0,26062000.0,3370000.0,0.0,925000.0,579000.0,11261000.0,31710000.0,0.0,0.0,0.0,4535000.0,808156000.0,395154000.0,0.0,56437000.0,146943000.0,19213000.0,0.0,0.0,1296000.0,62333000.0,31451000.0,9695000.0,0.0,85634000.0,0.0,1029747000.0,1009053000.0,-2.0,-2.0,-2.0,-2.0,-2.0,3042000.0,0.0,201000.0,0.0,13022000.0,0.0,0.0,0.0,0.0,0.0,363000.0,1288000.0,0.0,0.0,2778000.0,0.0,1910408000.0,1599821000.0,988934000.0,988934000.0,0.0,0.0,563161000.0,85035000.0,72361000.0,10155000.0,115806000.0,148559000.0,74286000.0,56959000.0,0.0,47726000.0,47726000.0,0.0,0.0,631000.0,631000.0,0.0,0.0,244059000.0,231783000.0,0.0,481000.0,11795000.0,0.0,0.0,0.0,48717000.0,17180000.0,1193619000.0,629614000.0,440017000.0,81354000.0,13043000.0,9504000.0,57917000.0,41407000.0,6257000.0,78655000.0,60200000.0,37183000.0,30520000.0,18323000.0,402171000.0,275705000.0,24824000.0,17951000.0,3019000.0,34142000.0,19713000.0,12176000.0,8890000.0,5751000.0,0.0,5844000.0,519539000.0,53032000.0,35852000.0,536719000.0,0.0,0.0,0.0,0.0,0.0,24800000.0,0.0,0.0,1492018000.0,70482000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Baltimore County,7916,0.8916
2400150,21100500430100,24,24009,548,47900,Calvert,Maryland,MD,03,3,18,1,1,PK,12,15908.0,15908.0,271695000.0,10412000.0,1375000.0,3714000.0,172000.0,0.0,138000.0,13000.0,46000.0,1451000.0,0.0,389000.0,0.0,3114000.0,109566000.0,60203000.0,0.0,4675000.0,9899000.0,393000.0,0.0,0.0,29000.0,14674000.0,5815000.0,795000.0,0.0,13083000.0,0.0,151717000.0,144372000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,302000.0,0.0,973000.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,5930000.0,0.0,265991000.0,224562000.0,141618000.0,141618000.0,0.0,0.0,78237000.0,10803000.0,10802000.0,1645000.0,10959000.0,22884000.0,15130000.0,6014000.0,0.0,4707000.0,4707000.0,0.0,0.0,1499000.0,1499000.0,0.0,0.0,36635000.0,31628000.0,1430000.0,2699000.0,878000.0,0.0,0.0,0.0,1826000.0,1469000.0,169039000.0,95851000.0,64690000.0,13635000.0,1484000.0,6374000.0,7225000.0,5617000.0,944000.0,9182000.0,9973000.0,1296000.0,3724000.0,2004000.0,56557000.0,40422000.0,3031000.0,4440000.0,344000.0,1578000.0,4457000.0,499000.0,1058000.0,726000.0,0.0,514000.0,35736000.0,6578000.0,5109000.0,37204000.0,0.0,0.0,0.0,0.0,0.0,3639000.0,0.0,0.0,206189000.0,7118000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Calvert,1304,0.9394
2400180,21100600530100,24,24011,N,N,Caroline,Maryland,MD,03,3,18,1,1,PK,12,5787.0,5787.0,86548000.0,8216000.0,1919000.0,1401000.0,278000.0,0.0,79000.0,63000.0,1266000.0,2589000.0,0.0,0.0,0.0,621000.0,60651000.0,28033000.0,0.0,2878000.0,15202000.0,2109000.0,0.0,0.0,267000.0,1614000.0,2701000.0,3523000.0,0.0,4324000.0,0.0,17681000.0,14207000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,15000.0,0.0,811000.0,0.0,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,0.0,2525000.0,0.0,85331000.0,79778000.0,48316000.0,48316000.0,0.0,0.0,27847000.0,3958000.0,5715000.0,590000.0,5253000.0,6012000.0,4589000.0,1730000.0,0.0,3615000.0,3615000.0,0.0,0.0,1733000.0,1733000.0,0.0,0.0,1766000.0,567000.0,0.0,886000.0,313000.0,0.0,0.0,0.0,1521000.0,533000.0,48811000.0,31465000.0,21496000.0,3748000.0,730000.0,3305000.0,2695000.0,2747000.0,301000.0,3103000.0,2407000.0,1709000.0,926000.0,1156000.0,20512000.0,14432000.0,1217000.0,1182000.0,104000.0,1403000.0,828000.0,588000.0,306000.0,453000.0,0.0,110000.0,15857000.0,1713000.0,1180000.0,16390000.0,0.0,0.0,0.0,0.0,0.0,1629000.0,0.0,0.0,72109000.0,4548000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Caroline,389,0.8869
2400210,21100700630100,24,24013,548,12580,Carroll,Maryland,MD,03,3,18,1,1,PK,12,25290.0,25290.0,378531000.0,13992000.0,2387000.0,5744000.0,479000.0,0.0,234000.0,62000.0,560000.0,2738000.0,0.0,0.0,0.0,1788000.0,153254000.0,94261000.0,0.0,10655000.0,14379000.0,966000.0,0.0,0.0,83000.0,1645000.0,9864000.0,2471000.0,0.0,18930000.0,0.0,211285000.0,205835000.0,-2.0,-2.0,-2.0,-2.0,-2.0,57000.0,0.0,234000.0,35000.0,3450000.0,0.0,0.0,0.0,0.0,0.0,87000.0,625000.0,0.0,0.0,962000.0,0.0,371927000.0,351167000.0,218361000.0,218361000.0,0.0,0.0,126722000.0,20403000.0,17860000.0,1564000.0,23671000.0,35127000.0,22025000.0,6072000.0,0.0,6084000.0,6084000.0,0.0,0.0,308000.0,308000.0,0.0,0.0,10046000.0,8370000.0,0.0,397000.0,1279000.0,0.0,0.0,0.0,6939000.0,3467000.0,210485000.0,137228000.0,90524000.0,20308000.0,6248000.0,12800000.0,14134000.0,11714000.0,599000.0,15966000.0,14465000.0,1092000.0,4152000.0,2217000.0,96340000.0,69031000.0,5739000.0,4598000.0,336000.0,7151000.0,6700000.0,396000.0,1353000.0,1035000.0,0.0,1781000.0,86731000.0,11182000.0,7715000.0,90198000.0,0.0,0.0,0.0,0.0,0.0,5485000.0,0.0,0.0,328239000.0,10795000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Carroll,2172,0.95
2400240,21100800730100,24,24015,428,37980,Cecil,Maryland,MD,03,3,18,1,1,PK,12,15364.0,15364.0,242155000.0,13733000.0,2828000.0,3904000.0,488000.0,0.0,154000.0,41000.0,82000.0,4417000.0,0.0,0.0,0.0,1819000.0,127298000.0,66918000.0,0.0,7872000.0,24229000.0,949000.0,10000.0,0.0,287000.0,7299000.0,5226000.0,1827000.0,0.0,12681000.0,0.0,101124000.0,89881000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,191000.0,0.0,1921000.0,0.0,0.0,0.0,0.0,0.0,0.0,316000.0,0.0,0.0,8815000.0,0.0,234589000.0,211084000.0,133003000.0,133003000.0,0.0,0.0,71764000.0,10563000.0,10119000.0,1689000.0,15726000.0,17569000.0,10901000.0,5197000.0,0.0,6317000.0,6317000.0,0.0,0.0,377000.0,377000.0,0.0,0.0,18584000.0,15122000.0,18000.0,1189000.0,2255000.0,0.0,0.0,0.0,2106000.0,2438000.0,142989000.0,88191000.0,55843000.0,15256000.0,2472000.0,1594000.0,6881000.0,6611000.0,940000.0,10806000.0,7731000.0,773000.0,3058000.0,2424000.0,50027000.0,36074000.0,2828000.0,2511000.0,379000.0,4362000.0,2256000.0,223000.0,785000.0,608000.0,0.0,564000.0,68862000.0,8069000.0,5631000.0,71299000.0,0.0,0.0,0.0,0.0,0.0,3486000.0,0.0,0.0,191592000.0,8785000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Cecil,1154,0.9125
2400270,21100900830100,24,24017,548,47900,Charles,Maryland,MD,03,3,18,1,1,PK,12,26891.0,26891.0,455527000.0,20185000.0,4205000.0,5381000.0,615000.0,0.0,222000.0,77000.0,730000.0,6968000.0,0.0,817000.0,11000.0,1159000.0,209427000.0,110711000.0,0.0,10285000.0,32064000.0,2160000.0,0.0,0.0,376000.0,16545000.0,10889000.0,5215000.0,0.0,21182000.0,0.0,225915000.0,216686000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,579000.0,0.0,5240000.0,0.0,0.0,0.0,0.0,0.0,0.0,433000.0,0.0,0.0,2977000.0,0.0,459924000.0,384198000.0,223148000.0,223148000.0,0.0,0.0,147545000.0,19406000.0,19150000.0,1239000.0,22595000.0,45197000.0,27991000.0,11967000.0,0.0,13505000.0,13505000.0,0.0,0.0,3040000.0,2233000.0,807000.0,0.0,66030000.0,59192000.0,0.0,95000.0,6743000.0,0.0,0.0,0.0,3449000.0,3207000.0,277730000.0,146768000.0,100268000.0,17665000.0,1410000.0,3202000.0,12309000.0,12600000.0,608000.0,16395000.0,15066000.0,1139000.0,6605000.0,4636000.0,95524000.0,64979000.0,3843000.0,3967000.0,249000.0,5573000.0,12189000.0,320000.0,2802000.0,1602000.0,0.0,302000.0,66789000.0,10868000.0,7661000.0,69996000.0,0.0,0.0,0.0,0.0,0.0,5862000.0,0.0,0.0,356189000.0,10166000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,N,N,N,N,N,R,R,R,R,R,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Charles,2176,0.9347
