LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
2300049,20000000010100,23,23003,N,N,ME Sch of Science & Mathematics,Maine,ME,02,3,18,1,1,09,12,136.0,136.0,6266000.0,20000.0,0.0,0.0,5000.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,3849000.0,3615000.0,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197000.0,8000.0,2397000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,61000.0,0.0,1801000.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,3000.0,0.0,49000.0,416000.0,0.0,5540000.0,5488000.0,1723000.0,1723000.0,0.0,0.0,3765000.0,887000.0,186000.0,806000.0,234000.0,995000.0,131000.0,526000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,18000.0,27000.0,0.0,0.0,0.0,0.0,7000.0,2692000.0,1254000.0,1200000.0,27000.0,0.0,15000.0,336000.0,137000.0,179000.0,124000.0,128000.0,20000.0,319000.0,0.0,774000.0,338000.0,124000.0,37000.0,42000.0,51000.0,44000.0,8000.0,100000.0,0.0,0.0,7000.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,581000.0,111000.0,27000.0,33000.0,5449000.0,39000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,I,I,R,ME Sch of Science & Mathematics,45.0,0.9556
2300050,N,23,23005,438,38860,Arthur R. Gould Sch--LCYDC,Maine,ME,02,3,18,1,0,07,12,0.0,40.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Arthur R. Gould Sch--LCYDC,27.0,0.3333
2300053,20500730100000,23,23013,N,N,Five Town CSD,Maine,ME,02,3,18,1,1,09,12,689.0,688.0,14338000.0,254000.0,0.0,146000.0,0.0,0.0,0.0,0.0,26000.0,82000.0,0.0,0.0,0.0,0.0,2747000.0,2009000.0,30000.0,30000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,79000.0,0.0,560000.0,35000.0,11337000.0,-2.0,10468000.0,0.0,0.0,0.0,0.0,374000.0,0.0,86000.0,0.0,320000.0,0.0,15000.0,0.0,0.0,34000.0,0.0,5000.0,0.0,0.0,35000.0,0.0,13134000.0,11156000.0,6710000.0,6710000.0,0.0,0.0,3974000.0,762000.0,477000.0,611000.0,522000.0,1207000.0,240000.0,155000.0,0.0,472000.0,472000.0,0.0,0.0,366000.0,0.0,366000.0,0.0,58000.0,0.0,0.0,11000.0,47000.0,0.0,0.0,0.0,1333000.0,221000.0,6471000.0,4543000.0,3239000.0,365000.0,0.0,228000.0,521000.0,194000.0,168000.0,379000.0,475000.0,0.0,72000.0,119000.0,2703000.0,1775000.0,224000.0,95000.0,148000.0,132000.0,197000.0,0.0,67000.0,65000.0,0.0,30000.0,9419000.0,0.0,0.0,9419000.0,0.0,0.0,0.0,0.0,2898000.0,249000.0,54000.0,26000.0,10989000.0,167000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,I,I,R,Five Town CSD,160.0,0.9562999999999999
2302610,20200100130100,23,23001,438,30340,Auburn Public Schools,Maine,ME,03,3,18,1,1,PK,12,3627.0,3624.0,48538000.0,4672000.0,1475000.0,1090000.0,184000.0,0.0,0.0,43000.0,771000.0,1109000.0,0.0,0.0,0.0,0.0,24833000.0,22168000.0,0.0,88000.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,102000.0,0.0,2258000.0,195000.0,19033000.0,17830000.0,-2.0,-2.0,-2.0,-2.0,-2.0,736000.0,0.0,60000.0,0.0,227000.0,0.0,0.0,0.0,38000.0,58000.0,0.0,0.0,0.0,0.0,84000.0,0.0,46441000.0,41580000.0,25865000.0,25865000.0,328000.0,0.0,13951000.0,2460000.0,3334000.0,1917000.0,1470000.0,2980000.0,1450000.0,340000.0,0.0,1764000.0,1764000.0,0.0,0.0,627000.0,292000.0,335000.0,0.0,985000.0,180000.0,0.0,49000.0,756000.0,0.0,0.0,0.0,2650000.0,271000.0,25607000.0,18223000.0,11272000.0,3091000.0,0.0,1486000.0,1440000.0,2036000.0,685000.0,1001000.0,644000.0,790000.0,167000.0,621000.0,9459000.0,6806000.0,513000.0,890000.0,264000.0,406000.0,251000.0,147000.0,71000.0,111000.0,0.0,68000.0,4173000.0,0.0,1953000.0,2220000.0,0.0,0.0,0.0,0.0,602000.0,796000.0,0.0,450000.0,38387000.0,3191000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,I,I,R,Auburn Public Schools,244.0,0.7787000000000001
2302640,20200600130100,23,23011,N,12300,Augusta Public Schools,Maine,ME,03,3,18,1,1,PK,12,2290.0,2290.0,33152000.0,2999000.0,881000.0,807000.0,165000.0,0.0,137000.0,14000.0,153000.0,842000.0,0.0,0.0,0.0,0.0,15678000.0,13725000.0,3000.0,66000.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,308000.0,0.0,1440000.0,120000.0,14475000.0,13013000.0,-2.0,-2.0,-2.0,-2.0,-2.0,737000.0,95000.0,96000.0,0.0,390000.0,6000.0,30000.0,0.0,0.0,13000.0,50000.0,0.0,0.0,22000.0,23000.0,0.0,32461000.0,30459000.0,16472000.0,16472000.0,422000.0,0.0,12433000.0,2238000.0,968000.0,1258000.0,1894000.0,3816000.0,1773000.0,486000.0,0.0,1554000.0,1554000.0,0.0,0.0,729000.0,20000.0,709000.0,0.0,266000.0,0.0,0.0,95000.0,171000.0,0.0,0.0,0.0,0.0,585000.0,16783000.0,11335000.0,6425000.0,1148000.0,787000.0,335000.0,1478000.0,328000.0,543000.0,1228000.0,966000.0,1000.0,323000.0,581000.0,6614000.0,4521000.0,503000.0,125000.0,208000.0,474000.0,399000.0,0.0,112000.0,272000.0,0.0,181000.0,13051000.0,0.0,1485000.0,11566000.0,0.0,0.0,0.0,0.0,0.0,611000.0,145000.0,5000.0,28253000.0,2205000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,I,I,R,Augusta Public Schools,185.0,0.7946
2302730,20301500330100,23,23029,N,N,Baileyville Public Schools,Maine,ME,03,3,18,1,1,PK,12,328.0,328.0,5866000.0,331000.0,110000.0,70000.0,16000.0,0.0,0.0,0.0,38000.0,97000.0,0.0,0.0,0.0,0.0,896000.0,658000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,222000.0,14000.0,4639000.0,2636000.0,-2.0,-2.0,-2.0,-2.0,-2.0,948000.0,912000.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,105000.0,0.0,4841000.0,4715000.0,2876000.0,2876000.0,0.0,0.0,1598000.0,245000.0,140000.0,173000.0,313000.0,554000.0,129000.0,44000.0,0.0,241000.0,241000.0,0.0,0.0,6000.0,6000.0,0.0,0.0,21000.0,0.0,0.0,18000.0,3000.0,0.0,0.0,0.0,84000.0,15000.0,2582000.0,1881000.0,1425000.0,145000.0,0.0,0.0,122000.0,102000.0,14000.0,184000.0,168000.0,44000.0,0.0,69000.0,1098000.0,789000.0,52000.0,32000.0,4000.0,72000.0,80000.0,14000.0,0.0,55000.0,0.0,24000.0,456000.0,0.0,66000.0,390000.0,0.0,0.0,0.0,0.0,1819000.0,126000.0,0.0,0.0,4456000.0,257000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,I,I,R,Baileyville Public Schools,25.0,0.96
2302820,20201000130100,23,23019,N,12620,Bangor Public Schools,Maine,ME,03,3,18,1,1,PK,12,3681.0,3681.0,52872000.0,4757000.0,1976000.0,1193000.0,266000.0,0.0,0.0,0.0,166000.0,1045000.0,0.0,36000.0,0.0,75000.0,20978000.0,17316000.0,10000.0,401000.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,501000.0,0.0,2544000.0,188000.0,27137000.0,24839000.0,-2.0,-2.0,-2.0,-2.0,-2.0,1668000.0,32000.0,129000.0,10000.0,357000.0,9000.0,38000.0,0.0,0.0,20000.0,2000.0,0.0,0.0,27000.0,6000.0,0.0,51983000.0,49891000.0,29875000.0,29875000.0,44000.0,0.0,18348000.0,3953000.0,2362000.0,1313000.0,2589000.0,5399000.0,2127000.0,605000.0,0.0,1668000.0,1668000.0,0.0,0.0,545000.0,0.0,460000.0,85000.0,189000.0,0.0,0.0,162000.0,27000.0,0.0,0.0,0.0,1191000.0,123000.0,28852000.0,20471000.0,15355000.0,2164000.0,0.0,440000.0,2515000.0,966000.0,697000.0,1708000.0,1445000.0,1000.0,322000.0,727000.0,11384000.0,7876000.0,944000.0,798000.0,261000.0,623000.0,611000.0,0.0,129000.0,137000.0,0.0,175000.0,1325000.0,0.0,1325000.0,0.0,0.0,0.0,0.0,0.0,0.0,998000.0,461000.0,2000.0,46467000.0,3424000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,M,M,M,R,R,R,R,R,I,I,R,Bangor Public Schools,280.0,0.8464
2303150,20201600130100,23,23031,438,38860,Biddeford Public Schools,Maine,ME,03,3,18,1,1,PK,12,2447.0,2446.0,41039000.0,2867000.0,731000.0,716000.0,154000.0,0.0,93000.0,17000.0,418000.0,738000.0,0.0,0.0,0.0,0.0,14690000.0,12491000.0,4000.0,28000.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,171000.0,0.0,1850000.0,131000.0,23482000.0,22258000.0,-2.0,-2.0,-2.0,-2.0,-2.0,212000.0,87000.0,92000.0,6000.0,329000.0,6000.0,11000.0,0.0,0.0,23000.0,57000.0,40000.0,0.0,247000.0,114000.0,0.0,37980000.0,35231000.0,20828000.0,20828000.0,514000.0,0.0,13097000.0,2707000.0,989000.0,1493000.0,1998000.0,3859000.0,1513000.0,538000.0,0.0,1306000.0,1306000.0,0.0,0.0,675000.0,14000.0,659000.0,2000.0,334000.0,0.0,0.0,240000.0,94000.0,0.0,3000.0,0.0,2000.0,1221000.0,21872000.0,14689000.0,9174000.0,1703000.0,901000.0,535000.0,1749000.0,653000.0,658000.0,1415000.0,1002000.0,826000.0,304000.0,530000.0,7611000.0,5216000.0,624000.0,210000.0,220000.0,442000.0,323000.0,324000.0,102000.0,130000.0,0.0,117000.0,44511000.0,0.0,1630000.0,42881000.0,0.0,0.0,0.0,0.0,6735000.0,826000.0,294000.0,135000.0,31688000.0,1654000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,R,R,R,Biddeford Public Schools,227.0,0.8590000000000001
2303290,20500800100000,23,23015,N,N,Boothbay-Boothbay Hbr CSD,Maine,ME,03,3,18,1,1,PK,12,497.0,497.0,10931000.0,472000.0,136000.0,160000.0,21000.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,35000.0,1223000.0,713000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,484000.0,24000.0,9236000.0,-2.0,8320000.0,0.0,0.0,0.0,0.0,751000.0,0.0,0.0,0.0,159000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,3000.0,0.0,10424000.0,10285000.0,5986000.0,5986000.0,0.0,0.0,3785000.0,610000.0,596000.0,451000.0,566000.0,1187000.0,375000.0,0.0,0.0,514000.0,514000.0,0.0,0.0,35000.0,0.0,35000.0,0.0,67000.0,0.0,0.0,8000.0,59000.0,0.0,0.0,0.0,0.0,37000.0,5836000.0,4014000.0,2796000.0,526000.0,0.0,32000.0,304000.0,299000.0,2000.0,402000.0,427000.0,179000.0,0.0,209000.0,2495000.0,1704000.0,127000.0,156000.0,0.0,148000.0,169000.0,85000.0,0.0,106000.0,0.0,10000.0,427000.0,250000.0,256000.0,421000.0,0.0,0.0,0.0,0.0,1453000.0,203000.0,79000.0,64000.0,8617000.0,723000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,N,R,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,R,R,R,Boothbay-Boothbay Hbr CSD,63.0,0.8095
2303510,20201000230100,23,23019,N,12620,Brewer Public Schools,Maine,ME,03,3,18,1,1,PK,12,1698.0,1698.0,23292000.0,1145000.0,374000.0,398000.0,31000.0,0.0,0.0,0.0,32000.0,310000.0,0.0,0.0,0.0,0.0,11279000.0,10077000.0,6000.0,71000.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1040000.0,77000.0,10868000.0,7669000.0,-2.0,-2.0,-2.0,-2.0,-2.0,2704000.0,0.0,0.0,0.0,289000.0,0.0,95000.0,0.0,0.0,2000.0,0.0,0.0,0.0,36000.0,73000.0,0.0,21242000.0,19931000.0,13257000.0,13257000.0,12000.0,0.0,5897000.0,1257000.0,649000.0,537000.0,979000.0,1664000.0,628000.0,183000.0,0.0,777000.0,777000.0,0.0,0.0,8000.0,8000.0,0.0,0.0,436000.0,0.0,0.0,42000.0,394000.0,0.0,0.0,0.0,402000.0,453000.0,11573000.0,8570000.0,5803000.0,947000.0,0.0,253000.0,903000.0,371000.0,282000.0,650000.0,375000.0,0.0,137000.0,285000.0,4781000.0,3587000.0,334000.0,153000.0,116000.0,275000.0,150000.0,0.0,44000.0,122000.0,0.0,50000.0,11635000.0,1000.0,2242000.0,9395000.0,0.0,0.0,0.0,0.0,7000.0,529000.0,14000.0,345000.0,18979000.0,954000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,I,I,R,Brewer Public Schools,163.0,0.8589
