LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
2800031,N,28,28085,298,15020,MISSISSIPPI OF THE ARTS,Mississippi,MS,02,3,18,1,0,11,12,141.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2552000.0,2552000.0,1157000.0,1157000.0,0.0,0.0,1395000.0,242000.0,0.0,368000.0,3000.0,737000.0,8000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263000.0,752000.0,752000.0,0.0,0.0,0.0,184000.0,0.0,280000.0,2000.0,10000.0,6000.0,28000.0,0.0,399000.0,237000.0,58000.0,0.0,88000.0,1000.0,3000.0,2000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,N,N,N,N,N,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,M,M,M,M,M,M,MISSISSIPPI OF THE ARTS,58.0,1.0
2800183,N,28,28047,N,25060,ROGER AMOS MCMURTRY,Mississippi,MS,02,3,18,1,0,07,12,43.0,43.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ROGER AMOS MCMURTRY,,
2800185,25500610100000,28,28011,185,17380,WEST BOLIVAR CONSOLIDATED,Mississippi,MS,03,3,18,1,1,PK,12,1287.0,1287.0,15322000.0,3061000.0,1274000.0,395000.0,0.0,0.0,19000.0,0.0,257000.0,1116000.0,0.0,0.0,0.0,0.0,7164000.0,6851000.0,0.0,46000.0,70000.0,0.0,0.0,106000.0,10000.0,0.0,0.0,81000.0,0.0,0.0,0.0,5097000.0,-2.0,3729000.0,0.0,0.0,0.0,84000.0,4000.0,14000.0,0.0,0.0,58000.0,0.0,185000.0,0.0,0.0,851000.0,0.0,15000.0,0.0,0.0,157000.0,0.0,14847000.0,14161000.0,6942000.0,6942000.0,0.0,0.0,6141000.0,743000.0,897000.0,1024000.0,989000.0,1543000.0,509000.0,436000.0,0.0,1078000.0,1025000.0,0.0,53000.0,88000.0,0.0,0.0,88000.0,533000.0,86000.0,0.0,172000.0,275000.0,0.0,0.0,0.0,0.0,65000.0,8121000.0,4617000.0,3310000.0,613000.0,155000.0,42000.0,445000.0,480000.0,687000.0,738000.0,308000.0,218000.0,263000.0,248000.0,2927000.0,1667000.0,147000.0,173000.0,197000.0,244000.0,166000.0,92000.0,86000.0,127000.0,0.0,20000.0,1882000.0,0.0,710000.0,1172000.0,0.0,0.0,587000.0,0.0,4550000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,WEST BOLIVAR CONSOLIDATED,103.0,0.8059999999999999
2800186,25500610200000,28,28011,185,17380,NORTH BOLIVAR CONSOLIDATED,Mississippi,MS,03,3,18,1,1,PK,12,1045.0,1045.0,10961000.0,2622000.0,957000.0,375000.0,0.0,20000.0,16000.0,0.0,303000.0,950000.0,0.0,0.0,0.0,1000.0,6115000.0,5903000.0,0.0,0.0,58000.0,0.0,0.0,95000.0,7000.0,0.0,0.0,52000.0,0.0,0.0,0.0,2224000.0,-2.0,1598000.0,0.0,0.0,0.0,2000.0,123000.0,0.0,0.0,0.0,17000.0,0.0,84000.0,0.0,0.0,194000.0,0.0,1000.0,0.0,0.0,205000.0,0.0,10515000.0,10332000.0,5416000.0,5416000.0,0.0,0.0,4055000.0,441000.0,542000.0,633000.0,614000.0,1246000.0,306000.0,273000.0,0.0,861000.0,767000.0,0.0,94000.0,1000.0,0.0,0.0,1000.0,166000.0,0.0,0.0,123000.0,43000.0,0.0,0.0,0.0,0.0,16000.0,6077000.0,3702000.0,2694000.0,484000.0,358000.0,43000.0,301000.0,348000.0,333000.0,463000.0,357000.0,142000.0,119000.0,211000.0,2157000.0,1288000.0,99000.0,122000.0,102000.0,151000.0,159000.0,57000.0,41000.0,106000.0,0.0,13000.0,693000.0,0.0,357000.0,336000.0,0.0,0.0,316000.0,74000.0,1896000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,M,M,M,M,M,M,NORTH BOLIVAR CONSOLIDATED,76.0,0.8420000000000001
2800187,25506710100000,28,28133,185,26940,SUNFLOWER COUNTY CONSOLIDATED,Mississippi,MS,03,3,18,1,1,PK,12,3833.0,3833.0,39919000.0,8341000.0,2898000.0,1185000.0,0.0,0.0,71000.0,0.0,1170000.0,2805000.0,0.0,0.0,0.0,212000.0,19729000.0,18356000.0,0.0,30000.0,184000.0,0.0,0.0,319000.0,27000.0,0.0,0.0,813000.0,0.0,0.0,0.0,11849000.0,-2.0,9525000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,153000.0,0.0,436000.0,0.0,0.0,836000.0,0.0,228000.0,0.0,239000.0,407000.0,0.0,41879000.0,36635000.0,17143000.0,17143000.0,0.0,0.0,16746000.0,2089000.0,4051000.0,1757000.0,2244000.0,3966000.0,1580000.0,1059000.0,0.0,2746000.0,2555000.0,0.0,191000.0,17000.0,0.0,7000.0,10000.0,5149000.0,2427000.0,0.0,276000.0,770000.0,1676000.0,0.0,0.0,0.0,78000.0,21245000.0,11745000.0,8202000.0,1526000.0,679000.0,196000.0,1337000.0,1957000.0,1038000.0,1670000.0,1098000.0,806000.0,580000.0,694000.0,7397000.0,4132000.0,430000.0,613000.0,317000.0,549000.0,476000.0,316000.0,194000.0,336000.0,0.0,169000.0,1522000.0,0.0,1027000.0,495000.0,0.0,0.0,2350000.0,0.0,16947000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,SUNFLOWER COUNTY CONSOLIDATED,251.0,0.7290000000000001
2800189,25505310100000,28,28105,N,44260,STARKVILLE-OKTIBBEHA CONSOLIDATED,Mississippi,MS,03,3,18,1,1,KG,12,5117.0,5117.0,65785000.0,8386000.0,2367000.0,1246000.0,0.0,6000.0,67000.0,0.0,1280000.0,2436000.0,0.0,0.0,0.0,984000.0,30393000.0,23235000.0,0.0,232000.0,184000.0,0.0,0.0,387000.0,29000.0,0.0,0.0,6326000.0,0.0,0.0,0.0,27006000.0,-2.0,23920000.0,0.0,0.0,0.0,0.0,1000.0,0.0,949000.0,0.0,487000.0,0.0,491000.0,0.0,134000.0,207000.0,0.0,102000.0,0.0,414000.0,301000.0,0.0,58610000.0,49404000.0,27342000.0,27342000.0,0.0,0.0,19452000.0,2862000.0,2717000.0,1437000.0,2553000.0,5228000.0,2799000.0,1856000.0,0.0,2610000.0,2582000.0,0.0,28000.0,2430000.0,2099000.0,268000.0,63000.0,5637000.0,4248000.0,0.0,508000.0,881000.0,0.0,0.0,0.0,0.0,1139000.0,30117000.0,17624000.0,11708000.0,2329000.0,866000.0,587000.0,2006000.0,1136000.0,946000.0,1871000.0,1437000.0,1577000.0,871000.0,825000.0,10235000.0,5983000.0,625000.0,349000.0,268000.0,610000.0,596000.0,619000.0,287000.0,388000.0,0.0,199000.0,42920000.0,0.0,3300000.0,39620000.0,0.0,0.0,2980000.0,22862000.0,15022000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,STARKVILLE-OKTIBBEHA CONSOLIDATED,392.0,0.763
2800191,25501310100000,28,28025,200,48500,WEST POINT CONSOLIDATED,Mississippi,MS,03,3,18,1,1,PK,12,3057.0,3057.0,30611000.0,6046000.0,2254000.0,853000.0,0.0,10000.0,54000.0,0.0,412000.0,2152000.0,0.0,0.0,0.0,311000.0,15942000.0,14910000.0,0.0,0.0,169000.0,0.0,0.0,345000.0,21000.0,0.0,0.0,497000.0,0.0,0.0,0.0,8623000.0,-2.0,7302000.0,0.0,0.0,0.0,0.0,0.0,616000.0,6000.0,0.0,135000.0,0.0,420000.0,0.0,25000.0,25000.0,3000.0,13000.0,0.0,20000.0,58000.0,0.0,30835000.0,30066000.0,15822000.0,15822000.0,0.0,0.0,12138000.0,1378000.0,1243000.0,1137000.0,1704000.0,3855000.0,2123000.0,698000.0,0.0,2106000.0,2048000.0,0.0,58000.0,7000.0,0.0,0.0,7000.0,619000.0,0.0,0.0,451000.0,168000.0,0.0,0.0,0.0,0.0,143000.0,16290000.0,10208000.0,7007000.0,1146000.0,697000.0,180000.0,993000.0,678000.0,714000.0,1257000.0,916000.0,0.0,470000.0,664000.0,5601000.0,3474000.0,308000.0,220000.0,208000.0,419000.0,400000.0,0.0,153000.0,326000.0,0.0,461000.0,2695000.0,0.0,585000.0,2110000.0,0.0,0.0,576000.0,0.0,2878000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,M,M,M,M,M,M,WEST POINT CONSOLIDATED,236.0,0.8009999999999999
2800360,25504800200000,28,28095,N,N,ABERDEEN,Mississippi,MS,03,3,18,1,1,PK,12,1222.0,1222.0,14608000.0,2399000.0,718000.0,383000.0,0.0,3000.0,0.0,0.0,253000.0,929000.0,0.0,0.0,0.0,113000.0,6707000.0,6395000.0,0.0,0.0,91000.0,0.0,0.0,29000.0,16000.0,0.0,0.0,176000.0,0.0,0.0,0.0,5502000.0,-2.0,5138000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,154000.0,0.0,0.0,0.0,1000.0,103000.0,0.0,18000.0,32000.0,0.0,13317000.0,12805000.0,6678000.0,6678000.0,0.0,0.0,5205000.0,553000.0,500000.0,757000.0,663000.0,1227000.0,958000.0,547000.0,0.0,922000.0,867000.0,0.0,55000.0,0.0,0.0,0.0,0.0,377000.0,0.0,0.0,90000.0,287000.0,0.0,0.0,0.0,0.0,135000.0,6640000.0,4212000.0,3208000.0,750000.0,114000.0,76000.0,409000.0,189000.0,427000.0,499000.0,261000.0,25000.0,261000.0,228000.0,2335000.0,1482000.0,133000.0,62000.0,134000.0,153000.0,109000.0,10000.0,85000.0,138000.0,0.0,103000.0,3565000.0,0.0,165000.0,3400000.0,0.0,0.0,920000.0,111000.0,4826000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,M,M,M,M,M,M,ABERDEEN,95.0,0.8109999999999999
2800390,25500250100000,28,28003,N,18420,ALCORN,Mississippi,MS,03,3,18,1,1,PK,12,3267.0,3267.0,30764000.0,4117000.0,1131000.0,837000.0,0.0,5000.0,79000.0,0.0,490000.0,1129000.0,0.0,0.0,0.0,446000.0,17823000.0,16234000.0,0.0,0.0,134000.0,0.0,0.0,755000.0,13000.0,0.0,0.0,687000.0,0.0,0.0,0.0,8824000.0,-2.0,7262000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,230000.0,0.0,792000.0,0.0,0.0,2000.0,0.0,4000.0,0.0,49000.0,436000.0,0.0,30764000.0,27956000.0,18255000.0,18255000.0,0.0,0.0,8172000.0,1068000.0,818000.0,652000.0,1802000.0,2435000.0,1149000.0,248000.0,0.0,1529000.0,1285000.0,0.0,244000.0,0.0,0.0,0.0,0.0,2648000.0,1448000.0,0.0,644000.0,556000.0,0.0,0.0,0.0,0.0,160000.0,17470000.0,12498000.0,8225000.0,1594000.0,1368000.0,309000.0,679000.0,478000.0,413000.0,1360000.0,529000.0,574000.0,168000.0,364000.0,5798000.0,4159000.0,205000.0,151000.0,117000.0,431000.0,241000.0,207000.0,52000.0,197000.0,0.0,9000.0,4220000.0,4250000.0,1150000.0,7320000.0,1150000.0,745000.0,2965000.0,2632000.0,5184000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,ALCORN,226.0,0.9470000000000001
2800420,25500350100000,28,28005,N,32620,AMITE COUNTY,Mississippi,MS,03,3,18,1,1,KG,12,1024.0,1024.0,13605000.0,2306000.0,802000.0,352000.0,0.0,0.0,23000.0,0.0,243000.0,721000.0,0.0,0.0,0.0,165000.0,6172000.0,5820000.0,0.0,0.0,44000.0,0.0,0.0,263000.0,7000.0,0.0,0.0,38000.0,0.0,0.0,0.0,5127000.0,-2.0,3018000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,27000.0,72000.0,0.0,75000.0,0.0,639000.0,470000.0,2000.0,382000.0,0.0,1000.0,440000.0,0.0,14415000.0,13334000.0,6343000.0,6343000.0,0.0,0.0,6242000.0,657000.0,622000.0,604000.0,532000.0,2638000.0,798000.0,391000.0,0.0,749000.0,700000.0,0.0,49000.0,143000.0,7000.0,0.0,136000.0,900000.0,11000.0,0.0,94000.0,795000.0,0.0,0.0,0.0,0.0,38000.0,6797000.0,4389000.0,2519000.0,902000.0,325000.0,53000.0,467000.0,217000.0,339000.0,384000.0,174000.0,379000.0,188000.0,193000.0,2363000.0,1483000.0,144000.0,73000.0,103000.0,125000.0,76000.0,165000.0,64000.0,106000.0,0.0,80000.0,185000.0,0.0,45000.0,140000.0,0.0,0.0,0.0,0.0,11611000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,M,R,R,M,M,R,R,R,M,R,R,M,M,N,R,M,M,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,M,M,M,M,M,M,AMITE COUNTY,60.0,0.733
