LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
3700011,34102602630100,37,37051,246,22180,Cumberland County Schools,North Carolina,NC,03,3,18,1,1,PK,12,50725.0,50725.0,471255000.0,68924000.0,17151000.0,9856000.0,1600000.0,0.0,0.0,193000.0,2429000.0,23846000.0,0.0,3606000.0,212000.0,10031000.0,296865000.0,292377000.0,8000.0,0.0,1433000.0,0.0,0.0,0.0,28000.0,2517000.0,0.0,502000.0,0.0,0.0,0.0,105466000.0,90713000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,3696000.0,0.0,0.0,3691000.0,0.0,46000.0,52000.0,367000.0,2228000.0,390000.0,4283000.0,0.0,480227000.0,455976000.0,287677000.0,287677000.0,0.0,0.0,141622000.0,23662000.0,20284000.0,1996000.0,34265000.0,38415000.0,16469000.0,6531000.0,0.0,26677000.0,26677000.0,0.0,0.0,3190000.0,3190000.0,0.0,0.0,17122000.0,6743000.0,203000.0,2209000.0,7967000.0,0.0,0.0,0.0,2229000.0,1710000.0,298203000.0,203994000.0,109241000.0,18858000.0,9413000.0,11414000.0,16495000.0,11750000.0,1408000.0,25346000.0,16072000.0,8740000.0,3516000.0,9384000.0,98598000.0,64906000.0,5611000.0,4758000.0,384000.0,8620000.0,6522000.0,3107000.0,1312000.0,3102000.0,0.0,428000.0,57008000.0,14323000.0,24559000.0,46771000.0,0.0,0.0,0.0,0.0,135411000.0,9312000.0,5128000.0,576000.0,403017000.0,31602000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,R,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,M,M,R,R,R,R,R,R,M,Cumberland County Schools,4073,0.82
3700012,34107407430200,37,37147,274,24780,Pitt County Schools,North Carolina,NC,03,3,18,1,1,PK,12,23981.0,23981.0,224734000.0,29355000.0,10058000.0,5063000.0,898000.0,0.0,0.0,136000.0,875000.0,9022000.0,0.0,0.0,0.0,3303000.0,146820000.0,140958000.0,0.0,0.0,2905000.0,0.0,0.0,0.0,10000.0,2806000.0,0.0,141000.0,0.0,0.0,0.0,48559000.0,41224000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1286000.0,0.0,0.0,823000.0,0.0,0.0,0.0,166000.0,1671000.0,35000.0,3354000.0,0.0,237057000.0,216162000.0,142438000.0,142438000.0,0.0,0.0,63539000.0,9419000.0,6771000.0,1392000.0,13000000.0,18452000.0,9359000.0,5146000.0,0.0,10185000.0,10185000.0,0.0,0.0,1034000.0,1034000.0,0.0,0.0,15951000.0,13384000.0,4000.0,86000.0,2477000.0,0.0,0.0,0.0,1185000.0,2725000.0,131582000.0,93615000.0,46453000.0,8625000.0,4825000.0,9555000.0,6798000.0,4531000.0,874000.0,9331000.0,5731000.0,4848000.0,1775000.0,3470000.0,48297000.0,33535000.0,2433000.0,1531000.0,255000.0,3480000.0,2497000.0,1736000.0,976000.0,1707000.0,0.0,873000.0,90828000.0,0.0,6322000.0,84506000.0,0.0,0.0,0.0,0.0,25024000.0,4945000.0,2378000.0,0.0,192221000.0,16389000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,R,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,M,M,R,R,R,R,R,R,M,Pitt County Schools,1826,0.847
3700016,N,37,37011,N,N,Grandfather Academy,North Carolina,NC,02,1,18,1,0,01,12,22.0,22.0,699000.0,113000.0,64000.0,20000.0,2000.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,203000.0,203000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345000.0,4000.0,0.0,707000.0,591000.0,340000.0,340000.0,0.0,0.0,224000.0,0.0,3000.0,90000.0,121000.0,0.0,0.0,10000.0,0.0,27000.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,116000.0,116000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342000.0,253000.0,98000.0,69000.0,0.0,49000.0,0.0,0.0,0.0,88000.0,0.0,0.0,0.0,0.0,109000.0,77000.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,3000.0,0.0,413000.0,96000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Grandfather Academy,10,
3700020,N,37,37037,450,20500,Chatham Charter,North Carolina,NC,03,1,18,1,0,KG,12,557.0,557.0,4850000.0,95000.0,0.0,95000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3086000.0,3086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1396000.0,0.0,0.0,71000.0,0.0,0.0,26000.0,0.0,4000.0,0.0,0.0,0.0,20000.0,152000.0,0.0,4474000.0,3926000.0,2742000.0,2742000.0,0.0,0.0,1104000.0,83000.0,49000.0,29000.0,520000.0,260000.0,43000.0,120000.0,0.0,80000.0,80000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,547000.0,25000.0,0.0,100000.0,422000.0,0.0,0.0,0.0,0.0,0.0,2501000.0,1891000.0,1489000.0,104000.0,0.0,0.0,47000.0,46000.0,0.0,445000.0,49000.0,10000.0,0.0,13000.0,606000.0,549000.0,4000.0,3000.0,0.0,45000.0,4000.0,1000.0,0.0,1000.0,0.0,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699000.0,95000.0,59000.0,74000.0,3522000.0,95000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Chatham Charter,48,0.95
3700025,N,37,37067,268,49180,Quality Education Academy,North Carolina,NC,03,1,18,1,0,KG,12,545.0,545.0,5825000.0,803000.0,347000.0,99000.0,8000.0,0.0,0.0,0.0,10000.0,339000.0,0.0,0.0,0.0,0.0,3277000.0,3277000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1744000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4569000.0,4542000.0,3005000.0,3005000.0,0.0,0.0,1188000.0,17000.0,0.0,152000.0,298000.0,270000.0,41000.0,410000.0,0.0,349000.0,349000.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,2375000.0,1903000.0,850000.0,189000.0,0.0,337000.0,0.0,0.0,0.0,219000.0,32000.0,0.0,135000.0,86000.0,355000.0,288000.0,0.0,0.0,0.0,18000.0,2000.0,0.0,41000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954000.0,66000.0,38000.0,0.0,4003000.0,465000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Quality Education Academy,35,0.914
3700027,N,37,37067,268,49180,Carter G Woodson School,North Carolina,NC,03,1,18,1,0,KG,12,425.0,425.0,4272000.0,839000.0,372000.0,190000.0,5000.0,0.0,0.0,19000.0,0.0,253000.0,0.0,0.0,0.0,0.0,2679000.0,2679000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,627000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,69000.0,0.0,50000.0,0.0,4330000.0,4051000.0,2178000.0,2178000.0,0.0,0.0,1577000.0,114000.0,141000.0,184000.0,407000.0,350000.0,201000.0,180000.0,0.0,296000.0,296000.0,0.0,0.0,0.0,0.0,0.0,0.0,279000.0,36000.0,0.0,0.0,243000.0,0.0,0.0,0.0,0.0,0.0,2102000.0,1455000.0,649000.0,44000.0,0.0,148000.0,35000.0,121000.0,0.0,274000.0,124000.0,93000.0,0.0,0.0,454000.0,337000.0,9000.0,19000.0,0.0,45000.0,24000.0,20000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048000.0,93000.0,21000.0,0.0,3321000.0,587000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Carter G Woodson School,17,0.765
3700034,N,37,37127,468,40580,Rocky Mount Preparatory,North Carolina,NC,03,1,18,1,0,KG,12,1256.0,1256.0,10497000.0,1171000.0,356000.0,331000.0,29000.0,0.0,0.0,0.0,0.0,455000.0,0.0,0.0,0.0,0.0,7665000.0,7653000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,1661000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1389000.0,0.0,0.0,41000.0,0.0,0.0,16000.0,0.0,5000.0,3000.0,0.0,102000.0,21000.0,84000.0,0.0,9991000.0,9227000.0,4878000.0,4878000.0,0.0,0.0,3785000.0,386000.0,150000.0,734000.0,1179000.0,629000.0,416000.0,291000.0,0.0,564000.0,564000.0,0.0,0.0,0.0,0.0,0.0,0.0,764000.0,61000.0,0.0,0.0,703000.0,0.0,0.0,0.0,0.0,0.0,5301000.0,3700000.0,2403000.0,322000.0,0.0,45000.0,126000.0,131000.0,0.0,906000.0,91000.0,243000.0,77000.0,28000.0,732000.0,525000.0,16000.0,16000.0,0.0,117000.0,13000.0,31000.0,10000.0,4000.0,0.0,137000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564000.0,149000.0,247000.0,0.0,7701000.0,726000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Rocky Mount Preparatory,78,0.9490000000000001
3700038,N,37,37137,404,35100,Arapahoe Charter School,North Carolina,NC,03,1,18,1,0,KG,12,566.0,566.0,11589000.0,402000.0,79000.0,115000.0,0.0,0.0,0.0,0.0,32000.0,155000.0,0.0,0.0,0.0,21000.0,4699000.0,4699000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6488000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1190000.0,0.0,0.0,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,84000.0,5131000.0,0.0,11608000.0,5672000.0,3696000.0,3696000.0,0.0,0.0,1720000.0,252000.0,111000.0,60000.0,359000.0,258000.0,325000.0,355000.0,0.0,256000.0,256000.0,0.0,0.0,8000.0,8000.0,0.0,0.0,5928000.0,5690000.0,70000.0,21000.0,147000.0,0.0,0.0,0.0,0.0,0.0,3574000.0,2499000.0,1183000.0,254000.0,0.0,120000.0,160000.0,69000.0,0.0,250000.0,89000.0,184000.0,215000.0,102000.0,1263000.0,945000.0,41000.0,23000.0,0.0,73000.0,23000.0,51000.0,61000.0,45000.0,0.0,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1387000.0,75000.0,93000.0,21000.0,5192000.0,201000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Arapahoe Charter School,37,0.865
3700050,N,37,37001,268,15500,River Mill Academy,North Carolina,NC,03,1,18,1,0,KG,12,796.0,796.0,6493000.0,92000.0,0.0,92000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4464000.0,4464000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1420000.0,0.0,0.0,137000.0,0.0,0.0,199000.0,0.0,2000.0,0.0,0.0,0.0,24000.0,155000.0,0.0,5904000.0,4926000.0,3594000.0,3594000.0,0.0,0.0,1186000.0,129000.0,77000.0,29000.0,487000.0,287000.0,58000.0,119000.0,0.0,146000.0,146000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,977000.0,187000.0,0.0,248000.0,542000.0,0.0,0.0,0.0,0.0,0.0,2869000.0,2392000.0,1839000.0,89000.0,0.0,54000.0,43000.0,54000.0,0.0,336000.0,0.0,27000.0,0.0,16000.0,1127000.0,952000.0,17000.0,20000.0,0.0,122000.0,0.0,7000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385000.0,69000.0,26000.0,248000.0,4572000.0,92000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,River Mill Academy,35,0.943
3700053,N,37,37037,450,20500,Woods Charter,North Carolina,NC,03,1,18,1,0,KG,12,512.0,512.0,5410000.0,129000.0,0.0,73000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,52000.0,3015000.0,3013000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,2266000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1654000.0,0.0,0.0,26000.0,0.0,0.0,174000.0,0.0,31000.0,0.0,5000.0,0.0,251000.0,125000.0,0.0,14143000.0,4390000.0,3201000.0,3201000.0,0.0,0.0,1162000.0,108000.0,44000.0,40000.0,586000.0,192000.0,57000.0,135000.0,0.0,27000.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,9753000.0,10000.0,0.0,43000.0,9700000.0,0.0,0.0,0.0,0.0,0.0,2917000.0,2302000.0,1562000.0,214000.0,0.0,0.0,52000.0,35000.0,0.0,457000.0,32000.0,21000.0,0.0,19000.0,682000.0,551000.0,13000.0,8000.0,0.0,93000.0,9000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983000.0,95000.0,49000.0,23000.0,4146000.0,77000.0,0.0,1.0,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,M,R,N,N,N,N,N,N,M,R,M,M,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,M,R,R,R,R,R,M,M,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,M,M,M,M,M,R,R,R,R,R,R,M,Woods Charter,47,0.9359999999999999
