LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
3800014,35500800500000,38,38015,N,13900,BISMARCK 1,North Dakota,ND,03,3,18,1,1,PK,12,13064.0,13054.0,187857000.0,15140000.0,2737000.0,4062000.0,860000.0,0.0,0.0,32000.0,260000.0,2840000.0,0.0,0.0,232000.0,4117000.0,113870000.0,110028000.0,0.0,1432000.0,0.0,0.0,0.0,404000.0,75000.0,0.0,1156000.0,775000.0,0.0,0.0,0.0,58847000.0,-2.0,47476000.0,0.0,0.0,0.0,0.0,1156000.0,935000.0,0.0,0.0,4260000.0,0.0,3947000.0,0.0,0.0,0.0,0.0,712000.0,0.0,0.0,361000.0,0.0,204313000.0,161135000.0,100584000.0,100584000.0,0.0,0.0,50792000.0,8658000.0,4014000.0,3003000.0,8315000.0,13575000.0,4739000.0,8488000.0,0.0,9759000.0,6662000.0,3097000.0,0.0,377000.0,0.0,377000.0,0.0,37607000.0,32266000.0,1011000.0,449000.0,3881000.0,0.0,0.0,0.0,1586000.0,3608000.0,101872000.0,70117000.0,44840000.0,14344000.0,3198000.0,7735000.0,5951000.0,2307000.0,1794000.0,6091000.0,6124000.0,1406000.0,5007000.0,2386000.0,38138000.0,26307000.0,2213000.0,958000.0,679000.0,2136000.0,2537000.0,470000.0,1840000.0,777000.0,120000.0,0.0,85553000.0,35064000.0,6663000.0,113954000.0,0.0,0.0,4145000.0,5520000.0,23434000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,BISMARCK 1,887,0.923
3800016,35501503500000,38,38029,N,N,STRASBURG 15,North Dakota,ND,03,3,18,1,1,KG,12,124.0,124.0,3101000.0,501000.0,59000.0,0.0,20000.0,0.0,0.0,0.0,0.0,33000.0,0.0,389000.0,0.0,0.0,1479000.0,1369000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,108000.0,1000.0,0.0,0.0,0.0,1121000.0,-2.0,808000.0,0.0,0.0,0.0,0.0,38000.0,0.0,1000.0,0.0,91000.0,0.0,89000.0,0.0,0.0,0.0,31000.0,7000.0,0.0,0.0,56000.0,0.0,2990000.0,2184000.0,1347000.0,1347000.0,0.0,0.0,649000.0,0.0,40000.0,139000.0,45000.0,203000.0,142000.0,80000.0,0.0,188000.0,98000.0,90000.0,0.0,0.0,0.0,0.0,0.0,626000.0,453000.0,4000.0,1000.0,168000.0,0.0,0.0,0.0,43000.0,137000.0,1363000.0,917000.0,698000.0,47000.0,46000.0,126000.0,0.0,34000.0,102000.0,28000.0,82000.0,79000.0,60000.0,52000.0,376000.0,309000.0,0.0,3000.0,29000.0,14000.0,6000.0,6000.0,5000.0,4000.0,0.0,0.0,1097000.0,73000.0,40000.0,1130000.0,0.0,0.0,356000.0,215000.0,909000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,STRASBURG 15,12,1.0
3800017,35501502300000,38,38029,N,N,LINTON 36,North Dakota,ND,03,3,18,1,1,PK,12,263.0,263.0,4288000.0,197000.0,96000.0,0.0,35000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,6000.0,2804000.0,2578000.0,0.0,0.0,0.0,0.0,0.0,46000.0,1000.0,0.0,149000.0,30000.0,0.0,0.0,0.0,1287000.0,-2.0,701000.0,0.0,0.0,0.0,0.0,0.0,39000.0,0.0,0.0,106000.0,0.0,326000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,112000.0,0.0,4517000.0,4053000.0,2084000.0,2084000.0,0.0,0.0,1439000.0,201000.0,10000.0,254000.0,246000.0,407000.0,270000.0,51000.0,0.0,530000.0,162000.0,368000.0,0.0,0.0,0.0,0.0,0.0,416000.0,0.0,0.0,8000.0,408000.0,0.0,0.0,0.0,48000.0,0.0,2208000.0,1450000.0,951000.0,126000.0,144000.0,229000.0,139000.0,0.0,123000.0,165000.0,91000.0,139000.0,39000.0,62000.0,774000.0,482000.0,56000.0,0.0,56000.0,79000.0,32000.0,35000.0,12000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,LINTON 36,18,0.944
3800018,35503401200000,38,38067,N,N,CAVALIER 6,North Dakota,ND,03,3,18,1,1,PK,12,444.0,444.0,5714000.0,236000.0,108000.0,15000.0,0.0,0.0,0.0,0.0,0.0,113000.0,0.0,0.0,0.0,0.0,3436000.0,2964000.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,119000.0,334000.0,0.0,0.0,0.0,2042000.0,-2.0,1505000.0,0.0,0.0,0.0,0.0,63000.0,31000.0,5000.0,0.0,154000.0,0.0,171000.0,0.0,33000.0,0.0,0.0,3000.0,0.0,0.0,77000.0,0.0,5590000.0,4746000.0,2729000.0,2729000.0,0.0,0.0,1581000.0,72000.0,266000.0,187000.0,198000.0,452000.0,265000.0,141000.0,0.0,436000.0,252000.0,184000.0,0.0,0.0,0.0,0.0,0.0,216000.0,152000.0,0.0,6000.0,58000.0,0.0,30000.0,0.0,478000.0,120000.0,2575000.0,1880000.0,1509000.0,77000.0,107000.0,187000.0,49000.0,105000.0,106000.0,141000.0,89000.0,5000.0,109000.0,91000.0,992000.0,764000.0,24000.0,35000.0,44000.0,56000.0,22000.0,0.0,22000.0,25000.0,0.0,0.0,4515000.0,0.0,265000.0,4250000.0,0.0,0.0,268000.0,174000.0,136000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,CAVALIER 6,31,1.0
3800021,35504702700000,38,38093,N,27420,JAMESTOWN 1,North Dakota,ND,03,3,18,1,1,PK,12,2174.0,2164.0,31533000.0,2034000.0,562000.0,687000.0,218000.0,0.0,0.0,0.0,15000.0,552000.0,0.0,0.0,0.0,0.0,20607000.0,18975000.0,0.0,1163000.0,0.0,0.0,0.0,26000.0,12000.0,0.0,230000.0,201000.0,0.0,0.0,0.0,8892000.0,-2.0,6351000.0,0.0,0.0,0.0,0.0,168000.0,270000.0,0.0,44000.0,742000.0,0.0,692000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,620000.0,0.0,30994000.0,27781000.0,17113000.0,17113000.0,0.0,0.0,8669000.0,1459000.0,1098000.0,1180000.0,1774000.0,1791000.0,899000.0,468000.0,0.0,1999000.0,1299000.0,700000.0,0.0,31000.0,31000.0,0.0,0.0,891000.0,573000.0,0.0,22000.0,296000.0,0.0,0.0,0.0,2244000.0,47000.0,16716000.0,12208000.0,8236000.0,2685000.0,335000.0,952000.0,649000.0,657000.0,331000.0,1311000.0,739000.0,0.0,277000.0,542000.0,5645000.0,4132000.0,205000.0,222000.0,143000.0,425000.0,251000.0,0.0,112000.0,152000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139000.0,1265000.0,6031000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,JAMESTOWN 1,151,0.934
3800024,35500702100000,38,38013,N,N,POWERS LAKE 27,North Dakota,ND,03,3,18,1,1,KG,12,187.0,187.0,4400000.0,153000.0,21000.0,0.0,27000.0,0.0,0.0,0.0,74000.0,31000.0,0.0,0.0,0.0,0.0,2049000.0,1784000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000.0,159000.0,0.0,0.0,0.0,2198000.0,-2.0,1097000.0,0.0,0.0,0.0,0.0,0.0,854000.0,0.0,0.0,64000.0,0.0,124000.0,0.0,0.0,0.0,2000.0,1000.0,0.0,0.0,56000.0,0.0,3586000.0,3136000.0,2070000.0,2070000.0,0.0,0.0,855000.0,0.0,4000.0,226000.0,111000.0,247000.0,197000.0,70000.0,0.0,211000.0,136000.0,75000.0,0.0,0.0,0.0,0.0,0.0,404000.0,49000.0,12000.0,119000.0,224000.0,0.0,10000.0,0.0,0.0,36000.0,1681000.0,1256000.0,887000.0,165000.0,94000.0,109000.0,0.0,0.0,96000.0,79000.0,48000.0,108000.0,37000.0,47000.0,526000.0,411000.0,0.0,0.0,40000.0,29000.0,19000.0,9000.0,3000.0,16000.0,0.0,0.0,5008000.0,0.0,199000.0,4809000.0,1757000.0,800000.0,318000.0,740000.0,1182000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,POWERS LAKE 27,13,0.923
3800025,35500903800000,38,38017,244,22020,KINDRED 2,North Dakota,ND,03,3,18,1,1,PK,12,793.0,789.0,11483000.0,398000.0,187000.0,0.0,56000.0,10000.0,0.0,0.0,0.0,145000.0,0.0,0.0,0.0,0.0,6676000.0,6409000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,246000.0,17000.0,0.0,0.0,0.0,4409000.0,-2.0,3578000.0,0.0,0.0,0.0,0.0,0.0,76000.0,19000.0,0.0,0.0,0.0,285000.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,438000.0,0.0,9931000.0,7364000.0,4636000.0,4636000.0,0.0,0.0,2036000.0,0.0,95000.0,313000.0,325000.0,752000.0,393000.0,158000.0,0.0,692000.0,372000.0,320000.0,0.0,0.0,0.0,0.0,0.0,889000.0,205000.0,134000.0,228000.0,322000.0,0.0,0.0,0.0,787000.0,891000.0,4395000.0,3271000.0,2856000.0,4000.0,0.0,411000.0,0.0,59000.0,213000.0,240000.0,229000.0,229000.0,0.0,138000.0,1376000.0,1052000.0,0.0,19000.0,76000.0,78000.0,86000.0,39000.0,0.0,25000.0,0.0,0.0,15118000.0,0.0,175000.0,14942000.0,0.0,0.0,1096000.0,298000.0,2837000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,KINDRED 2,40,0.95
3800027,35502101900000,38,38041,N,N,NEW ENGLAND 9,North Dakota,ND,03,3,18,1,1,PK,12,284.0,284.0,4917000.0,115000.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,2807000.0,2504000.0,0.0,17000.0,0.0,0.0,0.0,20000.0,1000.0,0.0,219000.0,46000.0,0.0,0.0,0.0,1995000.0,-2.0,1041000.0,0.0,0.0,0.0,0.0,77000.0,492000.0,11000.0,0.0,74000.0,0.0,155000.0,0.0,0.0,0.0,1000.0,6000.0,0.0,0.0,138000.0,0.0,4386000.0,3542000.0,2073000.0,2073000.0,0.0,0.0,1100000.0,71000.0,60000.0,176000.0,131000.0,311000.0,273000.0,78000.0,0.0,369000.0,152000.0,217000.0,0.0,0.0,0.0,0.0,0.0,658000.0,490000.0,0.0,69000.0,99000.0,0.0,60000.0,0.0,12000.0,114000.0,2197000.0,1497000.0,958000.0,259000.0,106000.0,174000.0,28000.0,43000.0,119000.0,105000.0,113000.0,175000.0,64000.0,55000.0,522000.0,376000.0,6000.0,15000.0,24000.0,25000.0,11000.0,15000.0,7000.0,4000.0,39000.0,0.0,663000.0,0.0,94000.0,569000.0,0.0,0.0,0.0,1846000.0,1637000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,NEW ENGLAND 9,16,0.938
3800029,35502501000000,38,38049,N,33500,DRAKE 57,North Dakota,ND,02,3,18,1,1,07,12,84.0,84.0,2006000.0,30000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,1238000.0,1119000.0,0.0,0.0,0.0,0.0,0.0,27000.0,3000.0,0.0,89000.0,0.0,0.0,0.0,0.0,738000.0,-2.0,342000.0,0.0,0.0,0.0,0.0,105000.0,18000.0,0.0,0.0,16000.0,0.0,103000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,149000.0,0.0,1964000.0,1867000.0,737000.0,737000.0,0.0,0.0,947000.0,101000.0,47000.0,140000.0,89000.0,341000.0,138000.0,91000.0,0.0,183000.0,82000.0,101000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,1000.0,39000.0,0.0,0.0,0.0,57000.0,0.0,839000.0,398000.0,246000.0,27000.0,95000.0,31000.0,21000.0,39000.0,78000.0,60000.0,76000.0,64000.0,55000.0,45000.0,321000.0,159000.0,9000.0,6000.0,34000.0,28000.0,20000.0,31000.0,28000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87000.0,802000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,DRAKE 57,14,1.0
3800031,35502901500000,38,38057,N,N,HAZEN 3,North Dakota,ND,03,3,18,1,1,PK,12,570.0,569.0,7255000.0,219000.0,76000.0,0.0,24000.0,0.0,0.0,0.0,29000.0,82000.0,0.0,8000.0,0.0,0.0,4315000.0,4070000.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,136000.0,15000.0,0.0,0.0,0.0,2721000.0,-2.0,1008000.0,0.0,0.0,0.0,0.0,16000.0,903000.0,0.0,0.0,226000.0,0.0,387000.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,139000.0,0.0,7504000.0,6820000.0,3465000.0,3465000.0,0.0,0.0,2575000.0,95000.0,209000.0,342000.0,402000.0,672000.0,436000.0,419000.0,0.0,780000.0,312000.0,468000.0,0.0,3000.0,3000.0,0.0,0.0,357000.0,123000.0,8000.0,36000.0,190000.0,0.0,82000.0,0.0,229000.0,13000.0,3785000.0,2511000.0,2032000.0,0.0,191000.0,289000.0,61000.0,147000.0,171000.0,309000.0,271000.0,11000.0,162000.0,124000.0,1265000.0,803000.0,22000.0,43000.0,105000.0,88000.0,97000.0,1000.0,88000.0,18000.0,0.0,0.0,1250000.0,0.0,145000.0,1105000.0,0.0,0.0,17000.0,113000.0,2069000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,M,M,R,R,R,R,R,R,M,M,N,R,M,M,M,M,R,R,R,R,R,M,R,R,R,M,R,R,M,M,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,HAZEN 3,38,0.868
