LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
3100002,28501206800000,31,31023,N,N,DAVID CITY PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,649.0,649.0,13631000.0,551000.0,148000.0,179000.0,9000.0,0.0,2000.0,0.0,19000.0,193000.0,0.0,0.0,0.0,1000.0,2065000.0,255000.0,0.0,846000.0,0.0,0.0,5000.0,0.0,2000.0,0.0,0.0,957000.0,0.0,0.0,0.0,11015000.0,-2.0,9740000.0,0.0,22000.0,0.0,475000.0,27000.0,88000.0,16000.0,0.0,169000.0,0.0,416000.0,0.0,0.0,3000.0,2000.0,48000.0,0.0,0.0,9000.0,0.0,13275000.0,11117000.0,6916000.0,6916000.0,0.0,0.0,3396000.0,559000.0,239000.0,283000.0,730000.0,1000000.0,353000.0,232000.0,0.0,805000.0,435000.0,370000.0,0.0,0.0,0.0,0.0,0.0,2085000.0,156000.0,1174000.0,0.0,755000.0,0.0,0.0,0.0,0.0,73000.0,5931000.0,4158000.0,2694000.0,744000.0,1000.0,74000.0,398000.0,150000.0,141000.0,492000.0,249000.0,149000.0,44000.0,150000.0,2537000.0,1815000.0,111000.0,63000.0,83000.0,212000.0,106000.0,60000.0,27000.0,58000.0,0.0,28000.0,2975000.0,0.0,185000.0,2790000.0,0.0,0.0,4000.0,1226000.0,9392000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,DAVID CITY PUBLIC SCHOOLS,48.0,0.92
3100003,28501280100000,31,31023,N,N,EAST BUTLER PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,306.0,306.0,6587000.0,220000.0,0.0,159000.0,0.0,0.0,0.0,0.0,0.0,44000.0,0.0,0.0,0.0,17000.0,964000.0,99000.0,0.0,285000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,577000.0,0.0,0.0,0.0,5403000.0,-2.0,4801000.0,0.0,0.0,0.0,240000.0,11000.0,29000.0,10000.0,0.0,92000.0,0.0,180000.0,0.0,0.0,0.0,15000.0,6000.0,0.0,0.0,19000.0,0.0,7360000.0,6265000.0,4101000.0,4101000.0,0.0,0.0,1775000.0,69000.0,87000.0,224000.0,248000.0,453000.0,336000.0,358000.0,0.0,389000.0,188000.0,201000.0,0.0,0.0,0.0,0.0,0.0,1048000.0,587000.0,0.0,223000.0,238000.0,0.0,0.0,0.0,0.0,47000.0,3483000.0,2537000.0,2004000.0,253000.0,0.0,0.0,55000.0,57000.0,141000.0,179000.0,135000.0,105000.0,204000.0,69000.0,1314000.0,1051000.0,9000.0,25000.0,40000.0,63000.0,40000.0,18000.0,56000.0,12000.0,0.0,0.0,1349000.0,0.0,140000.0,1209000.0,0.0,0.0,0.0,881000.0,4381000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,EAST BUTLER PUBLIC SCHOOLS,27.0,0.93
3100004,28501403800000,31,31027,N,N,LAUREL-CONCORD-COLERIDGE SCHOOL,Nebraska,NE,03,3,18,1,1,PK,12,485.0,485.0,8326000.0,342000.0,56000.0,115000.0,14000.0,0.0,5000.0,0.0,30000.0,115000.0,0.0,0.0,0.0,7000.0,1178000.0,126000.0,0.0,333000.0,0.0,0.0,4000.0,0.0,1000.0,0.0,0.0,714000.0,0.0,0.0,0.0,6806000.0,-2.0,5968000.0,0.0,13000.0,0.0,302000.0,141000.0,26000.0,26000.0,0.0,129000.0,0.0,175000.0,0.0,0.0,0.0,0.0,24000.0,0.0,0.0,2000.0,0.0,8028000.0,7390000.0,4591000.0,4591000.0,0.0,0.0,2216000.0,95000.0,150000.0,465000.0,498000.0,573000.0,273000.0,162000.0,0.0,583000.0,350000.0,233000.0,0.0,0.0,0.0,0.0,0.0,617000.0,53000.0,0.0,0.0,564000.0,0.0,0.0,0.0,20000.0,1000.0,4132000.0,2902000.0,2166000.0,221000.0,0.0,48000.0,73000.0,95000.0,275000.0,371000.0,167000.0,130000.0,0.0,119000.0,1325000.0,976000.0,20000.0,24000.0,105000.0,116000.0,30000.0,27000.0,0.0,27000.0,0.0,19000.0,17000.0,0.0,45000.0,0.0,0.0,0.0,0.0,407000.0,4144000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,LAUREL-CONCORD-COLERIDGE SCHOOL,36.0,0.89
3100006,28502006600000,31,31039,N,N,WEST POINT PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,751.0,751.0,13342000.0,802000.0,254000.0,250000.0,28000.0,0.0,0.0,5000.0,4000.0,251000.0,0.0,0.0,0.0,10000.0,1956000.0,364000.0,0.0,611000.0,0.0,0.0,7000.0,0.0,2000.0,0.0,0.0,972000.0,0.0,0.0,0.0,10584000.0,-2.0,9199000.0,0.0,16000.0,0.0,560000.0,30000.0,77000.0,0.0,0.0,160000.0,0.0,429000.0,0.0,0.0,0.0,3000.0,58000.0,0.0,0.0,52000.0,0.0,11551000.0,11219000.0,7206000.0,7206000.0,0.0,0.0,3145000.0,453000.0,222000.0,378000.0,630000.0,1127000.0,250000.0,85000.0,0.0,868000.0,430000.0,438000.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,0.0,152000.0,5820000.0,4286000.0,2582000.0,507000.0,0.0,319000.0,354000.0,104000.0,236000.0,452000.0,165000.0,85000.0,0.0,139000.0,2615000.0,2011000.0,95000.0,41000.0,94000.0,169000.0,98000.0,29000.0,0.0,77000.0,0.0,0.0,5052000.0,675000.0,450000.0,5277000.0,0.0,0.0,567000.0,921000.0,8397000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,WEST POINT PUBLIC SCHOOLS,68.0,0.96
3100008,28502006700000,31,31039,N,N,WISNER-PILGER PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,426.0,426.0,8915000.0,557000.0,0.0,115000.0,18000.0,0.0,0.0,0.0,302000.0,120000.0,0.0,0.0,0.0,2000.0,1421000.0,346000.0,0.0,349000.0,0.0,0.0,5000.0,0.0,1000.0,0.0,0.0,720000.0,0.0,0.0,0.0,6937000.0,-2.0,5766000.0,0.0,0.0,0.0,292000.0,0.0,31000.0,0.0,0.0,132000.0,0.0,568000.0,0.0,0.0,0.0,0.0,26000.0,0.0,0.0,122000.0,0.0,8620000.0,6693000.0,4235000.0,4235000.0,0.0,0.0,1636000.0,111000.0,171000.0,287000.0,393000.0,520000.0,142000.0,12000.0,0.0,822000.0,259000.0,563000.0,0.0,0.0,0.0,0.0,0.0,1896000.0,362000.0,0.0,124000.0,1410000.0,0.0,0.0,0.0,0.0,31000.0,3691000.0,2680000.0,2170000.0,213000.0,0.0,0.0,68000.0,118000.0,179000.0,274000.0,173000.0,77000.0,0.0,122000.0,1477000.0,1105000.0,33000.0,42000.0,69000.0,110000.0,68000.0,24000.0,0.0,25000.0,0.0,7000.0,1745000.0,0.0,315000.0,1430000.0,0.0,0.0,355000.0,763000.0,4012000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,WISNER-PILGER PUBLIC SCHOOLS,29.0,1.0
3100010,28502108200000,31,31041,N,N,ANSELMO-MERNA PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,273.0,273.0,4405000.0,103000.0,0.0,15000.0,2000.0,0.0,0.0,0.0,19000.0,63000.0,0.0,0.0,0.0,4000.0,832000.0,257000.0,0.0,166000.0,0.0,0.0,4000.0,0.0,1000.0,0.0,0.0,404000.0,0.0,0.0,0.0,3470000.0,-2.0,3098000.0,0.0,0.0,0.0,124000.0,3000.0,11000.0,2000.0,0.0,101000.0,0.0,125000.0,0.0,0.0,3000.0,0.0,2000.0,0.0,0.0,1000.0,0.0,3869000.0,3802000.0,1999000.0,1999000.0,0.0,0.0,1465000.0,267000.0,137000.0,212000.0,115000.0,399000.0,245000.0,90000.0,0.0,338000.0,162000.0,176000.0,0.0,0.0,0.0,0.0,0.0,57000.0,10000.0,0.0,1000.0,46000.0,0.0,0.0,0.0,0.0,10000.0,2039000.0,1167000.0,1009000.0,33000.0,0.0,0.0,182000.0,33000.0,152000.0,81000.0,98000.0,138000.0,31000.0,158000.0,811000.0,511000.0,68000.0,56000.0,27000.0,32000.0,53000.0,44000.0,19000.0,0.0,0.0,14000.0,194000.0,0.0,320000.0,0.0,0.0,0.0,232000.0,441000.0,1209000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,ANSELMO-MERNA PUBLIC SCHOOLS,17.0,1.0
3100011,28502101500000,31,31041,N,N,BROKEN BOW PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,861.0,861.0,12068000.0,468000.0,76000.0,144000.0,3000.0,0.0,1000.0,0.0,0.0,206000.0,0.0,0.0,0.0,38000.0,2072000.0,210000.0,0.0,695000.0,0.0,0.0,7000.0,0.0,2000.0,0.0,0.0,1158000.0,0.0,0.0,0.0,9528000.0,-2.0,8158000.0,0.0,0.0,0.0,437000.0,5000.0,50000.0,22000.0,0.0,204000.0,0.0,528000.0,0.0,0.0,0.0,55000.0,69000.0,0.0,0.0,0.0,0.0,11651000.0,11603000.0,6784000.0,6784000.0,0.0,0.0,3845000.0,644000.0,509000.0,421000.0,554000.0,1224000.0,305000.0,188000.0,0.0,974000.0,403000.0,571000.0,0.0,0.0,0.0,0.0,0.0,30000.0,1000.0,0.0,8000.0,21000.0,0.0,0.0,0.0,0.0,18000.0,6032000.0,4193000.0,2695000.0,784000.0,0.0,48000.0,458000.0,185000.0,203000.0,366000.0,429000.0,148000.0,51000.0,0.0,2789000.0,1868000.0,177000.0,251000.0,75000.0,169000.0,188000.0,43000.0,18000.0,0.0,0.0,30000.0,6183000.0,0.0,0.0,6183000.0,0.0,0.0,2644000.0,546000.0,3982000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,BROKEN BOW PUBLIC SCHOOLS,61.0,0.93
3100012,28502101800000,31,31041,N,N,CALLAWAY PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,222.0,222.0,4129000.0,175000.0,27000.0,48000.0,2000.0,0.0,0.0,0.0,24000.0,71000.0,0.0,0.0,0.0,3000.0,600000.0,51000.0,0.0,188000.0,0.0,0.0,2000.0,0.0,1000.0,0.0,0.0,358000.0,0.0,0.0,0.0,3354000.0,-2.0,2944000.0,0.0,0.0,0.0,113000.0,0.0,13000.0,0.0,0.0,59000.0,0.0,191000.0,0.0,0.0,5000.0,0.0,2000.0,0.0,26000.0,1000.0,0.0,4171000.0,3456000.0,2210000.0,2210000.0,0.0,0.0,908000.0,82000.0,46000.0,106000.0,109000.0,281000.0,194000.0,90000.0,0.0,338000.0,141000.0,197000.0,0.0,0.0,0.0,0.0,0.0,451000.0,0.0,219000.0,17000.0,215000.0,0.0,0.0,0.0,264000.0,0.0,1860000.0,1386000.0,1110000.0,15000.0,0.0,17000.0,54000.0,27000.0,61000.0,68000.0,80000.0,92000.0,44000.0,47000.0,788000.0,574000.0,23000.0,13000.0,22000.0,32000.0,32000.0,55000.0,19000.0,18000.0,0.0,45000.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,334000.0,2292000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,CALLAWAY PUBLIC SCHOOLS,14.0,1.0
3100015,28503300300000,31,31065,N,N,CAMBRIDGE PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,334.0,334.0,5009000.0,193000.0,0.0,72000.0,0.0,0.0,2000.0,0.0,33000.0,84000.0,0.0,0.0,0.0,2000.0,1166000.0,685000.0,0.0,150000.0,0.0,0.0,5000.0,0.0,1000.0,0.0,0.0,325000.0,0.0,0.0,0.0,3650000.0,-2.0,3114000.0,0.0,8000.0,0.0,167000.0,0.0,14000.0,0.0,0.0,73000.0,0.0,224000.0,0.0,2000.0,0.0,0.0,13000.0,0.0,0.0,35000.0,0.0,5167000.0,4774000.0,2877000.0,2877000.0,0.0,0.0,1357000.0,85000.0,72000.0,259000.0,276000.0,360000.0,193000.0,112000.0,0.0,540000.0,192000.0,348000.0,0.0,6000.0,6000.0,0.0,0.0,387000.0,218000.0,0.0,45000.0,124000.0,0.0,0.0,0.0,0.0,0.0,2534000.0,1742000.0,1372000.0,96000.0,0.0,87000.0,59000.0,24000.0,158000.0,205000.0,140000.0,96000.0,54000.0,53000.0,1111000.0,770000.0,24000.0,16000.0,68000.0,70000.0,68000.0,27000.0,26000.0,40000.0,0.0,33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474000.0,1776000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,CAMBRIDGE PUBLIC SCHOOLS,23.0,1.0
3100016,28504000400000,31,31079,N,24260,GRAND ISLAND PUBLIC SCHOOLS,Nebraska,NE,03,3,18,1,1,PK,12,9897.0,9897.0,122240000.0,10388000.0,2792000.0,2018000.0,209000.0,0.0,145000.0,261000.0,682000.0,4203000.0,0.0,0.0,0.0,78000.0,65797000.0,56093000.0,0.0,6067000.0,0.0,0.0,45000.0,0.0,37000.0,0.0,0.0,3555000.0,0.0,0.0,0.0,46055000.0,-2.0,36115000.0,0.0,0.0,0.0,3895000.0,0.0,732000.0,0.0,0.0,1385000.0,0.0,0.0,0.0,0.0,0.0,0.0,457000.0,12000.0,0.0,3459000.0,0.0,138195000.0,108259000.0,77554000.0,77554000.0,0.0,0.0,22108000.0,2782000.0,2759000.0,2107000.0,4312000.0,8809000.0,705000.0,634000.0,0.0,8597000.0,5435000.0,3162000.0,0.0,0.0,0.0,0.0,0.0,25718000.0,20337000.0,343000.0,3077000.0,1961000.0,0.0,0.0,0.0,0.0,4218000.0,58089000.0,43550000.0,28228000.0,0.0,12000.0,5900000.0,2254000.0,1845000.0,1247000.0,3513000.0,3293000.0,11000.0,498000.0,1879000.0,14277000.0,10565000.0,461000.0,441000.0,286000.0,753000.0,1142000.0,4000.0,136000.0,487000.0,0.0,252000.0,100955000.0,0.0,2835000.0,98120000.0,0.0,0.0,6734000.0,12852000.0,39165000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,M,R,M,R,M,M,R,R,M,M,N,R,M,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,I,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,M,M,M,M,M,M,GRAND ISLAND PUBLIC SCHOOLS,657.0,0.84
