LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
3200001,N,32,32510,456,16180,STATE PUBLIC CHARTER SCHOOL AUTHORITY,Nevada,NV,03,1,18,1,0,PK,12,37000.0,36766.0,283438000.0,11498000.0,1286000.0,3263000.0,357000.0,35000.0,0.0,84000.0,3119000.0,2146000.0,0.0,1187000.0,0.0,21000.0,253075000.0,237804000.0,418000.0,7997000.0,369000.0,925000.0,13000.0,107000.0,0.0,0.0,0.0,5442000.0,0.0,0.0,0.0,18865000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,103000.0,1000.0,0.0,654000.0,0.0,5362000.0,0.0,268000.0,37000.0,1000.0,9000.0,0.0,1150000.0,11280000.0,0.0,367346000.0,246382000.0,149069000.0,149069000.0,0.0,0.0,94624000.0,3377000.0,6804000.0,10887000.0,26192000.0,29101000.0,397000.0,17866000.0,0.0,2689000.0,2621000.0,68000.0,0.0,126000.0,126000.0,0.0,0.0,107151000.0,24000.0,103266000.0,140000.0,3721000.0,0.0,206000.0,0.0,3513000.0,9968000.0,110013000.0,83125000.0,73849000.0,7383000.0,0.0,122000.0,1315000.0,5165000.0,5737000.0,12177000.0,633000.0,136000.0,1515000.0,209000.0,37263000.0,28725000.0,403000.0,1292000.0,1931000.0,3887000.0,201000.0,23000.0,759000.0,41000.0,0.0,9319000.0,88369000.0,114759000.0,4604000.0,198525000.0,7825000.0,9630000.0,9825000.0,8747000.0,68923000.0,3945000.0,9295000.0,2399000.0,231103000.0,15279000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,STATE PUBLIC CHARTER SCHOOL AUTHORITY,1775,0.7
3200030,29500100100000,32,32001,N,21980,CHURCHILL,Nevada,NV,03,3,18,1,1,PK,12,3374.0,3374.0,41881000.0,4873000.0,640000.0,1203000.0,72000.0,8000.0,38000.0,10000.0,1101000.0,881000.0,0.0,610000.0,51000.0,259000.0,18983000.0,14344000.0,1178000.0,2649000.0,158000.0,144000.0,0.0,166000.0,3000.0,0.0,0.0,341000.0,0.0,0.0,0.0,18025000.0,-2.0,9075000.0,0.0,33000.0,0.0,0.0,64000.0,0.0,44000.0,0.0,176000.0,0.0,216000.0,0.0,0.0,5000.0,0.0,44000.0,4000.0,11000.0,641000.0,7712000.0,39996000.0,37335000.0,20291000.0,20291000.0,0.0,0.0,15742000.0,2262000.0,1516000.0,665000.0,2476000.0,4092000.0,2056000.0,2675000.0,0.0,1302000.0,1302000.0,0.0,0.0,224000.0,72000.0,152000.0,0.0,1079000.0,49000.0,515000.0,63000.0,452000.0,0.0,0.0,0.0,0.0,1358000.0,20542000.0,12842000.0,8109000.0,1665000.0,406000.0,215000.0,1443000.0,836000.0,270000.0,1620000.0,1653000.0,971000.0,667000.0,241000.0,10390000.0,6017000.0,689000.0,352000.0,157000.0,762000.0,816000.0,508000.0,916000.0,172000.0,0.0,121000.0,36740000.0,0.0,1934000.0,34806000.0,0.0,0.0,0.0,0.0,3246000.0,836000.0,951000.0,210000.0,33143000.0,3035000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CHURCHILL,254,0.76
3200060,29500200100000,32,32003,332,29820,CLARK,Nevada,NV,03,2,18,1,1,PK,12,329259.0,329259.0,3508225000.0,301545000.0,92754000.0,58988000.0,10021000.0,0.0,4030000.0,4893000.0,9327000.0,113917000.0,0.0,66000.0,60000.0,7489000.0,1089847000.0,692436000.0,119617000.0,126697000.0,1320000.0,36571000.0,4033000.0,8011000.0,894000.0,0.0,0.0,100268000.0,0.0,0.0,0.0,2116833000.0,-2.0,951531000.0,0.0,4686000.0,0.0,0.0,36000.0,2367000.0,3075000.0,366000.0,11793000.0,0.0,1497000.0,0.0,25000.0,1699000.0,3000.0,13329000.0,535000.0,10046000.0,18740000.0,1097105000.0,3562847000.0,2955544000.0,1757218000.0,1757218000.0,0.0,0.0,1069331000.0,144865000.0,176620000.0,31833000.0,225919000.0,277142000.0,119839000.0,93113000.0,0.0,128995000.0,128995000.0,0.0,0.0,15511000.0,4125000.0,11386000.0,0.0,464422000.0,403838000.0,1084000.0,4084000.0,55416000.0,0.0,0.0,0.0,3379000.0,123991000.0,1756073000.0,1134213000.0,813878000.0,197429000.0,3586000.0,31452000.0,92282000.0,99368000.0,10994000.0,159682000.0,114139000.0,67921000.0,46887000.0,30588000.0,724878000.0,463150000.0,37842000.0,37703000.0,4048000.0,63238000.0,51924000.0,33439000.0,20384000.0,13151000.0,0.0,14506000.0,2433653000.0,515730000.0,407511000.0,2541872000.0,0.0,0.0,74361000.0,591888000.0,332765000.0,85214000.0,75412000.0,2110000.0,2769419000.0,171690000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,CLARK,24764,0.852
3200090,29500300100000,32,32005,456,23820,DOUGLAS,Nevada,NV,03,3,18,1,1,PK,12,5798.0,5798.0,75294000.0,3348000.0,707000.0,895000.0,89000.0,0.0,73000.0,44000.0,341000.0,844000.0,0.0,0.0,0.0,355000.0,21043000.0,13802000.0,1823000.0,3669000.0,655000.0,212000.0,108000.0,258000.0,4000.0,0.0,0.0,512000.0,0.0,0.0,0.0,50903000.0,-2.0,22761000.0,0.0,156000.0,0.0,0.0,0.0,0.0,261000.0,0.0,642000.0,0.0,0.0,0.0,0.0,10000.0,3537000.0,191000.0,0.0,2960000.0,92000.0,20293000.0,70187000.0,61079000.0,36162000.0,36162000.0,0.0,0.0,23316000.0,3219000.0,1949000.0,621000.0,4533000.0,6903000.0,3533000.0,2558000.0,0.0,1601000.0,1601000.0,0.0,0.0,151000.0,31000.0,120000.0,0.0,7342000.0,6481000.0,0.0,170000.0,691000.0,0.0,0.0,0.0,0.0,1615000.0,36533000.0,23634000.0,15925000.0,2777000.0,591000.0,862000.0,2193000.0,1140000.0,239000.0,3064000.0,2477000.0,1995000.0,1128000.0,664000.0,15208000.0,9951000.0,902000.0,452000.0,103000.0,1259000.0,986000.0,886000.0,392000.0,277000.0,0.0,258000.0,38480000.0,0.0,1305000.0,37175000.0,0.0,0.0,2399000.0,0.0,24432000.0,1600000.0,290000.0,168000.0,57437000.0,3006000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,DOUGLAS,455,0.8859999999999999
3200120,29500400100000,32,32007,N,21220,ELKO,Nevada,NV,03,3,18,1,1,PK,12,9935.0,9935.0,133615000.0,7449000.0,1350000.0,1377000.0,140000.0,3000.0,68000.0,86000.0,508000.0,1827000.0,0.0,1938000.0,38000.0,114000.0,46329000.0,32946000.0,5428000.0,4241000.0,1511000.0,540000.0,89000.0,256000.0,7000.0,0.0,0.0,1311000.0,0.0,0.0,0.0,79837000.0,-2.0,32410000.0,0.0,0.0,0.0,0.0,844000.0,161000.0,3000.0,3000.0,1058000.0,0.0,0.0,0.0,0.0,44000.0,23000.0,0.0,0.0,121000.0,487000.0,44683000.0,125690000.0,113312000.0,69499000.0,69499000.0,0.0,0.0,40332000.0,6036000.0,5097000.0,1092000.0,7257000.0,13285000.0,4075000.0,3490000.0,0.0,3481000.0,3481000.0,0.0,0.0,329000.0,76000.0,253000.0,0.0,11985000.0,11551000.0,8000.0,106000.0,320000.0,0.0,0.0,0.0,6000.0,58000.0,63383000.0,42203000.0,26015000.0,4313000.0,1889000.0,1008000.0,3703000.0,2377000.0,507000.0,4836000.0,5213000.0,1909000.0,1753000.0,883000.0,30176000.0,21474000.0,1668000.0,949000.0,226000.0,1989000.0,2004000.0,757000.0,681000.0,428000.0,0.0,1608000.0,2281000.0,0.0,549000.0,1733000.0,0.0,0.0,0.0,0.0,50067000.0,2729000.0,1174000.0,104000.0,107489000.0,5823000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,ELKO,685,0.9179999999999999
3200180,29500600100000,32,32011,N,21220,EUREKA,Nevada,NV,03,3,18,1,1,PK,12,291.0,291.0,10841000.0,670000.0,0.0,670000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391000.0,391000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9780000.0,-2.0,8655000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,102000.0,0.0,0.0,0.0,956000.0,10046000.0,7645000.0,3929000.0,3929000.0,0.0,0.0,3370000.0,171000.0,14000.0,689000.0,430000.0,1374000.0,418000.0,274000.0,0.0,346000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,2322000.0,50000.0,2019000.0,114000.0,139000.0,0.0,0.0,0.0,79000.0,0.0,4247000.0,2518000.0,2213000.0,189000.0,116000.0,0.0,102000.0,0.0,407000.0,256000.0,474000.0,213000.0,109000.0,168000.0,1862000.0,1112000.0,67000.0,0.0,122000.0,154000.0,192000.0,77000.0,69000.0,69000.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56647000.0,172000.0,109000.0,11000.0,7269000.0,376000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,EUREKA,14,1.0
3200210,29500700100000,32,32013,N,49080,HUMBOLDT,Nevada,NV,03,3,18,1,1,PK,12,3571.0,3571.0,47766000.0,4540000.0,804000.0,1182000.0,35000.0,0.0,28000.0,35000.0,992000.0,756000.0,0.0,573000.0,18000.0,117000.0,18089000.0,12384000.0,1773000.0,1968000.0,967000.0,382000.0,0.0,124000.0,3000.0,0.0,0.0,488000.0,0.0,0.0,0.0,25137000.0,-2.0,12429000.0,0.0,0.0,0.0,0.0,71000.0,0.0,4000.0,19000.0,286000.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0,194000.0,209000.0,11866000.0,45016000.0,43255000.0,25288000.0,25288000.0,0.0,0.0,16836000.0,2511000.0,2641000.0,1365000.0,2814000.0,5116000.0,1609000.0,780000.0,0.0,1131000.0,1131000.0,0.0,0.0,121000.0,3000.0,118000.0,0.0,1534000.0,110000.0,1106000.0,50000.0,268000.0,0.0,0.0,0.0,0.0,106000.0,24050000.0,15664000.0,9870000.0,1515000.0,628000.0,674000.0,1698000.0,1056000.0,771000.0,1839000.0,1804000.0,706000.0,342000.0,170000.0,10032000.0,6649000.0,691000.0,338000.0,290000.0,732000.0,819000.0,288000.0,155000.0,70000.0,0.0,905000.0,2491000.0,0.0,234000.0,2257000.0,0.0,0.0,742000.0,577000.0,8990000.0,864000.0,2087000.0,71000.0,39317000.0,3000000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,HUMBOLDT,256,0.9059999999999999
3200240,29500800100000,32,32015,N,N,LANDER,Nevada,NV,03,3,18,1,1,PK,12,1027.0,1027.0,21029000.0,670000.0,104000.0,193000.0,34000.0,0.0,9000.0,3000.0,187000.0,0.0,0.0,84000.0,4000.0,52000.0,4522000.0,3175000.0,159000.0,606000.0,142000.0,52000.0,0.0,53000.0,1000.0,0.0,0.0,334000.0,0.0,0.0,0.0,15837000.0,-2.0,13735000.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,131000.0,0.0,2000.0,0.0,0.0,0.0,0.0,72000.0,0.0,50000.0,8000.0,1821000.0,11818000.0,11684000.0,6292000.0,6292000.0,0.0,0.0,5098000.0,496000.0,1006000.0,646000.0,875000.0,1282000.0,368000.0,425000.0,0.0,294000.0,294000.0,0.0,0.0,69000.0,0.0,69000.0,0.0,24000.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,6403000.0,3991000.0,3003000.0,418000.0,106000.0,210000.0,307000.0,371000.0,225000.0,590000.0,359000.0,172000.0,291000.0,96000.0,3045000.0,1755000.0,134000.0,318000.0,184000.0,254000.0,180000.0,60000.0,133000.0,27000.0,0.0,41000.0,1641000.0,0.0,186000.0,1455000.0,0.0,0.0,0.0,0.0,17190000.0,380000.0,66000.0,0.0,11300000.0,384000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,LANDER,76,0.868
3200270,29500900100000,32,32017,N,N,LINCOLN,Nevada,NV,03,3,18,1,1,PK,12,1057.0,1057.0,15306000.0,669000.0,269000.0,178000.0,12000.0,0.0,31000.0,0.0,6000.0,152000.0,0.0,0.0,0.0,21000.0,11202000.0,9348000.0,34000.0,961000.0,0.0,10000.0,0.0,45000.0,1000.0,316000.0,0.0,487000.0,0.0,0.0,0.0,3435000.0,-2.0,2130000.0,0.0,0.0,0.0,0.0,0.0,0.0,322000.0,0.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,95000.0,812000.0,14470000.0,13578000.0,7942000.0,7942000.0,0.0,0.0,5330000.0,172000.0,3000.0,1586000.0,1698000.0,1311000.0,560000.0,0.0,0.0,306000.0,306000.0,0.0,0.0,279000.0,0.0,279000.0,0.0,424000.0,231000.0,0.0,40000.0,153000.0,0.0,0.0,0.0,0.0,189000.0,7609000.0,5205000.0,3686000.0,780000.0,634000.0,104000.0,116000.0,0.0,390000.0,1092000.0,509000.0,219000.0,0.0,78000.0,3588000.0,2307000.0,55000.0,0.0,305000.0,495000.0,252000.0,134000.0,0.0,38000.0,0.0,14000.0,4545000.0,0.0,310000.0,4235000.0,15000.0,15000.0,0.0,0.0,1025000.0,371000.0,191000.0,8000.0,12735000.0,843000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,LINCOLN,85,0.894
3200300,29501000100000,32,32019,456,22280,LYON,Nevada,NV,03,3,18,1,1,PK,12,8927.0,8927.0,100813000.0,9889000.0,1654000.0,1483000.0,240000.0,0.0,88000.0,30000.0,5303000.0,173000.0,0.0,0.0,0.0,918000.0,57532000.0,52210000.0,2709000.0,350000.0,676000.0,177000.0,3000.0,310000.0,0.0,0.0,129000.0,968000.0,0.0,0.0,0.0,33392000.0,-2.0,17122000.0,0.0,243000.0,0.0,0.0,0.0,25000.0,6000.0,0.0,701000.0,0.0,0.0,0.0,0.0,13000.0,0.0,177000.0,0.0,3000.0,740000.0,14362000.0,99078000.0,91944000.0,50478000.0,50478000.0,0.0,0.0,38100000.0,7518000.0,3387000.0,2357000.0,7162000.0,8256000.0,4251000.0,5169000.0,0.0,3366000.0,3366000.0,0.0,0.0,244000.0,29000.0,215000.0,0.0,4961000.0,1823000.0,599000.0,50000.0,2489000.0,0.0,0.0,0.0,0.0,1929000.0,53504000.0,33545000.0,21645000.0,4625000.0,969000.0,920000.0,3950000.0,1490000.0,1027000.0,4863000.0,3187000.0,2373000.0,1884000.0,1185000.0,21550000.0,13798000.0,1520000.0,452000.0,699000.0,1836000.0,1155000.0,890000.0,859000.0,341000.0,0.0,181000.0,77421000.0,0.0,5409000.0,72012000.0,0.0,0.0,4716000.0,2485000.0,10048000.0,2293000.0,2895000.0,237000.0,85573000.0,6371000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,I,R,LYON,571,0.848
