LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
3900094,36500930000000,39,39017,178,17140,Monroe Local,Ohio,OH,03,3,18,1,1,PK,12,2765.0,2765.0,31482000.0,977000.0,273000.0,294000.0,0.0,0.0,0.0,0.0,0.0,346000.0,64000.0,0.0,0.0,0.0,9788000.0,9520000.0,0.0,0.0,37000.0,0.0,0.0,0.0,6000.0,0.0,0.0,143000.0,82000.0,0.0,0.0,20717000.0,-2.0,14242000.0,0.0,0.0,0.0,0.0,1140000.0,3617000.0,49000.0,0.0,531000.0,0.0,568000.0,0.0,14000.0,5000.0,0.0,328000.0,0.0,73000.0,150000.0,0.0,26694000.0,23814000.0,14950000.0,14950000.0,0.0,0.0,7982000.0,1601000.0,675000.0,734000.0,1147000.0,1305000.0,1634000.0,886000.0,0.0,882000.0,882000.0,0.0,0.0,0.0,0.0,0.0,0.0,395000.0,6000.0,0.0,58000.0,325000.0,6000.0,747000.0,0.0,37000.0,1701000.0,12161000.0,9779000.0,6950000.0,1544000.0,0.0,0.0,482000.0,172000.0,357000.0,751000.0,0.0,0.0,375000.0,245000.0,4515000.0,3546000.0,169000.0,92000.0,145000.0,300000.0,14000.0,10000.0,134000.0,104000.0,0.0,115000.0,23905000.0,10185000.0,11126000.0,22964000.0,0.0,0.0,2999000.0,2313000.0,20877000.0,401000.0,355000.0,235000.0,23012000.0,699000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Monroe Local,178.0,0.9490000000000001
3900537,36500110100000,39,39001,N,N,Manchester Local,Ohio,OH,03,3,18,1,1,PK,12,879.0,879.0,15917000.0,1339000.0,381000.0,245000.0,0.0,0.0,0.0,0.0,0.0,409000.0,304000.0,0.0,0.0,0.0,7222000.0,6153000.0,0.0,0.0,786000.0,0.0,0.0,0.0,5000.0,0.0,0.0,113000.0,165000.0,0.0,0.0,7356000.0,-2.0,6085000.0,0.0,0.0,0.0,0.0,800000.0,0.0,9000.0,0.0,41000.0,0.0,182000.0,0.0,54000.0,1000.0,0.0,121000.0,0.0,20000.0,43000.0,0.0,12311000.0,10795000.0,6607000.0,6607000.0,0.0,154000.0,3635000.0,482000.0,250000.0,309000.0,540000.0,952000.0,553000.0,549000.0,0.0,553000.0,502000.0,0.0,51000.0,255000.0,255000.0,0.0,0.0,190000.0,62000.0,0.0,56000.0,72000.0,0.0,473000.0,0.0,223000.0,221000.0,5697000.0,4099000.0,2555000.0,1049000.0,60000.0,0.0,158000.0,114000.0,144000.0,365000.0,250000.0,225000.0,93000.0,141000.0,2926000.0,1946000.0,86000.0,58000.0,78000.0,166000.0,139000.0,216000.0,63000.0,131000.0,0.0,17000.0,7005000.0,0.0,1250000.0,5755000.0,0.0,0.0,1593000.0,2754000.0,6821000.0,280000.0,458000.0,70000.0,10055000.0,641000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Manchester Local,65.0,0.985
3900537,36500110100000,39,39001,N,N,Manchester Local,Ohio,OH,03,3,18,1,1,PK,12,879.0,879.0,15917000.0,1339000.0,381000.0,245000.0,0.0,0.0,0.0,0.0,0.0,409000.0,304000.0,0.0,0.0,0.0,7222000.0,6153000.0,0.0,0.0,786000.0,0.0,0.0,0.0,5000.0,0.0,0.0,113000.0,165000.0,0.0,0.0,7356000.0,-2.0,6085000.0,0.0,0.0,0.0,0.0,800000.0,0.0,9000.0,0.0,41000.0,0.0,182000.0,0.0,54000.0,1000.0,0.0,121000.0,0.0,20000.0,43000.0,0.0,12311000.0,10795000.0,6607000.0,6607000.0,0.0,154000.0,3635000.0,482000.0,250000.0,309000.0,540000.0,952000.0,553000.0,549000.0,0.0,553000.0,502000.0,0.0,51000.0,255000.0,255000.0,0.0,0.0,190000.0,62000.0,0.0,56000.0,72000.0,0.0,473000.0,0.0,223000.0,221000.0,5697000.0,4099000.0,2555000.0,1049000.0,60000.0,0.0,158000.0,114000.0,144000.0,365000.0,250000.0,225000.0,93000.0,141000.0,2926000.0,1946000.0,86000.0,58000.0,78000.0,166000.0,139000.0,216000.0,63000.0,131000.0,0.0,17000.0,7005000.0,0.0,1250000.0,5755000.0,0.0,0.0,1593000.0,2754000.0,6821000.0,280000.0,458000.0,70000.0,10055000.0,641000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Manchester Local,136.0,0.956
3905000,36507700800000,39,39153,184,10420,Manchester Local,Ohio,OH,03,3,18,1,1,KG,12,1329.0,1329.0,17313000.0,608000.0,168000.0,280000.0,0.0,0.0,0.0,0.0,0.0,128000.0,32000.0,0.0,0.0,0.0,7546000.0,7345000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,70000.0,128000.0,0.0,0.0,9159000.0,-2.0,8397000.0,0.0,0.0,0.0,0.0,0.0,79000.0,0.0,0.0,222000.0,13000.0,223000.0,0.0,37000.0,8000.0,0.0,0.0,0.0,113000.0,67000.0,0.0,15988000.0,14470000.0,8224000.0,8224000.0,0.0,289000.0,5856000.0,1258000.0,401000.0,325000.0,778000.0,1601000.0,888000.0,605000.0,0.0,390000.0,390000.0,0.0,0.0,68000.0,0.0,68000.0,0.0,368000.0,105000.0,0.0,161000.0,102000.0,0.0,0.0,0.0,765000.0,28000.0,8751000.0,5573000.0,4090000.0,736000.0,66000.0,0.0,850000.0,245000.0,159000.0,412000.0,678000.0,502000.0,159000.0,173000.0,3389000.0,2112000.0,202000.0,114000.0,111000.0,272000.0,303000.0,145000.0,84000.0,46000.0,0.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244000.0,6265000.0,241000.0,438000.0,0.0,13960000.0,436000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,M,Manchester Local,65.0,0.985
3905000,36507700800000,39,39153,184,10420,Manchester Local,Ohio,OH,03,3,18,1,1,KG,12,1329.0,1329.0,17313000.0,608000.0,168000.0,280000.0,0.0,0.0,0.0,0.0,0.0,128000.0,32000.0,0.0,0.0,0.0,7546000.0,7345000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,70000.0,128000.0,0.0,0.0,9159000.0,-2.0,8397000.0,0.0,0.0,0.0,0.0,0.0,79000.0,0.0,0.0,222000.0,13000.0,223000.0,0.0,37000.0,8000.0,0.0,0.0,0.0,113000.0,67000.0,0.0,15988000.0,14470000.0,8224000.0,8224000.0,0.0,289000.0,5856000.0,1258000.0,401000.0,325000.0,778000.0,1601000.0,888000.0,605000.0,0.0,390000.0,390000.0,0.0,0.0,68000.0,0.0,68000.0,0.0,368000.0,105000.0,0.0,161000.0,102000.0,0.0,0.0,0.0,765000.0,28000.0,8751000.0,5573000.0,4090000.0,736000.0,66000.0,0.0,850000.0,245000.0,159000.0,412000.0,678000.0,502000.0,159000.0,173000.0,3389000.0,2112000.0,202000.0,114000.0,111000.0,272000.0,303000.0,145000.0,84000.0,46000.0,0.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244000.0,6265000.0,241000.0,438000.0,0.0,13960000.0,436000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,M,Manchester Local,136.0,0.956
3904348,36507700100000,39,39153,184,10420,Akron City,Ohio,OH,03,3,18,1,1,PK,12,21346.0,20846.0,378965000.0,31785000.0,12440000.0,5458000.0,0.0,0.0,658000.0,0.0,0.0,9405000.0,3210000.0,0.0,0.0,614000.0,210346000.0,165355000.0,0.0,0.0,43000.0,0.0,0.0,7000.0,228000.0,0.0,0.0,1479000.0,43234000.0,0.0,0.0,136834000.0,-2.0,116858000.0,0.0,0.0,0.0,6000.0,4984000.0,5377000.0,385000.0,0.0,334000.0,0.0,1150000.0,0.0,911000.0,183000.0,0.0,2023000.0,24000.0,1146000.0,3453000.0,0.0,416809000.0,316326000.0,178132000.0,178132000.0,10280000.0,26959000.0,126791000.0,23231000.0,17827000.0,4330000.0,19978000.0,31856000.0,12761000.0,16808000.0,0.0,11403000.0,11396000.0,0.0,7000.0,4478000.0,3697000.0,781000.0,0.0,48805000.0,45221000.0,100000.0,304000.0,2643000.0,537000.0,5146000.0,0.0,4815000.0,0.0,188370000.0,114796000.0,68473000.0,26077000.0,6503000.0,0.0,14886000.0,11232000.0,2591000.0,14080000.0,14062000.0,3325000.0,7904000.0,2719000.0,80987000.0,48806000.0,6361000.0,4784000.0,1052000.0,5807000.0,6902000.0,1974000.0,2728000.0,1849000.0,0.0,1441000.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,64855000.0,29128000.0,6286000.0,7065000.0,411000.0,297225000.0,18783000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,Akron City,1551.0,0.7979999999999999
3904349,36507600100000,39,39151,184,15940,Alliance City,Ohio,OH,03,3,18,1,1,PK,12,3088.0,3088.0,42889000.0,4001000.0,1257000.0,709000.0,0.0,0.0,118000.0,0.0,0.0,1495000.0,177000.0,0.0,0.0,245000.0,27303000.0,23270000.0,0.0,0.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,143000.0,1190000.0,0.0,0.0,11585000.0,-2.0,8446000.0,0.0,0.0,0.0,4000.0,1420000.0,588000.0,94000.0,0.0,47000.0,0.0,403000.0,0.0,74000.0,0.0,0.0,174000.0,0.0,138000.0,197000.0,0.0,40288000.0,36457000.0,21039000.0,21039000.0,0.0,507000.0,13636000.0,2215000.0,1713000.0,1027000.0,1977000.0,3898000.0,1193000.0,1613000.0,0.0,1782000.0,1782000.0,0.0,0.0,625000.0,132000.0,493000.0,0.0,1192000.0,285000.0,0.0,416000.0,491000.0,0.0,386000.0,0.0,315000.0,806000.0,21017000.0,13622000.0,8205000.0,3003000.0,844000.0,0.0,1338000.0,890000.0,568000.0,1372000.0,1114000.0,684000.0,574000.0,493000.0,8203000.0,5276000.0,477000.0,332000.0,187000.0,571000.0,528000.0,255000.0,247000.0,254000.0,0.0,262000.0,6170000.0,0.0,728000.0,5442000.0,0.0,0.0,590000.0,205000.0,12126000.0,879000.0,1302000.0,0.0,34229000.0,2181000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,I,R,R,R,R,R,R,R,R,R,R,M,Alliance City,238.0,0.8660000000000001
3904350,36500300100000,39,39005,360,11740,Ashland City,Ohio,OH,03,3,18,1,1,PK,12,3260.0,3260.0,40656000.0,2564000.0,836000.0,866000.0,0.0,0.0,0.0,0.0,0.0,599000.0,197000.0,0.0,0.0,66000.0,16183000.0,15513000.0,0.0,0.0,110000.0,0.0,0.0,0.0,11000.0,0.0,0.0,170000.0,379000.0,0.0,0.0,21909000.0,-2.0,17800000.0,0.0,0.0,0.0,57000.0,1342000.0,16000.0,28000.0,0.0,432000.0,0.0,446000.0,0.0,46000.0,19000.0,0.0,191000.0,0.0,297000.0,1235000.0,0.0,39152000.0,32504000.0,20220000.0,20220000.0,0.0,831000.0,11073000.0,2231000.0,1278000.0,810000.0,1755000.0,2101000.0,1128000.0,1770000.0,0.0,1211000.0,1210000.0,1000.0,0.0,260000.0,260000.0,0.0,0.0,4060000.0,3498000.0,0.0,39000.0,523000.0,0.0,382000.0,0.0,213000.0,902000.0,18258000.0,12870000.0,9214000.0,2384000.0,197000.0,0.0,779000.0,556000.0,387000.0,1118000.0,838000.0,587000.0,623000.0,453000.0,8176000.0,5551000.0,353000.0,276000.0,195000.0,571000.0,385000.0,248000.0,248000.0,339000.0,0.0,303000.0,27810000.0,0.0,563000.0,27040000.0,0.0,0.0,1640000.0,3634000.0,13515000.0,479000.0,748000.0,241000.0,30592000.0,1823000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,M,Ashland City,272.0,0.919
3904351,36500400200000,39,39007,184,11780,Ashtabula Area City,Ohio,OH,03,3,18,1,1,PK,12,3426.0,3426.0,52199000.0,5348000.0,2316000.0,1014000.0,0.0,0.0,0.0,0.0,0.0,1825000.0,144000.0,0.0,0.0,49000.0,31820000.0,25396000.0,0.0,0.0,3267000.0,0.0,0.0,0.0,0.0,0.0,0.0,708000.0,2449000.0,0.0,0.0,15031000.0,-2.0,13574000.0,0.0,0.0,0.0,87000.0,562000.0,36000.0,24000.0,0.0,185000.0,0.0,99000.0,0.0,3000.0,5000.0,1000.0,265000.0,0.0,60000.0,130000.0,0.0,46941000.0,41083000.0,24094000.0,24094000.0,411000.0,570000.0,15000000.0,2528000.0,771000.0,969000.0,1815000.0,4583000.0,2639000.0,1695000.0,0.0,1989000.0,1989000.0,0.0,0.0,391000.0,360000.0,31000.0,0.0,2011000.0,1269000.0,0.0,163000.0,579000.0,0.0,929000.0,0.0,658000.0,888000.0,20206000.0,13940000.0,8564000.0,3708000.0,0.0,0.0,1130000.0,300000.0,312000.0,1132000.0,1160000.0,1127000.0,378000.0,594000.0,11257000.0,7638000.0,524000.0,131000.0,152000.0,633000.0,668000.0,873000.0,216000.0,369000.0,0.0,87000.0,25865000.0,0.0,1680000.0,24185000.0,0.0,0.0,8497000.0,2427000.0,14559000.0,924000.0,1897000.0,68000.0,37586000.0,3435000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,I,R,R,R,R,R,R,R,R,R,R,M,Ashtabula Area City,264.0,0.7879999999999999
3904352,36500500300000,39,39009,N,11900,Athens City,Ohio,OH,03,3,18,1,1,PK,12,2593.0,2593.0,37859000.0,2000000.0,791000.0,453000.0,0.0,0.0,0.0,0.0,0.0,474000.0,194000.0,0.0,0.0,88000.0,9609000.0,9213000.0,0.0,0.0,171000.0,0.0,0.0,8000.0,8000.0,0.0,0.0,134000.0,75000.0,0.0,0.0,26250000.0,-2.0,17869000.0,0.0,0.0,4195000.0,91000.0,2559000.0,346000.0,9000.0,0.0,175000.0,19000.0,229000.0,0.0,71000.0,72000.0,0.0,271000.0,0.0,58000.0,286000.0,0.0,32763000.0,32056000.0,20519000.0,20519000.0,0.0,0.0,10805000.0,2478000.0,1021000.0,719000.0,1745000.0,2922000.0,1358000.0,562000.0,0.0,732000.0,732000.0,0.0,0.0,0.0,0.0,0.0,0.0,590000.0,179000.0,0.0,326000.0,59000.0,26000.0,0.0,0.0,0.0,117000.0,19175000.0,13185000.0,9215000.0,2871000.0,81000.0,0.0,1455000.0,361000.0,407000.0,1258000.0,1273000.0,643000.0,336000.0,257000.0,7366000.0,4565000.0,706000.0,203000.0,156000.0,477000.0,564000.0,359000.0,154000.0,182000.0,0.0,196000.0,4816000.0,0.0,40000.0,4776000.0,0.0,0.0,1177000.0,3862000.0,11495000.0,758000.0,785000.0,172000.0,30524000.0,1469000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,I,R,R,R,R,R,R,R,R,R,R,M,Athens City,217.0,0.922
