LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
4500002,41501800100000,45,45035,N,16700,Dorchester 4,South Carolina,SC,03,3,18,1,1,PK,12,2348.0,2348.0,36568000.0,3266000.0,689000.0,713000.0,65000.0,0.0,28000.0,0.0,447000.0,1322000.0,2000.0,0.0,0.0,0.0,18696000.0,2951000.0,4405000.0,1405000.0,42000.0,0.0,42000.0,921000.0,332000.0,4000.0,317000.0,6669000.0,0.0,0.0,1608000.0,14606000.0,-2.0,10698000.0,0.0,0.0,0.0,0.0,0.0,2165000.0,69000.0,0.0,77000.0,0.0,567000.0,0.0,0.0,2000.0,0.0,108000.0,0.0,0.0,920000.0,0.0,35475000.0,31517000.0,15561000.0,15561000.0,0.0,0.0,13886000.0,2983355.0,2266000.0,485000.0,2039000.0,3288000.0,1519645.0,1305000.0,0.0,2070000.0,2019000.0,51000.0,0.0,56000.0,3000.0,53000.0,0.0,3116000.0,169000.0,0.0,310000.0,2581000.0,56000.0,200000.0,0.0,35000.0,551000.0,17588000.0,10136000.0,7241000.0,2667000.0,127000.0,41000.0,1332000.0,1324000.0,214000.0,1448000.0,671000.0,900000.0,834000.0,727000.0,6499000.0,3690000.0,474000.0,440000.0,74000.0,553000.0,281000.0,372000.0,300000.0,284000.0,0.0,0.0,15406000.0,1100000.0,1669000.0,14837000.0,0.0,0.0,0.0,5000.0,188000.0,721000.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Dorchester 4,178.0,0.8988764044900001
4500004,N,45,45083,273,43900,SC School for the Deaf and the Blind,South Carolina,SC,03,3,18,1,0,PK,12,214.0,214.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,R,R,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SC School for the Deaf and the Blind,27.0,0.55555555556
4500690,41500100100000,45,45001,273,24940,Abbeville,South Carolina,SC,03,3,18,1,1,PK,12,3011.0,3011.0,36676000.0,3863000.0,993000.0,987000.0,119000.0,0.0,52000.0,5000.0,125000.0,1429000.0,94000.0,0.0,0.0,59000.0,21799000.0,4525000.0,6191000.0,1070000.0,303000.0,0.0,69000.0,2039000.0,0.0,0.0,264000.0,6812000.0,0.0,0.0,526000.0,11014000.0,-2.0,9086000.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,0.0,261000.0,0.0,1121000.0,0.0,0.0,1000.0,0.0,9000.0,0.0,6000.0,525000.0,0.0,33907000.0,32515000.0,18414000.0,18414000.0,0.0,0.0,11961000.0,2941593.0,2235000.0,485000.0,1562000.0,3196000.0,797407.0,744000.0,0.0,2140000.0,2034000.0,106000.0,0.0,59000.0,1000.0,58000.0,0.0,1166000.0,908000.0,0.0,33000.0,201000.0,24000.0,87000.0,0.0,0.0,80000.0,18495000.0,12126000.0,9413000.0,1912000.0,677000.0,2000.0,1206000.0,1471000.0,186000.0,1121000.0,819000.0,471000.0,403000.0,691000.0,7512000.0,4910000.0,478000.0,534000.0,55000.0,426000.0,375000.0,152000.0,152000.0,391000.0,0.0,0.0,2970000.0,0.0,1641000.0,1329000.0,0.0,0.0,764000.0,2153000.0,11016000.0,953000.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Abbeville,217.0,0.83870967742
4500720,41500200100000,45,45003,N,12260,Aiken,South Carolina,SC,03,2,18,1,1,PK,12,24567.0,24567.0,295436000.0,23636000.0,8076000.0,5837000.0,1125000.0,0.0,299000.0,137000.0,278000.0,7403000.0,424000.0,57000.0,0.0,0.0,158853000.0,40581000.0,41409000.0,8519000.0,3568000.0,0.0,1246000.0,8178000.0,1000.0,245000.0,1944000.0,47218000.0,0.0,0.0,5944000.0,112947000.0,-2.0,77962000.0,0.0,0.0,0.0,18790000.0,3000.0,6485000.0,22000.0,0.0,1077000.0,0.0,4045000.0,0.0,0.0,10000.0,759000.0,1929000.0,12000.0,540000.0,1313000.0,0.0,287738000.0,232380000.0,133901000.0,133901000.0,0.0,5666000.0,88509000.0,18493530.0,15620000.0,3163000.0,15864000.0,21038000.0,6543470.0,7787000.0,0.0,9970000.0,9886000.0,84000.0,0.0,604000.0,182000.0,422000.0,0.0,40933000.0,29631000.0,409000.0,377000.0,6844000.0,3672000.0,1685000.0,0.0,96000.0,6374000.0,140202000.0,91267000.0,69823000.0,17218000.0,2351000.0,1125000.0,9758000.0,9275000.0,822000.0,11324000.0,6884000.0,3915000.0,3629000.0,3036000.0,54993000.0,34851000.0,3579000.0,3349000.0,1419000.0,4298000.0,2977000.0,1196000.0,1303000.0,1724000.0,0.0,0.0,99555000.0,19335000.0,24698000.0,94192000.0,0.0,0.0,0.0,22720000.0,118590000.0,6164000.0,0.0,960000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Aiken,1605.0,0.88971962617
4500750,41500300100000,45,45005,N,N,Allendale,South Carolina,SC,03,3,18,1,1,PK,12,1192.0,1192.0,22266000.0,3514000.0,1039000.0,799000.0,176000.0,0.0,29000.0,0.0,210000.0,1075000.0,186000.0,0.0,0.0,0.0,11716000.0,1899000.0,2485000.0,358000.0,980000.0,0.0,6000.0,285000.0,0.0,44000.0,248000.0,5004000.0,0.0,0.0,407000.0,7036000.0,-2.0,5420000.0,0.0,0.0,0.0,0.0,0.0,311000.0,0.0,0.0,49000.0,0.0,160000.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,1029000.0,0.0,22233000.0,19781000.0,8846000.0,8846000.0,0.0,0.0,9635000.0,1567143.0,1433000.0,746000.0,1152000.0,2031000.0,838857.0,1867000.0,0.0,1300000.0,1300000.0,0.0,0.0,144000.0,34000.0,110000.0,0.0,1839000.0,1080000.0,384000.0,131000.0,188000.0,56000.0,133000.0,0.0,0.0,336000.0,9583000.0,5325000.0,3572000.0,1038000.0,364000.0,155000.0,693000.0,841000.0,91000.0,805000.0,436000.0,408000.0,620000.0,347000.0,3708000.0,1930000.0,277000.0,276000.0,186000.0,271000.0,197000.0,151000.0,211000.0,140000.0,0.0,0.0,8935000.0,7000.0,995000.0,7947000.0,0.0,0.0,0.0,4695000.0,816000.0,482000.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Allendale,101.0,0.7425742574299999
4500780,41500400300000,45,45007,273,24860,Anderson,South Carolina,SC,03,3,18,1,1,PK,12,10079.0,10079.0,108883000.0,8111000.0,1681000.0,1912000.0,126000.0,0.0,99000.0,20000.0,307000.0,3143000.0,823000.0,0.0,0.0,0.0,60806000.0,14011000.0,17570000.0,4028000.0,49000.0,0.0,600000.0,5703000.0,39000.0,52000.0,538000.0,15219000.0,0.0,0.0,2997000.0,39966000.0,-2.0,21984000.0,0.0,0.0,0.0,10717000.0,53000.0,867000.0,66000.0,248000.0,980000.0,0.0,3752000.0,0.0,0.0,72000.0,262000.0,75000.0,0.0,16000.0,874000.0,0.0,98507000.0,83173000.0,49018000.0,49018000.0,0.0,0.0,28970000.0,7632914.0,3964000.0,679000.0,5212000.0,6888000.0,2363086.0,2231000.0,0.0,5185000.0,4264000.0,921000.0,0.0,126000.0,23000.0,103000.0,0.0,10742000.0,4225000.0,146000.0,1463000.0,4538000.0,370000.0,682000.0,0.0,611000.0,3173000.0,48592000.0,32363000.0,26185000.0,5537000.0,309000.0,101000.0,3760000.0,2394000.0,322000.0,3719000.0,1843000.0,1255000.0,1427000.0,1504000.0,19072000.0,12595000.0,1395000.0,901000.0,105000.0,1444000.0,815000.0,578000.0,525000.0,640000.0,0.0,0.0,69250000.0,0.0,5610000.0,63640000.0,0.0,0.0,3216000.0,3894000.0,22221000.0,1414000.0,0.0,1656000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Anderson,763.0,0.90170380079
4500810,41500400200000,45,45007,273,24860,Anderson 2,South Carolina,SC,03,3,18,1,1,PK,12,3790.0,3790.0,44515000.0,4064000.0,1037000.0,1036000.0,120000.0,0.0,44000.0,3000.0,401000.0,1354000.0,69000.0,0.0,0.0,0.0,25385000.0,5717000.0,7130000.0,1484000.0,715000.0,0.0,278000.0,2292000.0,0.0,51000.0,275000.0,6519000.0,0.0,0.0,924000.0,15066000.0,-2.0,8419000.0,0.0,0.0,0.0,4024000.0,1000.0,222000.0,17000.0,0.0,489000.0,0.0,1178000.0,0.0,0.0,4000.0,6000.0,96000.0,0.0,136000.0,474000.0,0.0,44768000.0,38360000.0,21654000.0,21654000.0,0.0,0.0,14503000.0,3392905.0,2675000.0,483000.0,2128000.0,3193000.0,1204095.0,1427000.0,0.0,2203000.0,2082000.0,121000.0,0.0,52000.0,0.0,52000.0,0.0,5338000.0,4298000.0,0.0,99000.0,866000.0,75000.0,60000.0,0.0,113000.0,845000.0,19443000.0,12455000.0,9666000.0,2189000.0,371000.0,194000.0,1346000.0,1441000.0,302000.0,1466000.0,396000.0,627000.0,723000.0,688000.0,8237000.0,5222000.0,519000.0,601000.0,95000.0,596000.0,193000.0,278000.0,293000.0,424000.0,0.0,0.0,22818000.0,0.0,2120000.0,20698000.0,0.0,0.0,709000.0,19000.0,7954000.0,595000.0,0.0,5000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Anderson 2,293.0,0.84300341297
4500840,41500400500000,45,45007,273,24860,Anderson 3,South Carolina,SC,03,3,18,1,1,PK,12,2595.0,2595.0,31926000.0,3783000.0,1210000.0,912000.0,107000.0,0.0,46000.0,2000.0,74000.0,1432000.0,0.0,0.0,0.0,0.0,17323000.0,3654000.0,5018000.0,1294000.0,523000.0,0.0,100000.0,1571000.0,0.0,11000.0,308000.0,4284000.0,0.0,0.0,560000.0,10820000.0,-2.0,7000000.0,0.0,0.0,0.0,0.0,0.0,770000.0,8000.0,0.0,221000.0,0.0,729000.0,0.0,0.0,0.0,0.0,86000.0,0.0,0.0,2006000.0,0.0,32362000.0,27441000.0,14568000.0,14568000.0,0.0,0.0,11026000.0,2216663.0,1907000.0,533000.0,1522000.0,2332000.0,1224337.0,1291000.0,0.0,1847000.0,1703000.0,144000.0,0.0,51000.0,35000.0,16000.0,0.0,3733000.0,3060000.0,0.0,102000.0,171000.0,400000.0,5000.0,0.0,19000.0,1113000.0,15194000.0,9282000.0,6734000.0,1826000.0,509000.0,183000.0,976000.0,1244000.0,310000.0,1055000.0,582000.0,659000.0,496000.0,591000.0,6235000.0,3799000.0,366000.0,465000.0,60000.0,426000.0,263000.0,360000.0,192000.0,293000.0,0.0,0.0,51807000.0,696000.0,2767000.0,49736000.0,0.0,0.0,0.0,0.0,5082000.0,550000.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Anderson 3,161.0,0.91925465839
4500870,41500400400000,45,45007,273,24860,Anderson 4,South Carolina,SC,03,3,18,1,1,PK,12,2877.0,2877.0,48556000.0,2705000.0,627000.0,565000.0,53000.0,0.0,35000.0,4000.0,0.0,992000.0,206000.0,223000.0,0.0,0.0,18097000.0,3300000.0,4492000.0,1273000.0,14000.0,0.0,166000.0,1138000.0,0.0,16000.0,263000.0,6704000.0,0.0,0.0,731000.0,27754000.0,-2.0,14596000.0,0.0,0.0,0.0,806000.0,0.0,1181000.0,9000.0,0.0,245000.0,0.0,901000.0,0.0,0.0,0.0,0.0,97000.0,0.0,20000.0,9899000.0,0.0,38031000.0,34057000.0,19675000.0,19675000.0,0.0,0.0,12908000.0,2718559.0,1749000.0,433000.0,1989000.0,3393000.0,997441.0,1628000.0,0.0,1474000.0,1407000.0,67000.0,0.0,16000.0,10000.0,6000.0,0.0,2636000.0,1870000.0,0.0,85000.0,615000.0,66000.0,0.0,0.0,73000.0,1249000.0,18581000.0,12122000.0,9374000.0,1601000.0,510000.0,162000.0,1389000.0,933000.0,220000.0,1427000.0,1037000.0,560000.0,835000.0,58000.0,7158000.0,4802000.0,484000.0,326000.0,94000.0,532000.0,404000.0,218000.0,271000.0,29000.0,0.0,0.0,60237000.0,11304000.0,4094000.0,67447000.0,0.0,0.0,0.0,0.0,8196000.0,662000.0,0.0,0.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Anderson 4,233.0,0.8497854077300001
4500900,41500400100000,45,45007,273,24860,Anderson 5,South Carolina,SC,03,2,18,1,1,PK,12,13208.0,13208.0,162880000.0,13779000.0,3906000.0,2379000.0,583000.0,0.0,200000.0,56000.0,246000.0,6045000.0,364000.0,0.0,0.0,0.0,83026000.0,20748000.0,22654000.0,5109000.0,1932000.0,0.0,775000.0,2017000.0,0.0,0.0,1047000.0,24740000.0,0.0,0.0,4004000.0,66075000.0,-2.0,40607000.0,0.0,0.0,0.0,13921000.0,99000.0,3883000.0,0.0,0.0,1081000.0,0.0,3545000.0,0.0,0.0,125000.0,5000.0,822000.0,0.0,71000.0,1916000.0,0.0,153573000.0,130160000.0,69677000.0,69677000.0,0.0,711000.0,53560000.0,15090382.0,5934000.0,625000.0,7805000.0,12037000.0,5123618.0,6945000.0,0.0,6923000.0,6923000.0,0.0,0.0,284000.0,35000.0,249000.0,0.0,13454000.0,8567000.0,0.0,692000.0,4131000.0,64000.0,1171000.0,0.0,51000.0,7742000.0,74227000.0,46474000.0,35829000.0,7825000.0,1156000.0,1190000.0,7331000.0,2957000.0,230000.0,5632000.0,4020000.0,2490000.0,2542000.0,2552000.0,29725000.0,18718000.0,2426000.0,1124000.0,102000.0,2113000.0,1789000.0,952000.0,1633000.0,723000.0,0.0,0.0,188806000.0,25654000.0,6141000.0,208320000.0,0.0,0.0,6836000.0,37198000.0,55032000.0,2682000.0,0.0,14000.0,-1.0,-1.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,R,R,R,R,R,R,R,M,I,N,R,M,M,M,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,M,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,M,M,R,R,R,R,M,R,M,M,M,Anderson 5,906.0,0.8267108167799999
