LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
4700001,43103203230100,47,47063,314,34100,Hamblen County,Tennessee,TN,03,3,18,1,1,PK,12,10543.0,10543.0,99633000.0,11468000.0,2775000.0,2597000.0,0.0,0.0,176000.0,154000.0,470000.0,5296000.0,0.0,0.0,0.0,0.0,53988000.0,52652000.0,186000.0,0.0,0.0,0.0,0.0,0.0,57000.0,0.0,0.0,1093000.0,0.0,0.0,0.0,34177000.0,26902000.0,-2.0,-2.0,-2.0,-2.0,-2.0,488000.0,0.0,128000.0,0.0,1212000.0,0.0,4837000.0,0.0,245000.0,0.0,13000.0,9000.0,0.0,306000.0,37000.0,0.0,98611000.0,90777000.0,60958000.0,60958000.0,0.0,0.0,24077000.0,2778000.0,2937000.0,1657000.0,4731000.0,7433000.0,2789000.0,1752000.0,0.0,5742000.0,5742000.0,0.0,0.0,241000.0,241000.0,0.0,0.0,6653000.0,3697000.0,0.0,1464000.0,1492000.0,0.0,0.0,0.0,0.0,940000.0,55160000.0,40768000.0,30191000.0,3162000.0,2480000.0,0.0,2068000.0,1239000.0,435000.0,3519000.0,2745000.0,1262000.0,943000.0,1986000.0,18845000.0,14143000.0,583000.0,378000.0,113000.0,1105000.0,1013000.0,624000.0,285000.0,574000.0,0.0,308000.0,22807000.0,0.0,4498000.0,18308000.0,0.0,0.0,0.0,0.0,0.0,2626000.0,496000.0,252000.0,76312000.0,9926000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Hamblen County,645.0,0.941
4700060,43200500130100,47,47009,314,28940,Alcoa,Tennessee,TN,03,3,18,1,1,PK,12,2047.0,2047.0,23446000.0,1528000.0,339000.0,394000.0,0.0,0.0,71000.0,0.0,147000.0,577000.0,0.0,0.0,0.0,0.0,8946000.0,8431000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484000.0,0.0,0.0,0.0,12972000.0,4020000.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,7100000.0,237000.0,0.0,0.0,0.0,1370000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,244000.0,0.0,25240000.0,22415000.0,14315000.0,14315000.0,0.0,0.0,8099000.0,1005000.0,912000.0,755000.0,1531000.0,2649000.0,303000.0,944000.0,0.0,1000.0,1000.0,0.0,0.0,73000.0,73000.0,0.0,0.0,794000.0,0.0,0.0,498000.0,296000.0,0.0,0.0,0.0,574000.0,1384000.0,12834000.0,9218000.0,7470000.0,674000.0,316000.0,0.0,626000.0,633000.0,115000.0,1148000.0,511000.0,16000.0,517000.0,0.0,4482000.0,3247000.0,166000.0,190000.0,40000.0,350000.0,285000.0,4000.0,178000.0,0.0,0.0,55000.0,39425000.0,0.0,440000.0,38985000.0,0.0,0.0,0.0,0.0,0.0,938000.0,206000.0,0.0,19907000.0,1388000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Alcoa,139.0,0.986
4700090,43100100130100,47,47001,314,28940,Anderson County,Tennessee,TN,03,3,18,1,1,PK,12,6548.0,6548.0,74518000.0,11376000.0,1662000.0,1833000.0,0.0,0.0,279000.0,0.0,1070000.0,2919000.0,0.0,0.0,0.0,3613000.0,34687000.0,31743000.0,140000.0,0.0,0.0,0.0,0.0,232000.0,29000.0,0.0,0.0,2543000.0,0.0,0.0,0.0,28455000.0,24453000.0,-2.0,-2.0,-2.0,-2.0,-2.0,181000.0,0.0,0.0,0.0,528000.0,0.0,3067000.0,0.0,87000.0,0.0,2000.0,29000.0,0.0,0.0,108000.0,0.0,71880000.0,63889000.0,37204000.0,37204000.0,0.0,0.0,23597000.0,3277000.0,4420000.0,1574000.0,3559000.0,5760000.0,3285000.0,1722000.0,0.0,3088000.0,3088000.0,0.0,0.0,3866000.0,3866000.0,0.0,0.0,3179000.0,1085000.0,3000.0,1162000.0,929000.0,0.0,0.0,0.0,0.0,946000.0,41283000.0,26566000.0,17820000.0,3788000.0,2176000.0,0.0,2135000.0,2867000.0,348000.0,2780000.0,2172000.0,74000.0,957000.0,1284000.0,10812000.0,6922000.0,571000.0,765000.0,72000.0,737000.0,699000.0,5000.0,230000.0,324000.0,0.0,65000.0,33197000.0,11080000.0,2591000.0,41686000.0,0.0,0.0,0.0,0.0,0.0,1734000.0,484000.0,53000.0,51429000.0,9265000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Anderson County,527.0,0.937
4700144,N,47,47049,N,N,Alvin C York Institute,Tennessee,TN,02,3,18,1,0,09,12,538.0,538.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Alvin C York Institute,143.0,0.93
4700145,N,47,47037,400,34980,Tennessee School for the Blind,Tennessee,TN,03,3,18,1,0,01,12,131.0,131.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Tennessee School for the Blind,14.0,0.14300000000000002
4700146,N,47,47093,314,28940,Tennessee School for the Deaf,Tennessee,TN,03,3,18,1,0,PK,12,135.0,135.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Tennessee School for the Deaf,22.0,0.727
4700147,43000000030100,47,47037,400,34980,Achievement,Tennessee,TN,03,2,18,1,1,PK,12,11419.0,11419.0,139329000.0,14276000.0,6467000.0,2584000.0,0.0,0.0,0.0,0.0,5225000.0,0.0,0.0,0.0,0.0,0.0,106213000.0,102527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686000.0,0.0,0.0,0.0,18840000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,15534000.0,3283000.0,0.0,137548000.0,132284000.0,77826000.0,77826000.0,0.0,0.0,54143000.0,9044000.0,15485000.0,0.0,13589000.0,10351000.0,2943000.0,2731000.0,0.0,315000.0,315000.0,0.0,0.0,980000.0,980000.0,0.0,0.0,2411000.0,0.0,0.0,980000.0,1431000.0,0.0,0.0,0.0,1873000.0,0.0,77188000.0,54021000.0,39191000.0,8377000.0,266000.0,0.0,5373000.0,7924000.0,0.0,7703000.0,813000.0,0.0,684000.0,0.0,18666000.0,13585000.0,969000.0,1757000.0,0.0,1867000.0,54000.0,0.0,434000.0,0.0,0.0,1097000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15170000.0,2573000.0,426000.0,0.0,112792000.0,12876000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Achievement,867.0,0.532
4700148,43107907930100,47,47157,368,32820,Shelby County,Tennessee,TN,03,2,18,1,1,PK,12,109591.0,109591.0,1373692000.0,242648000.0,84501000.0,29002000.0,0.0,964000.0,2653000.0,1017000.0,15467000.0,81255000.0,0.0,0.0,0.0,27789000.0,599968000.0,579595000.0,1350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19023000.0,0.0,0.0,0.0,531076000.0,467307000.0,-2.0,-2.0,-2.0,-2.0,-2.0,954000.0,0.0,142000.0,0.0,139000.0,0.0,19835000.0,0.0,10421000.0,0.0,494000.0,2474000.0,0.0,5338000.0,23972000.0,0.0,1361881000.0,1210378000.0,722946000.0,722946000.0,0.0,0.0,413501000.0,85779000.0,67296000.0,16931000.0,85492000.0,100512000.0,27171000.0,30320000.0,0.0,73931000.0,73931000.0,0.0,0.0,10846000.0,10174000.0,672000.0,0.0,102453000.0,55753000.0,0.0,31217000.0,15483000.0,0.0,0.0,0.0,570000.0,37634000.0,708180000.0,472990000.0,325543000.0,55258000.0,11767000.0,10473000.0,54744000.0,45440000.0,3897000.0,60493000.0,24687000.0,785000.0,13841000.0,25786000.0,209140000.0,148053000.0,13402000.0,10586000.0,809000.0,15611000.0,5971000.0,347000.0,8227000.0,4893000.0,0.0,4723000.0,817153000.0,0.0,82537000.0,734616000.0,0.0,0.0,0.0,0.0,0.0,26727000.0,250000.0,7051000.0,946749000.0,203109000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Shelby County,8434.0,0.7959999999999999
4700149,43207900310200,47,47157,368,32820,Collierville,Tennessee,TN,03,3,18,1,1,PK,12,8671.0,8671.0,117966000.0,3856000.0,1135000.0,1662000.0,0.0,0.0,0.0,38000.0,338000.0,683000.0,0.0,0.0,0.0,0.0,40067000.0,39627000.0,151000.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,270000.0,0.0,0.0,0.0,74043000.0,26931000.0,-2.0,-2.0,-2.0,-2.0,-2.0,77000.0,37123000.0,18000.0,0.0,1182000.0,0.0,6533000.0,0.0,1093000.0,0.0,283000.0,0.0,0.0,0.0,803000.0,0.0,136879000.0,81598000.0,51029000.0,51029000.0,0.0,0.0,28654000.0,4056000.0,4361000.0,1790000.0,4903000.0,4355000.0,2859000.0,6330000.0,0.0,1915000.0,1915000.0,0.0,0.0,0.0,0.0,0.0,0.0,51517000.0,25324000.0,14500000.0,1408000.0,10285000.0,0.0,0.0,0.0,0.0,3764000.0,48297000.0,33532000.0,27043000.0,3076000.0,739000.0,77000.0,3111000.0,2762000.0,279000.0,3867000.0,1060000.0,294000.0,2527000.0,867000.0,12883000.0,8840000.0,695000.0,617000.0,547000.0,1004000.0,276000.0,43000.0,638000.0,225000.0,0.0,347000.0,92680000.0,0.0,1660000.0,91020000.0,0.0,0.0,0.0,0.0,0.0,1421000.0,2724000.0,250000.0,74236000.0,3283000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Collierville,529.0,0.945
4700150,43207900610100,47,47157,368,32820,Millington,Tennessee,TN,03,3,18,1,1,PK,12,2632.0,2632.0,29423000.0,3812000.0,1154000.0,656000.0,0.0,22000.0,0.0,10000.0,282000.0,1563000.0,0.0,49000.0,0.0,76000.0,13454000.0,12981000.0,46000.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,411000.0,0.0,0.0,0.0,12157000.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,10450000.0,0.0,0.0,85000.0,0.0,603000.0,0.0,106000.0,0.0,0.0,4000.0,0.0,4000.0,905000.0,0.0,28038000.0,26073000.0,14912000.0,14912000.0,0.0,0.0,9644000.0,841000.0,1780000.0,562000.0,2001000.0,1890000.0,1139000.0,1431000.0,0.0,1517000.0,1517000.0,0.0,0.0,0.0,0.0,0.0,0.0,1960000.0,1072000.0,0.0,631000.0,257000.0,0.0,0.0,0.0,5000.0,0.0,15685000.0,10529000.0,7794000.0,994000.0,781000.0,70000.0,507000.0,1208000.0,270000.0,1550000.0,397000.0,0.0,685000.0,537000.0,4070000.0,2729000.0,132000.0,267000.0,93000.0,433000.0,97000.0,0.0,187000.0,131000.0,0.0,235000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678000.0,396000.0,28000.0,21601000.0,3167000.0,0.0,1.0,R,R,R,R,M,R,R,R,R,R,R,R,M,R,R,R,M,M,M,R,R,R,M,M,R,R,R,R,R,N,N,N,N,N,R,R,R,M,R,M,R,R,R,M,R,R,M,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,R,R,R,R,R,M,M,R,R,R,R,R,R,I,I,M,Millington,220.0,0.85
