LEAID,CENSUSID,FIPST,CONUM,CSA,CBSA,NAME,STNAME,STABBR,SCHLEV,AGCHRT,YEAR,CCDNF,CENFILE,GSLO,GSHI,V33,MEMBERSCH,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,WEIGHT,FL_V33,FL_MEMBERSCH,FL_C14,FL_C15,FL_C16,FL_C17,FL_C19,FL_B11,FL_C20,FL_C25,FL_C36,FL_B10,FL_B12,FL_B13,FL_C01,FL_C04,FL_C05,FL_C06,FL_C07,FL_C08,FL_C09,FL_C10,FL_C11,FL_C12,FL_C13,FL_C35,FL_C38,FL_C39,FL_T02,FL_T06,FL_T09,FL_T15,FL_T40,FL_T99,FL_D11,FL_D23,FL_A07,FL_A08,FL_A09,FL_A11,FL_A13,FL_A15,FL_A20,FL_A40,FL_U11,FL_U22,FL_U30,FL_U50,FL_U97,FL_C24,FL_E13,FL_V91,FL_V92,FL_E17,FL_E07,FL_E08,FL_E09,FL_V40,FL_V45,FL_V90,FL_V85,FL_E11,FL_V60,FL_V65,FL_V70,FL_V75,FL_V80,FL_F12,FL_G15,FL_K09,FL_K10,FL_K11,FL_L12,FL_M12,FL_Q11,FL_I86,FL_Z32,FL_Z33,FL_Z35,FL_Z36,FL_Z37,FL_Z38,FL_V11,FL_V13,FL_V15,FL_V17,FL_V21,FL_V23,FL_V37,FL_V29,FL_Z34,FL_V10,FL_V12,FL_V14,FL_V16,FL_V18,FL_V22,FL_V24,FL_V38,FL_V30,FL_V32,FL_V93,FL_19H,FL_21F,FL_31F,FL_41F,FL_61V,FL_66V,FL_W01,FL_W31,FL_W61,FL_V95,FL_V02,FL_K14,FL_CE1,FL_CE2,FL_CE3,District Name,Total,Graduation Rate
5300001,48501700600000,53,53033,500,42660,Enumclaw School District,Washington,WA,03,3,18,1,1,PK,12,4117.0,4117.0,63657000.0,2410000.0,431000.0,977000.0,0.0,0.0,23000.0,0.0,47000.0,661000.0,134000.0,0.0,17000.0,120000.0,41238000.0,27884000.0,0.0,5483000.0,1504000.0,308000.0,96000.0,0.0,18000.0,2639000.0,2428000.0,878000.0,0.0,0.0,0.0,20009000.0,-2.0,15610000.0,0.0,0.0,0.0,1000.0,119000.0,258000.0,6000.0,0.0,614000.0,0.0,552000.0,0.0,5000.0,130000.0,19000.0,394000.0,0.0,1322000.0,979000.0,0.0,82109000.0,52989000.0,29329000.0,29329000.0,0.0,0.0,21153000.0,3618000.0,3598000.0,585000.0,3260000.0,4807000.0,2542000.0,2743000.0,0.0,2507000.0,1986000.0,521000.0,0.0,56000.0,56000.0,0.0,0.0,26035000.0,24495000.0,0.0,169000.0,1371000.0,0.0,0.0,0.0,0.0,3029000.0,32128000.0,19167000.0,11868000.0,1984000.0,1097000.0,770000.0,2282000.0,2359000.0,312000.0,2327000.0,1744000.0,1291000.0,1923000.0,677000.0,12443000.0,7303000.0,941000.0,754000.0,84000.0,873000.0,840000.0,648000.0,367000.0,387000.0,0.0,0.0,63615000.0,0.0,1505000.0,62110000.0,0.0,0.0,1611000.0,5446000.0,5115000.0,0.0,0.0,0.0,50713000.0,2275000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Enumclaw School District,339.0,0.8555
5300002,48501000300000,53,53019,N,N,Inchelium School District,Washington,WA,03,3,18,1,1,KG,12,227.0,227.0,4789000.0,1656000.0,84000.0,55000.0,0.0,0.0,0.0,0.0,102000.0,98000.0,23000.0,1135000.0,59000.0,100000.0,2896000.0,2161000.0,0.0,196000.0,151000.0,0.0,5000.0,0.0,3000.0,0.0,0.0,380000.0,0.0,0.0,0.0,237000.0,-2.0,101000.0,0.0,0.0,0.0,0.0,6000.0,2000.0,11000.0,0.0,14000.0,0.0,39000.0,0.0,0.0,18000.0,0.0,29000.0,0.0,5000.0,12000.0,0.0,4604000.0,4583000.0,2792000.0,2792000.0,0.0,0.0,1554000.0,209000.0,103000.0,210000.0,208000.0,531000.0,30000.0,263000.0,0.0,237000.0,198000.0,39000.0,0.0,3000.0,3000.0,0.0,0.0,18000.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,2373000.0,1746000.0,996000.0,116000.0,32000.0,118000.0,72000.0,11000.0,118000.0,148000.0,154000.0,0.0,53000.0,68000.0,972000.0,693000.0,26000.0,11000.0,41000.0,55000.0,71000.0,0.0,44000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563000.0,1872000.0,0.0,0.0,0.0,4090000.0,493000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Inchelium School District,14.0,0.4286
5300003,48500800500000,53,53015,440,31020,Kelso School District,Washington,WA,03,3,18,1,1,PK,12,5156.0,5156.0,67282000.0,4498000.0,1220000.0,1141000.0,0.0,0.0,39000.0,0.0,67000.0,1555000.0,223000.0,0.0,77000.0,176000.0,50344000.0,34134000.0,0.0,6486000.0,2459000.0,364000.0,114000.0,0.0,42000.0,0.0,2296000.0,4449000.0,0.0,0.0,0.0,12440000.0,-2.0,10172000.0,0.0,0.0,0.0,0.0,2000.0,355000.0,21000.0,0.0,420000.0,0.0,591000.0,0.0,63000.0,42000.0,1000.0,354000.0,0.0,74000.0,345000.0,0.0,67292000.0,62605000.0,36935000.0,36935000.0,0.0,0.0,22725000.0,4279000.0,4200000.0,479000.0,3800000.0,5331000.0,1917000.0,2719000.0,0.0,2945000.0,2341000.0,604000.0,0.0,124000.0,124000.0,0.0,0.0,4015000.0,2121000.0,1673000.0,15000.0,206000.0,0.0,0.0,0.0,102000.0,446000.0,36537000.0,23188000.0,15171000.0,2136000.0,970000.0,1062000.0,2599000.0,2154000.0,264000.0,2726000.0,2016000.0,1215000.0,1536000.0,791000.0,14496000.0,8970000.0,1075000.0,717000.0,76000.0,1003000.0,1102000.0,548000.0,486000.0,408000.0,0.0,0.0,14892000.0,67700000.0,4109000.0,78483000.0,0.0,0.0,3826000.0,63629000.0,4593000.0,0.0,0.0,0.0,58334000.0,4271000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Kelso School District,402.0,0.8731
5300010,48503220100000,53,53063,518,44060,ESD 101 acting as a school district,Washington,WA,07,3,18,1,1,06,12,-3.0,191.0,19706000.0,4126000.0,438000.0,466000.0,0.0,0.0,0.0,0.0,2891000.0,16000.0,0.0,0.0,0.0,315000.0,5884000.0,747000.0,0.0,0.0,841000.0,483000.0,2159000.0,0.0,0.0,0.0,181000.0,1473000.0,0.0,0.0,0.0,9696000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5120000.0,0.0,335000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,13000.0,4138000.0,0.0,14444000.0,14286000.0,3992000.0,3992000.0,0.0,0.0,10294000.0,0.0,1014000.0,478000.0,0.0,423000.0,131000.0,8248000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137000.0,0.0,0.0,0.0,137000.0,0.0,0.0,0.0,0.0,21000.0,10701000.0,2737000.0,0.0,0.0,0.0,0.0,0.0,735000.0,371000.0,0.0,265000.0,98000.0,6495000.0,0.0,3537000.0,1255000.0,0.0,279000.0,107000.0,0.0,111000.0,33000.0,1753000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2539000.0,4127000.0,0.0,1.0,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,I,I,R,R,I,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,ESD 101 acting as a school district,,
5300014,N,53,53053,500,42660,Bates Technical College,Washington,WA,02,3,18,1,0,09,12,296.0,296.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Bates Technical College,,
5300030,48501400100000,53,53027,N,10140,Aberdeen School District,Washington,WA,03,3,18,1,1,PK,12,3435.0,3435.0,51683000.0,5232000.0,1315000.0,859000.0,0.0,0.0,40000.0,0.0,417000.0,1609000.0,820000.0,0.0,23000.0,149000.0,37195000.0,23284000.0,0.0,4513000.0,3801000.0,484000.0,77000.0,0.0,28000.0,0.0,1160000.0,3848000.0,0.0,0.0,0.0,9256000.0,-2.0,7846000.0,0.0,0.0,0.0,71000.0,200000.0,68000.0,30000.0,0.0,25000.0,0.0,408000.0,0.0,31000.0,24000.0,0.0,57000.0,0.0,206000.0,290000.0,0.0,48838000.0,46262000.0,29333000.0,29333000.0,0.0,0.0,14363000.0,2817000.0,2075000.0,461000.0,2465000.0,3813000.0,1100000.0,1632000.0,0.0,2566000.0,2186000.0,380000.0,0.0,231000.0,231000.0,0.0,0.0,1871000.0,392000.0,203000.0,157000.0,1119000.0,0.0,0.0,0.0,0.0,474000.0,26480000.0,18376000.0,9159000.0,1740000.0,1243000.0,2064000.0,1335000.0,1126000.0,246000.0,1692000.0,1377000.0,470000.0,983000.0,745000.0,11242000.0,7751000.0,557000.0,436000.0,80000.0,691000.0,682000.0,216000.0,231000.0,413000.0,0.0,0.0,18874000.0,0.0,3384000.0,15490000.0,0.0,0.0,2229000.0,142000.0,3924000.0,0.0,0.0,0.0,41853000.0,4409000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Aberdeen School District,252.0,0.7698
5300060,48502100100000,53,53041,500,16500,Adna School District,Washington,WA,03,3,18,1,1,PK,12,643.0,643.0,12641000.0,530000.0,156000.0,119000.0,0.0,0.0,5000.0,0.0,43000.0,108000.0,39000.0,0.0,0.0,60000.0,10452000.0,4774000.0,0.0,524000.0,125000.0,0.0,15000.0,0.0,4000.0,4160000.0,387000.0,463000.0,0.0,0.0,0.0,1659000.0,-2.0,1224000.0,0.0,0.0,0.0,0.0,17000.0,59000.0,0.0,0.0,124000.0,0.0,127000.0,0.0,0.0,27000.0,0.0,45000.0,0.0,0.0,36000.0,0.0,12452000.0,7532000.0,4905000.0,4905000.0,0.0,0.0,2261000.0,93000.0,93000.0,123000.0,418000.0,923000.0,383000.0,228000.0,0.0,366000.0,263000.0,103000.0,0.0,0.0,0.0,0.0,0.0,4660000.0,4527000.0,0.0,17000.0,116000.0,0.0,0.0,0.0,0.0,260000.0,3792000.0,2924000.0,1948000.0,120000.0,239000.0,122000.0,57000.0,5000.0,66000.0,284000.0,248000.0,0.0,122000.0,86000.0,1621000.0,1196000.0,26000.0,1000.0,24000.0,131000.0,134000.0,0.0,52000.0,57000.0,0.0,0.0,7130000.0,0.0,275000.0,6855000.0,0.0,0.0,927000.0,716000.0,1696000.0,0.0,0.0,0.0,7040000.0,492000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Adna School District,,
5300150,48502900100000,53,53057,500,34580,Anacortes School District,Washington,WA,03,3,18,1,1,PK,12,2806.0,2806.0,43024000.0,1450000.0,283000.0,530000.0,0.0,0.0,0.0,0.0,33000.0,335000.0,212000.0,0.0,0.0,57000.0,23402000.0,18920000.0,0.0,2746000.0,552000.0,80000.0,64000.0,0.0,9000.0,0.0,1004000.0,27000.0,0.0,0.0,0.0,18172000.0,-2.0,16073000.0,0.0,0.0,0.0,0.0,5000.0,82000.0,218000.0,0.0,390000.0,0.0,286000.0,0.0,6000.0,56000.0,0.0,649000.0,0.0,240000.0,167000.0,0.0,78270000.0,37369000.0,21765000.0,21765000.0,0.0,0.0,14452000.0,2349000.0,2918000.0,674000.0,2714000.0,3040000.0,1162000.0,1595000.0,0.0,1152000.0,865000.0,287000.0,0.0,80000.0,80000.0,0.0,0.0,37543000.0,36974000.0,443000.0,0.0,126000.0,0.0,0.0,0.0,0.0,3278000.0,23130000.0,14110000.0,10401000.0,1034000.0,463000.0,373000.0,1513000.0,1735000.0,317000.0,1973000.0,1154000.0,745000.0,1173000.0,371000.0,8470000.0,5155000.0,556000.0,535000.0,108000.0,706000.0,549000.0,313000.0,186000.0,190000.0,0.0,0.0,80785000.0,0.0,2475000.0,78310000.0,0.0,0.0,2180000.0,33843000.0,2742000.0,0.0,0.0,0.0,36131000.0,1238000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Anacortes School District,183.0,0.9016
5300240,48503100100000,53,53061,500,42660,Arlington School District,Washington,WA,03,3,18,1,1,PK,12,5575.0,5575.0,78120000.0,3038000.0,620000.0,1135000.0,0.0,0.0,23000.0,0.0,39000.0,890000.0,171000.0,0.0,0.0,160000.0,52746000.0,37786000.0,0.0,7027000.0,1723000.0,323000.0,131000.0,0.0,26000.0,9000.0,3026000.0,2695000.0,0.0,0.0,0.0,22336000.0,-2.0,19177000.0,0.0,0.0,0.0,0.0,25000.0,47000.0,99000.0,0.0,749000.0,0.0,919000.0,0.0,94000.0,87000.0,461000.0,208000.0,0.0,180000.0,290000.0,0.0,71117000.0,68262000.0,43248000.0,43248000.0,0.0,0.0,22339000.0,4332000.0,2971000.0,615000.0,4832000.0,4736000.0,2927000.0,1926000.0,0.0,2675000.0,1777000.0,898000.0,0.0,207000.0,207000.0,0.0,0.0,2060000.0,889000.0,189000.0,57000.0,925000.0,0.0,0.0,0.0,38000.0,550000.0,43105000.0,29466000.0,20570000.0,2658000.0,1451000.0,1065000.0,2764000.0,1704000.0,346000.0,3465000.0,1950000.0,1654000.0,1047000.0,630000.0,16014000.0,10572000.0,1031000.0,564000.0,91000.0,1284000.0,950000.0,804000.0,402000.0,316000.0,0.0,0.0,23200000.0,1212000.0,4905000.0,19507000.0,0.0,0.0,5331000.0,1307000.0,10046000.0,0.0,0.0,0.0,65396000.0,2866000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Arlington School District,402.0,0.8532
5300280,48500200200000,53,53003,N,30300,Asotin-Anatone School District,Washington,WA,03,3,18,1,1,PK,12,629.0,629.0,8522000.0,413000.0,109000.0,143000.0,0.0,0.0,4000.0,0.0,15000.0,80000.0,62000.0,0.0,0.0,0.0,6160000.0,4570000.0,0.0,653000.0,155000.0,0.0,15000.0,0.0,6000.0,0.0,333000.0,428000.0,0.0,0.0,0.0,1949000.0,-2.0,1563000.0,0.0,0.0,0.0,0.0,0.0,22000.0,8000.0,0.0,79000.0,0.0,202000.0,0.0,0.0,5000.0,0.0,18000.0,0.0,2000.0,50000.0,0.0,8149000.0,8130000.0,4851000.0,4851000.0,0.0,0.0,2894000.0,291000.0,335000.0,195000.0,473000.0,821000.0,300000.0,479000.0,0.0,385000.0,200000.0,185000.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4804000.0,3157000.0,2042000.0,130000.0,244000.0,87000.0,191000.0,155000.0,129000.0,335000.0,277000.0,182000.0,229000.0,90000.0,1837000.0,1166000.0,81000.0,68000.0,42000.0,134000.0,135000.0,70000.0,96000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,13000.0,1472000.0,0.0,0.0,0.0,7780000.0,350000.0,0.0,1.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,M,M,R,R,M,Asotin-Anatone School District,50.0,0.92
