"Group Summary Report"
"Cohort 4Yr Graduation Rates (Reported for Prior School Year), Year 2018-2019"

Group,"Organization Code","Accountability Year","Graduating Class of","Total Students","Total Graduates","Graduation Rate","Total Adjusted Diploma","Total Adult Diploma","Total Advanced Diploma","Certificates of Attendance","Total Standard Diploma",HSE,"Total Alternative Diploma","Total College and Career Ready Diploma"
"Carson City",13,2018-2019,2017-2018,599,515,86.0,-,33,179,-,303,-,,
Churchill,01,2018-2019,2017-2018,254,193,76.0,-,-,67,-,125,-,,
Clark,02,2018-2019,2017-2018,24764,21103,85.2,-,334,5767,-,15002,-,,
Douglas,03,2018-2019,2017-2018,455,403,88.6,-,12,178,-,213,-,,
Elko,04,2018-2019,2017-2018,685,629,91.8,-,-,219,-,410,-,,
Eureka,06,2018-2019,2017-2018,14,14,100.0,-,-,-,-,-,-,,
Humboldt,07,2018-2019,2017-2018,256,232,90.6,-,15,39,-,178,-,,
Lander,08,2018-2019,2017-2018,76,66,86.8,-,-,-,-,59,-,,
Lincoln,09,2018-2019,2017-2018,85,76,89.4,-,-,42,-,34,-,,
Lyon,10,2018-2019,2017-2018,571,484,84.8,17,17,168,-,299,-,,
Mineral,11,2018-2019,2017-2018,28,25,89.3,-,-,-,-,19,-,,
Nye,12,2018-2019,2017-2018,410,328,80.0,-,-,80,-,244,-,,
Pershing,14,2018-2019,2017-2018,54,52,96.3,-,-,10,-,42,-,,
"State Public Charter School Authority",18,2018-2019,2017-2018,1775,1243,70.0,-,-,363,-,880,-,,
Storey,15,2018-2019,2017-2018,34,32,94.1,-,-,18,-,14,-,,
University,19,2018-2019,2017-2018,27,27,100.0,-,-,27,-,-,-,,
Washoe,16,2018-2019,2017-2018,4716,3980,84.4,56,-,1942,-,2032,-,,
"White Pine",17,2018-2019,2017-2018,163,109,66.9,-,-,24,-,84,-,,
