LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
100197,ACCELERATION DAY AND EVENING ACADEMY,AL,1,245.0,2740000.0,209000.0,106000.0,83000.0,10000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,1787000.0,1774000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,744000.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717000.0,0.0,0.0,2430000.0,2430000.0,1085000.0,1085000.0,0.0,0.0,1187000.0,222000.0,11000.0,237000.0,95000.0,286000.0,4000.0,332000.0,0.0,158000.0,158000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965000.0,515000.0,457000.0,57000.0,0.0,0.0,136000.0,0.0,180000.0,70000.0,0.0,0.0,65000.0,0.0,356000.0,205000.0,50000.0,0.0,53000.0,25000.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.8333,36606
100190,ALABASTER CITY,AL,3,6116.0,72956000.0,4554000.0,892000.0,1174000.0,149000.0,0.0,73000.0,71000.0,61000.0,2062000.0,0.0,0.0,0.0,72000.0,36339000.0,30074000.0,50000.0,0.0,230000.0,42000.0,0.0,0.0,0.0,1589000.0,3089000.0,1265000.0,0.0,0.0,0.0,32063000.0,15203000.0,0.0,0.0,0.0,6000.0,85000.0,8902000.0,782000.0,0.0,1569000.0,0.0,1850000.0,0.0,272000.0,159000.0,492000.0,177000.0,5000.0,328000.0,2233000.0,0.0,96972000.0,65476000.0,38792000.0,38792000.0,1000.0,0.0,22412000.0,5094000.0,1668000.0,1666000.0,3466000.0,5601000.0,3631000.0,1286000.0,0.0,4272000.0,4272000.0,0.0,0.0,1684000.0,1196000.0,5000.0,483000.0,24391000.0,22363000.0,0.0,383000.0,1645000.0,0.0,0.0,0.0,69000.0,5351000.0,34802000.0,23064000.0,15980000.0,1890000.0,796000.0,714000.0,2395000.0,842000.0,732000.0,2390000.0,1039000.0,1598000.0,611000.0,1535000.0,13649000.0,8788000.0,787000.0,325000.0,187000.0,877000.0,509000.0,1092000.0,191000.0,785000.0,0.0,346000.0,121357000.0,0.0,709000.0,120648000.0,0.0,0.0,50000.0,2218000.0,10910000.0,1894000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,35007
100005,ALBERTVILLE CITY,AL,3,5562.0,56909000.0,7691000.0,2506000.0,1031000.0,235000.0,0.0,86000.0,132000.0,304000.0,3343000.0,0.0,0.0,0.0,54000.0,33512000.0,28204000.0,64000.0,0.0,283000.0,98000.0,0.0,0.0,0.0,1494000.0,2189000.0,1180000.0,0.0,0.0,0.0,15706000.0,5672000.0,0.0,0.0,0.0,457000.0,20000.0,5203000.0,84000.0,0.0,296000.0,0.0,1518000.0,0.0,380000.0,127000.0,80000.0,229000.0,4000.0,183000.0,1453000.0,0.0,50832000.0,47501000.0,27292000.0,27292000.0,0.0,0.0,16507000.0,3511000.0,1550000.0,1425000.0,2579000.0,4215000.0,2407000.0,820000.0,0.0,3702000.0,3702000.0,0.0,0.0,887000.0,166000.0,184000.0,537000.0,642000.0,16000.0,0.0,12000.0,614000.0,0.0,0.0,0.0,61000.0,1741000.0,25623000.0,16373000.0,12673000.0,842000.0,1027000.0,516000.0,2035000.0,826000.0,726000.0,1802000.0,1018000.0,1220000.0,500000.0,895000.0,10362000.0,6321000.0,762000.0,310000.0,217000.0,676000.0,469000.0,849000.0,157000.0,536000.0,0.0,328000.0,31541000.0,0.0,2665000.0,28876000.0,0.0,0.0,6721000.0,330000.0,8117000.0,1040000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,35950
100030,ALEXANDER CITY,AL,3,3062.0,33308000.0,4096000.0,1172000.0,725000.0,158000.0,0.0,45000.0,13000.0,255000.0,1672000.0,0.0,0.0,0.0,56000.0,17441000.0,14634000.0,59000.0,0.0,183000.0,8000.0,0.0,0.0,0.0,727000.0,924000.0,906000.0,0.0,0.0,0.0,11771000.0,2764000.0,0.0,0.0,0.0,5000.0,22000.0,5755000.0,57000.0,0.0,347000.0,0.0,1234000.0,0.0,154000.0,3000.0,155000.0,20000.0,2000.0,506000.0,747000.0,0.0,31357000.0,28821000.0,17520000.0,17520000.0,0.0,0.0,9277000.0,2143000.0,755000.0,722000.0,1968000.0,1866000.0,1016000.0,807000.0,0.0,2024000.0,2024000.0,0.0,0.0,879000.0,553000.0,0.0,326000.0,1291000.0,1087000.0,0.0,0.0,204000.0,0.0,0.0,0.0,50000.0,316000.0,16671000.0,11735000.0,8071000.0,1125000.0,708000.0,476000.0,1065000.0,476000.0,405000.0,1403000.0,488000.0,525000.0,304000.0,0.0,6400000.0,4477000.0,405000.0,168000.0,136000.0,499000.0,232000.0,323000.0,113000.0,0.0,0.0,165000.0,7641000.0,0.0,1975000.0,5666000.0,0.0,0.0,475000.0,39000.0,8734000.0,438000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,35010
100060,ANDALUSIA CITY,AL,3,1783.0,25544000.0,2406000.0,687000.0,704000.0,76000.0,0.0,27000.0,0.0,40000.0,872000.0,0.0,0.0,0.0,0.0,10366000.0,8540000.0,48000.0,0.0,129000.0,2000.0,0.0,0.0,0.0,516000.0,553000.0,578000.0,0.0,0.0,0.0,12772000.0,752000.0,0.0,0.0,0.0,4000.0,0.0,9729000.0,0.0,0.0,165000.0,0.0,537000.0,0.0,139000.0,0.0,12000.0,81000.0,2000.0,1177000.0,174000.0,0.0,24716000.0,15500000.0,9314000.0,9314000.0,0.0,0.0,5082000.0,608000.0,629000.0,636000.0,965000.0,1414000.0,551000.0,279000.0,0.0,1104000.0,1104000.0,0.0,0.0,121000.0,9000.0,0.0,112000.0,8674000.0,8497000.0,0.0,0.0,177000.0,0.0,0.0,0.0,33000.0,388000.0,8369000.0,5918000.0,4124000.0,589000.0,192000.0,210000.0,341000.0,250000.0,332000.0,636000.0,172000.0,265000.0,171000.0,281000.0,3420000.0,2325000.0,131000.0,89000.0,114000.0,231000.0,85000.0,178000.0,61000.0,206000.0,0.0,94000.0,7100000.0,0.0,353000.0,6747000.0,0.0,0.0,1569000.0,2530000.0,2043000.0,627000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,36421
100090,ANNISTON CITY,AL,3,2033.0,24491000.0,3972000.0,1716000.0,552000.0,244000.0,0.0,64000.0,0.0,31000.0,1323000.0,0.0,10000.0,0.0,32000.0,13006000.0,9998000.0,49000.0,0.0,181000.0,2000.0,0.0,0.0,0.0,148000.0,1170000.0,1458000.0,0.0,0.0,0.0,7513000.0,4622000.0,0.0,0.0,0.0,11000.0,0.0,2263000.0,0.0,0.0,74000.0,0.0,230000.0,0.0,50000.0,12000.0,30000.0,0.0,7000.0,34000.0,180000.0,0.0,24318000.0,23483000.0,12814000.0,12814000.0,21000.0,0.0,9072000.0,1132000.0,939000.0,1182000.0,1205000.0,2084000.0,1878000.0,652000.0,0.0,1597000.0,1597000.0,0.0,0.0,225000.0,147000.0,0.0,78000.0,589000.0,347000.0,0.0,7000.0,235000.0,0.0,0.0,0.0,0.0,0.0,12005000.0,8171000.0,5417000.0,791000.0,620000.0,437000.0,695000.0,535000.0,485000.0,869000.0,402000.0,9000.0,295000.0,500000.0,4764000.0,3179000.0,258000.0,187000.0,157000.0,313000.0,195000.0,3000.0,121000.0,340000.0,0.0,26000.0,2292000.0,0.0,0.0,2292000.0,0.0,0.0,1652000.0,1388000.0,1136000.0,725000.0,0.0,0.0,-1.0,-1.0,0.0,0.908,36202
100100,ARAB CITY,AL,3,2603.0,25664000.0,1580000.0,333000.0,582000.0,54000.0,0.0,33000.0,0.0,23000.0,555000.0,0.0,0.0,0.0,0.0,16148000.0,13542000.0,45000.0,0.0,151000.0,2000.0,0.0,0.0,0.0,701000.0,683000.0,1024000.0,0.0,0.0,0.0,7936000.0,1831000.0,0.0,0.0,0.0,4000.0,0.0,3171000.0,0.0,0.0,622000.0,0.0,982000.0,0.0,265000.0,2000.0,603000.0,28000.0,1000.0,27000.0,400000.0,0.0,32839000.0,23953000.0,15302000.0,15302000.0,0.0,0.0,7279000.0,1916000.0,506000.0,753000.0,1280000.0,1640000.0,770000.0,414000.0,0.0,1372000.0,1372000.0,0.0,0.0,358000.0,260000.0,98000.0,0.0,8143000.0,7806000.0,220000.0,0.0,117000.0,0.0,0.0,0.0,60000.0,325000.0,14247000.0,10320000.0,6829000.0,869000.0,694000.0,368000.0,705000.0,306000.0,354000.0,894000.0,342000.0,381000.0,258000.0,423000.0,5426000.0,3876000.0,270000.0,134000.0,99000.0,324000.0,129000.0,190000.0,96000.0,262000.0,0.0,27000.0,12617000.0,0.0,568000.0,12049000.0,0.0,0.0,725000.0,1613000.0,2181000.0,569000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,35016
100120,ATHENS CITY,AL,3,4524.0,78850000.0,3562000.0,736000.0,1049000.0,125000.0,0.0,49000.0,55000.0,19000.0,1338000.0,0.0,0.0,0.0,191000.0,27793000.0,24344000.0,54000.0,0.0,364000.0,36000.0,0.0,0.0,0.0,1374000.0,935000.0,686000.0,0.0,0.0,0.0,47495000.0,2716000.0,0.0,0.0,0.0,5000.0,0.0,40054000.0,160000.0,0.0,519000.0,0.0,1243000.0,0.0,141000.0,5000.0,231000.0,72000.0,2000.0,103000.0,2244000.0,0.0,73754000.0,41941000.0,25903000.0,25903000.0,14000.0,0.0,13853000.0,2037000.0,2045000.0,1048000.0,2740000.0,3839000.0,1139000.0,1005000.0,0.0,2185000.0,2185000.0,0.0,0.0,696000.0,259000.0,3000.0,434000.0,27898000.0,26684000.0,1167000.0,6000.0,41000.0,0.0,0.0,0.0,396000.0,2809000.0,22893000.0,14974000.0,10952000.0,1021000.0,660000.0,246000.0,1377000.0,1303000.0,415000.0,2033000.0,1015000.0,551000.0,317000.0,721000.0,8746000.0,5668000.0,479000.0,426000.0,134000.0,667000.0,433000.0,323000.0,112000.0,453000.0,0.0,275000.0,63963000.0,1718000.0,2517000.0,63164000.0,0.0,0.0,0.0,8471000.0,6999000.0,1351000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,35611
100180,ATTALLA CITY,AL,3,1528.0,15849000.0,1869000.0,460000.0,489000.0,37000.0,0.0,14000.0,0.0,212000.0,630000.0,0.0,0.0,0.0,27000.0,10902000.0,9211000.0,44000.0,0.0,130000.0,4000.0,0.0,0.0,0.0,488000.0,492000.0,533000.0,0.0,0.0,0.0,3078000.0,986000.0,0.0,0.0,0.0,3000.0,0.0,866000.0,0.0,0.0,198000.0,0.0,371000.0,0.0,47000.0,52000.0,112000.0,25000.0,1000.0,268000.0,149000.0,0.0,18011000.0,14901000.0,8729000.0,8729000.0,0.0,0.0,5070000.0,930000.0,293000.0,940000.0,838000.0,1039000.0,497000.0,533000.0,0.0,1102000.0,1102000.0,0.0,0.0,217000.0,141000.0,0.0,76000.0,2410000.0,2258000.0,0.0,0.0,152000.0,0.0,0.0,0.0,64000.0,419000.0,8702000.0,5649000.0,3824000.0,769000.0,353000.0,154000.0,566000.0,160000.0,592000.0,594000.0,223000.0,272000.0,191000.0,377000.0,3446000.0,2165000.0,229000.0,59000.0,167000.0,229000.0,134000.0,142000.0,70000.0,237000.0,0.0,71000.0,17093000.0,2200000.0,490000.0,18803000.0,0.0,0.0,350000.0,1810000.0,1059000.0,426000.0,0.0,0.0,-1.0,-1.0,0.0,0.95,35954
