LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
400276,ACADEMY WITH COMMUNITY PARTNERS  INC,AZ,1,107.0,1108000.0,73000.0,0.0,0.0,0.0,0.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,1015000.0,1010000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,11000.0,0.0,1093000.0,913000.0,464000.0,464000.0,0.0,0.0,449000.0,62000.0,0.0,32000.0,151000.0,187000.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,604000.0,368000.0,365000.0,0.0,0.0,0.0,42000.0,0.0,14000.0,108000.0,72000.0,0.0,0.0,0.0,87000.0,50000.0,6000.0,0.0,2000.0,17000.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,33000.0,0.0,0.0,842000.0,69000.0,0.0,0.3518518518518518,85203
400129,ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,AZ,1,165.0,1454000.0,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,0.0,0.0,0.0,0.0,1345000.0,1341000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,3000.0,0.0,1467000.0,1467000.0,796000.0,796000.0,0.0,0.0,671000.0,0.0,0.0,0.0,330000.0,341000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827000.0,548000.0,136000.0,0.0,0.0,0.0,0.0,0.0,0.0,212000.0,67000.0,0.0,0.0,0.0,158000.0,115000.0,0.0,0.0,0.0,37000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,0.0,0.0,1227000.0,101000.0,0.0,1.0,85745
400450,AGUA FRIA UNION HIGH SCHOOL DISTRICT,AZ,3,7780.0,88516000.0,3839000.0,653000.0,582000.0,61000.0,0.0,394000.0,0.0,298000.0,1414000.0,437000.0,0.0,0.0,0.0,41115000.0,27381000.0,357000.0,0.0,0.0,0.0,0.0,206000.0,0.0,12973000.0,0.0,198000.0,0.0,0.0,0.0,43562000.0,35681000.0,0.0,0.0,0.0,0.0,881000.0,2134000.0,0.0,0.0,1491000.0,19000.0,706000.0,0.0,1090000.0,262000.0,0.0,35000.0,0.0,146000.0,1117000.0,0.0,119924000.0,58070000.0,31390000.0,31390000.0,265000.0,0.0,23574000.0,4700000.0,2679000.0,1307000.0,2466000.0,8252000.0,2750000.0,1420000.0,0.0,3106000.0,3106000.0,0.0,0.0,0.0,0.0,0.0,0.0,58133000.0,57798000.0,0.0,0.0,0.0,335000.0,2000.0,0.0,0.0,3454000.0,35705000.0,22472000.0,15143000.0,4164000.0,0.0,83000.0,3266000.0,1881000.0,824000.0,1878000.0,1879000.0,1642000.0,747000.0,1116000.0,9469000.0,5783000.0,883000.0,481000.0,220000.0,460000.0,614000.0,537000.0,239000.0,252000.0,0.0,78000.0,91530000.0,17480000.0,8705000.0,100305000.0,0.0,0.0,9199000.0,22732000.0,0.0,2777000.0,1106000.0,335000.0,56089000.0,1981000.0,0.0,0.950079660116835,85323
400274,AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX,AZ,1,151.0,1546000.0,319000.0,0.0,0.0,0.0,0.0,0.0,0.0,282000.0,37000.0,0.0,0.0,0.0,0.0,1211000.0,1205000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,10000.0,0.0,1189000.0,1189000.0,218000.0,218000.0,0.0,0.0,885000.0,159000.0,121000.0,0.0,70000.0,451000.0,7000.0,77000.0,0.0,86000.0,86000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401000.0,157000.0,24000.0,0.0,0.0,0.0,120000.0,94000.0,0.0,28000.0,2000.0,0.0,0.0,0.0,91000.0,40000.0,24000.0,20000.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,0.0,0.0,953000.0,194000.0,0.0,0.2142857142857142,85301
400520,AJO UNIFIED DISTRICT,AZ,3,435.0,4150000.0,616000.0,227000.0,73000.0,30000.0,0.0,8000.0,12000.0,20000.0,238000.0,0.0,0.0,8000.0,0.0,2310000.0,2235000.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000.0,0.0,0.0,0.0,1224000.0,757000.0,0.0,0.0,0.0,0.0,137000.0,231000.0,0.0,0.0,16000.0,0.0,12000.0,0.0,1000.0,1000.0,0.0,15000.0,1000.0,32000.0,21000.0,0.0,3896000.0,3767000.0,1985000.0,1985000.0,0.0,0.0,1578000.0,225000.0,217000.0,224000.0,144000.0,460000.0,44000.0,264000.0,0.0,204000.0,204000.0,0.0,0.0,83000.0,83000.0,0.0,0.0,46000.0,40000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,2360000.0,1467000.0,966000.0,106000.0,0.0,0.0,110000.0,146000.0,113000.0,115000.0,130000.0,29000.0,156000.0,94000.0,510000.0,315000.0,20000.0,27000.0,50000.0,22000.0,25000.0,5000.0,28000.0,17000.0,0.0,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2493000.0,108000.0,74000.0,6000.0,3473000.0,283000.0,0.0,0.8666666666666667,85321
400130,AMERICAN HERITAGE ACADEMY,AZ,1,460.0,3529000.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,277000.0,83000.0,0.0,0.0,0.0,0.0,3060000.0,3041000.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,3752000.0,3276000.0,1810000.0,1810000.0,0.0,0.0,1214000.0,8000.0,0.0,306000.0,338000.0,420000.0,86000.0,56000.0,0.0,252000.0,252000.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,21000.0,0.0,0.0,31000.0,0.0,0.0,0.0,424000.0,1636000.0,1295000.0,159000.0,47000.0,0.0,0.0,0.0,0.0,0.0,218000.0,92000.0,18000.0,0.0,13000.0,470000.0,369000.0,0.0,0.0,0.0,65000.0,28000.0,5000.0,0.0,3000.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,567000.0,544000.0,0.0,48000.0,0.0,0.0,3095000.0,180000.0,0.0,0.95,86326
400329,AMERICAN VIRTUAL ACADEMY,AZ,1,4220.0,44472000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44422000.0,43830000.0,281000.0,0.0,0.0,49000.0,0.0,0.0,0.0,0.0,0.0,262000.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,10000.0,0.0,44386000.0,40679000.0,22866000.0,22866000.0,0.0,0.0,17813000.0,6944000.0,906000.0,287000.0,494000.0,346000.0,49000.0,8787000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707000.0,0.0,3508000.0,0.0,0.0,199000.0,0.0,0.0,0.0,0.0,9057000.0,5864000.0,3136000.0,516000.0,0.0,0.0,1937000.0,557000.0,242000.0,408000.0,0.0,0.0,49000.0,0.0,1159000.0,711000.0,294000.0,50000.0,42000.0,54000.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8227000.0,72000.0,0.0,0.0,40679000.0,0.0,0.0,0.1772024209818426,85225
400680,AMPHITHEATER UNIFIED DISTRICT,AZ,3,13552.0,131101000.0,13248000.0,3647000.0,2683000.0,303000.0,32000.0,320000.0,209000.0,1385000.0,4036000.0,600000.0,0.0,33000.0,0.0,34841000.0,33800000.0,601000.0,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,0.0,330000.0,0.0,0.0,0.0,83012000.0,70537000.0,0.0,0.0,0.0,0.0,2470000.0,1866000.0,0.0,0.0,1382000.0,5000.0,1649000.0,0.0,2137000.0,128000.0,1000.0,57000.0,7000.0,1168000.0,1605000.0,0.0,127684000.0,112430000.0,60241000.0,60241000.0,5000.0,0.0,46825000.0,9305000.0,5215000.0,1119000.0,5346000.0,16625000.0,6149000.0,3066000.0,0.0,5364000.0,5364000.0,0.0,0.0,272000.0,272000.0,0.0,0.0,10338000.0,9653000.0,254000.0,0.0,0.0,431000.0,155000.0,0.0,259000.0,4225000.0,66840000.0,40013000.0,25827000.0,6850000.0,0.0,2212000.0,6634000.0,3275000.0,816000.0,4002000.0,5353000.0,3231000.0,1654000.0,1862000.0,19102000.0,11597000.0,1696000.0,886000.0,174000.0,999000.0,1629000.0,1089000.0,528000.0,503000.0,0.0,1806000.0,93685000.0,0.0,11615000.0,82070000.0,0.0,0.0,3579000.0,5726000.0,26249000.0,5120000.0,2432000.0,431000.0,100008000.0,6825000.0,0.0,0.8158123370981756,85705
400720,ANTELOPE UNION HIGH SCHOOL DISTRICT,AZ,3,220.0,3182000.0,356000.0,103000.0,72000.0,10000.0,0.0,15000.0,0.0,40000.0,116000.0,0.0,0.0,0.0,0.0,263000.0,240000.0,11000.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,2563000.0,2366000.0,0.0,0.0,0.0,0.0,144000.0,21000.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,12000.0,0.0,2971000.0,2971000.0,1437000.0,1437000.0,0.0,0.0,1307000.0,92000.0,111000.0,230000.0,85000.0,413000.0,193000.0,183000.0,0.0,227000.0,227000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787000.0,1099000.0,722000.0,39000.0,188000.0,0.0,72000.0,19000.0,127000.0,65000.0,127000.0,89000.0,76000.0,112000.0,433000.0,232000.0,20000.0,27000.0,30000.0,18000.0,37000.0,20000.0,15000.0,33000.0,0.0,0.0,1225000.0,0.0,335000.0,890000.0,0.0,0.0,0.0,0.0,0.0,96000.0,91000.0,0.0,2970000.0,0.0,0.0,0.9361702127659576,85356
