LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
1000080,APPOQUINIMINK SCHOOL DISTRICT,DE,3,10882.0,188797000.0,4513000.0,817000.0,1895000.0,0.0,0.0,199000.0,0.0,274000.0,1328000.0,0.0,0.0,0.0,0.0,135593000.0,89601000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36890000.0,5659000.0,3443000.0,0.0,0.0,0.0,48691000.0,46353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844000.0,0.0,112000.0,0.0,0.0,0.0,0.0,153000.0,0.0,0.0,229000.0,0.0,157221000.0,141735000.0,86914000.0,86914000.0,1920000.0,0.0,50716000.0,7731000.0,549000.0,2903000.0,11711000.0,14321000.0,6502000.0,6999000.0,0.0,4105000.0,4105000.0,0.0,0.0,437000.0,0.0,437000.0,0.0,11276000.0,11227000.0,0.0,49000.0,0.0,0.0,0.0,0.0,0.0,1853000.0,74927000.0,54287000.0,32857000.0,8808000.0,852000.0,4376000.0,2124000.0,354000.0,974000.0,7650000.0,4209000.0,0.0,3413000.0,1916000.0,39113000.0,28820000.0,1128000.0,188000.0,517000.0,4061000.0,2234000.0,0.0,1812000.0,352000.0,0.0,307000.0,67094000.0,8580000.0,3961000.0,71713000.0,0.0,0.0,6970000.0,0.0,10684000.0,1313000.0,0.0,0.0,138936000.0,2799000.0,0.0,0.95,19730
1001240,BRANDYWINE SCHOOL DISTRICT,DE,3,10456.0,196566000.0,9826000.0,2709000.0,2815000.0,0.0,0.0,330000.0,0.0,790000.0,3182000.0,0.0,0.0,0.0,0.0,102080000.0,86001000.0,0.0,39000.0,0.0,0.0,0.0,0.0,0.0,8065000.0,3322000.0,4653000.0,0.0,0.0,0.0,84660000.0,82756000.0,0.0,0.0,0.0,0.0,439000.0,0.0,0.0,0.0,1088000.0,0.0,42000.0,0.0,0.0,0.0,0.0,204000.0,0.0,0.0,131000.0,0.0,182913000.0,173235000.0,101879000.0,101879000.0,2624000.0,0.0,64812000.0,8771000.0,5635000.0,1562000.0,13257000.0,21180000.0,5190000.0,9217000.0,0.0,6544000.0,6544000.0,0.0,0.0,26000.0,0.0,26000.0,0.0,4850000.0,4567000.0,0.0,39000.0,244000.0,0.0,0.0,0.0,270000.0,1908000.0,96099000.0,63431000.0,41873000.0,11265000.0,1089000.0,4229000.0,5124000.0,3654000.0,675000.0,8604000.0,5635000.0,2765000.0,3233000.0,2978000.0,50981000.0,34304000.0,2771000.0,1928000.0,365000.0,4653000.0,3048000.0,1624000.0,1741000.0,548000.0,0.0,221000.0,57588000.0,4868000.0,4822000.0,57634000.0,0.0,0.0,0.0,0.0,0.0,1991000.0,0.0,0.0,166982000.0,6255000.0,0.0,0.8499,19809
1000180,CAESAR RODNEY SCHOOL DISTRICT,DE,3,7614.0,145049000.0,7579000.0,2525000.0,1846000.0,0.0,0.0,232000.0,0.0,691000.0,2285000.0,0.0,0.0,0.0,0.0,120531000.0,72720000.0,0.0,252000.0,0.0,0.0,0.0,0.0,0.0,39238000.0,4670000.0,3651000.0,0.0,0.0,0.0,16939000.0,13815000.0,0.0,0.0,0.0,0.0,1971000.0,0.0,0.0,0.0,994000.0,0.0,53000.0,0.0,0.0,0.0,0.0,106000.0,0.0,0.0,0.0,0.0,124306000.0,110542000.0,72575000.0,72575000.0,2174000.0,0.0,33274000.0,4791000.0,2027000.0,1075000.0,7312000.0,7687000.0,5287000.0,5095000.0,0.0,4693000.0,4693000.0,0.0,0.0,47000.0,0.0,47000.0,0.0,9200000.0,9095000.0,0.0,1000.0,104000.0,0.0,0.0,0.0,1686000.0,657000.0,57369000.0,42839000.0,25655000.0,7930000.0,666000.0,607000.0,2255000.0,1270000.0,574000.0,4591000.0,2543000.0,196000.0,1369000.0,1733000.0,33308000.0,25480000.0,1360000.0,757000.0,340000.0,2721000.0,1503000.0,19000.0,810000.0,319000.0,0.0,66000.0,28330000.0,10298000.0,1380000.0,37249000.0,0.0,0.0,0.0,0.0,0.0,1014000.0,0.0,0.0,94187000.0,5301000.0,0.0,0.9137,19934
1000170,CAPE HENLOPEN SCHOOL DISTRICT,DE,3,5451.0,151131000.0,5721000.0,1319000.0,1560000.0,0.0,0.0,156000.0,0.0,1043000.0,1643000.0,0.0,0.0,0.0,0.0,98065000.0,51777000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39001000.0,4748000.0,2539000.0,0.0,0.0,0.0,47345000.0,46211000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672000.0,0.0,66000.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,196000.0,0.0,140937000.0,80577000.0,51755000.0,51755000.0,0.0,0.0,24177000.0,2887000.0,1045000.0,958000.0,5361000.0,7454000.0,2812000.0,3660000.0,0.0,4645000.0,4645000.0,0.0,0.0,32873000.0,0.0,32873000.0,0.0,26052000.0,25877000.0,0.0,0.0,175000.0,0.0,0.0,0.0,0.0,1435000.0,41692000.0,28913000.0,17775000.0,4778000.0,462000.0,1837000.0,1350000.0,667000.0,489000.0,3421000.0,2473000.0,34000.0,2006000.0,2338000.0,22743000.0,16402000.0,766000.0,378000.0,278000.0,1941000.0,1403000.0,7000.0,1138000.0,430000.0,0.0,105000.0,53834000.0,9883000.0,3034000.0,60683000.0,0.0,0.0,0.0,0.0,0.0,1161000.0,0.0,0.0,78280000.0,2298000.0,0.0,0.9101,19958
1000190,CAPITAL SCHOOL DISTRICT,DE,3,6278.0,107742000.0,10333000.0,3452000.0,1702000.0,0.0,0.0,307000.0,0.0,1414000.0,3458000.0,0.0,0.0,0.0,0.0,74061000.0,66402000.0,0.0,210000.0,0.0,0.0,0.0,0.0,0.0,477000.0,4558000.0,2414000.0,0.0,0.0,0.0,23348000.0,22025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014000.0,0.0,31000.0,0.0,0.0,0.0,0.0,109000.0,0.0,0.0,169000.0,0.0,104649000.0,101642000.0,64962000.0,64962000.0,0.0,0.0,31277000.0,3580000.0,973000.0,1057000.0,5230000.0,10593000.0,5044000.0,4800000.0,0.0,5403000.0,5403000.0,0.0,0.0,29000.0,0.0,29000.0,0.0,1032000.0,851000.0,0.0,161000.0,20000.0,0.0,0.0,0.0,56000.0,1890000.0,55217000.0,39993000.0,23858000.0,6786000.0,620000.0,1421000.0,2016000.0,625000.0,562000.0,3359000.0,3208000.0,701000.0,2495000.0,2259000.0,29906000.0,22286000.0,1123000.0,348000.0,313000.0,1872000.0,1788000.0,370000.0,1391000.0,415000.0,0.0,146000.0,62172000.0,0.0,4600000.0,57572000.0,0.0,0.0,0.0,0.0,0.0,1423000.0,0.0,0.0,95197000.0,6446000.0,0.0,0.7707999999999999,19904
1000200,CHRISTINA SCHOOL DISTRICT,DE,3,14106.0,317113000.0,21596000.0,7701000.0,5191000.0,0.0,0.0,640000.0,0.0,1338000.0,6726000.0,0.0,0.0,0.0,0.0,173109000.0,148813000.0,0.0,530000.0,0.0,0.0,0.0,0.0,0.0,1247000.0,14970000.0,7549000.0,0.0,0.0,0.0,122408000.0,121435000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694000.0,0.0,0.0,0.0,0.0,0.0,0.0,279000.0,0.0,0.0,0.0,0.0,321314000.0,301986000.0,174708000.0,174708000.0,161000.0,0.0,116998000.0,17310000.0,4624000.0,2620000.0,18026000.0,33392000.0,20813000.0,20213000.0,0.0,10280000.0,10280000.0,0.0,0.0,900000.0,0.0,900000.0,0.0,2071000.0,1757000.0,0.0,8000.0,306000.0,0.0,0.0,0.0,15017000.0,1179000.0,156607000.0,108763000.0,71598000.0,19361000.0,1864000.0,2000.0,1436000.0,2761000.0,707000.0,11583000.0,8948000.0,8416000.0,10232000.0,3761000.0,87700000.0,60710000.0,799000.0,1531000.0,392000.0,6443000.0,4959000.0,6436000.0,5740000.0,692000.0,0.0,1519000.0,31215000.0,0.0,3446000.0,27769000.0,0.0,0.0,0.0,0.0,12193000.0,2360000.0,0.0,0.0,255848000.0,15940000.0,0.0,0.7273000000000001,19801
1000230,COLONIAL SCHOOL DISTRICT,DE,3,9819.0,171897000.0,13054000.0,3860000.0,2625000.0,0.0,0.0,367000.0,0.0,852000.0,5350000.0,0.0,0.0,0.0,0.0,97361000.0,86252000.0,0.0,427000.0,0.0,0.0,0.0,0.0,0.0,709000.0,6260000.0,3713000.0,0.0,0.0,0.0,61482000.0,56814000.0,0.0,0.0,0.0,0.0,3952000.0,0.0,0.0,0.0,500000.0,0.0,20000.0,0.0,0.0,0.0,0.0,169000.0,0.0,0.0,27000.0,0.0,152967000.0,149102000.0,92908000.0,92908000.0,1499000.0,0.0,46828000.0,6688000.0,1534000.0,1266000.0,11578000.0,16913000.0,6866000.0,1983000.0,0.0,9366000.0,9366000.0,0.0,0.0,37000.0,0.0,37000.0,0.0,1062000.0,902000.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,1267000.0,81584000.0,56409000.0,37099000.0,10317000.0,965000.0,406000.0,3829000.0,978000.0,731000.0,7384000.0,4369000.0,2896000.0,869000.0,4118000.0,44828000.0,32035000.0,2175000.0,555000.0,415000.0,4193000.0,2481000.0,1722000.0,494000.0,757000.0,0.0,57000.0,32439000.0,0.0,3497000.0,28942000.0,0.0,0.0,0.0,0.0,30701000.0,1591000.0,0.0,0.0,135575000.0,7704000.0,0.0,0.7918000000000001,19720
1000049,DELAWARE ACADEMY OF PUBLIC SAFETY AND SECURITY,DE,1,228.0,3697000.0,237000.0,101000.0,45000.0,0.0,0.0,6000.0,0.0,28000.0,57000.0,0.0,0.0,0.0,0.0,2339000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,0.0,2307000.0,0.0,0.0,0.0,1121000.0,0.0,0.0,0.0,0.0,0.0,1110000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,8000.0,0.0,3820000.0,3803000.0,2475000.0,2475000.0,0.0,0.0,1328000.0,195000.0,0.0,14000.0,0.0,1045000.0,0.0,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,1615000.0,1615000.0,1245000.0,335000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707000.0,707000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3626000.0,177000.0,0.0,0.8431000000000001,19720
1000056,DELAWARE DESIGN-LAB HIGH SCHOOL,DE,1,298.0,3956000.0,212000.0,71000.0,31000.0,0.0,0.0,4000.0,0.0,34000.0,72000.0,0.0,0.0,0.0,0.0,2398000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32000.0,0.0,2366000.0,0.0,0.0,0.0,1346000.0,0.0,0.0,0.0,0.0,0.0,1305000.0,0.0,0.0,0.0,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,4030000.0,4030000.0,2330000.0,2330000.0,0.0,0.0,1607000.0,361000.0,0.0,103000.0,156000.0,907000.0,0.0,80000.0,0.0,93000.0,93000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453000.0,1348000.0,1017000.0,276000.0,27000.0,0.0,0.0,0.0,0.0,105000.0,0.0,0.0,0.0,0.0,709000.0,658000.0,0.0,0.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3889000.0,140000.0,0.0,0.8654000000000001,19702
