LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
1300060,APPLING COUNTY,GA,3,3639.0,44804000.0,4833000.0,1445000.0,610000.0,136000.0,0.0,42000.0,41000.0,131000.0,2425000.0,3000.0,0.0,0.0,0.0,20536000.0,10737000.0,70000.0,3658000.0,2071000.0,403000.0,532000.0,676000.0,50000.0,172000.0,667000.0,1408000.0,0.0,92000.0,0.0,19435000.0,13311000.0,3717000.0,0.0,0.0,0.0,0.0,826000.0,0.0,0.0,57000.0,0.0,888000.0,0.0,0.0,6000.0,0.0,70000.0,0.0,0.0,560000.0,0.0,39558000.0,38235000.0,23168000.0,23168000.0,0.0,0.0,11763000.0,1856000.0,2135000.0,680000.0,1693000.0,2403000.0,1990000.0,1006000.0,0.0,3304000.0,2398000.0,906000.0,0.0,0.0,0.0,0.0,0.0,1323000.0,949000.0,0.0,0.0,374000.0,0.0,0.0,0.0,0.0,0.0,21813000.0,15497000.0,9580000.0,2475000.0,868000.0,702000.0,1370000.0,1455000.0,237000.0,1203000.0,328000.0,870000.0,275000.0,579000.0,8266000.0,6020000.0,259000.0,431000.0,75000.0,448000.0,133000.0,460000.0,102000.0,338000.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6591000.0,12722000.0,1523000.0,824000.0,0.0,33407000.0,4737000.0,0.0,0.8876000000000001,31513
1300090,ATKINSON COUNTY,GA,3,1699.0,19134000.0,2526000.0,981000.0,402000.0,77000.0,0.0,20000.0,25000.0,60000.0,961000.0,0.0,0.0,0.0,0.0,13253000.0,7470000.0,39000.0,1731000.0,2039000.0,350000.0,108000.0,451000.0,31000.0,170000.0,254000.0,575000.0,0.0,35000.0,0.0,3355000.0,1973000.0,689000.0,0.0,0.0,0.0,0.0,231000.0,0.0,0.0,59000.0,0.0,163000.0,0.0,0.0,0.0,0.0,62000.0,0.0,0.0,178000.0,0.0,18708000.0,18202000.0,11194000.0,11194000.0,0.0,0.0,5793000.0,692000.0,955000.0,401000.0,1247000.0,1200000.0,877000.0,421000.0,0.0,1215000.0,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,470000.0,237000.0,22000.0,0.0,211000.0,0.0,0.0,0.0,24000.0,12000.0,9992000.0,6973000.0,4806000.0,966000.0,284000.0,275000.0,473000.0,610000.0,185000.0,722000.0,173000.0,396000.0,163000.0,297000.0,4369000.0,3207000.0,103000.0,219000.0,64000.0,297000.0,75000.0,157000.0,71000.0,174000.0,0.0,157000.0,815000.0,0.0,405000.0,410000.0,0.0,0.0,418000.0,3575000.0,5660000.0,374000.0,610000.0,72000.0,15402000.0,2764000.0,0.0,0.885,31642
1300120,ATLANTA PUBLIC SCHOOLS,GA,2,52147.0,1069553000.0,74601000.0,30704000.0,9687000.0,1951000.0,0.0,639000.0,277000.0,2645000.0,26116000.0,1421000.0,0.0,0.0,1161000.0,211200000.0,132399000.0,711000.0,24681000.0,27506000.0,2375000.0,7933000.0,3226000.0,639000.0,0.0,3095000.0,8497000.0,0.0,138000.0,0.0,783752000.0,504642000.0,109649000.0,0.0,0.0,0.0,0.0,17996000.0,17000.0,273000.0,1361000.0,0.0,6345000.0,0.0,30000.0,1252000.0,596000.0,1342000.0,0.0,3676000.0,136573000.0,0.0,901240000.0,855327000.0,465303000.0,465303000.0,1672000.0,371000.0,361479000.0,66088000.0,62873000.0,12720000.0,54364000.0,92314000.0,34230000.0,38890000.0,0.0,28545000.0,28545000.0,0.0,0.0,1021000.0,0.0,1021000.0,0.0,38477000.0,27670000.0,2024000.0,330000.0,8453000.0,0.0,0.0,0.0,0.0,4372000.0,445495000.0,268349000.0,186871000.0,38762000.0,4562000.0,18810000.0,37199000.0,36773000.0,2802000.0,40383000.0,23635000.0,14898000.0,17525000.0,3483000.0,195541000.0,138194000.0,8560000.0,10809000.0,827000.0,12368000.0,10588000.0,7324000.0,5322000.0,1433000.0,0.0,6700000.0,80353000.0,0.0,978000.0,79374000.0,60000000.0,0.0,0.0,101013000.0,146595000.0,25882000.0,19674000.0,701000.0,779010000.0,76318000.0,0.0,0.7993000000000001,30335
1300150,BACON COUNTY,GA,3,2140.0,25036000.0,2928000.0,902000.0,513000.0,108000.0,0.0,34000.0,17000.0,274000.0,1080000.0,0.0,0.0,0.0,0.0,15999000.0,8969000.0,49000.0,2774000.0,1804000.0,134000.0,519000.0,567000.0,33000.0,0.0,302000.0,812000.0,0.0,36000.0,0.0,6109000.0,3527000.0,1323000.0,0.0,0.0,0.0,0.0,340000.0,0.0,0.0,220000.0,0.0,497000.0,0.0,0.0,0.0,0.0,115000.0,0.0,0.0,87000.0,0.0,23166000.0,22606000.0,13396000.0,13396000.0,0.0,0.0,7760000.0,1559000.0,1433000.0,486000.0,1214000.0,1642000.0,1064000.0,362000.0,0.0,1450000.0,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,292000.0,0.0,32000.0,0.0,260000.0,0.0,0.0,0.0,0.0,268000.0,12794000.0,8847000.0,5308000.0,1590000.0,414000.0,572000.0,759000.0,847000.0,290000.0,856000.0,201000.0,473000.0,187000.0,333000.0,4853000.0,3386000.0,173000.0,269000.0,85000.0,284000.0,74000.0,263000.0,81000.0,238000.0,0.0,7000.0,17195000.0,0.0,0.0,17195000.0,0.0,0.0,3906000.0,967000.0,3894000.0,908000.0,679000.0,0.0,19539000.0,3034000.0,0.0,0.9433,31510
1300180,BAKER COUNTY,GA,3,286.0,5203000.0,400000.0,146000.0,0.0,20000.0,0.0,8000.0,0.0,6000.0,220000.0,0.0,0.0,0.0,0.0,2038000.0,1401000.0,5000.0,231000.0,112000.0,0.0,0.0,37000.0,6000.0,0.0,113000.0,117000.0,0.0,16000.0,0.0,2765000.0,1954000.0,156000.0,0.0,0.0,0.0,0.0,429000.0,0.0,0.0,18000.0,0.0,4000.0,0.0,0.0,0.0,29000.0,0.0,0.0,0.0,175000.0,0.0,5225000.0,4726000.0,2449000.0,2449000.0,0.0,0.0,2047000.0,199000.0,166000.0,312000.0,263000.0,529000.0,347000.0,231000.0,0.0,230000.0,208000.0,22000.0,0.0,0.0,0.0,0.0,0.0,499000.0,403000.0,0.0,0.0,96000.0,0.0,0.0,0.0,0.0,0.0,2358000.0,1360000.0,760000.0,272000.0,77000.0,48000.0,113000.0,97000.0,137000.0,163000.0,107000.0,156000.0,139000.0,86000.0,1071000.0,680000.0,33000.0,24000.0,30000.0,89000.0,42000.0,73000.0,72000.0,27000.0,0.0,38000.0,290000.0,0.0,0.0,290000.0,0.0,0.0,0.0,41000.0,3210000.0,78000.0,200000.0,0.0,4015000.0,696000.0,0.0,0.7778,31770
1300210,BALDWIN COUNTY,GA,3,5219.0,63266000.0,9759000.0,2730000.0,1505000.0,252000.0,0.0,74000.0,0.0,416000.0,3179000.0,0.0,0.0,0.0,1603000.0,27276000.0,15981000.0,92000.0,3168000.0,3024000.0,46000.0,968000.0,684000.0,104000.0,0.0,819000.0,2261000.0,0.0,129000.0,0.0,26231000.0,15921000.0,6914000.0,0.0,0.0,0.0,0.0,1360000.0,16000.0,0.0,124000.0,0.0,721000.0,0.0,161000.0,0.0,262000.0,342000.0,0.0,0.0,410000.0,0.0,59280000.0,54541000.0,31678000.0,31678000.0,0.0,0.0,18275000.0,3427000.0,3329000.0,1081000.0,2884000.0,3081000.0,3070000.0,1403000.0,0.0,4588000.0,4392000.0,196000.0,0.0,85000.0,85000.0,0.0,0.0,4232000.0,2831000.0,0.0,132000.0,1269000.0,0.0,0.0,0.0,0.0,422000.0,29515000.0,19649000.0,12653000.0,3167000.0,485000.0,1165000.0,2201000.0,1851000.0,493000.0,1881000.0,432000.0,1274000.0,611000.0,1045000.0,13078000.0,8785000.0,661000.0,666000.0,176000.0,734000.0,142000.0,799000.0,392000.0,718000.0,0.0,300000.0,8965000.0,0.0,0.0,8965000.0,0.0,0.0,0.0,12911000.0,25760000.0,1773000.0,2340000.0,105000.0,43350000.0,11061000.0,0.0,0.9234,31059
1300240,BANKS COUNTY,GA,3,2792.0,33271000.0,2615000.0,721000.0,443000.0,87000.0,0.0,39000.0,1000.0,142000.0,1081000.0,100000.0,0.0,0.0,1000.0,18709000.0,10566000.0,60000.0,3672000.0,1614000.0,107000.0,458000.0,669000.0,40000.0,0.0,438000.0,998000.0,0.0,87000.0,0.0,11947000.0,7349000.0,3036000.0,0.0,0.0,0.0,0.0,607000.0,0.0,0.0,320000.0,0.0,277000.0,0.0,7000.0,108000.0,0.0,105000.0,0.0,0.0,138000.0,0.0,33670000.0,29552000.0,18674000.0,18674000.0,0.0,0.0,9117000.0,1008000.0,1563000.0,518000.0,1671000.0,2118000.0,1882000.0,357000.0,0.0,1761000.0,1661000.0,100000.0,0.0,0.0,0.0,0.0,0.0,3687000.0,2016000.0,1185000.0,0.0,486000.0,0.0,0.0,0.0,44000.0,387000.0,17644000.0,12340000.0,7155000.0,2411000.0,860000.0,873000.0,751000.0,1042000.0,236000.0,1005000.0,732000.0,862000.0,196000.0,480000.0,7795000.0,5473000.0,146000.0,375000.0,86000.0,456000.0,349000.0,501000.0,81000.0,329000.0,0.0,71000.0,12060000.0,0.0,2285000.0,9775000.0,0.0,0.0,2227000.0,5865000.0,5892000.0,679000.0,301000.0,101000.0,26168000.0,3296000.0,0.0,0.927,30547
1300290,BARROW COUNTY,GA,3,13802.0,154832000.0,12516000.0,2892000.0,2459000.0,286000.0,0.0,120000.0,108000.0,266000.0,6246000.0,0.0,0.0,0.0,139000.0,85421000.0,52419000.0,285000.0,12480000.0,6205000.0,2147000.0,3833000.0,2698000.0,190000.0,1393000.0,1083000.0,2455000.0,0.0,233000.0,0.0,56895000.0,33602000.0,12029000.0,0.0,0.0,0.0,0.0,3134000.0,0.0,0.0,1152000.0,0.0,3064000.0,0.0,473000.0,66000.0,267000.0,511000.0,0.0,1384000.0,1213000.0,0.0,144569000.0,138294000.0,84138000.0,84138000.0,0.0,0.0,42605000.0,5552000.0,8288000.0,1568000.0,7577000.0,8804000.0,7799000.0,3017000.0,0.0,11551000.0,8067000.0,3484000.0,0.0,0.0,0.0,0.0,0.0,3170000.0,498000.0,1377000.0,18000.0,1277000.0,0.0,0.0,0.0,0.0,3105000.0,77627000.0,54415000.0,35163000.0,7607000.0,2007000.0,5213000.0,4149000.0,4598000.0,854000.0,5134000.0,1244000.0,4129000.0,955000.0,1716000.0,34232000.0,24448000.0,1095000.0,1777000.0,268000.0,2166000.0,490000.0,1840000.0,1021000.0,1096000.0,30000.0,189000.0,74260000.0,10825000.0,5025000.0,80060000.0,0.0,0.0,4571000.0,25026000.0,28250000.0,2700000.0,2891000.0,137000.0,123558000.0,14502000.0,0.0,0.8608,30680
1300330,BARTOW COUNTY,GA,3,13536.0,157930000.0,11915000.0,3418000.0,2755000.0,365000.0,0.0,129000.0,75000.0,250000.0,4792000.0,0.0,0.0,0.0,131000.0,75777000.0,47896000.0,256000.0,9233000.0,5379000.0,980000.0,4220000.0,2649000.0,178000.0,544000.0,1525000.0,2629000.0,0.0,288000.0,0.0,70238000.0,45083000.0,16748000.0,0.0,0.0,0.0,0.0,1615000.0,827000.0,0.0,1441000.0,1000.0,2062000.0,0.0,0.0,0.0,77000.0,110000.0,0.0,23000.0,2251000.0,0.0,161861000.0,134294000.0,85193000.0,85193000.0,0.0,0.0,39215000.0,5946000.0,4186000.0,673000.0,8376000.0,9704000.0,6998000.0,3332000.0,0.0,9886000.0,7144000.0,2742000.0,0.0,0.0,0.0,0.0,0.0,25379000.0,22812000.0,281000.0,159000.0,2127000.0,0.0,0.0,0.0,0.0,2188000.0,76259000.0,53903000.0,34909000.0,9293000.0,2111000.0,4630000.0,4524000.0,2601000.0,324000.0,5790000.0,2019000.0,3407000.0,951000.0,2203000.0,32459000.0,23744000.0,980000.0,962000.0,92000.0,2350000.0,929000.0,1748000.0,366000.0,1244000.0,43000.0,44000.0,59550000.0,0.0,14550000.0,45000000.0,0.0,0.0,16000.0,25777000.0,33153000.0,3230000.0,2129000.0,0.0,119919000.0,14088000.0,0.0,0.8706,30120
