LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
2200237,ABRAMSON SCI ACADEMY,LA,1,591.0,8341000.0,1228000.0,381000.0,131000.0,41000.0,0.0,0.0,9000.0,121000.0,545000.0,0.0,0.0,0.0,0.0,3699000.0,3583000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,110000.0,0.0,0.0,0.0,3414000.0,0.0,0.0,0.0,0.0,0.0,3233000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,103000.0,0.0,8212000.0,8193000.0,3522000.0,3522000.0,0.0,0.0,4232000.0,786000.0,264000.0,751000.0,687000.0,619000.0,792000.0,333000.0,0.0,439000.0,439000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,3943000.0,2532000.0,1689000.0,348000.0,0.0,13000.0,630000.0,170000.0,0.0,328000.0,61000.0,33000.0,189000.0,0.0,695000.0,447000.0,111000.0,30000.0,0.0,56000.0,13000.0,6000.0,32000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384000.0,120000.0,43000.0,0.0,-1.0,-1.0,0.0,0.918,70127
2200030,ACADIA PARISH,LA,3,9834.0,97898000.0,16168000.0,3946000.0,2157000.0,497000.0,31000.0,140000.0,0.0,404000.0,6269000.0,0.0,0.0,0.0,2724000.0,54464000.0,53364000.0,50000.0,0.0,317000.0,0.0,0.0,0.0,77000.0,0.0,0.0,656000.0,0.0,0.0,0.0,27266000.0,11356000.0,12577000.0,0.0,0.0,0.0,4000.0,708000.0,0.0,0.0,77000.0,0.0,0.0,0.0,57000.0,0.0,0.0,149000.0,0.0,681000.0,1657000.0,0.0,95361000.0,91233000.0,54593000.0,54593000.0,0.0,0.0,30127000.0,5353000.0,3705000.0,1651000.0,5650000.0,7059000.0,4854000.0,1855000.0,0.0,6513000.0,6513000.0,0.0,0.0,528000.0,441000.0,87000.0,0.0,2823000.0,1871000.0,23000.0,420000.0,509000.0,0.0,0.0,0.0,661000.0,116000.0,50146000.0,34549000.0,25578000.0,2513000.0,1145000.0,1291000.0,3628000.0,2165000.0,437000.0,3627000.0,1626000.0,876000.0,959000.0,1920000.0,26050000.0,16860000.0,1464000.0,1082000.0,228000.0,1915000.0,1166000.0,1422000.0,378000.0,1391000.0,0.0,360000.0,7387000.0,0.0,909000.0,6478000.0,0.0,0.0,0.0,0.0,36513000.0,1309000.0,1437000.0,423000.0,-1.0,-1.0,0.0,0.927,70527
2200060,ALLEN PARISH,LA,3,4316.0,48877000.0,4284000.0,1035000.0,856000.0,238000.0,25000.0,46000.0,0.0,597000.0,1486000.0,0.0,0.0,0.0,1000.0,29948000.0,28870000.0,7000.0,0.0,320000.0,0.0,0.0,0.0,359000.0,0.0,0.0,392000.0,0.0,0.0,0.0,14645000.0,4404000.0,7837000.0,0.0,0.0,0.0,0.0,288000.0,0.0,0.0,199000.0,0.0,0.0,0.0,0.0,0.0,0.0,143000.0,0.0,1274000.0,500000.0,0.0,49884000.0,46623000.0,26639000.0,26639000.0,0.0,0.0,17555000.0,3080000.0,2244000.0,1021000.0,3652000.0,4013000.0,3125000.0,420000.0,0.0,2429000.0,2420000.0,0.0,9000.0,31000.0,31000.0,0.0,0.0,2532000.0,2337000.0,0.0,0.0,195000.0,0.0,0.0,0.0,179000.0,519000.0,26438000.0,17012000.0,12218000.0,1330000.0,845000.0,1113000.0,1884000.0,1325000.0,292000.0,1910000.0,1244000.0,1612000.0,245000.0,913000.0,13543000.0,8603000.0,1059000.0,538000.0,120000.0,1006000.0,606000.0,923000.0,118000.0,570000.0,0.0,201000.0,19684000.0,0.0,1270000.0,18414000.0,0.0,0.0,1052000.0,578000.0,24846000.0,743000.0,496000.0,6000.0,-1.0,-1.0,0.0,0.949,70655
2200090,ASCENSION PARISH,LA,3,22223.0,294112000.0,37830000.0,4015000.0,4162000.0,753000.0,0.0,260000.0,65000.0,18784000.0,7630000.0,0.0,0.0,0.0,2161000.0,99786000.0,98318000.0,26000.0,0.0,208000.0,0.0,0.0,0.0,139000.0,0.0,0.0,1095000.0,0.0,0.0,0.0,156496000.0,75007000.0,64810000.0,0.0,0.0,0.0,0.0,1317000.0,15000.0,0.0,2005000.0,0.0,0.0,0.0,16000.0,0.0,0.0,1125000.0,0.0,183000.0,12018000.0,0.0,307298000.0,264359000.0,155906000.0,155906000.0,0.0,0.0,97772000.0,14048000.0,13741000.0,5002000.0,15439000.0,29348000.0,12523000.0,7671000.0,0.0,10681000.0,10523000.0,0.0,158000.0,0.0,0.0,0.0,0.0,36283000.0,33803000.0,525000.0,47000.0,1908000.0,0.0,0.0,0.0,1832000.0,4824000.0,126877000.0,83873000.0,59908000.0,9704000.0,1109000.0,6484000.0,9102000.0,8592000.0,508000.0,7556000.0,4992000.0,5572000.0,2888000.0,3501000.0,69729000.0,45417000.0,4412000.0,4352000.0,252000.0,4198000.0,3375000.0,3997000.0,1429000.0,2150000.0,0.0,2221000.0,154840000.0,8798000.0,10176000.0,153462000.0,0.0,0.0,15836000.0,15186000.0,61270000.0,3908000.0,9783000.0,1249000.0,-1.0,-1.0,0.0,0.875,70346
2200120,ASSUMPTION PARISH,LA,3,3469.0,42427000.0,4760000.0,962000.0,877000.0,0.0,0.0,46000.0,9000.0,315000.0,1476000.0,0.0,0.0,0.0,1075000.0,23057000.0,21931000.0,2000.0,0.0,362000.0,0.0,0.0,0.0,107000.0,0.0,0.0,655000.0,0.0,0.0,0.0,14610000.0,6951000.0,6574000.0,0.0,0.0,0.0,0.0,249000.0,0.0,0.0,77000.0,0.0,0.0,0.0,4000.0,0.0,0.0,169000.0,0.0,0.0,586000.0,0.0,42799000.0,40549000.0,21227000.0,21227000.0,0.0,0.0,17010000.0,3207000.0,1258000.0,1923000.0,2950000.0,3408000.0,2555000.0,1709000.0,0.0,2312000.0,2104000.0,0.0,208000.0,23000.0,23000.0,0.0,0.0,1446000.0,1431000.0,0.0,0.0,15000.0,0.0,0.0,0.0,72000.0,709000.0,21022000.0,12837000.0,7161000.0,1713000.0,517000.0,1012000.0,2105000.0,739000.0,429000.0,1903000.0,673000.0,842000.0,753000.0,742000.0,12587000.0,7424000.0,991000.0,442000.0,534000.0,1046000.0,524000.0,713000.0,320000.0,592000.0,0.0,127000.0,10652000.0,0.0,644000.0,10008000.0,0.0,0.0,2341000.0,2958000.0,18917000.0,324000.0,676000.0,14000.0,-1.0,-1.0,0.0,0.95,70390
2200150,AVOYELLES PARISH,LA,2,5356.0,54123000.0,8678000.0,2674000.0,1396000.0,498000.0,16000.0,56000.0,0.0,651000.0,3318000.0,0.0,36000.0,0.0,33000.0,32271000.0,31478000.0,21000.0,0.0,119000.0,0.0,0.0,0.0,52000.0,0.0,0.0,601000.0,0.0,0.0,0.0,13174000.0,3430000.0,7954000.0,0.0,0.0,0.0,150000.0,105000.0,36000.0,0.0,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,122000.0,0.0,1000.0,1333000.0,0.0,53514000.0,52188000.0,28413000.0,28413000.0,0.0,0.0,19467000.0,2577000.0,2449000.0,1171000.0,3489000.0,4301000.0,4665000.0,815000.0,0.0,4308000.0,4119000.0,0.0,189000.0,84000.0,72000.0,12000.0,0.0,1033000.0,25000.0,0.0,4000.0,1004000.0,0.0,0.0,0.0,176000.0,33000.0,25166000.0,14886000.0,8809000.0,1985000.0,868000.0,1363000.0,1779000.0,1872000.0,421000.0,1760000.0,931000.0,1866000.0,478000.0,1142000.0,16201000.0,9734000.0,758000.0,566000.0,279000.0,1143000.0,709000.0,1664000.0,268000.0,1078000.0,0.0,244000.0,3809000.0,0.0,914000.0,2895000.0,0.0,0.0,933000.0,856000.0,20865000.0,827000.0,596000.0,0.0,-1.0,-1.0,0.0,0.845,71351
2200035,AVOYELLES PUBLIC CHARTER SCHOOL,LA,1,741.0,6447000.0,482000.0,208000.0,114000.0,20000.0,10000.0,29000.0,0.0,0.0,101000.0,0.0,0.0,0.0,0.0,5452000.0,5407000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,41000.0,0.0,0.0,0.0,513000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,88000.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,16000.0,368000.0,0.0,5903000.0,5577000.0,3913000.0,3913000.0,0.0,0.0,1526000.0,45000.0,78000.0,193000.0,337000.0,562000.0,221000.0,90000.0,0.0,138000.0,138000.0,0.0,0.0,0.0,0.0,0.0,0.0,82000.0,0.0,0.0,0.0,82000.0,0.0,0.0,0.0,0.0,244000.0,2761000.0,2292000.0,1623000.0,252000.0,50000.0,71000.0,0.0,54000.0,100000.0,157000.0,158000.0,0.0,0.0,0.0,1308000.0,1090000.0,0.0,25000.0,46000.0,72000.0,75000.0,0.0,0.0,0.0,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6115000.0,131000.0,77000.0,0.0,-1.0,-1.0,0.0,0.93,71350
2200180,BEAUREGARD PARISH,LA,3,5971.0,65018000.0,5175000.0,1568000.0,1395000.0,324000.0,28000.0,59000.0,0.0,113000.0,1465000.0,0.0,103000.0,0.0,120000.0,35774000.0,35247000.0,12000.0,0.0,0.0,0.0,0.0,0.0,37000.0,0.0,0.0,478000.0,0.0,0.0,0.0,24069000.0,12276000.0,10765000.0,0.0,0.0,0.0,0.0,278000.0,4000.0,0.0,308000.0,2000.0,0.0,0.0,12000.0,0.0,0.0,66000.0,0.0,2000.0,356000.0,0.0,61802000.0,59156000.0,34064000.0,34064000.0,123000.0,0.0,22434000.0,3580000.0,2597000.0,1350000.0,3928000.0,5905000.0,3434000.0,1640000.0,0.0,2658000.0,2654000.0,0.0,4000.0,16000.0,16000.0,0.0,0.0,1322000.0,761000.0,8000.0,6000.0,547000.0,0.0,0.0,0.0,162000.0,1023000.0,32449000.0,20884000.0,13452000.0,2858000.0,1047000.0,1915000.0,1899000.0,1423000.0,312000.0,2523000.0,1644000.0,1722000.0,897000.0,1144000.0,17391000.0,10792000.0,990000.0,796000.0,237000.0,1356000.0,946000.0,1063000.0,405000.0,805000.0,0.0,237000.0,40761000.0,0.0,3762000.0,36999000.0,0.0,0.0,2211000.0,714000.0,16922000.0,1607000.0,996000.0,0.0,-1.0,-1.0,0.0,0.935,70634
2200299,BENJAMIN FRANKLIN HIGH SCHOOL,LA,1,970.0,10979000.0,340000.0,230000.0,82000.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617000.0,3596000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,18000.0,0.0,0.0,0.0,7022000.0,0.0,0.0,0.0,0.0,0.0,5368000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,15000.0,0.0,885000.0,749000.0,0.0,10859000.0,10760000.0,6134000.0,6134000.0,0.0,0.0,4611000.0,832000.0,147000.0,161000.0,1705000.0,886000.0,68000.0,812000.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0,0.0,74000.0,25000.0,0.0,0.0,0.0,0.0,0.0,5286000.0,3370000.0,2406000.0,56000.0,0.0,890000.0,653000.0,76000.0,0.0,612000.0,116000.0,0.0,459000.0,0.0,2321000.0,1219000.0,169000.0,21000.0,0.0,755000.0,31000.0,0.0,126000.0,0.0,0.0,259000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233000.0,175000.0,150000.0,19000.0,-1.0,-1.0,0.0,0.95,70122
