LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
2500051,ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),MA,1,1425.0,22664000.0,1520000.0,0.0,0.0,0.0,0.0,0.0,0.0,958000.0,562000.0,0.0,0.0,0.0,0.0,2925000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,41000.0,2871000.0,0.0,0.0,0.0,18219000.0,0.0,0.0,0.0,0.0,0.0,17832000.0,0.0,0.0,0.0,91000.0,0.0,259000.0,0.0,0.0,0.0,0.0,19000.0,0.0,12000.0,6000.0,0.0,20324000.0,19362000.0,11477000.0,11477000.0,0.0,0.0,7885000.0,973000.0,2374000.0,40000.0,106000.0,2039000.0,1185000.0,1168000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,2000.0,0.0,83000.0,0.0,0.0,0.0,877000.0,10715000.0,7425000.0,0.0,0.0,0.0,0.0,425000.0,1565000.0,0.0,72000.0,670000.0,0.0,558000.0,0.0,4975000.0,3448000.0,197000.0,727000.0,0.0,34000.0,311000.0,0.0,259000.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.976,1606
2501650,ABINGTON,MA,3,2034.0,42022000.0,1273000.0,223000.0,512000.0,0.0,0.0,0.0,0.0,60000.0,307000.0,171000.0,0.0,0.0,0.0,16975000.0,7638000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5706000.0,1029000.0,25000.0,27000.0,2550000.0,0.0,23774000.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,294000.0,0.0,361000.0,0.0,104000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376000.0,0.0,33535000.0,28487000.0,18301000.0,18301000.0,1722000.0,358000.0,9581000.0,1513000.0,936000.0,329000.0,1455000.0,2799000.0,1710000.0,839000.0,0.0,605000.0,605000.0,0.0,0.0,3000.0,0.0,0.0,3000.0,176000.0,0.0,134000.0,42000.0,0.0,0.0,0.0,0.0,1119000.0,1670000.0,17421000.0,12555000.0,7999000.0,1745000.0,0.0,207000.0,985000.0,516000.0,251000.0,1108000.0,855000.0,121000.0,544000.0,280000.0,6847000.0,5113000.0,488000.0,256000.0,79000.0,347000.0,268000.0,38000.0,170000.0,88000.0,0.0,190000.0,35615000.0,0.0,1965000.0,33650000.0,0.0,0.0,0.0,0.0,0.0,406000.0,0.0,0.0,-1.0,-1.0,0.0,0.893,2351
2500021,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),MA,1,524.0,11653000.0,608000.0,0.0,0.0,0.0,0.0,0.0,0.0,415000.0,193000.0,0.0,0.0,0.0,0.0,1358000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,1356000.0,0.0,0.0,0.0,9687000.0,0.0,0.0,0.0,0.0,0.0,9181000.0,167000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,155000.0,106000.0,0.0,10303000.0,9948000.0,5424000.0,5424000.0,0.0,0.0,4524000.0,729000.0,1364000.0,57000.0,231000.0,659000.0,626000.0,858000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,332000.0,5714000.0,3564000.0,0.0,0.0,0.0,0.0,330000.0,886000.0,0.0,165000.0,346000.0,0.0,423000.0,0.0,2280000.0,1422000.0,132000.0,354000.0,0.0,66000.0,138000.0,0.0,169000.0,0.0,0.0,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.95,2136
2501710,ACTON-BOXBOROUGH,MA,3,5605.0,107823000.0,2570000.0,123000.0,1242000.0,0.0,0.0,0.0,0.0,105000.0,795000.0,275000.0,0.0,0.0,30000.0,27512000.0,14859000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4058000.0,73000.0,73000.0,8449000.0,0.0,77741000.0,0.0,0.0,0.0,0.0,0.0,611000.0,69324000.0,4850000.0,0.0,933000.0,0.0,466000.0,0.0,0.0,0.0,0.0,196000.0,0.0,465000.0,896000.0,0.0,100342000.0,87893000.0,56817000.0,56817000.0,5038000.0,327000.0,28909000.0,6914000.0,3625000.0,728000.0,4154000.0,6151000.0,4759000.0,2578000.0,0.0,2167000.0,2156000.0,0.0,11000.0,2799000.0,2799000.0,0.0,0.0,1112000.0,0.0,937000.0,15000.0,160000.0,0.0,0.0,0.0,2679000.0,494000.0,60317000.0,39485000.0,25698000.0,5405000.0,0.0,579000.0,4808000.0,2276000.0,563000.0,3354000.0,2490000.0,1571000.0,2082000.0,1094000.0,21119000.0,15526000.0,2008000.0,951000.0,133000.0,792000.0,588000.0,371000.0,492000.0,258000.0,0.0,372000.0,12915000.0,0.0,1435000.0,11480000.0,0.0,0.0,0.0,0.0,0.0,1191000.0,0.0,0.0,-1.0,-1.0,0.0,0.966,1720
2501780,ADAMS-CHESHIRE,MA,3,1221.0,24285000.0,1261000.0,286000.0,386000.0,0.0,0.0,0.0,0.0,135000.0,305000.0,127000.0,0.0,0.0,22000.0,12668000.0,10276000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347000.0,213000.0,138000.0,1694000.0,0.0,10356000.0,0.0,0.0,0.0,0.0,0.0,569000.0,8314000.0,97000.0,0.0,359000.0,0.0,42000.0,0.0,0.0,0.0,0.0,22000.0,0.0,212000.0,741000.0,0.0,22611000.0,19994000.0,13486000.0,13486000.0,254000.0,1153000.0,5615000.0,1127000.0,314000.0,235000.0,1013000.0,1512000.0,858000.0,556000.0,0.0,893000.0,893000.0,0.0,0.0,19000.0,0.0,0.0,19000.0,74000.0,0.0,0.0,54000.0,20000.0,0.0,0.0,0.0,756000.0,361000.0,11419000.0,8514000.0,4327000.0,1603000.0,0.0,87000.0,661000.0,165000.0,154000.0,665000.0,420000.0,14000.0,365000.0,376000.0,6040000.0,4412000.0,466000.0,117000.0,81000.0,348000.0,220000.0,7000.0,191000.0,197000.0,0.0,0.0,11100000.0,0.0,575000.0,10525000.0,0.0,0.0,0.0,0.0,4363000.0,228000.0,0.0,0.0,-1.0,-1.0,0.0,0.898,1225
2500085,ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),MA,1,993.0,17790000.0,184000.0,0.0,0.0,0.0,0.0,0.0,0.0,184000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17606000.0,0.0,0.0,0.0,0.0,0.0,14205000.0,0.0,0.0,0.0,122000.0,0.0,645000.0,0.0,0.0,40000.0,0.0,36000.0,0.0,70000.0,2488000.0,0.0,16442000.0,14848000.0,8237000.0,8237000.0,0.0,0.0,6611000.0,633000.0,1694000.0,359000.0,340000.0,831000.0,683000.0,2071000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594000.0,0.0,1505000.0,0.0,0.0,89000.0,0.0,0.0,0.0,0.0,8040000.0,5226000.0,0.0,0.0,0.0,0.0,220000.0,912000.0,0.0,239000.0,178000.0,0.0,1266000.0,0.0,3412000.0,2218000.0,93000.0,387000.0,0.0,101000.0,75000.0,0.0,537000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.983,1752
2501800,AGAWAM,MA,3,3864.0,73762000.0,2839000.0,535000.0,1116000.0,0.0,0.0,0.0,0.0,118000.0,595000.0,430000.0,0.0,0.0,45000.0,27742000.0,19254000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161000.0,972000.0,51000.0,69000.0,6235000.0,0.0,43181000.0,0.0,0.0,0.0,0.0,0.0,420000.0,0.0,233000.0,0.0,699000.0,0.0,68000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,816000.0,0.0,70685000.0,65229000.0,42493000.0,42493000.0,2078000.0,252000.0,21138000.0,5922000.0,2979000.0,981000.0,2428000.0,5195000.0,2163000.0,1470000.0,0.0,1598000.0,1584000.0,0.0,14000.0,4000.0,4000.0,0.0,0.0,190000.0,0.0,59000.0,89000.0,42000.0,0.0,0.0,0.0,2701000.0,231000.0,38439000.0,29479000.0,18464000.0,4995000.0,0.0,62000.0,3310000.0,1578000.0,376000.0,1737000.0,213000.0,0.0,975000.0,706000.0,16484000.0,12113000.0,1898000.0,904000.0,147000.0,681000.0,83000.0,0.0,382000.0,277000.0,0.0,264000.0,10282000.0,365000.0,1668000.0,8614000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,-1.0,-1.0,0.0,0.9,1030
2501860,AMESBURY,MA,3,2147.0,41320000.0,1365000.0,258000.0,599000.0,0.0,0.0,0.0,0.0,67000.0,305000.0,136000.0,0.0,0.0,0.0,14257000.0,9062000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742000.0,1051000.0,39000.0,39000.0,3324000.0,0.0,25698000.0,0.0,0.0,0.0,0.0,0.0,101000.0,0.0,345000.0,0.0,358000.0,0.0,187000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,486000.0,0.0,40488000.0,35979000.0,23159000.0,23159000.0,1248000.0,552000.0,11981000.0,3266000.0,1343000.0,290000.0,1909000.0,3233000.0,1341000.0,599000.0,0.0,839000.0,839000.0,0.0,0.0,7000.0,7000.0,0.0,0.0,567000.0,0.0,313000.0,27000.0,227000.0,0.0,0.0,0.0,1958000.0,177000.0,21741000.0,15403000.0,8930000.0,3002000.0,0.0,0.0,2113000.0,807000.0,214000.0,1407000.0,900000.0,240000.0,253000.0,398000.0,9957000.0,7172000.0,1135000.0,433000.0,76000.0,501000.0,321000.0,86000.0,90000.0,142000.0,0.0,25000.0,5041000.0,0.0,1451000.0,3590000.0,0.0,0.0,0.0,0.0,0.0,366000.0,0.0,0.0,-1.0,-1.0,0.0,0.875,1913
2501920,AMHERST-PELHAM,MA,3,1343.0,38147000.0,1264000.0,0.0,824000.0,0.0,0.0,0.0,0.0,81000.0,218000.0,141000.0,0.0,0.0,0.0,14614000.0,9476000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034000.0,1285000.0,80000.0,41000.0,2698000.0,0.0,22269000.0,0.0,0.0,0.0,0.0,0.0,1294000.0,20068000.0,91000.0,0.0,256000.0,0.0,247000.0,0.0,0.0,0.0,0.0,31000.0,0.0,42000.0,240000.0,0.0,35230000.0,31349000.0,19030000.0,19030000.0,1193000.0,1565000.0,11632000.0,3183000.0,1161000.0,331000.0,1758000.0,2747000.0,1574000.0,878000.0,0.0,687000.0,674000.0,0.0,13000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,1042000.0,75000.0,18895000.0,12103000.0,6051000.0,2433000.0,0.0,94000.0,2095000.0,676000.0,250000.0,1328000.0,1170000.0,207000.0,663000.0,310000.0,9086000.0,6412000.0,1059000.0,342000.0,81000.0,430000.0,379000.0,67000.0,215000.0,100000.0,0.0,23000.0,2896000.0,0.0,1265000.0,1622000.0,290000.0,671000.0,0.0,0.0,6780000.0,429000.0,0.0,0.0,-1.0,-1.0,0.0,0.885,1002
