LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
2800360,ABERDEEN,MS,3,1222.0,14608000.0,2399000.0,718000.0,383000.0,0.0,3000.0,0.0,0.0,253000.0,929000.0,0.0,0.0,0.0,113000.0,6707000.0,6395000.0,0.0,0.0,91000.0,0.0,0.0,29000.0,16000.0,0.0,0.0,176000.0,0.0,0.0,0.0,5502000.0,5138000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,154000.0,0.0,0.0,0.0,1000.0,103000.0,0.0,18000.0,32000.0,0.0,13317000.0,12805000.0,6678000.0,6678000.0,0.0,0.0,5205000.0,553000.0,500000.0,757000.0,663000.0,1227000.0,958000.0,547000.0,0.0,922000.0,867000.0,0.0,55000.0,0.0,0.0,0.0,0.0,377000.0,0.0,0.0,90000.0,287000.0,0.0,0.0,0.0,0.0,135000.0,6640000.0,4212000.0,3208000.0,750000.0,114000.0,76000.0,409000.0,189000.0,427000.0,499000.0,261000.0,25000.0,261000.0,228000.0,2335000.0,1482000.0,133000.0,62000.0,134000.0,153000.0,109000.0,10000.0,85000.0,138000.0,0.0,103000.0,3565000.0,0.0,165000.0,3400000.0,0.0,0.0,920000.0,111000.0,4826000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.8109999999999999,39730
2800390,ALCORN,MS,3,3267.0,30764000.0,4117000.0,1131000.0,837000.0,0.0,5000.0,79000.0,0.0,490000.0,1129000.0,0.0,0.0,0.0,446000.0,17823000.0,16234000.0,0.0,0.0,134000.0,0.0,0.0,755000.0,13000.0,0.0,0.0,687000.0,0.0,0.0,0.0,8824000.0,7262000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,230000.0,0.0,792000.0,0.0,0.0,2000.0,0.0,4000.0,0.0,49000.0,436000.0,0.0,30764000.0,27956000.0,18255000.0,18255000.0,0.0,0.0,8172000.0,1068000.0,818000.0,652000.0,1802000.0,2435000.0,1149000.0,248000.0,0.0,1529000.0,1285000.0,0.0,244000.0,0.0,0.0,0.0,0.0,2648000.0,1448000.0,0.0,644000.0,556000.0,0.0,0.0,0.0,0.0,160000.0,17470000.0,12498000.0,8225000.0,1594000.0,1368000.0,309000.0,679000.0,478000.0,413000.0,1360000.0,529000.0,574000.0,168000.0,364000.0,5798000.0,4159000.0,205000.0,151000.0,117000.0,431000.0,241000.0,207000.0,52000.0,197000.0,0.0,9000.0,4220000.0,4250000.0,1150000.0,7320000.0,1150000.0,745000.0,2965000.0,2632000.0,5184000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.947,38834
2800420,AMITE COUNTY,MS,3,1024.0,13605000.0,2306000.0,802000.0,352000.0,0.0,0.0,23000.0,0.0,243000.0,721000.0,0.0,0.0,0.0,165000.0,6172000.0,5820000.0,0.0,0.0,44000.0,0.0,0.0,263000.0,7000.0,0.0,0.0,38000.0,0.0,0.0,0.0,5127000.0,3018000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,27000.0,72000.0,0.0,75000.0,0.0,639000.0,470000.0,2000.0,382000.0,0.0,1000.0,440000.0,0.0,14415000.0,13334000.0,6343000.0,6343000.0,0.0,0.0,6242000.0,657000.0,622000.0,604000.0,532000.0,2638000.0,798000.0,391000.0,0.0,749000.0,700000.0,0.0,49000.0,143000.0,7000.0,0.0,136000.0,900000.0,11000.0,0.0,94000.0,795000.0,0.0,0.0,0.0,0.0,38000.0,6797000.0,4389000.0,2519000.0,902000.0,325000.0,53000.0,467000.0,217000.0,339000.0,384000.0,174000.0,379000.0,188000.0,193000.0,2363000.0,1483000.0,144000.0,73000.0,103000.0,125000.0,76000.0,165000.0,64000.0,106000.0,0.0,80000.0,185000.0,0.0,45000.0,140000.0,0.0,0.0,0.0,0.0,11611000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.733,39645
2800450,AMORY,MS,3,1663.0,15619000.0,2217000.0,503000.0,421000.0,0.0,8000.0,21000.0,0.0,437000.0,718000.0,0.0,0.0,0.0,109000.0,9404000.0,8757000.0,0.0,39000.0,57000.0,0.0,0.0,259000.0,9000.0,0.0,0.0,283000.0,0.0,0.0,0.0,3998000.0,3254000.0,0.0,0.0,0.0,9000.0,5000.0,0.0,1000.0,0.0,300000.0,0.0,229000.0,0.0,0.0,2000.0,0.0,9000.0,0.0,59000.0,130000.0,0.0,14520000.0,13745000.0,7934000.0,7934000.0,0.0,0.0,4793000.0,660000.0,462000.0,574000.0,931000.0,1443000.0,409000.0,314000.0,0.0,1018000.0,1010000.0,0.0,8000.0,0.0,0.0,0.0,0.0,631000.0,0.0,0.0,316000.0,182000.0,133000.0,0.0,0.0,0.0,144000.0,8042000.0,5401000.0,3578000.0,770000.0,406000.0,104000.0,419000.0,244000.0,334000.0,681000.0,110000.0,188000.0,204000.0,305000.0,2717000.0,1790000.0,137000.0,77000.0,97000.0,220000.0,42000.0,98000.0,65000.0,155000.0,0.0,34000.0,3432000.0,133000.0,881000.0,2684000.0,0.0,0.0,46000.0,332000.0,3093000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.818,38821
2800510,ATTALA COUNTY,MS,3,1041.0,12612000.0,1658000.0,567000.0,258000.0,0.0,10000.0,62000.0,0.0,70000.0,626000.0,0.0,0.0,0.0,65000.0,5601000.0,5192000.0,0.0,0.0,32000.0,0.0,0.0,308000.0,6000.0,0.0,0.0,63000.0,0.0,0.0,0.0,5353000.0,4374000.0,0.0,0.0,0.0,0.0,194000.0,208000.0,9000.0,13000.0,64000.0,0.0,153000.0,0.0,183000.0,69000.0,0.0,33000.0,0.0,13000.0,40000.0,0.0,12465000.0,11911000.0,6747000.0,6747000.0,0.0,0.0,4429000.0,544000.0,254000.0,641000.0,670000.0,1210000.0,815000.0,295000.0,0.0,735000.0,727000.0,0.0,8000.0,137000.0,0.0,3000.0,134000.0,392000.0,0.0,0.0,122000.0,270000.0,0.0,0.0,0.0,0.0,25000.0,6875000.0,4467000.0,2859000.0,433000.0,443000.0,132000.0,374000.0,141000.0,390000.0,477000.0,259000.0,330000.0,167000.0,200000.0,2448000.0,1539000.0,119000.0,51000.0,115000.0,151000.0,116000.0,150000.0,57000.0,133000.0,0.0,40000.0,1335000.0,0.0,400000.0,935000.0,0.0,0.0,267000.0,237000.0,6239000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.831,39090
2800540,BALDWYN,MS,3,790.0,9169000.0,1451000.0,326000.0,210000.0,0.0,3000.0,0.0,0.0,320000.0,314000.0,0.0,0.0,0.0,278000.0,4308000.0,3959000.0,0.0,0.0,51000.0,0.0,0.0,206000.0,6000.0,0.0,0.0,86000.0,0.0,0.0,0.0,3410000.0,2996000.0,0.0,0.0,0.0,18000.0,0.0,12000.0,0.0,0.0,69000.0,0.0,253000.0,0.0,0.0,0.0,0.0,16000.0,0.0,35000.0,11000.0,0.0,10093000.0,8627000.0,4768000.0,4768000.0,0.0,0.0,3445000.0,441000.0,441000.0,544000.0,657000.0,928000.0,302000.0,132000.0,0.0,414000.0,379000.0,0.0,35000.0,0.0,0.0,0.0,0.0,1353000.0,969000.0,0.0,229000.0,155000.0,0.0,0.0,0.0,0.0,113000.0,4946000.0,3028000.0,2083000.0,324000.0,321000.0,63000.0,314000.0,279000.0,325000.0,467000.0,129000.0,125000.0,95000.0,100000.0,1662000.0,1006000.0,105000.0,86000.0,95000.0,150000.0,54000.0,71000.0,27000.0,50000.0,0.0,37000.0,4805000.0,0.0,295000.0,4510000.0,0.0,0.0,905000.0,246000.0,1496000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.8540000000000001,38824
2800570,BAY ST LOUIS WAVELAND,MS,3,1844.0,20656000.0,2684000.0,843000.0,517000.0,0.0,4000.0,1000.0,0.0,331000.0,988000.0,0.0,0.0,0.0,0.0,8935000.0,8446000.0,0.0,4000.0,67000.0,0.0,0.0,73000.0,11000.0,0.0,0.0,334000.0,0.0,0.0,0.0,9037000.0,8416000.0,0.0,0.0,0.0,0.0,13000.0,0.0,4000.0,0.0,113000.0,0.0,82000.0,0.0,0.0,29000.0,0.0,47000.0,0.0,273000.0,60000.0,0.0,20456000.0,18913000.0,9902000.0,9902000.0,0.0,0.0,7955000.0,1105000.0,580000.0,768000.0,999000.0,2852000.0,926000.0,725000.0,0.0,1056000.0,1053000.0,0.0,3000.0,56000.0,0.0,2000.0,54000.0,1329000.0,863000.0,0.0,66000.0,400000.0,0.0,0.0,0.0,0.0,158000.0,10406000.0,6612000.0,4645000.0,1015000.0,222000.0,198000.0,591000.0,331000.0,536000.0,750000.0,607000.0,0.0,379000.0,325000.0,3415000.0,2144000.0,176000.0,114000.0,153000.0,227000.0,259000.0,0.0,114000.0,167000.0,0.0,51000.0,3843000.0,0.0,944000.0,2898000.0,0.0,0.0,235000.0,0.0,8464000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.935,39520
2800600,BENTON COUNTY,MS,3,1148.0,11813000.0,2998000.0,592000.0,274000.0,0.0,0.0,71000.0,0.0,159000.0,583000.0,0.0,0.0,0.0,1319000.0,7003000.0,6638000.0,0.0,0.0,50000.0,0.0,0.0,187000.0,6000.0,0.0,0.0,122000.0,0.0,0.0,0.0,1812000.0,1562000.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,26000.0,0.0,185000.0,0.0,0.0,0.0,0.0,15000.0,0.0,4000.0,2000.0,0.0,11729000.0,11347000.0,6532000.0,6532000.0,0.0,0.0,4174000.0,425000.0,627000.0,400000.0,649000.0,1121000.0,672000.0,280000.0,0.0,641000.0,641000.0,0.0,0.0,2000.0,0.0,0.0,2000.0,299000.0,0.0,0.0,263000.0,36000.0,0.0,0.0,0.0,0.0,81000.0,6725000.0,4490000.0,2740000.0,818000.0,276000.0,88000.0,270000.0,291000.0,225000.0,480000.0,231000.0,271000.0,155000.0,194000.0,2344000.0,1521000.0,81000.0,116000.0,44000.0,151000.0,93000.0,158000.0,50000.0,107000.0,0.0,109000.0,1331000.0,0.0,59000.0,1272000.0,0.0,0.0,268000.0,0.0,2164000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.868,38603
2800630,BILOXI,MS,3,6202.0,68692000.0,8834000.0,2443000.0,1313000.0,0.0,25000.0,85000.0,33000.0,450000.0,2785000.0,0.0,932000.0,0.0,768000.0,27870000.0,26482000.0,0.0,28000.0,227000.0,0.0,0.0,288000.0,30000.0,0.0,0.0,815000.0,0.0,0.0,0.0,31988000.0,23611000.0,0.0,0.0,0.0,6025000.0,1000.0,7000.0,277000.0,2000.0,946000.0,0.0,296000.0,0.0,0.0,100000.0,0.0,106000.0,0.0,84000.0,533000.0,0.0,74271000.0,58715000.0,32134000.0,32134000.0,0.0,0.0,23239000.0,3623000.0,2655000.0,1382000.0,2616000.0,8455000.0,2492000.0,2016000.0,0.0,3342000.0,3274000.0,0.0,68000.0,0.0,0.0,0.0,0.0,13443000.0,5993000.0,0.0,1068000.0,1423000.0,4959000.0,0.0,0.0,0.0,2113000.0,32654000.0,21422000.0,15742000.0,2075000.0,728000.0,383000.0,2674000.0,1621000.0,722000.0,2022000.0,923000.0,1491000.0,932000.0,0.0,10642000.0,6905000.0,827000.0,513000.0,218000.0,591000.0,491000.0,617000.0,376000.0,0.0,0.0,243000.0,54080000.0,4959000.0,4905000.0,54134000.0,0.0,0.0,749000.0,9371000.0,8520000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.858,39533
