LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
3400048,ACADEMY CHARTER,NJ,1,190.0,3889000.0,291000.0,143000.0,50000.0,0.0,0.0,0.0,0.0,11000.0,87000.0,0.0,0.0,0.0,0.0,477000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,476000.0,0.0,3121000.0,0.0,0.0,0.0,0.0,0.0,3118000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,4046000.0,4042000.0,1926000.0,1926000.0,0.0,0.0,2007000.0,627000.0,59000.0,96000.0,671000.0,549000.0,5000.0,0.0,0.0,109000.0,109000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,2065000.0,1132000.0,1094000.0,0.0,0.0,0.0,412000.0,24000.0,0.0,462000.0,23000.0,0.0,0.0,12000.0,1035000.0,590000.0,215000.0,13000.0,0.0,209000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,0.0,0.0,0.0,3752000.0,290000.0,0.0,0.8809999999999999,7719
3400741,ACADEMY FOR URBAN LEADERSHIP CHARTER,NJ,1,576.0,9966000.0,498000.0,237000.0,83000.0,0.0,0.0,0.0,0.0,13000.0,165000.0,0.0,0.0,0.0,0.0,848000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,846000.0,0.0,8620000.0,0.0,0.0,0.0,0.0,0.0,8528000.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77000.0,0.0,9300000.0,9076000.0,4734000.0,4734000.0,0.0,0.0,4103000.0,992000.0,50000.0,504000.0,583000.0,1287000.0,198000.0,489000.0,0.0,239000.0,239000.0,0.0,0.0,0.0,0.0,0.0,0.0,224000.0,125000.0,0.0,71000.0,28000.0,0.0,0.0,0.0,0.0,0.0,4937000.0,2889000.0,2579000.0,41000.0,0.0,0.0,649000.0,20000.0,233000.0,403000.0,410000.0,0.0,333000.0,0.0,1540000.0,967000.0,217000.0,7000.0,65000.0,113000.0,92000.0,0.0,75000.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141000.0,0.0,0.0,0.0,8580000.0,498000.0,0.0,0.9485,8861
3400930,ASBURY PARK,NJ,3,2204.0,85121000.0,5387000.0,1776000.0,776000.0,0.0,0.0,0.0,0.0,582000.0,1712000.0,541000.0,0.0,0.0,0.0,72160000.0,51675000.0,0.0,1578000.0,0.0,0.0,0.0,0.0,15000.0,0.0,381000.0,10740000.0,0.0,7771000.0,0.0,7574000.0,7254000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188000.0,0.0,84487000.0,67482000.0,35211000.0,35211000.0,2737000.0,5879000.0,30411000.0,10512000.0,5870000.0,1242000.0,1798000.0,9187000.0,306000.0,1496000.0,0.0,1860000.0,1860000.0,0.0,0.0,3492000.0,7000.0,0.0,3485000.0,1115000.0,993000.0,0.0,0.0,122000.0,0.0,95000.0,0.0,3687000.0,0.0,35361000.0,20291000.0,11721000.0,4212000.0,0.0,1315000.0,5423000.0,3386000.0,409000.0,1067000.0,3721000.0,116000.0,802000.0,147000.0,20558000.0,11380000.0,3041000.0,1899000.0,259000.0,675000.0,2621000.0,82000.0,565000.0,4000.0,0.0,205000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11731000.0,0.0,0.0,0.0,62094000.0,5387000.0,0.0,0.8298000000000001,7712
3400960,ATLANTIC,NJ,3,7157.0,193445000.0,16247000.0,4611000.0,1753000.0,0.0,0.0,91000.0,0.0,3961000.0,5693000.0,112000.0,26000.0,0.0,0.0,80733000.0,16710000.0,0.0,4058000.0,0.0,0.0,0.0,0.0,50000.0,498000.0,1238000.0,38282000.0,0.0,19897000.0,0.0,96465000.0,87773000.0,0.0,0.0,0.0,0.0,7103000.0,0.0,100000.0,0.0,384000.0,0.0,38000.0,0.0,0.0,28000.0,0.0,23000.0,0.0,0.0,1016000.0,0.0,174061000.0,150530000.0,94553000.0,94553000.0,1449000.0,6968000.0,50306000.0,9356000.0,7513000.0,2754000.0,7822000.0,16333000.0,3001000.0,3527000.0,0.0,5671000.0,5652000.0,19000.0,0.0,217000.0,109000.0,0.0,108000.0,786000.0,2000.0,0.0,23000.0,761000.0,0.0,1394000.0,0.0,9453000.0,3264000.0,86707000.0,60190000.0,35950000.0,10260000.0,0.0,5868000.0,5764000.0,4384000.0,765000.0,5245000.0,6654000.0,141000.0,1899000.0,1655000.0,40883000.0,28491000.0,2728000.0,2075000.0,353000.0,2421000.0,2993000.0,64000.0,854000.0,835000.0,1000.0,163000.0,69696000.0,0.0,3185000.0,66511000.0,0.0,0.0,0.0,2006000.0,45279000.0,0.0,0.0,0.0,134311000.0,16220000.0,0.0,0.8111,8401
3400990,ATLANTIC COUNTY VOCATIONAL,NJ,3,1551.0,34054000.0,1622000.0,461000.0,260000.0,0.0,0.0,193000.0,0.0,65000.0,643000.0,0.0,0.0,0.0,0.0,9309000.0,4380000.0,0.0,480000.0,0.0,0.0,0.0,0.0,8000.0,1227000.0,0.0,401000.0,0.0,2813000.0,0.0,23123000.0,0.0,0.0,0.0,0.0,0.0,15642000.0,0.0,355000.0,0.0,336000.0,0.0,139000.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,78000.0,0.0,30227000.0,27087000.0,15566000.0,15566000.0,0.0,0.0,10413000.0,1824000.0,1414000.0,726000.0,818000.0,4278000.0,362000.0,991000.0,0.0,1108000.0,972000.0,136000.0,0.0,419000.0,0.0,142000.0,277000.0,1955000.0,1730000.0,0.0,0.0,225000.0,0.0,0.0,0.0,1000.0,765000.0,14431000.0,9158000.0,5477000.0,266000.0,2562000.0,0.0,974000.0,797000.0,252000.0,454000.0,1543000.0,0.0,478000.0,408000.0,7611000.0,4936000.0,525000.0,430000.0,139000.0,251000.0,875000.0,0.0,271000.0,117000.0,7000.0,65000.0,24815000.0,0.0,3000000.0,21815000.0,0.0,0.0,0.0,0.0,6396000.0,0.0,0.0,0.0,25465000.0,1621000.0,0.0,0.9911,8330
3401050,AUDUBON,NJ,3,1561.0,29155000.0,806000.0,204000.0,375000.0,0.0,0.0,0.0,0.0,56000.0,171000.0,0.0,0.0,0.0,0.0,12088000.0,6561000.0,0.0,906000.0,0.0,0.0,0.0,0.0,4000.0,0.0,63000.0,1078000.0,0.0,3476000.0,0.0,16261000.0,12550000.0,0.0,0.0,0.0,0.0,2876000.0,0.0,0.0,0.0,247000.0,0.0,249000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,337000.0,0.0,28275000.0,26305000.0,16426000.0,16426000.0,511000.0,0.0,9256000.0,3096000.0,1098000.0,527000.0,1283000.0,2396000.0,97000.0,759000.0,0.0,623000.0,446000.0,177000.0,0.0,23000.0,23000.0,0.0,0.0,263000.0,0.0,248000.0,2000.0,13000.0,0.0,101000.0,0.0,861000.0,211000.0,15596000.0,10220000.0,6772000.0,1767000.0,0.0,487000.0,1824000.0,705000.0,204000.0,826000.0,1050000.0,26000.0,432000.0,249000.0,7974000.0,5242000.0,936000.0,362000.0,111000.0,449000.0,603000.0,15000.0,248000.0,0.0,9000.0,6000.0,6395000.0,0.0,740000.0,5655000.0,0.0,0.0,0.0,0.0,927000.0,0.0,0.0,0.0,25499000.0,805000.0,0.0,0.9441,8106
3416470,BARNEGAT,NJ,3,3189.0,62312000.0,2241000.0,589000.0,770000.0,0.0,0.0,0.0,0.0,188000.0,683000.0,11000.0,0.0,0.0,0.0,27431000.0,17941000.0,0.0,2444000.0,0.0,0.0,0.0,0.0,12000.0,436000.0,219000.0,154000.0,0.0,6225000.0,0.0,32640000.0,31388000.0,0.0,0.0,0.0,0.0,120000.0,0.0,34000.0,0.0,550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548000.0,0.0,60766000.0,54198000.0,32067000.0,32067000.0,1142000.0,0.0,20988000.0,5906000.0,2538000.0,666000.0,2443000.0,5742000.0,2437000.0,1256000.0,0.0,1143000.0,1136000.0,7000.0,0.0,0.0,0.0,0.0,0.0,1539000.0,959000.0,0.0,54000.0,526000.0,0.0,804000.0,0.0,1821000.0,1262000.0,29576000.0,18889000.0,12217000.0,3462000.0,0.0,513000.0,3370000.0,1044000.0,217000.0,1463000.0,2131000.0,1275000.0,730000.0,456000.0,18138000.0,11667000.0,2081000.0,645000.0,137000.0,926000.0,1381000.0,826000.0,473000.0,0.0,0.0,317000.0,31165000.0,0.0,1530000.0,29635000.0,0.0,0.0,0.0,0.0,15763000.0,0.0,0.0,0.0,51957000.0,2241000.0,0.0,0.8837999999999999,8005
3401260,BAYONNE,NJ,3,9907.0,170287000.0,10353000.0,3087000.0,2571000.0,0.0,0.0,0.0,0.0,934000.0,3623000.0,138000.0,0.0,0.0,0.0,80468000.0,50570000.0,0.0,6494000.0,0.0,0.0,0.0,0.0,47000.0,250000.0,76000.0,4077000.0,0.0,18954000.0,0.0,79466000.0,0.0,0.0,0.0,0.0,0.0,63000.0,0.0,656000.0,0.0,988000.0,0.0,0.0,0.0,0.0,305000.0,0.0,0.0,0.0,0.0,849000.0,0.0,160875000.0,152403000.0,96572000.0,96572000.0,1494000.0,386000.0,51152000.0,14400000.0,3878000.0,3718000.0,7155000.0,14659000.0,3580000.0,3762000.0,0.0,4679000.0,4679000.0,0.0,0.0,1473000.0,1212000.0,0.0,261000.0,620000.0,211000.0,0.0,132000.0,277000.0,0.0,334000.0,0.0,402000.0,3763000.0,89704000.0,60715000.0,38580000.0,11644000.0,168000.0,1390000.0,8643000.0,2087000.0,594000.0,4690000.0,6776000.0,1361000.0,1838000.0,1824000.0,42809000.0,29336000.0,4176000.0,1008000.0,299000.0,2358000.0,3538000.0,711000.0,960000.0,328000.0,0.0,176000.0,67201000.0,0.0,6434000.0,60766000.0,0.0,0.0,0.0,8843000.0,4849000.0,0.0,0.0,0.0,142049000.0,10354000.0,0.0,0.8703,7002
3401350,BELLEVILLE,NJ,3,4583.0,81896000.0,4078000.0,1103000.0,1150000.0,0.0,0.0,50000.0,0.0,406000.0,1241000.0,128000.0,0.0,0.0,0.0,36797000.0,23552000.0,0.0,3266000.0,0.0,0.0,0.0,0.0,22000.0,0.0,222000.0,549000.0,0.0,9186000.0,0.0,41021000.0,39764000.0,0.0,0.0,0.0,0.0,61000.0,0.0,120000.0,0.0,646000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000.0,0.0,81972000.0,72885000.0,44641000.0,44641000.0,2376000.0,271000.0,26387000.0,7970000.0,827000.0,2017000.0,5807000.0,6339000.0,1868000.0,1559000.0,0.0,1857000.0,1857000.0,0.0,0.0,95000.0,0.0,0.0,95000.0,4050000.0,1727000.0,1881000.0,18000.0,424000.0,0.0,23000.0,0.0,2272000.0,0.0,42305000.0,27465000.0,18185000.0,4435000.0,0.0,1974000.0,4511000.0,290000.0,584000.0,3897000.0,3223000.0,872000.0,578000.0,884000.0,20052000.0,13517000.0,2221000.0,143000.0,273000.0,1822000.0,1426000.0,386000.0,256000.0,0.0,0.0,1052000.0,0.0,48536000.0,0.0,48536000.0,0.0,0.0,0.0,47618000.0,5355000.0,0.0,0.0,0.0,68807000.0,4078000.0,0.0,0.8541,7109
