LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
3602370,ADDISON CENTRAL SCHOOL DISTRICT,NY,3,1109.0,32474000.0,2082000.0,549000.0,306000.0,0.0,0.0,0.0,0.0,199000.0,472000.0,556000.0,0.0,0.0,0.0,22960000.0,16127000.0,0.0,2337000.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,4482000.0,0.0,0.0,0.0,7432000.0,5929000.0,0.0,0.0,0.0,0.0,115000.0,0.0,0.0,0.0,121000.0,0.0,2000.0,0.0,0.0,24000.0,0.0,11000.0,0.0,1000.0,1229000.0,0.0,29491000.0,26132000.0,17021000.0,17021000.0,19000.0,0.0,8386000.0,746000.0,1036000.0,945000.0,631000.0,1748000.0,1426000.0,1854000.0,0.0,725000.0,725000.0,0.0,0.0,69000.0,47000.0,22000.0,0.0,2040000.0,1429000.0,26000.0,57000.0,528000.0,0.0,0.0,0.0,94000.0,1137000.0,14937000.0,10560000.0,5588000.0,876000.0,116000.0,287000.0,474000.0,605000.0,384000.0,428000.0,621000.0,824000.0,711000.0,290000.0,7540000.0,5488000.0,221000.0,297000.0,186000.0,193000.0,280000.0,371000.0,390000.0,106000.0,0.0,10000.0,10480000.0,8375000.0,1395000.0,17460000.0,10400000.0,0.0,3614000.0,3393000.0,5548000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.87,14801
3605040,ADIRONDACK CENTRAL SCHOOL DISTRICT,NY,3,1272.0,30068000.0,1351000.0,386000.0,342000.0,0.0,0.0,0.0,0.0,50000.0,464000.0,109000.0,0.0,0.0,0.0,19086000.0,13499000.0,0.0,2091000.0,0.0,0.0,0.0,0.0,37000.0,0.0,0.0,3321000.0,138000.0,0.0,0.0,9631000.0,8435000.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.0,305000.0,0.0,0.0,0.0,2000.0,9000.0,2000.0,7000.0,0.0,2000.0,845000.0,0.0,28655000.0,25954000.0,16011000.0,16011000.0,88000.0,0.0,9096000.0,907000.0,250000.0,879000.0,1349000.0,2057000.0,2424000.0,1230000.0,0.0,847000.0,847000.0,0.0,0.0,3000.0,1000.0,2000.0,0.0,1547000.0,1001000.0,4000.0,50000.0,492000.0,0.0,0.0,0.0,246000.0,817000.0,14219000.0,9496000.0,5756000.0,665000.0,194000.0,142000.0,550000.0,113000.0,359000.0,823000.0,820000.0,1243000.0,533000.0,279000.0,8737000.0,5810000.0,340000.0,68000.0,215000.0,509000.0,507000.0,767000.0,317000.0,204000.0,0.0,67000.0,8910000.0,2550000.0,4960000.0,6500000.0,8427000.0,8146000.0,3000.0,288000.0,6274000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.82,13309
3602400,AFTON CENTRAL SCHOOL DISTRICT,NY,3,556.0,16705000.0,689000.0,151000.0,151000.0,0.0,0.0,0.0,0.0,44000.0,311000.0,30000.0,0.0,0.0,2000.0,11180000.0,7559000.0,0.0,1122000.0,0.0,0.0,0.0,0.0,37000.0,0.0,0.0,2380000.0,82000.0,0.0,0.0,4836000.0,3682000.0,0.0,0.0,0.0,0.0,155000.0,0.0,0.0,0.0,45000.0,0.0,3000.0,0.0,76000.0,21000.0,9000.0,17000.0,0.0,0.0,828000.0,0.0,15507000.0,14289000.0,8050000.0,8050000.0,0.0,0.0,5618000.0,418000.0,624000.0,862000.0,678000.0,1141000.0,912000.0,983000.0,0.0,621000.0,443000.0,178000.0,0.0,209000.0,61000.0,148000.0,0.0,561000.0,161000.0,54000.0,16000.0,330000.0,0.0,0.0,0.0,120000.0,328000.0,7936000.0,5108000.0,2672000.0,521000.0,0.0,171000.0,273000.0,364000.0,341000.0,322000.0,434000.0,405000.0,414000.0,141000.0,4028000.0,2619000.0,135000.0,185000.0,173000.0,160000.0,214000.0,200000.0,226000.0,116000.0,0.0,16000.0,7921000.0,278000.0,779000.0,7421000.0,0.0,0.0,0.0,778000.0,7143000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.73,13730
3602430,AKRON CENTRAL SCHOOL DISTRICT,NY,3,1400.0,32161000.0,1651000.0,297000.0,345000.0,0.0,0.0,0.0,0.0,533000.0,341000.0,135000.0,0.0,0.0,0.0,20343000.0,12307000.0,0.0,2513000.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,5000000.0,512000.0,0.0,0.0,10167000.0,8151000.0,0.0,0.0,0.0,0.0,0.0,1218000.0,3000.0,0.0,224000.0,0.0,10000.0,0.0,0.0,61000.0,35000.0,106000.0,0.0,0.0,359000.0,0.0,28911000.0,25441000.0,15811000.0,15811000.0,576000.0,0.0,8990000.0,928000.0,1328000.0,635000.0,1088000.0,2140000.0,1903000.0,968000.0,0.0,640000.0,640000.0,0.0,0.0,30000.0,0.0,30000.0,0.0,580000.0,0.0,0.0,220000.0,360000.0,0.0,0.0,0.0,0.0,2284000.0,15508000.0,10397000.0,6643000.0,1240000.0,0.0,345000.0,630000.0,756000.0,281000.0,768000.0,979000.0,947000.0,487000.0,238000.0,6697000.0,4474000.0,263000.0,360000.0,122000.0,318000.0,405000.0,392000.0,228000.0,134000.0,0.0,93000.0,23455000.0,0.0,2855000.0,20600000.0,778000.0,800000.0,0.0,5000.0,14920000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.01,14001
3602460,ALBANY CITY SCHOOL DISTRICT,NY,3,9737.0,268376000.0,18859000.0,4684000.0,3920000.0,0.0,0.0,99000.0,0.0,2094000.0,5219000.0,2843000.0,0.0,0.0,0.0,121329000.0,65649000.0,0.0,30681000.0,0.0,0.0,0.0,0.0,123000.0,0.0,0.0,21979000.0,2897000.0,0.0,0.0,128188000.0,108709000.0,0.0,4259000.0,0.0,0.0,1849000.0,352000.0,44000.0,0.0,38000.0,0.0,8000.0,0.0,0.0,118000.0,1000.0,87000.0,0.0,0.0,12723000.0,0.0,271249000.0,200547000.0,130337000.0,130337000.0,6582000.0,31281000.0,65684000.0,19186000.0,7802000.0,1648000.0,11192000.0,12745000.0,9257000.0,3854000.0,0.0,4526000.0,4526000.0,0.0,0.0,3224000.0,0.0,3224000.0,0.0,18618000.0,12996000.0,3950000.0,841000.0,831000.0,0.0,0.0,0.0,746000.0,10251000.0,115824000.0,80080000.0,49773000.0,10645000.0,689000.0,583000.0,13099000.0,3287000.0,429000.0,7526000.0,5531000.0,176000.0,1973000.0,1458000.0,50834000.0,36438000.0,5542000.0,1618000.0,184000.0,3184000.0,2341000.0,74000.0,844000.0,579000.0,0.0,922000.0,114835000.0,16140000.0,25915000.0,105060000.0,23854000.0,31054000.0,1128000.0,8849000.0,48835000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.65,12207
3602520,ALBION CENTRAL SCHOOL DISTRICT,NY,3,1913.0,37862000.0,1684000.0,533000.0,517000.0,0.0,0.0,0.0,0.0,23000.0,528000.0,83000.0,0.0,0.0,0.0,28884000.0,23081000.0,0.0,2940000.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,2389000.0,460000.0,0.0,0.0,7294000.0,6700000.0,0.0,0.0,0.0,0.0,60000.0,0.0,5000.0,0.0,89000.0,0.0,11000.0,0.0,4000.0,12000.0,7000.0,35000.0,0.0,0.0,371000.0,0.0,38174000.0,28998000.0,19508000.0,19508000.0,709000.0,0.0,8792000.0,1352000.0,1063000.0,713000.0,1303000.0,2328000.0,1581000.0,452000.0,0.0,698000.0,698000.0,0.0,0.0,100000.0,24000.0,76000.0,0.0,8194000.0,7217000.0,0.0,73000.0,904000.0,0.0,0.0,0.0,23000.0,150000.0,16784000.0,12597000.0,8193000.0,1551000.0,184000.0,554000.0,915000.0,601000.0,301000.0,918000.0,1034000.0,13000.0,207000.0,102000.0,7225000.0,5576000.0,373000.0,245000.0,131000.0,374000.0,422000.0,5000.0,85000.0,13000.0,0.0,155000.0,4205000.0,0.0,4205000.0,0.0,0.0,0.0,0.0,148000.0,29671000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.87,14411
3602550,ALDEN CENTRAL SCHOOL DISTRICT,NY,3,1642.0,34321000.0,1244000.0,410000.0,409000.0,0.0,0.0,0.0,0.0,68000.0,294000.0,63000.0,0.0,0.0,0.0,18124000.0,10260000.0,0.0,2930000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,4159000.0,763000.0,0.0,0.0,14953000.0,12346000.0,0.0,0.0,0.0,0.0,46000.0,1781000.0,24000.0,0.0,277000.0,0.0,4000.0,0.0,16000.0,18000.0,81000.0,86000.0,0.0,4000.0,270000.0,0.0,32629000.0,28761000.0,17550000.0,17550000.0,514000.0,0.0,10619000.0,1379000.0,1204000.0,773000.0,1150000.0,2665000.0,2455000.0,993000.0,0.0,592000.0,576000.0,16000.0,0.0,577000.0,0.0,577000.0,0.0,2206000.0,1343000.0,0.0,54000.0,809000.0,0.0,0.0,0.0,15000.0,556000.0,17995000.0,11560000.0,7687000.0,1442000.0,152000.0,349000.0,903000.0,700000.0,333000.0,785000.0,1244000.0,1381000.0,505000.0,242000.0,7951000.0,5156000.0,393000.0,331000.0,151000.0,340000.0,538000.0,598000.0,246000.0,40000.0,0.0,70000.0,10227000.0,0.0,1922000.0,8305000.0,0.0,0.0,0.0,5971000.0,13257000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.91,14004
3602580,ALEXANDER CENTRAL SCHOOL DISTRICT,NY,3,851.0,18209000.0,428000.0,136000.0,217000.0,0.0,0.0,0.0,0.0,51000.0,0.0,24000.0,0.0,0.0,0.0,12182000.0,8030000.0,0.0,1520000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,2482000.0,146000.0,0.0,0.0,5599000.0,4842000.0,0.0,0.0,0.0,0.0,167000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,4000.0,0.0,6000.0,567000.0,0.0,16436000.0,15191000.0,9848000.0,9848000.0,0.0,0.0,5233000.0,552000.0,321000.0,656000.0,620000.0,1164000.0,1027000.0,893000.0,0.0,110000.0,110000.0,0.0,0.0,58000.0,31000.0,27000.0,0.0,904000.0,504000.0,0.0,37000.0,363000.0,0.0,0.0,0.0,79000.0,204000.0,9357000.0,6539000.0,3809000.0,930000.0,271000.0,231000.0,365000.0,162000.0,281000.0,426000.0,523000.0,543000.0,452000.0,40000.0,4046000.0,2835000.0,153000.0,77000.0,129000.0,178000.0,219000.0,227000.0,221000.0,8000.0,0.0,27000.0,2745000.0,1640000.0,2485000.0,1900000.0,0.0,0.0,3000.0,18000.0,5241000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.87,14005
3602670,ALEXANDRIA CENTRAL SCHOOL DISTRICT,NY,3,555.0,13065000.0,610000.0,184000.0,136000.0,0.0,0.0,0.0,0.0,16000.0,170000.0,104000.0,0.0,0.0,0.0,5213000.0,3560000.0,0.0,578000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,976000.0,93000.0,0.0,0.0,7242000.0,6783000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,96000.0,0.0,0.0,0.0,0.0,1000.0,23000.0,1000.0,0.0,3000.0,330000.0,0.0,15043000.0,12172000.0,7571000.0,7571000.0,0.0,0.0,4293000.0,485000.0,311000.0,863000.0,347000.0,701000.0,936000.0,650000.0,0.0,308000.0,308000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,2596000.0,2101000.0,80000.0,4000.0,411000.0,0.0,0.0,0.0,0.0,274000.0,6848000.0,4583000.0,2453000.0,288000.0,176000.0,142000.0,295000.0,145000.0,451000.0,220000.0,277000.0,452000.0,321000.0,104000.0,3843000.0,2567000.0,163000.0,81000.0,249000.0,122000.0,153000.0,250000.0,181000.0,77000.0,0.0,39000.0,1415000.0,6090000.0,230000.0,7275000.0,6506000.0,0.0,102000.0,17000.0,3356000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.92,13607
