LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
4900017,ACADEMY FOR MATH ENGINEERING & SCIENCE,UT,1,478.0,4171000.0,136000.0,62000.0,65000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3833000.0,2074000.0,154000.0,83000.0,21000.0,0.0,3000.0,119000.0,0.0,1112000.0,0.0,267000.0,0.0,0.0,0.0,202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92000.0,12000.0,0.0,0.0,0.0,0.0,31000.0,0.0,48000.0,19000.0,0.0,4159000.0,4111000.0,2815000.0,2815000.0,0.0,0.0,1296000.0,263000.0,13000.0,19000.0,417000.0,128000.0,250000.0,206000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,8000.0,2000.0,30000.0,0.0,0.0,0.0,8000.0,0.0,2081000.0,1533000.0,1264000.0,84000.0,77000.0,82000.0,171000.0,5000.0,0.0,267000.0,0.0,0.0,105000.0,0.0,966000.0,655000.0,92000.0,0.0,0.0,145000.0,0.0,0.0,74000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256000.0,2000.0,37000.0,0.0,-1.0,-1.0,0.0,0.96,84121
4900030,ALPINE DISTRICT,UT,3,80548.0,665240000.0,37295000.0,8319000.0,10308000.0,1233000.0,0.0,686000.0,263000.0,592000.0,11418000.0,0.0,0.0,59000.0,4417000.0,395874000.0,226668000.0,19165000.0,36915000.0,4996000.0,137000.0,340000.0,10869000.0,4434000.0,9430000.0,10132000.0,72788000.0,0.0,0.0,0.0,232071000.0,180069000.0,0.0,0.0,0.0,0.0,243000.0,0.0,153000.0,1166000.0,7583000.0,709000.0,22012000.0,0.0,330000.0,1277000.0,0.0,8292000.0,0.0,2420000.0,7817000.0,0.0,687005000.0,535336000.0,368986000.0,368986000.0,0.0,0.0,144022000.0,17707000.0,19011000.0,2809000.0,34617000.0,37805000.0,17249000.0,14824000.0,0.0,22328000.0,22328000.0,0.0,0.0,8063000.0,3687000.0,0.0,4376000.0,121961000.0,86416000.0,22894000.0,3378000.0,9273000.0,0.0,0.0,0.0,75000.0,21570000.0,291182000.0,208328000.0,160804000.0,20837000.0,8313000.0,5790000.0,9934000.0,7539000.0,1151000.0,21906000.0,13401000.0,9907000.0,7130000.0,6348000.0,164434000.0,116677000.0,6000000.0,8383000.0,509000.0,12138000.0,6810000.0,3858000.0,4220000.0,3831000.0,0.0,2220000.0,441725000.0,113250000.0,48615000.0,506360000.0,0.0,0.0,21297000.0,203055000.0,229024000.0,11873000.0,12155000.0,1094000.0,-1.0,-1.0,0.0,0.92,84003
4900172,AMERICAN INTERNATIONAL SCHOOL OF UTAH,UT,1,1357.0,11857000.0,546000.0,125000.0,235000.0,15000.0,0.0,0.0,0.0,0.0,171000.0,0.0,0.0,0.0,0.0,9031000.0,4592000.0,247000.0,553000.0,66000.0,0.0,7000.0,8000.0,54000.0,0.0,0.0,3504000.0,0.0,0.0,0.0,2280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247000.0,31000.0,159000.0,0.0,353000.0,0.0,0.0,438000.0,0.0,0.0,0.0,19000.0,33000.0,0.0,12308000.0,9796000.0,6114000.0,6114000.0,0.0,0.0,3371000.0,454000.0,271000.0,191000.0,815000.0,999000.0,226000.0,415000.0,0.0,311000.0,311000.0,0.0,0.0,0.0,0.0,0.0,0.0,321000.0,0.0,321000.0,0.0,0.0,0.0,0.0,0.0,1000.0,2190000.0,5500000.0,4164000.0,3012000.0,432000.0,0.0,50000.0,223000.0,95000.0,3000.0,653000.0,246000.0,20000.0,0.0,97000.0,1335000.0,1071000.0,59000.0,34000.0,0.0,107000.0,38000.0,1000.0,0.0,25000.0,0.0,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562000.0,200000.0,260000.0,0.0,-1.0,-1.0,0.0,0.58,84123
4900033,AMERICAN LEADERSHIP ACADEMY,UT,1,1766.0,14926000.0,888000.0,210000.0,323000.0,34000.0,0.0,0.0,11000.0,0.0,310000.0,0.0,0.0,0.0,0.0,12172000.0,6077000.0,484000.0,969000.0,139000.0,10000.0,9000.0,252000.0,95000.0,0.0,0.0,4137000.0,0.0,0.0,0.0,1866000.0,0.0,0.0,0.0,0.0,0.0,577000.0,0.0,17000.0,37000.0,150000.0,0.0,945000.0,0.0,0.0,0.0,0.0,68000.0,0.0,18000.0,54000.0,0.0,12716000.0,11165000.0,6780000.0,6780000.0,0.0,0.0,3852000.0,1440000.0,178000.0,208000.0,643000.0,711000.0,129000.0,543000.0,0.0,533000.0,533000.0,0.0,0.0,0.0,0.0,0.0,0.0,406000.0,0.0,224000.0,55000.0,127000.0,0.0,0.0,0.0,0.0,1145000.0,5945000.0,4523000.0,3064000.0,363000.0,242000.0,145000.0,237000.0,101000.0,124000.0,441000.0,65000.0,43000.0,282000.0,130000.0,2299000.0,1741000.0,97000.0,44000.0,51000.0,173000.0,28000.0,10000.0,145000.0,10000.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9241000.0,194000.0,77000.0,0.0,-1.0,-1.0,0.0,0.97,84660
4900005,AMERICAN PREPARATORY ACADEMY,UT,1,4704.0,37722000.0,2725000.0,589000.0,575000.0,95000.0,0.0,0.0,41000.0,655000.0,770000.0,0.0,0.0,0.0,0.0,33521000.0,15022000.0,1399000.0,3799000.0,485000.0,0.0,22000.0,0.0,179000.0,0.0,0.0,12615000.0,0.0,0.0,0.0,1476000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81000.0,7000.0,953000.0,0.0,0.0,71000.0,0.0,133000.0,0.0,84000.0,147000.0,0.0,41851000.0,30887000.0,15603000.0,15603000.0,0.0,0.0,14036000.0,2236000.0,645000.0,5061000.0,1946000.0,2508000.0,601000.0,1039000.0,0.0,1248000.0,1248000.0,0.0,0.0,1328000.0,1328000.0,0.0,0.0,6508000.0,0.0,5272000.0,0.0,1236000.0,0.0,0.0,0.0,59000.0,3069000.0,16788000.0,11059000.0,8290000.0,56000.0,0.0,466000.0,1676000.0,263000.0,0.0,1316000.0,619000.0,281000.0,333000.0,191000.0,4219000.0,2964000.0,220000.0,46000.0,0.0,363000.0,141000.0,66000.0,99000.0,49000.0,0.0,428000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27875000.0,482000.0,42000.0,0.0,-1.0,-1.0,0.0,0.9,84020
4900181,ATHENIAN EACADEMY,UT,1,552.0,3875000.0,225000.0,51000.0,165000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3618000.0,1694000.0,131000.0,250000.0,45000.0,0.0,2000.0,0.0,0.0,0.0,0.0,1496000.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,17000.0,0.0,3581000.0,3109000.0,1839000.0,1839000.0,0.0,0.0,1270000.0,100000.0,438000.0,30000.0,279000.0,188000.0,1000.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472000.0,1874000.0,1410000.0,1071000.0,49000.0,0.0,2000.0,78000.0,171000.0,0.0,207000.0,8000.0,0.0,0.0,0.0,352000.0,282000.0,5000.0,41000.0,0.0,23000.0,1000.0,0.0,0.0,0.0,0.0,82000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648000.0,64000.0,148000.0,0.0,-1.0,-1.0,0.0,0.8,84003
4900060,BEAVER DISTRICT,UT,3,1583.0,20644000.0,1887000.0,338000.0,286000.0,54000.0,0.0,36000.0,4000.0,101000.0,414000.0,0.0,0.0,0.0,654000.0,8453000.0,5027000.0,463000.0,833000.0,299000.0,0.0,7000.0,466000.0,110000.0,0.0,209000.0,1039000.0,0.0,0.0,0.0,10304000.0,8981000.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,150000.0,0.0,402000.0,0.0,0.0,13000.0,0.0,304000.0,0.0,209000.0,232000.0,0.0,17594000.0,15306000.0,9531000.0,9531000.0,0.0,0.0,5045000.0,439000.0,235000.0,571000.0,1018000.0,1515000.0,472000.0,795000.0,0.0,730000.0,730000.0,0.0,0.0,0.0,0.0,0.0,0.0,1441000.0,754000.0,0.0,66000.0,621000.0,0.0,0.0,0.0,12000.0,835000.0,8009000.0,5476000.0,3742000.0,355000.0,297000.0,327000.0,210000.0,79000.0,335000.0,624000.0,496000.0,242000.0,319000.0,226000.0,3692000.0,2472000.0,122000.0,10000.0,191000.0,320000.0,266000.0,92000.0,139000.0,80000.0,0.0,49000.0,17835000.0,0.0,1540000.0,16295000.0,0.0,0.0,3176000.0,3715000.0,9503000.0,404000.0,423000.0,12000.0,-1.0,-1.0,0.0,0.85,84713
4900023,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY,UT,1,308.0,2854000.0,103000.0,32000.0,36000.0,6000.0,0.0,0.0,0.0,3000.0,26000.0,0.0,0.0,0.0,0.0,2570000.0,1237000.0,114000.0,294000.0,18000.0,0.0,2000.0,71000.0,8000.0,0.0,0.0,826000.0,0.0,0.0,0.0,181000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,99000.0,0.0,0.0,0.0,0.0,10000.0,0.0,57000.0,7000.0,0.0,2559000.0,2555000.0,1296000.0,1296000.0,0.0,0.0,1215000.0,61000.0,66000.0,0.0,511000.0,502000.0,30000.0,45000.0,0.0,44000.0,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,1260000.0,964000.0,634000.0,79000.0,49000.0,47000.0,7000.0,0.0,0.0,249000.0,0.0,0.0,26000.0,14000.0,271000.0,215000.0,0.0,0.0,0.0,52000.0,0.0,0.0,3000.0,1000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010000.0,31000.0,115000.0,0.0,-1.0,-1.0,0.0,0.9,84094
4900090,BOX ELDER DISTRICT,UT,3,11919.0,107098000.0,6441000.0,1101000.0,2249000.0,161000.0,0.0,109000.0,39000.0,12000.0,2546000.0,0.0,61000.0,0.0,163000.0,58608000.0,33556000.0,2996000.0,6519000.0,1444000.0,56000.0,61000.0,2065000.0,860000.0,134000.0,3651000.0,7266000.0,0.0,0.0,0.0,42049000.0,33479000.0,0.0,0.0,0.0,0.0,0.0,0.0,591000.0,0.0,1285000.0,0.0,3916000.0,0.0,30000.0,86000.0,0.0,982000.0,0.0,21000.0,1659000.0,0.0,108464000.0,87998000.0,58480000.0,58480000.0,0.0,0.0,25008000.0,2807000.0,1964000.0,820000.0,5185000.0,9087000.0,4278000.0,867000.0,0.0,4510000.0,4510000.0,0.0,0.0,645000.0,645000.0,0.0,0.0,18390000.0,15093000.0,360000.0,274000.0,2663000.0,0.0,0.0,0.0,121000.0,1310000.0,50604000.0,35134000.0,23737000.0,3803000.0,1771000.0,764000.0,1739000.0,1152000.0,315000.0,3386000.0,3971000.0,2388000.0,486000.0,1644000.0,21331000.0,15289000.0,732000.0,399000.0,146000.0,1416000.0,1664000.0,732000.0,236000.0,572000.0,0.0,741000.0,36170000.0,0.0,5125000.0,31045000.0,0.0,0.0,4789000.0,22554000.0,32618000.0,1821000.0,1715000.0,0.0,-1.0,-1.0,0.0,0.84,84302
