LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
5100060,ACCOMACK COUNTY,VA,3,5194.0,59001000.0,6073000.0,2433000.0,1038000.0,249000.0,0.0,128000.0,78000.0,166000.0,1981000.0,0.0,0.0,0.0,0.0,33797000.0,21683000.0,3458000.0,1944000.0,4040000.0,539000.0,168000.0,517000.0,28000.0,681000.0,0.0,739000.0,0.0,0.0,0.0,19131000.0,0.0,0.0,0.0,0.0,0.0,144000.0,0.0,29000.0,0.0,398000.0,0.0,0.0,0.0,0.0,13000.0,13000.0,6000.0,0.0,3000.0,728000.0,0.0,63640000.0,57461000.0,35191000.0,35191000.0,0.0,0.0,19194000.0,2782000.0,3745000.0,480000.0,3482000.0,4652000.0,3360000.0,693000.0,0.0,3076000.0,3076000.0,0.0,0.0,5000.0,0.0,5000.0,0.0,6100000.0,7000.0,819000.0,34000.0,5240000.0,0.0,0.0,0.0,74000.0,0.0,34888000.0,22796000.0,15434000.0,2688000.0,742000.0,729000.0,1900000.0,2186000.0,255000.0,2370000.0,1693000.0,2024000.0,460000.0,1204000.0,11895000.0,7979000.0,676000.0,685000.0,76000.0,819000.0,516000.0,588000.0,142000.0,414000.0,0.0,711000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720000.0,4134000.0,0.0,-1.0,-1.0,0.0,0.8909999999999999,23301
5100090,ALBEMARLE COUNTY,VA,2,13927.0,213481000.0,9426000.0,1910000.0,3134000.0,364000.0,0.0,138000.0,106000.0,164000.0,2575000.0,0.0,0.0,0.0,1035000.0,51127000.0,37618000.0,4531000.0,3883000.0,2669000.0,388000.0,234000.0,292000.0,56000.0,747000.0,0.0,709000.0,0.0,0.0,0.0,152928000.0,0.0,0.0,0.0,0.0,0.0,3375000.0,0.0,2246000.0,0.0,2833000.0,25000.0,0.0,0.0,0.0,2048000.0,5000.0,403000.0,0.0,167000.0,1583000.0,0.0,221077000.0,177161000.0,106063000.0,106063000.0,0.0,0.0,65659000.0,7594000.0,13572000.0,2046000.0,11039000.0,16153000.0,10542000.0,4713000.0,0.0,5439000.0,5239000.0,200000.0,0.0,2062000.0,1760000.0,302000.0,0.0,32559000.0,25541000.0,0.0,1124000.0,5894000.0,0.0,0.0,0.0,3388000.0,5907000.0,114319000.0,73447000.0,49309000.0,14374000.0,1371000.0,920000.0,5358000.0,7902000.0,1131000.0,7400000.0,6624000.0,6250000.0,2785000.0,1903000.0,45032000.0,28264000.0,2125000.0,2795000.0,754000.0,2875000.0,2815000.0,2770000.0,1447000.0,791000.0,7000.0,842000.0,132147000.0,7821000.0,10178000.0,129791000.0,0.0,0.0,0.0,0.0,0.0,5137000.0,5310000.0,4384000.0,-1.0,-1.0,0.0,0.936,22902
5100120,ALEXANDRIA CITY,VA,3,15710.0,274572000.0,16291000.0,4084000.0,3284000.0,601000.0,0.0,218000.0,444000.0,137000.0,5959000.0,0.0,0.0,0.0,1564000.0,47776000.0,31360000.0,3198000.0,3453000.0,4155000.0,1154000.0,159000.0,182000.0,82000.0,466000.0,0.0,3567000.0,0.0,0.0,0.0,210505000.0,0.0,0.0,0.0,0.0,0.0,303000.0,0.0,252000.0,0.0,1932000.0,20000.0,0.0,0.0,0.0,166000.0,0.0,0.0,0.0,0.0,968000.0,0.0,286538000.0,276237000.0,156154000.0,156154000.0,0.0,0.0,111098000.0,17123000.0,31089000.0,5591000.0,14802000.0,21395000.0,10389000.0,10709000.0,0.0,8985000.0,8985000.0,0.0,0.0,950000.0,43000.0,907000.0,0.0,9206000.0,5086000.0,0.0,1603000.0,2517000.0,0.0,0.0,0.0,145000.0,0.0,173015000.0,109017000.0,65675000.0,27370000.0,3916000.0,2084000.0,12491000.0,18503000.0,2868000.0,10413000.0,6095000.0,5826000.0,3953000.0,3181000.0,66631000.0,38910000.0,4408000.0,6666000.0,820000.0,4185000.0,2054000.0,2138000.0,5900000.0,1375000.0,0.0,1053000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12518000.0,12277000.0,3025000.0,-1.0,-1.0,0.0,0.821,22314
5100152,ALLEGHANY COUNTY,VA,3,2190.0,28527000.0,2007000.0,500000.0,609000.0,92000.0,0.0,41000.0,2000.0,125000.0,634000.0,0.0,0.0,0.0,4000.0,14973000.0,9992000.0,1546000.0,927000.0,1431000.0,5000.0,161000.0,303000.0,9000.0,295000.0,0.0,304000.0,0.0,0.0,0.0,11547000.0,0.0,0.0,0.0,0.0,0.0,1103000.0,0.0,0.0,2000.0,305000.0,0.0,0.0,0.0,0.0,0.0,1000.0,20000.0,0.0,0.0,741000.0,0.0,27667000.0,25360000.0,14508000.0,14508000.0,0.0,0.0,9888000.0,1223000.0,726000.0,1043000.0,1630000.0,2978000.0,1797000.0,491000.0,0.0,964000.0,964000.0,0.0,0.0,7000.0,0.0,7000.0,0.0,1211000.0,575000.0,50000.0,280000.0,306000.0,0.0,0.0,0.0,1073000.0,16000.0,15126000.0,9421000.0,6357000.0,1319000.0,626000.0,166000.0,881000.0,366000.0,590000.0,1190000.0,978000.0,1042000.0,330000.0,322000.0,5648000.0,3418000.0,308000.0,155000.0,287000.0,432000.0,385000.0,433000.0,119000.0,110000.0,0.0,272000.0,84114000.0,0.0,395000.0,83719000.0,0.0,0.0,0.0,0.0,0.0,1175000.0,1107000.0,186000.0,-1.0,-1.0,0.0,0.974,24457
5100180,AMELIA COUNTY,VA,3,1792.0,18937000.0,1434000.0,365000.0,436000.0,73000.0,0.0,47000.0,0.0,4000.0,501000.0,0.0,0.0,0.0,8000.0,11103000.0,7814000.0,1136000.0,719000.0,1002000.0,30000.0,57000.0,135000.0,7000.0,7000.0,0.0,196000.0,0.0,0.0,0.0,6400000.0,0.0,0.0,0.0,0.0,0.0,296000.0,0.0,42000.0,1000.0,195000.0,0.0,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,0.0,514000.0,0.0,18292000.0,17711000.0,10353000.0,10353000.0,0.0,0.0,6500000.0,773000.0,726000.0,691000.0,1049000.0,1588000.0,1479000.0,194000.0,0.0,858000.0,858000.0,0.0,0.0,0.0,0.0,0.0,0.0,236000.0,0.0,0.0,84000.0,152000.0,0.0,0.0,0.0,345000.0,0.0,10288000.0,6861000.0,4574000.0,1009000.0,257000.0,0.0,543000.0,504000.0,377000.0,726000.0,264000.0,799000.0,32000.0,179000.0,4504000.0,3069000.0,222000.0,186000.0,173000.0,256000.0,89000.0,404000.0,20000.0,85000.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102000.0,450000.0,27000.0,-1.0,-1.0,0.0,0.978,23002
5100210,AMHERST COUNTY,VA,3,4048.0,47832000.0,3953000.0,923000.0,1051000.0,169000.0,0.0,78000.0,0.0,396000.0,1335000.0,0.0,0.0,0.0,1000.0,26354000.0,17348000.0,2706000.0,2558000.0,2547000.0,16000.0,127000.0,341000.0,22000.0,293000.0,0.0,396000.0,0.0,0.0,0.0,17525000.0,0.0,0.0,0.0,0.0,0.0,1726000.0,0.0,8000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190000.0,0.0,47519000.0,44241000.0,27502000.0,27502000.0,0.0,0.0,14623000.0,2455000.0,2067000.0,628000.0,2277000.0,3735000.0,2754000.0,707000.0,0.0,2116000.0,2116000.0,0.0,0.0,689000.0,0.0,689000.0,0.0,1412000.0,551000.0,0.0,367000.0,494000.0,0.0,0.0,0.0,1158000.0,19000.0,28690000.0,19075000.0,12017000.0,3486000.0,1131000.0,157000.0,1721000.0,1401000.0,306000.0,1638000.0,1278000.0,1569000.0,366000.0,803000.0,9948000.0,6846000.0,640000.0,468000.0,134000.0,592000.0,341000.0,481000.0,135000.0,242000.0,0.0,241000.0,379000.0,0.0,0.0,379000.0,0.0,0.0,0.0,0.0,0.0,1936000.0,1043000.0,278000.0,-1.0,-1.0,0.0,0.952,24521
5100240,APPOMATTOX COUNTY,VA,3,2270.0,23372000.0,1954000.0,663000.0,488000.0,86000.0,0.0,48000.0,0.0,0.0,669000.0,0.0,0.0,0.0,0.0,14665000.0,10072000.0,1470000.0,865000.0,1387000.0,4000.0,76000.0,365000.0,10000.0,237000.0,0.0,179000.0,0.0,0.0,0.0,6753000.0,0.0,0.0,0.0,0.0,0.0,491000.0,0.0,42000.0,17000.0,292000.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,201000.0,0.0,23334000.0,22378000.0,13964000.0,13964000.0,0.0,0.0,7556000.0,754000.0,938000.0,815000.0,1454000.0,1981000.0,1265000.0,349000.0,0.0,858000.0,858000.0,0.0,0.0,29000.0,0.0,29000.0,0.0,562000.0,135000.0,0.0,55000.0,372000.0,0.0,0.0,0.0,365000.0,0.0,13802000.0,9128000.0,6028000.0,1089000.0,479000.0,176000.0,522000.0,683000.0,440000.0,1017000.0,620000.0,843000.0,221000.0,303000.0,5095000.0,3536000.0,194000.0,223000.0,167000.0,377000.0,227000.0,154000.0,85000.0,129000.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778000.0,1433000.0,16000.0,-1.0,-1.0,0.0,0.914,24522
5100270,ARLINGTON COUNTY,VA,3,26975.0,611926000.0,16407000.0,2313000.0,5266000.0,596000.0,0.0,249000.0,861000.0,191000.0,5712000.0,0.0,0.0,0.0,1219000.0,71770000.0,51557000.0,5701000.0,4554000.0,4341000.0,1190000.0,273000.0,216000.0,100000.0,1180000.0,0.0,2658000.0,0.0,0.0,0.0,523749000.0,0.0,0.0,0.0,0.0,0.0,2143000.0,0.0,14378000.0,0.0,4716000.0,0.0,0.0,0.0,0.0,284000.0,218000.0,58000.0,144000.0,20000.0,2248000.0,0.0,646602000.0,507559000.0,320161000.0,320161000.0,13000.0,0.0,176868000.0,31451000.0,37831000.0,13730000.0,24920000.0,40370000.0,15758000.0,12808000.0,0.0,10530000.0,10530000.0,0.0,0.0,28405000.0,17449000.0,10956000.0,0.0,93915000.0,77990000.0,0.0,3157000.0,12768000.0,0.0,0.0,0.0,1191000.0,15519000.0,356695000.0,230334000.0,81320000.0,79176000.0,2990000.0,43550000.0,18599000.0,24100000.0,6359000.0,18240000.0,17132000.0,10030000.0,7978000.0,3780000.0,123998000.0,79938000.0,6508000.0,8387000.0,2237000.0,6529000.0,5922000.0,3476000.0,2786000.0,1327000.0,0.0,650000.0,424934000.0,92400000.0,34747000.0,482587000.0,0.0,0.0,0.0,0.0,0.0,15271000.0,16933000.0,8341000.0,-1.0,-1.0,0.0,0.933,22207
5100300,AUGUSTA COUNTY,VA,3,10362.0,127225000.0,9938000.0,1300000.0,2285000.0,246000.0,0.0,128000.0,29000.0,149000.0,2857000.0,0.0,0.0,0.0,2944000.0,57773000.0,41248000.0,5467000.0,2078000.0,4339000.0,103000.0,917000.0,1330000.0,49000.0,662000.0,0.0,1580000.0,0.0,0.0,0.0,59514000.0,0.0,0.0,0.0,0.0,0.0,6427000.0,0.0,335000.0,0.0,1541000.0,0.0,0.0,0.0,0.0,34000.0,27000.0,56000.0,0.0,15000.0,1461000.0,0.0,127179000.0,111163000.0,68289000.0,68289000.0,35000.0,0.0,38598000.0,5455000.0,7786000.0,1556000.0,7176000.0,9339000.0,6373000.0,913000.0,0.0,4276000.0,4276000.0,0.0,0.0,515000.0,0.0,515000.0,0.0,6670000.0,5999000.0,0.0,33000.0,638000.0,0.0,0.0,0.0,5657000.0,3139000.0,67318000.0,44806000.0,28488000.0,7018000.0,3419000.0,0.0,3650000.0,4391000.0,749000.0,4684000.0,2801000.0,3690000.0,616000.0,1608000.0,29020000.0,19792000.0,1647000.0,1906000.0,352000.0,2013000.0,1230000.0,1099000.0,244000.0,651000.0,0.0,222000.0,115824000.0,0.0,5717000.0,110107000.0,0.0,0.0,0.0,0.0,0.0,4245000.0,4503000.0,38000.0,-1.0,-1.0,0.0,0.939,24482
