LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
5099901,ADDISON NORTHEAST SU,VT,0,0.0,12030000.0,1826000.0,404000.0,547000.0,178000.0,0.0,0.0,0.0,213000.0,440000.0,0.0,0.0,0.0,44000.0,1373000.0,332000.0,13000.0,36000.0,0.0,0.0,0.0,0.0,27000.0,0.0,30000.0,277000.0,0.0,658000.0,0.0,8831000.0,0.0,0.0,0.0,0.0,0.0,8186000.0,91000.0,0.0,0.0,349000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,1000.0,198000.0,0.0,12045000.0,10832000.0,4333000.0,4333000.0,1110000.0,0.0,5247000.0,1408000.0,431000.0,621000.0,378000.0,99000.0,1125000.0,1185000.0,0.0,1252000.0,1252000.0,0.0,0.0,0.0,0.0,0.0,0.0,103000.0,0.0,0.0,0.0,103000.0,0.0,0.0,0.0,0.0,0.0,5344000.0,2601000.0,262000.0,1110000.0,0.0,101000.0,765000.0,239000.0,334000.0,247000.0,5000.0,0.0,663000.0,490000.0,2755000.0,1541000.0,371000.0,121000.0,163000.0,124000.0,0.0,0.0,237000.0,198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251000.0,0.0,205000.0,103000.0,8529000.0,1643000.0,0.0,0.88976378,5443
5099904,ADDISON RUTLAND SU,VT,0,0.0,7827000.0,1659000.0,455000.0,549000.0,130000.0,0.0,0.0,0.0,64000.0,423000.0,0.0,0.0,0.0,38000.0,2774000.0,393000.0,6000.0,1517000.0,0.0,0.0,0.0,0.0,14000.0,0.0,49000.0,417000.0,0.0,378000.0,0.0,3394000.0,0.0,0.0,0.0,0.0,0.0,3155000.0,0.0,0.0,0.0,186000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,20000.0,32000.0,0.0,7491000.0,7067000.0,2754000.0,2754000.0,258000.0,0.0,3671000.0,720000.0,372000.0,359000.0,556000.0,23000.0,1146000.0,495000.0,0.0,642000.0,642000.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,0.0,0.0,15000.0,14000.0,0.0,0.0,0.0,137000.0,0.0,3151000.0,1764000.0,726000.0,1038000.0,0.0,0.0,393000.0,128000.0,191000.0,383000.0,0.0,0.0,292000.0,0.0,1541000.0,855000.0,184000.0,146000.0,82000.0,164000.0,0.0,0.0,109000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,0.0,5108000.0,1580000.0,0.0,0.871559633,5743
5000007,BARRE SU,VT,0,0.0,13316000.0,2783000.0,955000.0,614000.0,285000.0,0.0,0.0,25000.0,22000.0,882000.0,0.0,0.0,0.0,0.0,8099000.0,0.0,6000.0,456000.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,6774000.0,0.0,841000.0,0.0,2434000.0,0.0,0.0,0.0,0.0,0.0,1878000.0,0.0,0.0,0.0,366000.0,0.0,0.0,0.0,55000.0,0.0,0.0,2000.0,0.0,105000.0,28000.0,0.0,18264000.0,15074000.0,7087000.0,7087000.0,3099000.0,0.0,6743000.0,1987000.0,1150000.0,428000.0,674000.0,217000.0,1737000.0,550000.0,0.0,1244000.0,1244000.0,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,0.0,0.0,33000.0,58000.0,0.0,0.0,0.0,0.0,0.0,7292000.0,4052000.0,132000.0,2767000.0,0.0,0.0,1347000.0,600000.0,207000.0,435000.0,120000.0,176000.0,355000.0,0.0,3061000.0,1858000.0,468000.0,251000.0,82000.0,183000.0,36000.0,39000.0,144000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11813000.0,2421000.0,0.0,0.817142857,5641
5000004,BATTENKILL VALLEY SU,VT,0,0.0,2853000.0,372000.0,97000.0,113000.0,21000.0,0.0,0.0,0.0,4000.0,137000.0,0.0,0.0,0.0,0.0,1248000.0,84000.0,7000.0,809000.0,0.0,0.0,0.0,0.0,6000.0,0.0,71000.0,89000.0,0.0,182000.0,0.0,1233000.0,0.0,0.0,0.0,0.0,0.0,1201000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,29000.0,0.0,2777000.0,2774000.0,1092000.0,1092000.0,0.0,0.0,1417000.0,589000.0,167000.0,159000.0,95000.0,12000.0,238000.0,157000.0,0.0,265000.0,265000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1595000.0,617000.0,0.0,324000.0,0.0,0.0,394000.0,86000.0,104000.0,64000.0,0.0,145000.0,111000.0,74000.0,647000.0,315000.0,156000.0,34000.0,26000.0,21000.0,0.0,43000.0,24000.0,27000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222000.0,0.0,4000.0,0.0,2219000.0,371000.0,0.0,0.787878788,5250
5099906,BENNINGTON RUTLAND SU,VT,0,0.0,13684000.0,1749000.0,619000.0,634000.0,90000.0,0.0,0.0,0.0,10000.0,331000.0,0.0,65000.0,0.0,0.0,6907000.0,0.0,11000.0,5882000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,470000.0,0.0,527000.0,0.0,5028000.0,0.0,0.0,0.0,0.0,0.0,4995000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1000.0,29000.0,0.0,13979000.0,10888000.0,6039000.0,6039000.0,1416000.0,0.0,4845000.0,1862000.0,381000.0,914000.0,836000.0,8000.0,396000.0,448000.0,0.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,4000.0,5000.0,0.0,0.0,0.0,1666000.0,0.0,4375000.0,1827000.0,365000.0,1385000.0,0.0,60000.0,1003000.0,164000.0,445000.0,500000.0,0.0,194000.0,242000.0,0.0,2105000.0,857000.0,487000.0,100000.0,212000.0,276000.0,0.0,66000.0,106000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2084000.0,0.0,132000.0,4000.0,8822000.0,1537000.0,0.0,0.0,5250
5099909,CALEDONIA CENTRAL SU,VT,0,0.0,7213000.0,1223000.0,264000.0,237000.0,119000.0,0.0,0.0,0.0,407000.0,196000.0,0.0,0.0,0.0,0.0,2724000.0,175000.0,14000.0,1794000.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,426000.0,0.0,303000.0,0.0,3266000.0,0.0,0.0,0.0,0.0,0.0,3232000.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,22000.0,0.0,6335000.0,5062000.0,2373000.0,2373000.0,464000.0,0.0,2431000.0,692000.0,490000.0,412000.0,385000.0,1000.0,189000.0,262000.0,0.0,258000.0,258000.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,14000.0,3000.0,0.0,0.0,0.0,792000.0,0.0,2743000.0,1274000.0,60000.0,626000.0,0.0,0.0,348000.0,227000.0,182000.0,247000.0,0.0,82000.0,179000.0,204000.0,985000.0,500000.0,89000.0,110000.0,61000.0,95000.0,0.0,29000.0,52000.0,49000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,3645000.0,1114000.0,0.0,0.869565217,5828
5099908,CALEDONIA NORTH SU,VT,0,0.0,10270000.0,2179000.0,829000.0,446000.0,194000.0,0.0,0.0,0.0,245000.0,465000.0,0.0,0.0,0.0,0.0,3615000.0,2801000.0,11000.0,189000.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,408000.0,0.0,193000.0,0.0,4476000.0,0.0,0.0,0.0,0.0,0.0,4355000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,7000.0,109000.0,0.0,9624000.0,8967000.0,5900000.0,5900000.0,0.0,0.0,2582000.0,814000.0,536000.0,348000.0,95000.0,0.0,0.0,789000.0,0.0,485000.0,485000.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,650000.0,0.0,4031000.0,2789000.0,166000.0,990000.0,0.0,0.0,354000.0,104000.0,254000.0,60000.0,0.0,0.0,463000.0,7000.0,1427000.0,1044000.0,77000.0,36000.0,61000.0,28000.0,0.0,0.0,180000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503000.0,0.0,5000.0,0.0,8816000.0,151000.0,0.0,0.0,5851
5099912,CHITTENDEN EAST SU,VT,0,0.0,13836000.0,1415000.0,195000.0,690000.0,136000.0,0.0,0.0,0.0,129000.0,265000.0,0.0,0.0,0.0,0.0,3156000.0,867000.0,24000.0,18000.0,0.0,0.0,0.0,0.0,19000.0,0.0,76000.0,853000.0,0.0,1299000.0,0.0,9265000.0,0.0,0.0,0.0,0.0,0.0,8965000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,293000.0,0.0,19073000.0,17770000.0,10185000.0,10185000.0,1024000.0,0.0,7528000.0,2132000.0,1292000.0,1009000.0,561000.0,0.0,1980000.0,554000.0,0.0,57000.0,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,279000.0,0.0,0.0,1000.0,278000.0,0.0,0.0,0.0,0.0,0.0,10354000.0,5813000.0,1223000.0,4575000.0,0.0,0.0,1355000.0,741000.0,549000.0,382000.0,0.0,1081000.0,383000.0,49000.0,5629000.0,3507000.0,565000.0,397000.0,255000.0,161000.0,0.0,606000.0,130000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15117000.0,1353000.0,0.0,0.961111111,5477
5099918,ESSEX CALEDONIA SU,VT,0,0.0,4716000.0,801000.0,278000.0,221000.0,68000.0,0.0,0.0,0.0,40000.0,194000.0,0.0,0.0,0.0,0.0,1497000.0,8000.0,0.0,1033000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,264000.0,0.0,187000.0,0.0,2418000.0,0.0,0.0,0.0,0.0,0.0,2408000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,9000.0,0.0,4411000.0,3586000.0,1246000.0,1246000.0,729000.0,0.0,2321000.0,687000.0,105000.0,314000.0,549000.0,41000.0,389000.0,236000.0,0.0,19000.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96000.0,0.0,1572000.0,485000.0,150000.0,275000.0,0.0,0.0,385000.0,1000.0,167000.0,361000.0,3000.0,0.0,153000.0,18000.0,726000.0,274000.0,160000.0,0.0,77000.0,172000.0,0.0,0.0,41000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,3399000.0,0.0,0.0,0.0,5824
