LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
5300030,ABERDEEN SCHOOL DISTRICT,WA,3,3435.0,51683000.0,5232000.0,1315000.0,859000.0,0.0,0.0,40000.0,0.0,417000.0,1609000.0,820000.0,0.0,23000.0,149000.0,37195000.0,23284000.0,0.0,4513000.0,3801000.0,484000.0,77000.0,0.0,28000.0,0.0,1160000.0,3848000.0,0.0,0.0,0.0,9256000.0,7846000.0,0.0,0.0,0.0,71000.0,200000.0,68000.0,30000.0,0.0,25000.0,0.0,408000.0,0.0,31000.0,24000.0,0.0,57000.0,0.0,206000.0,290000.0,0.0,48838000.0,46262000.0,29333000.0,29333000.0,0.0,0.0,14363000.0,2817000.0,2075000.0,461000.0,2465000.0,3813000.0,1100000.0,1632000.0,0.0,2566000.0,2186000.0,380000.0,0.0,231000.0,231000.0,0.0,0.0,1871000.0,392000.0,203000.0,157000.0,1119000.0,0.0,0.0,0.0,0.0,474000.0,26480000.0,18376000.0,9159000.0,1740000.0,1243000.0,2064000.0,1335000.0,1126000.0,246000.0,1692000.0,1377000.0,470000.0,983000.0,745000.0,11242000.0,7751000.0,557000.0,436000.0,80000.0,691000.0,682000.0,216000.0,231000.0,413000.0,0.0,0.0,18874000.0,0.0,3384000.0,15490000.0,0.0,0.0,2229000.0,142000.0,3924000.0,0.0,0.0,0.0,41853000.0,4409000.0,0.0,0.7698,98520
5300150,ANACORTES SCHOOL DISTRICT,WA,3,2806.0,43024000.0,1450000.0,283000.0,530000.0,0.0,0.0,0.0,0.0,33000.0,335000.0,212000.0,0.0,0.0,57000.0,23402000.0,18920000.0,0.0,2746000.0,552000.0,80000.0,64000.0,0.0,9000.0,0.0,1004000.0,27000.0,0.0,0.0,0.0,18172000.0,16073000.0,0.0,0.0,0.0,0.0,5000.0,82000.0,218000.0,0.0,390000.0,0.0,286000.0,0.0,6000.0,56000.0,0.0,649000.0,0.0,240000.0,167000.0,0.0,78270000.0,37369000.0,21765000.0,21765000.0,0.0,0.0,14452000.0,2349000.0,2918000.0,674000.0,2714000.0,3040000.0,1162000.0,1595000.0,0.0,1152000.0,865000.0,287000.0,0.0,80000.0,80000.0,0.0,0.0,37543000.0,36974000.0,443000.0,0.0,126000.0,0.0,0.0,0.0,0.0,3278000.0,23130000.0,14110000.0,10401000.0,1034000.0,463000.0,373000.0,1513000.0,1735000.0,317000.0,1973000.0,1154000.0,745000.0,1173000.0,371000.0,8470000.0,5155000.0,556000.0,535000.0,108000.0,706000.0,549000.0,313000.0,186000.0,190000.0,0.0,0.0,80785000.0,0.0,2475000.0,78310000.0,0.0,0.0,2180000.0,33843000.0,2742000.0,0.0,0.0,0.0,36131000.0,1238000.0,0.0,0.9016,98221
5300240,ARLINGTON SCHOOL DISTRICT,WA,3,5575.0,78120000.0,3038000.0,620000.0,1135000.0,0.0,0.0,23000.0,0.0,39000.0,890000.0,171000.0,0.0,0.0,160000.0,52746000.0,37786000.0,0.0,7027000.0,1723000.0,323000.0,131000.0,0.0,26000.0,9000.0,3026000.0,2695000.0,0.0,0.0,0.0,22336000.0,19177000.0,0.0,0.0,0.0,0.0,25000.0,47000.0,99000.0,0.0,749000.0,0.0,919000.0,0.0,94000.0,87000.0,461000.0,208000.0,0.0,180000.0,290000.0,0.0,71117000.0,68262000.0,43248000.0,43248000.0,0.0,0.0,22339000.0,4332000.0,2971000.0,615000.0,4832000.0,4736000.0,2927000.0,1926000.0,0.0,2675000.0,1777000.0,898000.0,0.0,207000.0,207000.0,0.0,0.0,2060000.0,889000.0,189000.0,57000.0,925000.0,0.0,0.0,0.0,38000.0,550000.0,43105000.0,29466000.0,20570000.0,2658000.0,1451000.0,1065000.0,2764000.0,1704000.0,346000.0,3465000.0,1950000.0,1654000.0,1047000.0,630000.0,16014000.0,10572000.0,1031000.0,564000.0,91000.0,1284000.0,950000.0,804000.0,402000.0,316000.0,0.0,0.0,23200000.0,1212000.0,4905000.0,19507000.0,0.0,0.0,5331000.0,1307000.0,10046000.0,0.0,0.0,0.0,65396000.0,2866000.0,0.0,0.8532,98223
5300280,ASOTIN-ANATONE SCHOOL DISTRICT,WA,3,629.0,8522000.0,413000.0,109000.0,143000.0,0.0,0.0,4000.0,0.0,15000.0,80000.0,62000.0,0.0,0.0,0.0,6160000.0,4570000.0,0.0,653000.0,155000.0,0.0,15000.0,0.0,6000.0,0.0,333000.0,428000.0,0.0,0.0,0.0,1949000.0,1563000.0,0.0,0.0,0.0,0.0,0.0,22000.0,8000.0,0.0,79000.0,0.0,202000.0,0.0,0.0,5000.0,0.0,18000.0,0.0,2000.0,50000.0,0.0,8149000.0,8130000.0,4851000.0,4851000.0,0.0,0.0,2894000.0,291000.0,335000.0,195000.0,473000.0,821000.0,300000.0,479000.0,0.0,385000.0,200000.0,185000.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4804000.0,3157000.0,2042000.0,130000.0,244000.0,87000.0,191000.0,155000.0,129000.0,335000.0,277000.0,182000.0,229000.0,90000.0,1837000.0,1166000.0,81000.0,68000.0,42000.0,134000.0,135000.0,70000.0,96000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,13000.0,1472000.0,0.0,0.0,0.0,7780000.0,350000.0,0.0,0.92,99402
5300300,AUBURN SCHOOL DISTRICT,WA,3,16722.0,265336000.0,15435000.0,3752000.0,2767000.0,0.0,0.0,110000.0,0.0,2203000.0,5141000.0,789000.0,51000.0,29000.0,593000.0,165411000.0,112962000.0,0.0,17864000.0,7930000.0,3846000.0,360000.0,0.0,182000.0,6901000.0,8202000.0,7164000.0,0.0,0.0,0.0,84490000.0,73738000.0,0.0,0.0,0.0,0.0,614000.0,1000.0,191000.0,0.0,1928000.0,0.0,2382000.0,0.0,270000.0,409000.0,57000.0,2549000.0,0.0,701000.0,1650000.0,0.0,255984000.0,214739000.0,117140000.0,117140000.0,0.0,0.0,88676000.0,14694000.0,29685000.0,638000.0,13387000.0,15328000.0,7705000.0,7239000.0,0.0,8923000.0,6647000.0,2276000.0,0.0,1153000.0,1153000.0,0.0,0.0,29708000.0,23061000.0,2170000.0,102000.0,4375000.0,0.0,0.0,0.0,1114000.0,9270000.0,135910000.0,77628000.0,51123000.0,5847000.0,3293000.0,4538000.0,9607000.0,20424000.0,379000.0,9803000.0,5906000.0,4792000.0,4718000.0,2176000.0,50910000.0,29081000.0,3619000.0,7135000.0,95000.0,3442000.0,2692000.0,2079000.0,1001000.0,998000.0,0.0,0.0,235650000.0,138755000.0,19210000.0,355195000.0,0.0,0.0,12660000.0,281189000.0,21323000.0,0.0,0.0,0.0,200146000.0,14592000.0,0.0,0.7742,98002
5300330,BAINBRIDGE ISLAND SCHOOL DISTRICT,WA,3,3874.0,61360000.0,2369000.0,214000.0,851000.0,0.0,0.0,14000.0,0.0,0.0,141000.0,117000.0,0.0,11000.0,1021000.0,32802000.0,26676000.0,0.0,4000000.0,417000.0,63000.0,91000.0,0.0,1000.0,0.0,1554000.0,0.0,0.0,0.0,0.0,26189000.0,21866000.0,0.0,0.0,0.0,0.0,0.0,2000.0,410000.0,0.0,810000.0,0.0,546000.0,0.0,43000.0,259000.0,0.0,876000.0,0.0,992000.0,385000.0,0.0,66165000.0,47314000.0,27414000.0,27414000.0,0.0,0.0,18334000.0,4030000.0,2498000.0,670000.0,2838000.0,4749000.0,1570000.0,1979000.0,0.0,1566000.0,1032000.0,534000.0,0.0,43000.0,43000.0,0.0,0.0,14267000.0,13760000.0,0.0,100000.0,407000.0,0.0,0.0,0.0,0.0,4541000.0,29942000.0,18748000.0,12540000.0,1701000.0,1231000.0,581000.0,2778000.0,1577000.0,406000.0,2002000.0,1890000.0,967000.0,1145000.0,430000.0,11006000.0,6793000.0,1089000.0,543000.0,123000.0,674000.0,808000.0,429000.0,267000.0,204000.0,0.0,0.0,99225000.0,62000000.0,4985000.0,156240000.0,0.0,0.0,9707000.0,76621000.0,3169000.0,0.0,0.0,0.0,45063000.0,2250000.0,0.0,0.9342,98110
5300380,BATTLE GROUND SCHOOL DISTRICT,WA,3,13397.0,178445000.0,7467000.0,1466000.0,2715000.0,0.0,0.0,188000.0,0.0,882000.0,1623000.0,356000.0,0.0,0.0,237000.0,124419000.0,89214000.0,0.0,15242000.0,2690000.0,1089000.0,301000.0,0.0,47000.0,0.0,8265000.0,7571000.0,0.0,0.0,0.0,46559000.0,35474000.0,0.0,0.0,0.0,0.0,60000.0,464000.0,444000.0,0.0,1143000.0,0.0,1237000.0,0.0,83000.0,117000.0,1078000.0,305000.0,0.0,537000.0,5617000.0,0.0,161698000.0,156923000.0,93302000.0,93302000.0,0.0,0.0,59285000.0,10652000.0,9667000.0,1015000.0,10067000.0,14048000.0,8903000.0,4933000.0,0.0,4336000.0,3095000.0,1241000.0,0.0,498000.0,498000.0,0.0,0.0,2164000.0,1513000.0,71000.0,34000.0,546000.0,0.0,0.0,0.0,574000.0,1539000.0,88711000.0,59914000.0,42737000.0,5129000.0,2926000.0,1354000.0,6877000.0,6051000.0,499000.0,7292000.0,4896000.0,117000.0,2821000.0,13000.0,34836000.0,23757000.0,2669000.0,2064000.0,131000.0,2691000.0,2258000.0,45000.0,835000.0,5000.0,0.0,0.0,42685000.0,0.0,4800000.0,37885000.0,0.0,0.0,3417000.0,6427000.0,20863000.0,0.0,0.0,0.0,149812000.0,7111000.0,0.0,0.7764,98604
5300420,BELLINGHAM SCHOOL DISTRICT,WA,3,11732.0,179873000.0,8469000.0,2144000.0,2264000.0,0.0,0.0,64000.0,0.0,440000.0,2346000.0,774000.0,0.0,0.0,437000.0,103079000.0,78503000.0,0.0,14532000.0,4349000.0,1050000.0,266000.0,0.0,81000.0,0.0,4190000.0,108000.0,0.0,0.0,0.0,68325000.0,62280000.0,0.0,0.0,0.0,0.0,47000.0,18000.0,177000.0,0.0,943000.0,0.0,1485000.0,0.0,4000.0,153000.0,61000.0,1267000.0,0.0,468000.0,1422000.0,0.0,226696000.0,149290000.0,90677000.0,90677000.0,0.0,0.0,53113000.0,10612000.0,10598000.0,885000.0,9912000.0,12394000.0,3764000.0,4948000.0,0.0,5500000.0,4041000.0,1459000.0,0.0,492000.0,492000.0,0.0,0.0,69072000.0,63620000.0,2473000.0,165000.0,2814000.0,0.0,0.0,0.0,0.0,7842000.0,92575000.0,59227000.0,38916000.0,5566000.0,2166000.0,4443000.0,7409000.0,7187000.0,387000.0,7132000.0,4554000.0,2324000.0,2637000.0,1538000.0,35044000.0,22207000.0,2943000.0,2192000.0,94000.0,2603000.0,2055000.0,1079000.0,1091000.0,780000.0,0.0,0.0,131315000.0,111055000.0,18670000.0,223700000.0,0.0,0.0,6504000.0,102551000.0,10626000.0,0.0,0.0,0.0,141595000.0,7695000.0,0.0,0.8703,98225
5300480,BETHEL SCHOOL DISTRICT,WA,3,19770.0,285330000.0,14987000.0,3638000.0,3922000.0,0.0,0.0,95000.0,0.0,519000.0,4800000.0,720000.0,151000.0,0.0,1142000.0,194684000.0,132292000.0,0.0,24353000.0,8304000.0,1047000.0,440000.0,0.0,149000.0,74000.0,13753000.0,14272000.0,0.0,0.0,0.0,75659000.0,65783000.0,0.0,0.0,0.0,0.0,211000.0,57000.0,719000.0,0.0,2026000.0,0.0,1835000.0,0.0,132000.0,94000.0,1000.0,1095000.0,0.0,180000.0,3526000.0,0.0,262576000.0,242497000.0,133883000.0,133883000.0,0.0,0.0,99490000.0,19059000.0,17326000.0,1005000.0,16827000.0,21482000.0,13543000.0,10248000.0,0.0,9124000.0,7298000.0,1826000.0,0.0,994000.0,994000.0,0.0,0.0,11595000.0,6161000.0,2973000.0,63000.0,2398000.0,0.0,0.0,0.0,893000.0,6597000.0,146268000.0,88321000.0,57510000.0,8482000.0,4569000.0,5500000.0,10297000.0,10622000.0,374000.0,12277000.0,7147000.0,8286000.0,6082000.0,2855000.0,55554000.0,33489000.0,3986000.0,3576000.0,93000.0,4154000.0,3253000.0,3646000.0,1720000.0,1164000.0,0.0,0.0,172885000.0,0.0,9440000.0,163445000.0,0.0,0.0,3154000.0,11764000.0,70560000.0,0.0,0.0,0.0,228380000.0,14116000.0,0.0,0.868,98387
