LEAID,NAME,STABBR,AGCHRT,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C35,C38,C39,TLOCREV,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,C24,TOTALEXP,TCURELSC,TCURINST,E13,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,TCUROTH,E11,V60,V65,TNONELSE,V70,V75,V80,TCAPOUT,F12,G15,K09,K10,K11,L12,M12,Q11,I86,Z32,Z33,Z35,Z36,Z37,Z38,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,V93,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61,V95,V02,K14,CE1,CE2,CE3,Graduation Rate,MZIP
2700001,Select your school district,NA,3,507.0,8146000.0,442000.0,175000.0,0.0,13000.0,0.0,0.0,0.0,100000.0,133000.0,0.0,0.0,0.0,21000.0,5171000.0,3618000.0,71000.0,253000.0,282000.0,0.0,0.0,0.0,14000.0,801000.0,0.0,132000.0,0.0,0.0,0.0,2533000.0,294000.0,0.0,0.0,0.0,0.0,37000.0,1642000.0,0.0,0.0,80000.0,0.0,21000.0,0.0,21000.0,10000.0,1000.0,255000.0,0.0,85000.0,87000.0,0.0,26135000.0,6700000.0,3915000.0,3915000.0,0.0,0.0,2547000.0,128000.0,167000.0,369000.0,352000.0,686000.0,474000.0,371000.0,0.0,238000.0,238000.0,0.0,0.0,171000.0,171000.0,0.0,0.0,18168000.0,17910000.0,0.0,3000.0,255000.0,0.0,33000.0,0.0,191000.0,872000.0,4021000.0,2601000.0,1778000.0,264000.0,85000.0,0.0,91000.0,121000.0,247000.0,250000.0,292000.0,213000.0,97000.0,0.0,1496000.0,954000.0,35000.0,23000.0,74000.0,99000.0,152000.0,106000.0,28000.0,0.0,0.0,0.0,29757000.0,0.0,417000.0,29340000.0,0.0,0.0,214000.0,0.0,14622000.0,199000.0,47000.0,92000.0,-1.0,-1.0,0.0,0.9355,55768
5400030,BARBOUR,WV,3,2317.0,26891000.0,3651000.0,1241000.0,704000.0,168000.0,0.0,52000.0,0.0,197000.0,1169000.0,0.0,0.0,0.0,120000.0,18558000.0,9187000.0,0.0,80000.0,0.0,0.0,0.0,67000.0,13000.0,2409000.0,190000.0,968000.0,0.0,5571000.0,73000.0,4682000.0,4362000.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,3000.0,119000.0,65000.0,0.0,10000.0,95000.0,0.0,26044000.0,23484000.0,13407000.0,13407000.0,0.0,0.0,8790000.0,1197000.0,943000.0,459000.0,1166000.0,2124000.0,2005000.0,896000.0,0.0,1287000.0,1287000.0,0.0,0.0,27000.0,22000.0,5000.0,0.0,2346000.0,1922000.0,0.0,14000.0,410000.0,0.0,29000.0,0.0,158000.0,0.0,12544000.0,8040000.0,5767000.0,1091000.0,362000.0,80000.0,633000.0,430000.0,240000.0,764000.0,615000.0,953000.0,333000.0,412000.0,7013000.0,4395000.0,313000.0,157000.0,128000.0,397000.0,432000.0,610000.0,387000.0,179000.0,0.0,81000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4122000.0,555000.0,600000.0,86000.0,20475000.0,3008000.0,158000.0,0.9023,26416
5400060,BERKELEY,WV,3,19320.0,221107000.0,21532000.0,4684000.0,4175000.0,561000.0,0.0,134000.0,118000.0,4318000.0,7503000.0,0.0,0.0,0.0,39000.0,128975000.0,74485000.0,0.0,340000.0,102000.0,16000.0,0.0,87000.0,79000.0,2659000.0,1694000.0,7003000.0,0.0,41720000.0,790000.0,70600000.0,65289000.0,0.0,0.0,0.0,0.0,52000.0,0.0,59000.0,0.0,1534000.0,0.0,333000.0,0.0,1428000.0,0.0,32000.0,561000.0,0.0,195000.0,1117000.0,0.0,225104000.0,205858000.0,118043000.0,118043000.0,196000.0,0.0,73650000.0,13308000.0,6159000.0,1580000.0,11754000.0,16185000.0,20498000.0,4166000.0,0.0,14165000.0,14165000.0,0.0,0.0,540000.0,322000.0,218000.0,0.0,15569000.0,12345000.0,621000.0,1023000.0,1580000.0,0.0,192000.0,0.0,1566000.0,1183000.0,116518000.0,72911000.0,45059000.0,11581000.0,1606000.0,1101000.0,8575000.0,3638000.0,872000.0,7857000.0,4653000.0,10097000.0,2407000.0,4693000.0,56892000.0,35016000.0,3697000.0,1736000.0,383000.0,3868000.0,2594000.0,5951000.0,1111000.0,2392000.0,0.0,1510000.0,31730000.0,0.0,3415000.0,28315000.0,0.0,0.0,4435000.0,941000.0,26329000.0,4608000.0,2436000.0,1089000.0,187962000.0,17880000.0,0.0,0.941,25401
5400090,BOONE,WV,3,4010.0,52109000.0,5469000.0,824000.0,799000.0,185000.0,0.0,75000.0,0.0,1055000.0,2531000.0,0.0,0.0,0.0,0.0,29154000.0,16765000.0,0.0,134000.0,0.0,0.0,0.0,101000.0,26000.0,0.0,325000.0,1955000.0,0.0,9692000.0,156000.0,17486000.0,17017000.0,0.0,0.0,0.0,0.0,0.0,0.0,130000.0,0.0,15000.0,0.0,11000.0,0.0,0.0,0.0,29000.0,25000.0,0.0,7000.0,252000.0,0.0,41734000.0,40505000.0,22313000.0,22313000.0,25000.0,0.0,15309000.0,2650000.0,668000.0,1207000.0,2399000.0,3796000.0,3303000.0,1286000.0,0.0,2883000.0,2883000.0,0.0,0.0,394000.0,6000.0,388000.0,0.0,519000.0,0.0,0.0,21000.0,498000.0,0.0,36000.0,0.0,255000.0,0.0,22009000.0,13849000.0,9662000.0,2201000.0,620000.0,0.0,1403000.0,294000.0,611000.0,1476000.0,1144000.0,1505000.0,313000.0,974000.0,12178000.0,6836000.0,784000.0,134000.0,319000.0,867000.0,808000.0,966000.0,925000.0,453000.0,0.0,588000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14858000.0,1147000.0,556000.0,7000.0,35024000.0,5475000.0,255000.0,0.8796,25130
5400120,BRAXTON,WV,3,2022.0,23937000.0,4059000.0,1078000.0,673000.0,106000.0,0.0,48000.0,0.0,62000.0,1137000.0,0.0,0.0,0.0,955000.0,14197000.0,8114000.0,0.0,103000.0,0.0,0.0,0.0,69000.0,13000.0,0.0,170000.0,751000.0,0.0,4913000.0,64000.0,5681000.0,5303000.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,18000.0,0.0,20000.0,0.0,0.0,11000.0,6000.0,79000.0,0.0,0.0,236000.0,0.0,22247000.0,21560000.0,12252000.0,12252000.0,0.0,0.0,7658000.0,1146000.0,946000.0,761000.0,1212000.0,1949000.0,1344000.0,300000.0,0.0,1650000.0,1650000.0,0.0,0.0,27000.0,27000.0,0.0,0.0,233000.0,12000.0,0.0,0.0,221000.0,0.0,0.0,0.0,14000.0,413000.0,11772000.0,7411000.0,5072000.0,1165000.0,320000.0,55000.0,661000.0,588000.0,409000.0,812000.0,455000.0,641000.0,173000.0,507000.0,6166000.0,3962000.0,329000.0,240000.0,233000.0,399000.0,240000.0,382000.0,102000.0,266000.0,0.0,52000.0,11085000.0,0.0,760000.0,10325000.0,0.0,0.0,475000.0,0.0,4360000.0,601000.0,474000.0,0.0,17847000.0,3651000.0,14000.0,0.8652,26601
5400150,BROOKE,WV,3,2940.0,46379000.0,2451000.0,459000.0,351000.0,163000.0,0.0,72000.0,0.0,371000.0,986000.0,0.0,0.0,0.0,49000.0,27951000.0,10400000.0,0.0,90000.0,39000.0,0.0,0.0,131000.0,19000.0,7775000.0,265000.0,1221000.0,0.0,7894000.0,117000.0,15977000.0,15178000.0,0.0,0.0,0.0,28000.0,0.0,67000.0,0.0,0.0,11000.0,0.0,36000.0,0.0,59000.0,0.0,7000.0,113000.0,0.0,32000.0,446000.0,0.0,48335000.0,36819000.0,20592000.0,20592000.0,25000.0,0.0,14478000.0,2237000.0,1657000.0,803000.0,2218000.0,4548000.0,2626000.0,389000.0,0.0,1749000.0,1749000.0,0.0,0.0,179000.0,126000.0,53000.0,0.0,10885000.0,10754000.0,0.0,67000.0,64000.0,0.0,9000.0,0.0,0.0,418000.0,19617000.0,11709000.0,7327000.0,1962000.0,1036000.0,166000.0,1333000.0,1023000.0,326000.0,1447000.0,1431000.0,1100000.0,245000.0,706000.0,10585000.0,6409000.0,647000.0,484000.0,251000.0,752000.0,851000.0,735000.0,116000.0,301000.0,0.0,225000.0,13465000.0,0.0,835000.0,12630000.0,0.0,0.0,411000.0,70000.0,6151000.0,1177000.0,693000.0,0.0,34042000.0,2777000.0,0.0,0.9389,26070
5400180,CABELL,WV,3,12806.0,160115000.0,16544000.0,4599000.0,1677000.0,574000.0,0.0,287000.0,65000.0,1169000.0,7299000.0,0.0,0.0,0.0,874000.0,87072000.0,48957000.0,0.0,143000.0,93000.0,7000.0,0.0,200000.0,118000.0,446000.0,819000.0,4516000.0,0.0,31199000.0,574000.0,56499000.0,53665000.0,0.0,0.0,0.0,0.0,0.0,0.0,231000.0,0.0,187000.0,0.0,0.0,0.0,0.0,3000.0,374000.0,1033000.0,0.0,139000.0,867000.0,0.0,152373000.0,143613000.0,84219000.0,84219000.0,172000.0,0.0,47936000.0,6951000.0,5646000.0,1540000.0,7263000.0,15779000.0,8983000.0,1774000.0,0.0,11458000.0,11458000.0,0.0,0.0,2740000.0,2127000.0,613000.0,0.0,4892000.0,3762000.0,0.0,38000.0,1092000.0,0.0,90000.0,0.0,183000.0,683000.0,76845000.0,49237000.0,34353000.0,5632000.0,1394000.0,784000.0,4397000.0,2986000.0,654000.0,4562000.0,4958000.0,4210000.0,1023000.0,3583000.0,41698000.0,26395000.0,2211000.0,1476000.0,385000.0,2661000.0,3241000.0,2786000.0,619000.0,1670000.0,0.0,1311000.0,19855000.0,0.0,4640000.0,15215000.0,0.0,0.0,2716000.0,0.0,57485000.0,3570000.0,3320000.0,0.0,127063000.0,16501000.0,120000.0,0.8267,25702
5400210,CALHOUN,WV,3,1029.0,12051000.0,1997000.0,408000.0,391000.0,69000.0,0.0,1000.0,0.0,343000.0,785000.0,0.0,0.0,0.0,0.0,8534000.0,4509000.0,0.0,58000.0,0.0,0.0,0.0,4000.0,55000.0,387000.0,112000.0,742000.0,0.0,2601000.0,66000.0,1520000.0,1378000.0,0.0,0.0,0.0,49000.0,0.0,0.0,0.0,0.0,10000.0,0.0,19000.0,0.0,0.0,0.0,1000.0,9000.0,0.0,27000.0,27000.0,0.0,12212000.0,11360000.0,5738000.0,5738000.0,0.0,0.0,4763000.0,645000.0,244000.0,359000.0,790000.0,1296000.0,1138000.0,291000.0,0.0,859000.0,859000.0,0.0,0.0,9000.0,9000.0,0.0,0.0,565000.0,261000.0,131000.0,0.0,173000.0,0.0,6000.0,0.0,166000.0,106000.0,5805000.0,3568000.0,2521000.0,369000.0,82000.0,0.0,269000.0,115000.0,203000.0,433000.0,348000.0,494000.0,136000.0,202000.0,3238000.0,1715000.0,186000.0,34000.0,139000.0,350000.0,212000.0,383000.0,110000.0,104000.0,0.0,14000.0,2850000.0,0.0,145000.0,2705000.0,0.0,0.0,247000.0,0.0,72000.0,419000.0,346000.0,70000.0,9547000.0,1811000.0,77000.0,0.9383,26151
5400240,CLAY,WV,3,1939.0,23135000.0,4218000.0,619000.0,607000.0,212000.0,0.0,23000.0,0.0,1095000.0,1488000.0,0.0,0.0,0.0,174000.0,16482000.0,9553000.0,0.0,108000.0,0.0,0.0,0.0,67000.0,12000.0,114000.0,217000.0,1330000.0,0.0,5020000.0,61000.0,2435000.0,2309000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,84000.0,0.0,22504000.0,22250000.0,11921000.0,11921000.0,0.0,0.0,8618000.0,877000.0,895000.0,517000.0,1142000.0,2567000.0,2313000.0,307000.0,0.0,1711000.0,1711000.0,0.0,0.0,20000.0,20000.0,0.0,0.0,234000.0,0.0,0.0,6000.0,228000.0,0.0,0.0,0.0,0.0,0.0,11390000.0,7022000.0,5065000.0,657000.0,257000.0,0.0,523000.0,613000.0,215000.0,710000.0,568000.0,1011000.0,169000.0,558000.0,6267000.0,3787000.0,286000.0,258000.0,115000.0,425000.0,394000.0,664000.0,94000.0,244000.0,0.0,91000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5137000.0,454000.0,229000.0,0.0,17767000.0,3524000.0,0.0,0.9474,25043
5400270,DODDRIDGE,WV,3,1118.0,27719000.0,1479000.0,288000.0,279000.0,140000.0,0.0,12000.0,0.0,113000.0,609000.0,0.0,0.0,0.0,38000.0,3358000.0,0.0,0.0,61000.0,0.0,0.0,0.0,19000.0,13000.0,39000.0,0.0,149000.0,0.0,3040000.0,37000.0,22882000.0,22718000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,34000.0,17000.0,25000.0,0.0,44000.0,35000.0,0.0,24476000.0,19988000.0,10466000.0,10466000.0,0.0,0.0,8238000.0,1126000.0,830000.0,785000.0,1043000.0,2009000.0,1808000.0,637000.0,0.0,1284000.0,1284000.0,0.0,0.0,153000.0,130000.0,23000.0,0.0,4191000.0,3641000.0,159000.0,96000.0,295000.0,0.0,10000.0,0.0,108000.0,26000.0,10644000.0,5754000.0,3566000.0,864000.0,317000.0,247000.0,729000.0,481000.0,440000.0,726000.0,538000.0,912000.0,298000.0,520000.0,4919000.0,2635000.0,319000.0,220000.0,180000.0,303000.0,274000.0,453000.0,279000.0,221000.0,0.0,64000.0,1565000.0,0.0,775000.0,790000.0,0.0,0.0,519000.0,0.0,14126000.0,418000.0,1076000.0,18000.0,18758000.0,1230000.0,108000.0,0.974,26456
